Izborna jedinica;Grad/opæina;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: ÐEMAL BRATIÆ, Predlagatelj: DEMOKRATSKI SAVEZ BOŠNJAKA SLAVONIJE I BARANJE (DSBSB);Kandidat: LUIGJ DAKA, dr.med., Predlagatelj: UDRUGA ALBANACA KOSOVA ZAGREB - UAKZ;Kandidat: SANEL HAMZIÆ, Predlagatelj: HRVATSKA STRANKA MLADIH - HSM;Kandidat: NEDŽAD HODŽIÆ, dipl.ing., Predlagatelj: NEOVISNI KANDIDAT;Kandidat: IBRAHIM IMŠIREVIÆ, Predlagatelj: NEOVISNI KANDIDAT;Kandidat: MARK KRASNIÆ, Predlagatelj: ABECEDA DEMOKRACIJE - ABECEDA;"Kandidat: HAMDIJA MALIÆ, Predlagatelj: UDRUGA BOŠNJAKA BRANITELJA DOMOVINSKOG RATA HRVATSKE - UBBDRH, UDRUGA BOŠNJAKA BRANITELJA DOMOVINSKOG RATA HRVATSKE, OGRANAK GRADA ZAGREBA - UDBBDRHOGZ, UDRUGA BOŠNJAKA BRANITELJA DOMOVINSKOG RATA HRVATSKE, OGRANAK GRADA RIJEKE, KULTURNO-UMJETNIÈKO DRUŠTVO ""BOSNA"" ISTARSKE ŽUPANIJE, BOŠNJAÈKO KULTURNO-UMJETNIÈKO DRUŠTVO ""NUR"" SISAK, BOŠNJAÈKA NACIONALNA ZAJEDNICA LABINA, BOŠNJAÈKA NACIONALNA ZAJEDNICA ZA GRAD DUBROVNIK I DUBROVAÈKO-NERETVANSKU ŽUPANIJU , UDRUGA BOŠNJAKA BRANITELJA DOMOVINSKOG RATA HRVATSKE GRADA DUBROVNIKA I DUBROVAÈKO-NERETVANSKE ŽUPANIJE – UBBDRH-O.G.D I D.N.Ž., KULTURNO DRUŠTVO BOŠNJAKA ""PREPOROD"" DUBROVNIK , UDRUGA ""ZDRUG HRVATSKE OBRANE - NIKOLA ŠUBIÆ ZRINSKI"", SABOR BOŠNJAÈKIH ASOCIJACIJA HRVATSKE – SABAH , UDRUGA BOŠNJAKA BRANITELJA DOMOVINSKOG RATA HRVATSKE OGRANAK GRADA SISKA I SISAÈKO MOSLAVAÈKE ŽUPANIJE";Kandidat: ANGEL MITREVSKI, dipl.ing., Predlagatelj: ZAJEDNICA MAKEDONACA U REPUBLICI HRVATSKOJ;"Kandidat: FROK PREKPALAJ, Predlagatelj: ALBANSKO KULTURNO DRUŠTVO U HRVATSKOJ ""SHKËNDIJA""";Kandidat: IBRAHIM RUŽNIÆ, Predlagatelj: HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS;Kandidat: BASHKIM SHEHU, Predlagatelj: FORUM ALBANSKIH INTELEKTUALACA;Kandidat: SULEJMAN TABAKOVIÆ, Predlagatelj: NEOVISNI KANDIDAT;Kandidat: dr.sc. ŠEMSO TANKOVIÆ, Predlagatelj: STRANKA DEMOKRATSKE AKCIJE HRVATSKE - SDA HRVATSKE;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;41;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;42;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;43;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;44;12;2;2;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;45;6;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;46;4;2;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;47;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;48;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;49;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;50;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;51;7;2;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;52;7;4;4;4;0;0;1;0;3;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;53;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;54;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;55;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;56;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;57;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;58;4;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;59;5;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;60;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;61;7;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;62;35;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;4;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;63;19;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;64;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;65;11;5;5;5;0;0;0;0;0;0;0;2;0;1;0;0;0;2;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;66;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;67;10;4;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;68;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;69;18;4;4;4;0;0;1;0;0;0;0;0;0;0;0;0;0;3;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;70;13;4;4;4;0;0;0;0;0;1;0;0;0;0;0;0;0;3;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;71;8;8;8;8;0;0;0;0;1;0;1;0;0;0;0;0;0;6;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;72;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;73;13;3;3;3;0;0;0;0;1;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;74;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;75;10;3;3;2;1;0;0;0;0;0;0;0;0;0;2;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;76;10;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;77;13;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;78;10;3;3;3;0;0;2;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;79;12;2;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;80;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;81;12;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;82;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;83;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;84;7;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;85;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;86;15;6;6;6;0;0;0;1;3;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;87;16;4;4;4;0;0;0;0;1;0;0;1;0;0;0;0;0;2;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;88;10;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;89;10;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;90;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;91;7;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;92;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;93;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;94;30;8;8;8;0;0;0;0;1;0;0;6;0;0;1;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;95;14;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;96;6;3;3;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;97;25;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;98;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;99;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;100;21;2;2;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;101;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;102;11;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;103;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;104;4;3;3;2;1;0;0;0;0;0;0;0;0;0;2;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;105;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;106;14;5;5;5;0;0;4;0;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;107;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;108;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;109;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;110;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;111;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;112;18;4;4;3;1;0;0;0;0;0;0;2;0;0;0;0;0;1;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;113;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;114;9;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;115;20;8;8;8;0;0;6;0;0;0;0;0;0;1;1;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;116;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;117;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;118;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;119;20;4;4;4;0;0;0;0;1;0;0;1;0;0;1;0;0;1;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;120;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;121;12;2;2;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;122;10;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;4;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;123;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;124;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
