Država;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: mr.sc. DRAGUTIN PRIBANIÆ                                       ;AKCIJA MLADIH - AM, Nositelj liste: GORAN FRKOVIÆ, dipl.iur.                                                    ;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: JASENKO STIPAC, dipl.ing.                         ;DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENI HRVATSKE - ZELENI HR, Nositelj liste: MARIJA JELINÈIÆ;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;DOMOVINSKA GRAÐANSKA STRANKA - DGS, Nositelj liste: NENAD DUBRAVEC;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: JOSIP MILJAK                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA EUROPSKA STRANKA - HES, Nositelj liste: NAJA ŠEBALJ          ;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                   ;HRVATSKA RADNIÈKA STRANKA - HRS, AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, PRIMORSKO GORANSKI SAVEZ - PGS, Nositelj liste: BOŽIDAR PANKRETIÆ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: ROBERT OSTRUN                                        ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: MLADEN ŠEPIÆ;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: KRUNOSLAV GAŠPARIÆ;LJEVICA HRVATSKE - LJEVICA, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, HRVATSKI SOCIJALDEMOKRATI - HSD, Nositelj liste: VLADIMIR BEBIÆ, dipl. politolog;NEOVISNA LISTA, Nositelj liste: HRVOJE HITREC                                 ;NEOVISNA LISTA, Nositelj liste: IVAN LONÈAR, dipl.ing.                                 ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;STRANKA UMIROVLJENIKA - SU, Nositelj liste: VENKO BANOVIÆ;ZELENA LISTA, Nositelj liste: DRAGUTIN RIBARIÆ.                                                          ;;;
AUSTRIJA;4;;27;27;25;2;0;0;0;0;0;0;0;0;22;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;;;
AUSTRIJA;5;;19;19;18;1;0;0;0;1;0;0;0;0;15;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;;;
AUSTRIJA;6;;7;7;7;0;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AUSTRIJA;7;;8;8;8;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;;;
AUSTRIJA;8;;10;10;10;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;;;
BELGIJA;1;;22;22;22;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;;;
BOSNA I HERCEGOVINA;1;;7;7;6;1;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;2;;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;3;;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;4;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;5;;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;6;;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;7;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;8;;4;4;4;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;9;;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;10;;4;4;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;11;;5;5;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;12;;6;6;6;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;13;;6;6;6;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;14;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;15;;6;6;6;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;16;;4;4;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;17;;23;23;23;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;18;;7;7;7;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;
BOSNA I HERCEGOVINA;19;;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;20;;7;7;7;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;21;;2;2;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;22;;7;7;6;1;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;23;;13;13;13;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;24;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;25;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;26;;5;5;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;27;;6;6;6;0;0;0;0;0;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;28;;3;3;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;29;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;30;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;31;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;32;;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;33;;3;3;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;34;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;35;;6;6;6;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;36;;9;9;9;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;37;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;38;;9;9;9;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;39;;3;3;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;40;;4;4;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;41;;7;7;7;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;42;;9;9;9;0;0;0;0;0;0;0;0;0;7;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;43;;5;5;5;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;44;;12;12;11;1;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;45;;5;5;5;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;46;;7;7;7;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;47;;11;11;10;1;0;0;0;0;0;0;0;0;9;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;48;;2;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;
BOSNA I HERCEGOVINA;49;;3;3;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;50;;15;15;15;0;0;0;0;0;0;0;0;1;11;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;51;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;52;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;53;;6;6;6;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;54;;4;4;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;55;;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;56;;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;57;;9;9;9;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;58;;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;59;;9;8;8;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;60;;11;11;11;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;61;;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;62;;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;63;;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;64;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;65;;5;5;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;66;;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;67;;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;68;;8;8;8;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
BOSNA I HERCEGOVINA;69;;11;11;11;0;0;0;0;0;0;0;2;1;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;
