Izborna jedinica;Grad/opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: MLADENKA ATANACKOVIÆ, Zamjenik: JASMINKA IGNJATOVIÆ, Predlagatelj: HRVATSKA STRANKA MLADIH - HSM                                        ;Kandidat: DUŠAN CRNKOVIÆ, ing., Zamjenik: BOŽIDAR SLAVULJ, ing. grað., Predlagatelj: SRPSKA NARODNA STRANKA - SNS                                        ;Kandidat: JELICA ÈANAK, Zamjenik: BRANKICA JEROTIÆ, Predlagatelj: HRVATSKA STRANKA MLADIH - HSM                                        ;Kandidat: PERO DEJANOVIÆ, Zamjenik: STEVAN IVANIÆ, Predlagatelj: ABECEDA DEMOKRACIJE - ABECEDA                                        ;Kandidat: PETAR DUBAIÆ, Zamjenik: PETAR VUJAKLIJA, Predlagatelj: ABECEDA DEMOKRACIJE - ABECEDA                                        ;Kandidat: VELJKO DŽAKULA, dipl.ing. šumarstva, Zamjenik: MILAN UZELAC, Predlagatelj: ZAJEDNICA SRBA U REPUBLICI HRVATSKOJ - ZSH                                       ;Kandidat: RATKO GAJICA, Zamjenik: JOVAN AJDUKOVIÆ, Predlagatelj: SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS                                       ;Kandidat: DRAGAN HINIÆ, dipl.iur., Zamjenik: RADOVAN VUKELIÆ, dr.med., Predlagatelj: SRPSKA NARODNA STRANKA - SNS                                        ;Kandidat: CVIJO JANDRIÆ, Zamjenik: ZORA LUKIÆ, Predlagatelj: SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP                                       ;Kandidat: LJUBICA JAVORINA-ŠOLAJA, dr.med., Zamjenik: MILE JAVORINA, ing., Predlagatelj: PARTIJA PODUNAVSKIH SRBA - PPS                                       ;Kandidat: VLADIMIR KOSIÆ, dipl.oec., Zamjenik: VESELIN GRBIÆ, Predlagatelj: PARTIJA PODUNAVSKIH SRBA - PPS                                       ;Kandidat: RADIVOJ-RADE LESKOVAC, dipl. polit., Zamjenik: PERO MATIÆ, prof., Predlagatelj: PARTIJA PODUNAVSKIH SRBA - PPS                                       ;Kandidat: dr.sc. SVETOZAR LIVADA, Zamjenik: STANIŠA ŽARKOVIÆ, dipl. soc.radnik, Predlagatelj: ZAJEDNICA SRBA U REPUBLICI HRVATSKOJ - ZSH                                       ;Kandidat: BRANKO LUBOVAC, dipl.oec., Zamjenik: STEVAN BANJANIN, prof., Predlagatelj: ZAJEDNICA SRBA U REPUBLICI HRVATSKOJ - ZSH                                       ;Kandidat: MILUTIN LUKIÆ, Zamjenik: MLADEN MITROVIÆ, Predlagatelj: SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP                                       ;Kandidat: MILICA MARIÆ, Zamjenik: SAŠA VASILJEV, Predlagatelj: HRVATSKA STRANKA MLADIH - HSM                                        ;Kandidat: DEJAN MEDAKOVIÆ, Zamjenik: MARIJA DVORNIÆ, Predlagatelj: SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP                                       ;Kandidat: dr.sc. MILORAD PUPOVAC, Zamjenik: ALEKSANDAR MILOŠEVIÆ, Predlagatelj: SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS                                       ;Kandidat: VOJISLAV STANIMIROVIÆ, dr.med., Zamjenik: MILE HORVAT, Predlagatelj: SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS                                       ;Kandidat: LUKA ŠUŠAK, dipl.iur., Zamjenik: MILAN RODIÆ, dipl.iur., Predlagatelj: SRPSKA NARODNA STRANKA - SNS                                        ;;;;;;;
3;ZLATAR  ;17;4;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;BEDEKOVÈINA  ;13;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;BEDNJA  ;18;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;BELICA  ;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;BERETINEC  ;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;BREZNICA  ;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;BREZNIÈKI HUM  ;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;BUDINŠÈINA  ;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;CESTICA  ;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;DEKANOVEC  ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;DESINIÆ  ;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;DOMAŠINEC  ;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;DONJA DUBRAVA  ;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;DONJA VOÆA  ;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;DONJI KRALJEVEC  ;8;4;2;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0;0;0;1;1;0;;;;;;;
3;DONJI VIDOVEC  ;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;ÐURMANEC  ;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;GORIÈAN  ;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;GORNJA STUBICA  ;15;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;GORNJI KNEGINEC  ;7;5;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;GORNJI MIHALJEVEC  ;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;HRAŠÆINA  ;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;HUM NA SUTLI  ;8;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;JALŽABET  ;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;JESENJE  ;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;KLENOVNIK  ;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;KONJŠÈINA  ;17;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;KOTORIBA  ;4;5;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;;;;;
3;KRALJEVEC NA SUTLI  ;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;KRAPINSKE TOPLICE  ;11;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;KUMROVEC  ;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;LOBOR  ;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;LJUBEŠÆICA  ;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;MAÈE  ;8;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;;
3;MALA SUBOTICA  ;7;6;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;;;;;;;
3;MALI BUKOVEC  ;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;MARIJA BISTRICA  ;15;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;MARTIJANEC  ;10;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;MARUŠEVEC  ;15;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;MIHOVLJAN  ;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;NEDELIŠÆE  ;15;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;NOVI GOLUBOVEC  ;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;OREHOVICA  ;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;PETRIJANEC  ;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;PETROVSKO  ;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;PODTUREN  ;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;PRIBISLAVEC  ;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;RADOBOJ  ;9;2;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;SELNICA  ;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;SRAÈINEC  ;4;4;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;;;;;
3;STRAHONINEC  ;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;STUBIÈKE TOPLICE  ;4;7;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;;;;;;;
3;SVETA MARIJA  ;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;SVETI ÐURÐ  ;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;SVETI ILIJA  ;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;SVETI JURAJ NA BREGU  ;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;SVETI KRIŽ ZAÈRETJE  ;14;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;SVETI MARTIN NA MURI  ;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;ŠENKOVEC  ;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;ŠTRIGOVA  ;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;TRNOVEC BARTOLOVEÈKI  ;7;7;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;;;;;;;
3;TUHELJ  ;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;VELIKI BUKOVEC  ;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;VELIKO TRGOVIŠÆE  ;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;VIDOVEC  ;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;VINICA  ;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;VISOKO  ;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;VRATIŠINEC  ;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;ZAGORSKA SELA  ;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
3;ZLATAR-BISTRICA  ;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
4;BELI MANASTIR  ;12;2904;625;593;584;9;13;10;12;4;8;18;313;4;3;11;17;127;27;13;7;9;13;451;458;10;;;;;;;
4;BELIŠÆE  ;15;151;14;14;13;1;0;1;4;0;0;1;0;1;2;1;1;4;0;0;2;0;1;5;3;0;;;;;;;
4;DONJI MIHOLJAC  ;10;217;7;7;7;0;0;0;0;0;0;0;1;2;0;0;0;2;0;0;0;1;1;6;6;0;;;;;;;
4;ÐAKOVO  ;37;232;11;11;10;1;2;1;0;0;0;2;1;2;0;0;0;2;2;0;0;0;0;3;2;1;;;;;;;
4;NAŠICE  ;27;405;62;62;60;2;5;12;1;2;2;4;7;3;0;1;1;18;5;6;2;1;1;22;17;3;;;;;;;
4;ORAHOVICA  ;11;426;37;36;36;0;2;3;1;1;3;2;12;1;2;1;1;10;5;1;2;2;3;18;22;1;;;;;;;
4;OSIJEK  ;111;7988;1023;1022;998;24;44;37;24;13;15;70;342;30;18;30;35;253;77;23;29;28;21;632;568;35;;;;;;;
4;SLATINA  ;23;1470;95;95;92;3;6;8;9;2;2;15;26;3;2;3;1;23;12;4;3;4;2;45;35;5;;;;;;;
4;VALPOVO  ;17;122;13;13;13;0;0;1;0;2;0;2;7;0;0;0;0;1;1;0;0;1;1;9;9;0;;;;;;;
4;VIROVITICA  ;21;609;54;54;51;3;0;7;0;3;0;11;9;2;0;1;2;12;22;6;2;1;0;17;9;6;;;;;;;
4;ANTUNOVAC  ;2;143;4;4;4;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;;;;;;;
4;BILJE  ;6;379;49;23;23;0;1;1;1;1;1;2;5;1;0;1;1;2;1;1;0;1;0;8;12;2;;;;;;;
4;BIZOVAC  ;8;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
4;CRNAC  ;3;98;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;1;3;5;0;;;;;;;
4;ÈAÈINCI  ;8;425;33;33;33;0;0;1;1;1;1;11;9;1;0;1;0;5;14;5;1;2;1;15;16;1;;;;;;;
4;ÈAÐAVICA  ;8;148;21;21;20;1;0;1;0;0;0;2;4;1;0;1;0;5;0;1;0;1;0;11;10;2;;;;;;;
4;ÈEMINAC  ;4;288;17;17;17;0;0;1;1;1;0;1;9;3;0;0;0;5;1;0;0;0;1;13;14;1;;;;;;;
4;ÈEPIN  ;14;457;21;20;19;1;1;1;1;1;1;2;5;0;0;0;0;4;0;1;0;0;0;12;5;0;;;;;;;
4;DARDA  ;6;1914;301;300;297;3;7;8;4;3;1;6;147;7;4;6;2;74;4;2;7;1;5;221;234;6;;;;;;;
4;DONJA MOTIÈINA  ;4;19;3;3;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;;;;;;;
4;DRAŽ  ;6;98;5;5;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;;;;;;;
4;DRENJE  ;11;95;17;17;15;2;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;1;7;1;2;;;;;;;
4;ÐURÐENOVAC  ;16;113;6;6;5;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;2;1;0;;;;;;;
4;ERDUT  ;10;3711;1320;1320;1290;30;10;7;16;6;1;17;948;16;8;34;22;180;17;8;7;16;27;1056;1070;15;;;;;;;
4;ERNESTINOVO  ;2;263;22;22;22;0;0;0;0;0;1;6;11;2;0;0;0;8;3;0;0;0;0;16;13;1;;;;;;;
4;FERIÈANCI  ;5;19;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;;;;;;;
4;GORJANI  ;2;22;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;;;;;;;
4;GRADINA  ;12;378;52;52;48;4;2;1;4;2;1;4;3;0;2;1;0;18;3;1;1;2;2;22;12;2;;;;;;;
4;JAGODNJAK  ;3;1349;304;304;302;2;3;4;6;2;3;16;148;4;7;5;4;67;8;4;1;6;10;240;243;10;;;;;;;
4;KNEŽEVI VINOGRADI  ;8;965;281;281;268;13;8;5;2;0;2;2;179;5;2;4;7;13;5;3;2;5;5;202;220;6;;;;;;;
4;KOŠKA  ;10;409;45;45;43;2;3;6;2;2;3;5;4;3;0;1;0;7;0;2;0;2;4;11;8;3;;;;;;;
4;LEVANJSKA VAROŠ  ;9;87;12;12;12;0;2;0;0;0;0;1;0;2;1;0;0;6;0;0;0;0;0;9;6;1;;;;;;;
4;LUKAÈ  ;10;160;26;26;25;1;1;3;0;1;1;6;7;4;1;0;0;7;1;0;0;0;0;8;8;0;;;;;;;
4;MAGADENOVAC  ;6;229;77;77;75;2;2;1;1;1;3;2;57;5;3;0;0;5;1;0;0;1;4;59;61;0;;;;;;;
4;MARIJANCI  ;6;36;18;18;18;0;1;0;2;1;0;4;3;1;2;0;2;8;1;1;2;1;0;6;11;0;;;;;;;
4;MIKLEUŠ  ;3;214;6;5;4;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;2;0;0;;;;;;;
4;NOVA BUKOVICA  ;8;213;24;24;22;2;3;3;0;1;0;3;2;1;0;0;1;6;0;0;0;0;0;8;4;3;;;;;;;
4;PETLOVAC  ;6;128;25;25;24;1;0;0;0;0;0;0;17;0;0;0;0;1;0;0;0;0;0;23;22;0;;;;;;;
4;PETRIJEVCI  ;4;16;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;;;;;;;
4;PITOMAÈA  ;19;46;7;7;6;1;1;0;0;1;0;2;1;0;0;0;0;1;1;1;0;1;1;3;2;0;;;;;;;
4;PODGORAÈ  ;10;365;41;41;41;0;4;2;2;4;1;6;5;3;0;2;1;18;1;1;1;2;2;21;17;3;;;;;;;
4;PODRAVSKA MOSLAVINA  ;2;43;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;;;;;
4;POPOVAC  ;3;658;125;125;124;1;4;1;0;1;1;6;92;5;2;3;0;10;1;1;1;0;3;107;105;0;;;;;;;
4;PUNITOVCI  ;3;12;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;;
4;SATNICA ÐAKOVAÈKA  ;4;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
4;SEMELJCI  ;5;26;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;;;;;;;
4;SOPJE  ;9;207;25;25;25;0;0;1;0;0;0;0;6;0;0;0;1;4;2;0;0;0;0;10;15;0;;;;;;;
4;STRIZIVOJNA  ;3;12;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
4;SUHOPOLJE  ;19;797;83;83;82;1;3;5;1;5;0;4;9;4;0;0;3;27;9;5;5;0;1;49;35;8;;;;;;;
4;ŠODOLOVCI  ;7;1545;598;598;578;20;9;7;6;3;0;56;223;6;4;12;11;192;10;3;10;6;14;399;400;14;;;;;;;
4;ŠPIŠIÆ BUKOVICA  ;8;28;2;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;1;;;;;;;
4;TRNAVA  ;6;77;5;5;5;0;0;0;0;1;0;0;2;0;0;0;0;1;0;1;0;0;1;4;2;0;;;;;;;
4;VILJEVO  ;4;502;108;108;107;1;7;5;3;4;1;6;62;1;0;3;3;15;5;0;1;3;1;80;79;3;;;;;;;
4;VIŠKOVCI  ;3;10;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
4;VLADISLAVCI  ;4;178;5;5;5;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;1;1;3;4;0;;;;;;;
4;VOÆIN  ;3;1075;42;42;42;0;0;1;0;1;0;4;11;1;0;1;0;9;5;1;1;1;0;25;23;3;;;;;;;
4;VUKA  ;1;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
4;ZDENCI  ;9;117;10;10;10;0;0;1;0;0;0;0;3;0;0;0;0;1;0;1;1;0;2;4;2;0;;;;;;;
5;ILOK  ;7;464;102;102;101;1;2;1;4;1;0;1;61;1;0;1;1;17;2;3;2;0;4;93;86;4;;;;;;;
5;KUTJEVO  ;21;133;20;20;19;1;4;1;1;1;1;1;2;0;0;0;0;5;0;0;0;1;1;6;3;0;;;;;;;
5;LIPIK  ;19;1563;196;196;193;3;10;5;2;2;3;45;56;5;3;3;5;40;31;8;4;2;2;119;72;5;;;;;;;
5;NOVA GRADIŠKA  ;14;508;44;44;42;2;2;3;3;1;0;9;8;2;2;1;0;10;3;1;2;1;0;26;11;3;;;;;;;
5;OTOK (VINKOVCI)  ;6;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
5;PAKRAC  ;23;2762;214;214;209;5;16;9;5;9;2;85;57;6;6;0;4;37;40;15;4;9;2;118;86;7;;;;;;;
5;PLETERNICA  ;36;120;20;20;20;0;0;1;1;0;0;3;0;0;0;1;0;2;2;0;0;0;0;12;1;1;;;;;;;
5;POŽEGA  ;48;791;63;63;61;2;9;3;4;0;0;5;5;2;1;3;6;18;11;0;4;2;2;41;28;4;;;;;;;
5;SLAVONSKI BROD  ;49;943;87;87;84;3;8;5;3;1;1;16;15;2;1;0;6;23;17;0;3;3;4;49;26;3;;;;;;;
5;VINKOVCI  ;33;2353;328;328;314;14;4;6;5;3;1;16;164;6;2;10;3;67;12;6;6;6;4;215;216;13;;;;;;;
5;VUKOVAR  ;28;10698;2334;2331;2276;55;51;29;39;10;10;111;1081;39;15;206;188;861;86;18;52;26;49;1416;1480;30;;;;;;;
5;ŽUPANJA  ;7;67;8;8;8;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;6;4;1;;;;;;;
5;ANDRIJAŠEVCI  ;4;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
5;BABINA GREDA  ;5;8;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;
5;BEBRINA  ;7;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
5;BOGDANOVCI  ;3;287;38;38;37;1;2;3;3;2;2;4;9;3;3;2;4;11;2;0;3;0;0;14;23;1;;;;;;;
5;BOROVO  ;5;4084;1488;1488;1449;39;10;15;15;6;10;49;810;15;15;116;93;586;46;13;39;11;70;901;954;13;;;;;;;
5;BOŠNJACI  ;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
5;BRESTOVAC  ;17;201;30;30;30;0;2;1;1;1;1;2;4;4;1;0;0;6;3;2;2;0;0;17;3;0;;;;;;;
5;BRODSKI STUPNIK  ;5;52;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;3;2;0;;;;;;;
5;BUKOVLJE  ;6;58;5;5;4;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;2;0;;;;;;;
5;CERNA  ;5;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
5;CERNIK  ;10;48;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;;;;;;;
5;ÈAGLIN  ;22;171;31;31;30;1;1;3;3;0;0;2;4;1;0;3;1;5;1;1;1;0;1;15;8;3;;;;;;;
5;DAVOR  ;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
5;DONJI ANDRIJEVCI  ;6;50;8;8;7;1;1;0;0;0;0;2;1;0;0;0;0;2;1;1;0;0;0;3;1;0;;;;;;;
5;DRAGALIÆ  ;6;160;14;14;13;1;2;0;3;0;0;5;0;1;0;2;0;3;1;0;1;0;0;9;8;0;;;;;;;
5;DRENOVCI  ;6;74;12;12;12;0;1;3;1;0;1;0;4;4;0;2;0;1;3;0;0;0;0;4;2;1;;;;;;;
5;GARÈIN  ;9;192;25;25;25;0;0;5;1;0;0;4;2;1;0;2;4;3;5;0;1;0;0;14;8;2;;;;;;;
5;GORNJA VRBA  ;5;10;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
5;GORNJI BOGIÆEVCI  ;5;184;39;39;37;2;2;7;2;3;0;7;13;2;1;1;2;3;2;1;2;0;2;27;20;1;;;;;;;
5;GRADIŠTE  ;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
5;GUNDINCI  ;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
5;GUNJA  ;4;112;16;16;15;1;0;3;0;1;0;2;3;1;1;0;2;1;1;0;1;4;0;9;3;1;;;;;;;
5;IVANKOVO  ;6;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
5;JAKŠIÆ  ;13;123;11;11;11;0;0;2;0;0;0;1;4;0;1;0;0;5;1;0;2;1;0;6;5;0;;;;;;;
5;JARMINA  ;3;18;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;;;;;
5;KAPTOL  ;11;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
