Izborna jedinica;Grad/opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: FURIO RADIN, Zamjenik: AGNESE SUPERINA, Predlagatelj: NEOVISNI KANDIDAT                                        ;Kandidat: LUCIO SLAMA, Zamjenik: TAMARA MORANJAK, Predlagatelj: LISTA ZA RIJEKU - LISTA-RI                                        ;Kandidat: DENIS STEFAN, Zamjenik: FLAVIO COSSETTO, Predlagatelj: NEOVISNI KANDIDAT                                        ;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;1;2;3;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD  ;265;46;9;9;8;1;7;0;1;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAPREŠIÆ  ;20;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;BISTRA  ;6;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;BRDOVEC  ;11;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;DUBRAVICA  ;6;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;JAKOVLJE  ;7;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;LUKA  ;2;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;MARIJA GORICA  ;5;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
1;PUŠÆA  ;7;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
2;BJELOVAR  ;63;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
2;ÈAZMA  ;36;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
2;DARUVAR  ;15;14;2;2;2;0;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;
2;DUGO SELO  ;17;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
2;ÐURÐEVAC  ;16;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
2;GAREŠNICA  ;26;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
2;GRUBIŠNO POLJE  ;15;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
2;KOPRIVNICA  ;37;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
2;KRIŽEVCI  ;55;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
2;SVETI IVAN ZELINA  ;50;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
2;VRBOVEC  ;40;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
2;ZAGREB-ISTOÈNI DIO  ;125;9;4;4;4;0;3;0;1;;;;;;;;;;;;;;;;;;;;;;;;
2;BEDENICA  ;5;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
2;BEREK  ;13;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
2;BRCKOVLJANI  ;10;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
2;DEŽANOVAC  ;11;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
2;DRNJE  ;3;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
2;DUBRAVA  ;27;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
2;ÐELEKOVEC  ;3;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
2;ÐULOVAC  ;9;4;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
2;FARKAŠEVAC  ;12;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
2;FERDINANDOVAC  ;6;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
2;GOLA  ;5;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
2;GORNJA RIJEKA  ;6;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
2;GRADEC  ;20;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
2;HERCEGOVAC  ;6;2;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
2;HLEBINE  ;3;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
2;IVANSKA  ;13;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
2;KALINOVAC  ;3;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
2;KALNIK  ;7;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
2;KAPELA  ;26;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
2;KLOŠTAR PODRAVSKI  ;5;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
2;KONÈANICA  ;7;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
2;KOPRIVNIÈKI BREGI  ;4;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
