Država;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: VLADIMIR PAVLETIÆ                                        ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, HRVATSKA RADNIÈKA STRANKA - HRS, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;ALIJANSA ZA PRAVNU DRŽAVU - ALIJANSA, Nositelj liste: dr.sc. JURAJ PLENKOVIÆ;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;DOMOVINSKA GRAÐANSKA STRANKA - DGS, Nositelj liste: DAMIR BAKSA;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: TADIJA LJUBIÈIÆ                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: IVAN VUKOJA                                      ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: ŠIME TOLIÆ;NEOVISNA LISTA, Nositelj liste: ANDJELKO GALIÆ                                ;NEOVISNA LISTA, Nositelj liste: JERKO IVANKOVIÆ LIJANOVIÆ                               ;STRANKA HRVATSKIH BRANITELJA - SHB, Nositelj liste: DOMAGOJ MARGETIÆ                    ;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;118;881;146;146;136;10;0;0;0;0;1;0;106;0;10;0;0;14;5;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;119;1511;267;267;265;2;0;2;1;2;0;5;212;4;19;0;4;14;2;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;120;953;121;121;114;7;0;1;0;0;0;1;89;0;6;0;0;15;2;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;121;2261;311;311;308;3;0;2;1;1;0;1;259;4;16;0;2;22;0;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;122;1763;287;287;285;2;0;3;1;0;0;3;254;1;9;0;0;13;1;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;123;3081;328;328;326;2;0;1;0;1;0;1;246;1;9;0;4;63;0;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;124;3038;469;467;465;2;2;3;0;1;1;0;394;1;3;0;0;60;0;;;;;;;;;;;;;;
BRAZIL;1;18;7;7;7;0;0;0;0;0;0;0;7;0;0;0;0;0;0;;;;;;;;;;;;;;
BRAZIL;2;279;28;28;26;2;1;2;2;0;0;0;14;1;3;0;1;1;1;;;;;;;;;;;;;;
BUGARSKA;1;40;3;3;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;;;;;;;;;;;;;;
CRNA GORA;1;391;24;24;22;2;0;6;0;1;0;1;13;0;0;0;0;1;0;;;;;;;;;;;;;;
CRNA GORA;2;1017;179;179;179;0;4;16;1;12;1;3;128;4;8;0;1;0;1;;;;;;;;;;;;;;
CRNA GORA;3;343;83;83;83;0;0;8;1;4;0;0;67;1;2;0;0;0;0;;;;;;;;;;;;;;
CRNA GORA;4;792;263;263;260;3;3;10;2;18;3;1;195;6;18;0;2;0;2;;;;;;;;;;;;;;
ÈEŠKA REPUBLIKA;1;365;6;6;6;0;0;0;0;0;0;0;5;0;0;0;0;1;0;;;;;;;;;;;;;;
ÈILE;1;1189;21;21;20;1;0;1;0;2;0;0;15;0;1;0;0;1;0;;;;;;;;;;;;;;
ÈILE;2;429;9;9;9;0;0;3;0;0;0;0;6;0;0;0;0;0;0;;;;;;;;;;;;;;
ÈILE;3;115;23;23;23;0;0;0;0;0;0;22;0;0;1;0;0;0;0;;;;;;;;;;;;;;
DANSKA;1;442;8;8;8;0;0;1;0;0;0;0;7;0;0;0;0;0;0;;;;;;;;;;;;;;
EGIPAT;1;67;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;;;;;;;;;;;;;;
FINSKA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
FRANCUSKA;1;1317;65;65;64;1;0;0;0;2;0;0;53;3;3;0;1;1;1;;;;;;;;;;;;;;
FRANCUSKA;2;272;18;18;18;0;0;0;0;0;1;0;15;0;2;0;0;0;0;;;;;;;;;;;;;;
FRANCUSKA;3;237;26;26;26;0;0;0;0;0;0;0;23;1;2;0;0;0;0;;;;;;;;;;;;;;
GRÈKA;1;51;9;9;9;0;0;3;0;0;0;0;5;0;0;0;0;1;0;;;;;;;;;;;;;;
INDIJA;1;7;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
INDONEZIJA;1;10;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
IRAN;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
IRSKA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
ITALIJA;1;606;45;45;45;0;0;4;0;2;1;0;24;0;6;0;8;0;0;;;;;;;;;;;;;;
ITALIJA;2;888;11;11;11;0;1;0;0;2;0;0;7;1;0;0;0;0;0;;;;;;;;;;;;;;
ITALIJA;3;752;11;11;10;1;0;3;0;0;0;0;5;0;2;0;0;0;0;;;;;;;;;;;;;;
IZRAEL;1;61;15;15;14;1;0;2;1;1;0;0;9;0;1;0;0;0;0;;;;;;;;;;;;;;
JAPAN;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
JUŽNOAFRIÈKA REPUBLIKA;1;448;8;8;8;0;0;1;0;0;0;0;7;0;0;0;0;0;0;;;;;;;;;;;;;;
KANADA;1;94;10;10;10;0;0;0;0;0;0;0;6;0;4;0;0;0;0;;;;;;;;;;;;;;
KANADA;2;205;26;26;25;1;0;1;0;0;0;1;16;1;5;0;0;0;1;;;;;;;;;;;;;;
KANADA;3;433;74;74;73;1;0;1;0;1;0;1;59;0;9;0;0;0;2;;;;;;;;;;;;;;
KANADA;4;55;25;25;25;0;0;0;0;0;0;1;22;1;1;0;0;0;0;;;;;;;;;;;;;;
KANADA;5;88;13;13;13;0;0;0;0;0;0;0;11;2;0;0;0;0;0;;;;;;;;;;;;;;
KANADA;6;814;99;99;98;1;0;1;0;1;0;0;78;0;8;0;0;0;10;;;;;;;;;;;;;;
KANADA;7;932;165;165;165;0;1;3;2;3;2;5;108;2;13;0;2;1;23;;;;;;;;;;;;;;
KANADA;8;74;25;25;25;0;0;0;0;0;0;1;23;0;1;0;0;0;0;;;;;;;;;;;;;;
KANADA;9;58;16;16;16;0;0;0;0;0;0;0;7;0;9;0;0;0;0;;;;;;;;;;;;;;
KINA;1;7;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;;;;;;;;;;;;
LIBIJSKA ARAP. DŽAM.;1;7;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;;;;;;;;;;;;
MAÐARSKA;1;393;10;10;10;0;0;3;0;0;0;0;7;0;0;0;0;0;0;;;;;;;;;;;;;;
MAÐARSKA;2;257;10;10;10;0;0;0;0;0;0;0;10;0;0;0;0;0;0;;;;;;;;;;;;;;
MAKEDONIJA;1;1763;355;355;352;3;4;16;4;28;5;4;270;7;10;0;0;0;4;;;;;;;;;;;;;;
MALEZIJA;1;4;3;3;3;0;0;0;0;0;0;0;1;1;1;0;0;0;0;;;;;;;;;;;;;;
MAROKO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
NIZOZEMSKA;1;1045;14;14;14;0;0;0;0;0;0;0;12;1;1;0;0;0;0;;;;;;;;;;;;;;
NORVEŠKA;1;216;3;3;3;0;0;0;0;2;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;
NOVI ZELAND;1;487;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;
NJEMAÈKA;1;711;58;58;58;0;0;3;1;0;0;3;45;2;3;0;0;0;1;;;;;;;;;;;;;;
NJEMAÈKA;2;563;37;37;37;0;0;2;0;0;0;0;29;4;0;0;1;0;1;;;;;;;;;;;;;;
NJEMAÈKA;3;664;53;53;53;0;0;0;0;0;0;1;44;0;6;0;0;1;1;;;;;;;;;;;;;;
NJEMAÈKA;4;2075;109;109;109;0;0;1;0;0;0;0;99;2;7;0;0;0;0;;;;;;;;;;;;;;
NJEMAÈKA;5;1166;62;62;60;2;0;1;0;1;0;0;52;0;4;0;0;0;2;;;;;;;;;;;;;;
NJEMAÈKA;6;1897;82;82;80;2;0;0;0;0;0;0;78;1;1;0;0;0;0;;;;;;;;;;;;;;
NJEMAÈKA;7;2018;117;117;117;0;0;0;0;1;0;1;96;0;16;0;1;0;2;;;;;;;;;;;;;;
NJEMAÈKA;8;1937;96;96;94;2;1;0;0;0;0;1;86;0;3;0;3;0;0;;;;;;;;;;;;;;
NJEMAÈKA;9;1638;86;86;85;1;0;1;0;0;0;0;75;0;5;0;1;3;0;;;;;;;;;;;;;;
NJEMAÈKA;10;2247;150;150;148;2;1;2;0;0;0;0;121;0;17;2;0;5;0;;;;;;;;;;;;;;
NJEMAÈKA;11;2237;136;136;136;0;0;0;1;1;0;0;125;0;4;1;1;2;1;;;;;;;;;;;;;;
NJEMAÈKA;12;2299;149;149;148;1;0;0;0;0;0;1;130;1;12;2;0;1;1;;;;;;;;;;;;;;
NJEMAÈKA;13;2929;173;173;173;0;0;2;0;0;0;1;157;2;9;1;0;0;1;;;;;;;;;;;;;;
NJEMAÈKA;14;2632;186;185;183;2;1;0;0;0;0;0;162;0;17;0;1;2;0;;;;;;;;;;;;;;
NJEMAÈKA;15;2324;148;148;148;0;0;1;0;0;1;1;141;1;3;0;0;0;0;;;;;;;;;;;;;;
NJEMAÈKA;16;2168;149;149;149;0;0;2;0;1;0;2;130;1;12;1;0;0;0;;;;;;;;;;;;;;
NJEMAÈKA;17;1758;115;115;114;1;0;0;0;0;0;0;108;0;6;0;0;0;0;;;;;;;;;;;;;;
NJEMAÈKA;18;1774;105;105;105;0;0;0;0;1;0;0;95;1;5;1;0;1;1;;;;;;;;;;;;;;
NJEMAÈKA;19;1586;78;78;78;0;0;1;0;1;0;1;70;0;4;0;0;0;1;;;;;;;;;;;;;;
NJEMAÈKA;20;1130;62;62;62;0;0;0;0;0;0;0;56;0;5;0;0;0;1;;;;;;;;;;;;;;
NJEMAÈKA;21;931;65;65;65;0;0;1;0;1;0;0;50;0;11;0;0;2;0;;;;;;;;;;;;;;
NJEMAÈKA;22;1009;80;80;80;0;0;0;0;0;0;1;72;1;6;0;0;0;0;;;;;;;;;;;;;;
NJEMAÈKA;23;540;33;33;33;0;0;0;0;0;0;0;30;0;2;1;0;0;0;;;;;;;;;;;;;;
PERU;1;1410;68;68;64;4;2;1;3;0;4;0;46;4;1;1;0;1;1;;;;;;;;;;;;;;
POLJSKA;1;59;5;5;5;0;0;2;0;0;0;0;2;0;0;0;0;0;1;;;;;;;;;;;;;;
PORTUGAL;1;18;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
RUMUNJSKA;1;18;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;;;;;;;;;;;;
RUMUNJSKA;2;1481;105;105;103;2;2;2;4;2;2;2;85;2;1;0;0;0;1;;;;;;;;;;;;;;
RUSKA FEDERACIJA;1;113;5;5;5;0;0;2;0;2;0;0;1;0;0;0;0;0;0;;;;;;;;;;;;;;
SAD;1;6;6;6;6;0;0;1;0;0;0;2;3;0;0;0;0;0;0;;;;;;;;;;;;;;
SAD;2;1134;82;82;81;1;0;0;0;2;1;0;67;2;8;1;0;0;0;;;;;;;;;;;;;;
SAD;3;1109;60;60;60;0;1;0;0;1;0;1;48;0;2;2;1;2;2;;;;;;;;;;;;;;
SAD;4;500;25;25;25;0;0;0;0;0;0;0;21;0;4;0;0;0;0;;;;;;;;;;;;;;
SAD;5;976;40;40;40;0;0;0;0;0;0;1;37;0;2;0;0;0;0;;;;;;;;;;;;;;
SAD;6;1648;42;42;42;0;0;1;0;0;0;1;33;0;6;0;0;1;0;;;;;;;;;;;;;;
SLOVAÈKA REPUBLIKA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
SLOVENIJA;1;4376;98;98;92;6;0;7;0;2;0;1;73;4;2;0;1;0;2;;;;;;;;;;;;;;
SRBIJA;1;1850;74;74;67;7;3;14;2;8;0;0;29;2;2;0;4;2;1;;;;;;;;;;;;;;
SRBIJA;2;2960;108;108;98;10;1;20;4;17;1;3;35;0;3;0;9;5;0;;;;;;;;;;;;;;
SRBIJA;3;2173;57;57;47;10;0;9;2;7;0;2;19;0;1;0;3;4;0;;;;;;;;;;;;;;
SRBIJA;4;1365;37;37;36;1;1;5;2;9;2;1;7;0;1;0;3;4;1;;;;;;;;;;;;;;
SRBIJA;5;1027;29;29;28;1;0;6;0;0;0;1;20;1;0;0;0;0;0;;;;;;;;;;;;;;
SRBIJA;6;462;8;8;8;0;0;3;1;1;0;0;1;1;0;0;1;0;0;;;;;;;;;;;;;;
SRBIJA;7;1359;109;109;106;3;0;5;0;2;0;1;88;0;6;0;4;0;0;;;;;;;;;;;;;;
SRBIJA;8;455;51;51;50;1;0;0;0;0;1;0;48;0;1;0;0;0;0;;;;;;;;;;;;;;
SRBIJA;9;1067;28;26;18;8;1;1;0;0;1;0;11;0;0;0;2;1;1;;;;;;;;;;;;;;
SRBIJA;10;2136;42;42;42;0;0;7;0;6;0;1;23;2;1;0;0;2;0;;;;;;;;;;;;;;
SRBIJA;11;1477;30;30;28;2;1;2;0;4;0;0;16;2;0;0;1;2;0;;;;;;;;;;;;;;
SRBIJA;12;2772;241;241;240;1;2;11;0;24;3;1;168;10;7;0;1;11;2;;;;;;;;;;;;;;
SRBIJA;13;2237;172;172;168;4;0;7;2;13;1;0;130;6;5;0;1;2;1;;;;;;;;;;;;;;
SRBIJA;14;1493;93;93;90;3;0;8;1;14;2;1;55;1;6;0;2;0;0;;;;;;;;;;;;;;
SRBIJA;15;883;41;41;41;0;0;4;0;4;0;1;30;0;0;0;0;2;0;;;;;;;;;;;;;;
ŠPANJOLSKA;1;135;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;;;;;;;;;;;;;;
ŠPANJOLSKA;2;65;3;3;3;0;1;0;0;0;0;0;2;0;0;0;0;0;0;;;;;;;;;;;;;;
ŠVEDSKA;1;696;29;29;28;1;0;1;0;0;0;0;23;0;2;0;0;2;0;;;;;;;;;;;;;;
ŠVEDSKA;2;693;26;26;26;0;0;0;0;0;0;2;22;0;1;0;0;0;1;;;;;;;;;;;;;;
ŠVEDSKA;3;707;68;66;66;0;0;0;0;3;0;1;49;1;12;0;0;0;0;;;;;;;;;;;;;;
ŠVICARSKA;1;1915;160;160;160;0;0;0;0;1;0;0;146;0;13;0;0;0;0;;;;;;;;;;;;;;
ŠVICARSKA;2;841;80;80;80;0;0;0;0;0;0;3;75;0;1;0;0;1;0;;;;;;;;;;;;;;
ŠVICARSKA;3;483;22;22;22;0;0;0;0;0;0;0;20;0;2;0;0;0;0;;;;;;;;;;;;;;
ŠVICARSKA;4;2435;127;127;127;0;0;0;0;1;0;1;113;0;11;0;0;0;1;;;;;;;;;;;;;;
ŠVICARSKA;5;2676;120;120;120;0;0;0;0;1;0;0;111;1;6;0;1;0;0;;;;;;;;;;;;;;
TURSKA;1;52;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;
TURSKA;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
UKRAJINA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
VELIKA BRITANIJA;1;515;8;8;8;0;0;1;0;1;0;0;6;0;0;0;0;0;0;;;;;;;;;;;;;;
VENECUELA;1;467;112;112;112;0;1;2;1;2;0;1;93;1;4;0;0;5;2;;;;;;;;;;;;;;
BM u RH za XI. IJ;;;26;26;26;0;0;0;0;2;0;2;19;1;2;0;0;0;0;;;;;;;;;;;;;;
UKUPNO ZA XI. IJ;;404950;90482;90402;89653;749;166;730;132;830;88;327;73446;439;3859;80;246;9024;286;;;;;;;;;;;;;;
