Država;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: VLADIMIR PAVLETIÆ                                        ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, HRVATSKA RADNIÈKA STRANKA - HRS, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;ALIJANSA ZA PRAVNU DRŽAVU - ALIJANSA, Nositelj liste: dr.sc. JURAJ PLENKOVIÆ;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;DOMOVINSKA GRAÐANSKA STRANKA - DGS, Nositelj liste: DAMIR BAKSA;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: TADIJA LJUBIÈIÆ                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: IVAN VUKOJA                                      ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: ŠIME TOLIÆ;NEOVISNA LISTA, Nositelj liste: ANDJELKO GALIÆ                                ;NEOVISNA LISTA, Nositelj liste: JERKO IVANKOVIÆ LIJANOVIÆ                               ;STRANKA HRVATSKIH BRANITELJA - SHB, Nositelj liste: DOMAGOJ MARGETIÆ                    ;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;10;1941;759;759;757;2;1;2;0;4;1;1;690;4;39;0;1;13;1;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;11;2861;1171;1170;1166;4;0;4;0;4;0;0;1102;4;5;1;1;43;2;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;12;2647;1109;1109;1096;13;1;0;0;3;0;3;1047;3;12;0;1;25;1;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;13;2494;1306;1303;1298;5;0;1;1;3;0;9;1249;7;9;0;1;18;0;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;14;2677;1289;1289;1284;5;3;4;1;8;0;3;1236;2;9;0;2;14;2;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;15;2546;1006;1005;998;7;2;5;0;6;2;0;960;3;12;0;0;8;0;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;16;2457;1073;1072;1068;4;0;0;1;6;0;5;1035;2;6;0;0;12;1;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;17;4442;1223;1223;1222;1;0;2;1;1;0;2;1184;2;21;3;0;6;0;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;18;4530;1197;1197;1185;12;3;2;0;3;4;5;1146;1;7;0;0;13;1;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;19;2349;1161;1161;1153;8;1;1;0;3;0;0;1106;2;27;0;3;9;1;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;20;2619;1194;1194;1186;8;1;3;0;1;0;0;1143;3;16;0;0;17;2;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;21;2135;949;949;946;3;1;2;0;3;0;3;895;2;20;0;1;18;1;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;22;2157;579;579;577;2;1;1;0;1;0;3;547;1;3;0;2;17;1;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;23;2387;614;614;610;4;2;2;1;2;0;3;569;1;6;0;0;23;1;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;24;2433;1011;1011;1008;3;5;5;2;9;0;4;947;4;10;1;1;17;3;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;25;2234;960;960;952;8;0;11;0;6;0;3;899;5;6;0;2;14;6;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;26;3008;347;347;340;7;4;14;1;6;1;0;246;4;5;1;1;56;1;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;27;3172;446;446;436;10;0;7;0;8;3;2;340;4;14;1;3;53;1;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;28;3096;429;429;424;5;2;8;3;7;0;3;327;9;7;0;1;55;2;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;29;1448;210;210;207;3;1;3;0;3;1;0;176;0;9;0;0;12;2;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;30;1467;205;205;205;0;0;1;0;3;0;0;177;3;9;0;0;10;2;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;31;1230;496;496;488;8;3;3;2;3;0;1;441;3;11;0;2;15;4;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;32;1405;526;526;522;4;0;3;0;3;0;1;487;7;9;0;1;10;1;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;33;1304;538;538;536;2;0;1;0;0;2;1;523;1;2;0;1;5;0;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;34;1422;560;560;555;5;1;2;0;2;0;0;532;5;7;0;1;4;1;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;35;1829;1106;1105;1102;3;1;1;0;3;1;4;1009;2;65;1;3;9;3;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;36;1852;1158;1158;1147;11;0;1;1;2;1;1;1072;2;61;0;0;6;0;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;37;4250;343;343;340;3;2;4;2;3;0;4;300;0;9;0;4;12;0;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;38;2946;1119;1119;1119;0;0;6;1;7;0;1;821;3;65;2;6;205;2;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;39;1354;504;503;491;12;0;0;1;10;0;0;364;2;20;0;0;93;1;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;40;4017;1499;1499;1490;9;1;2;1;12;0;2;1141;5;73;1;2;249;1;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;41;3070;1129;1129;1123;6;2;6;0;0;0;0;843;1;54;0;0;216;1;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;42;3027;1181;1181;1169;12;1;1;0;7;1;2;917;2;62;0;1;175;0;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;43;1878;677;677;671;6;1;3;0;5;0;1;481;3;34;0;1;141;1;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;44;2306;833;833;820;13;1;3;0;4;0;2;663;4;28;0;0;111;4;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;45;2864;1060;1059;1050;9;1;5;1;2;0;1;816;4;52;1;3;158;6;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;46;2865;1051;1051;1045;6;0;5;0;11;0;2;783;4;67;0;1;166;6;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;47;2715;1069;1069;1058;11;0;3;2;5;0;1;799;4;56;0;1;182;5;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;48;2533;853;853;845;8;1;0;0;5;0;2;627;1;39;0;2;167;1;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;49;3566;538;537;528;9;0;2;3;2;3;7;399;2;18;3;1;87;1;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;50;2949;1295;1295;1287;8;1;0;2;2;2;3;690;1;89;0;5;491;1;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;51;3118;1397;1397;1385;12;7;1;1;2;0;3;702;5;69;1;16;576;2;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;52;2331;1046;1046;1023;23;1;2;1;0;0;5;572;0;42;2;6;390;2;;;;;;;;;;;;;;
