Izborna jedinica;Grad/opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: ÐEMAL BRATIÆ, Predlagatelj: DEMOKRATSKI SAVEZ BOŠNJAKA SLAVONIJE I BARANJE (DSBSB);Kandidat: LUIGJ DAKA, dr.med., Predlagatelj: UDRUGA ALBANACA KOSOVA ZAGREB - UAKZ;Kandidat: SANEL HAMZIÆ, Predlagatelj: HRVATSKA STRANKA MLADIH - HSM;Kandidat: NEDŽAD HODŽIÆ, dipl.ing., Predlagatelj: NEOVISNI KANDIDAT;Kandidat: IBRAHIM IMŠIREVIÆ, Predlagatelj: NEOVISNI KANDIDAT;Kandidat: MARK KRASNIÆ, Predlagatelj: ABECEDA DEMOKRACIJE - ABECEDA;"Kandidat: HAMDIJA MALIÆ, Predlagatelj: UDRUGA BOŠNJAKA BRANITELJA DOMOVINSKOG RATA HRVATSKE - UBBDRH, UDRUGA BOŠNJAKA BRANITELJA DOMOVINSKOG RATA HRVATSKE, OGRANAK GRADA ZAGREBA - UDBBDRHOGZ, UDRUGA BOŠNJAKA BRANITELJA DOMOVINSKOG RATA HRVATSKE, OGRANAK GRADA RIJEKE, KULTURNO-UMJETNIÈKO DRUŠTVO ""BOSNA"" ISTARSKE ŽUPANIJE, BOŠNJAÈKO KULTURNO-UMJETNIÈKO DRUŠTVO ""NUR"" SISAK, BOŠNJAÈKA NACIONALNA ZAJEDNICA LABINA, BOŠNJAÈKA NACIONALNA ZAJEDNICA ZA GRAD DUBROVNIK I DUBROVAÈKO-NERETVANSKU ŽUPANIJU , UDRUGA BOŠNJAKA BRANITELJA DOMOVINSKOG RATA HRVATSKE GRADA DUBROVNIKA I DUBROVAÈKO-NERETVANSKE ŽUPANIJE – UBBDRH-O.G.D I D.N.Ž., KULTURNO DRUŠTVO BOŠNJAKA ""PREPOROD"" DUBROVNIK , UDRUGA ""ZDRUG HRVATSKE OBRANE - NIKOLA ŠUBIÆ ZRINSKI"", SABOR BOŠNJAÈKIH ASOCIJACIJA HRVATSKE – SABAH , UDRUGA BOŠNJAKA BRANITELJA DOMOVINSKOG RATA HRVATSKE OGRANAK GRADA SISKA I SISAÈKO MOSLAVAÈKE ŽUPANIJE";Kandidat: ANGEL MITREVSKI, dipl.ing., Predlagatelj: ZAJEDNICA MAKEDONACA U REPUBLICI HRVATSKOJ;"Kandidat: FROK PREKPALAJ, Predlagatelj: ALBANSKO KULTURNO DRUŠTVO U HRVATSKOJ ""SHKËNDIJA""";Kandidat: IBRAHIM RUŽNIÆ, Predlagatelj: HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS;Kandidat: BASHKIM SHEHU, Predlagatelj: FORUM ALBANSKIH INTELEKTUALACA;Kandidat: SULEJMAN TABAKOVIÆ, Predlagatelj: NEOVISNI KANDIDAT;Kandidat: dr.sc. ŠEMSO TANKOVIÆ, Predlagatelj: STRANKA DEMOKRATSKE AKCIJE HRVATSKE - SDA HRVATSKE;;;;;;;;;;;;;;
2;MOLVE  ;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
2;NOVA RAÈA  ;13;70;11;11;11;0;0;11;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
2;NOVIGRAD PODRAVSKI  ;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
2;NOVO VIRJE  ;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
2;PETERANEC  ;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
2;PODRAVSKE SESVETE  ;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
2;PRESEKA  ;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
2;RAKOVEC  ;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
2;RASINJA  ;14;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
2;ROVIŠÆE  ;12;8;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
2;SEVERIN  ;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
2;SIRAÈ  ;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
2;SOKOLOVAC  ;14;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
2;SVETI IVAN ŽABNO  ;17;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
2;SVETI PETAR OREHOVEC  ;14;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
2;ŠANDROVAC  ;7;17;3;3;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
2;ŠTEFANJE  ;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
2;VELIKA PISANICA  ;9;55;4;4;4;0;0;2;0;0;0;1;0;0;0;0;1;0;0;;;;;;;;;;;;;;
2;VELIKA TRNOVITICA  ;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
2;VELIKI GRÐEVAC  ;11;5;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;
2;VELIKO TROJSTVO  ;12;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
2;VIRJE  ;10;7;2;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
2;ZRINSKI TOPOLOVAC  ;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;ÈAKOVEC  ;30;113;7;7;6;1;0;1;2;0;0;0;0;0;0;0;2;0;1;;;;;;;;;;;;;;
3;DONJA STUBICA  ;11;8;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;
3;IVANEC  ;34;14;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;
3;KLANJEC  ;10;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;KRAPINA  ;15;33;3;3;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;LEPOGLAVA  ;16;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;LUDBREG  ;13;25;2;2;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;
3;MURSKO SREDIŠÆE  ;7;50;6;3;2;1;0;0;0;0;0;0;1;0;0;1;0;0;0;;;;;;;;;;;;;;
3;NOVI MAROF  ;30;12;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;OROSLAVJE  ;7;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;PREGRADA  ;13;15;2;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;PRELOG  ;10;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;VARAŽDIN  ;48;160;10;10;10;0;0;1;1;1;0;0;0;0;0;2;2;0;3;;;;;;;;;;;;;;
3;VARAŽDINSKE TOPLICE  ;21;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;ZABOK  ;16;26;4;4;4;0;0;0;0;1;0;0;0;0;0;0;0;0;3;;;;;;;;;;;;;;
3;ZLATAR  ;17;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;BEDEKOVÈINA  ;13;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;BEDNJA  ;18;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;BELICA  ;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;BERETINEC  ;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;BREZNICA  ;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;BREZNIÈKI HUM  ;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;BUDINŠÈINA  ;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;CESTICA  ;12;32;3;3;3;0;0;0;0;0;0;0;0;1;0;2;0;0;0;;;;;;;;;;;;;;
3;DEKANOVEC  ;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;DESINIÆ  ;6;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;DOMAŠINEC  ;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;DONJA DUBRAVA  ;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;DONJA VOÆA  ;8;5;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;DONJI KRALJEVEC  ;8;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;DONJI VIDOVEC  ;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;ÐURMANEC  ;12;14;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;
3;GORIÈAN  ;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;GORNJA STUBICA  ;15;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;GORNJI KNEGINEC  ;7;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;GORNJI MIHALJEVEC  ;6;21;8;8;8;0;0;0;1;1;0;1;0;0;0;3;0;1;1;;;;;;;;;;;;;;
3;HRAŠÆINA  ;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;HUM NA SUTLI  ;8;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;JALŽABET  ;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;JESENJE  ;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;KLENOVNIK  ;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;KONJŠÈINA  ;17;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;KOTORIBA  ;4;3;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;KRALJEVEC NA SUTLI  ;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;KRAPINSKE TOPLICE  ;11;7;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;
3;KUMROVEC  ;9;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;LOBOR  ;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;LJUBEŠÆICA  ;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;MAÈE  ;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;MALA SUBOTICA  ;7;5;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;;
3;MALI BUKOVEC  ;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;MARIJA BISTRICA  ;15;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;MARTIJANEC  ;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;MARUŠEVEC  ;15;5;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;MIHOVLJAN  ;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;NEDELIŠÆE  ;15;36;8;8;8;0;0;0;0;0;0;1;0;0;6;0;0;1;0;;;;;;;;;;;;;;
3;NOVI GOLUBOVEC  ;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;OREHOVICA  ;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;PETRIJANEC  ;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;PETROVSKO  ;11;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;PODTUREN  ;6;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;PRIBISLAVEC  ;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;RADOBOJ  ;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;SELNICA  ;7;10;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;SRAÈINEC  ;4;7;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;;;;;;;;;;;;
3;STRAHONINEC  ;3;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;STUBIÈKE TOPLICE  ;4;6;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;;;;;;;;;;;;;;
3;SVETA MARIJA  ;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;SVETI ÐURÐ  ;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;SVETI ILIJA  ;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
3;SVETI JURAJ NA BREGU  ;9;7;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;
3;SVETI KRIŽ ZAÈRETJE  ;14;8;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;
