Grad/opæina;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: MARINKO DODIG                                        ;AKCIJA MLADIH - AM, Nositelj liste: DARKO KRNIÆ                                                    ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, JADRANSKA SOCIJALDEMOKRATSKA STRANKA HRVATSKE - JADRANSKI SOCIJALDEMOKRATI, DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENA STRANKA - ZS, HRVATSKA RADNIÈKA STRANKA - HRS, Nositelj liste: MATE BULJUBAŠIÆ;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: dr.sc. JOŠKO KOVAÈ, dipl.ing.                         ;DALMATINSKA LIBERALNA STRANKA - DLS, Nositelj liste: ANTE TEŠIJA;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: LUKA PODRUG, dipl. iur.                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA KRŠÆANSKA DEMOKRATSKA STRANKA - HKDS, KRŠÆANSKA SOCIJALNA UNIJA - KSU, Nositelj liste: PETAR KAÆUNKO;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                    ;HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, Nositelj liste: STIPO GABRIÆ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: JOSIP JAKOVLJEVIÆ                                        ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: ANITA ÈUDINA, prof. dipl.sociolog;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: LJUBICA VRDOLJAK;LJEVICA HRVATSKE - LJEVICA, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, HRVATSKI SOCIJALDEMOKRATI - HSD, Nositelj liste: IVAN NINIÆ;NEOVISNA LISTA, Nositelj liste: mr.sc. ÐULA RUŠINOVIÆ-SUNARA                                 ;NEOVISNA LISTA, Nositelj liste: TONÆI TADIÆ                                 ;NEOVISNA LISTA, Nositelj liste: JURICA TUCAK                                 ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;STRANKA UMIROVLJENIKA - SU, Nositelj liste: STANISLAV JELAÈA;ZELENA LISTA, Nositelj liste: IVICA SUMIÆ                                                         ;ZELENI HRVATSKE - ZELENI HR, Nositelj liste: LOVRO RUMORA;;
DUBROVNIK;6;;18;18;18;0;0;0;0;1;0;0;0;0;2;0;2;1;1;0;0;0;0;1;0;0;0;9;0;0;1;;
DUBROVNIK;7;;15;15;15;0;0;0;0;0;0;0;0;0;3;0;0;4;0;1;1;0;0;1;0;0;3;2;0;0;0;;
DUBROVNIK;8;;15;15;13;2;0;0;0;0;1;0;0;1;3;0;0;0;1;1;1;0;0;0;0;0;0;4;0;0;1;;
DUBROVNIK;9;;18;18;17;1;0;0;0;0;1;1;0;1;6;0;0;1;0;0;0;0;0;0;0;4;0;3;0;0;0;;
DUBROVNIK;10;;13;13;13;0;0;0;0;0;0;0;0;0;1;0;0;6;0;0;0;0;0;0;0;2;0;4;0;0;0;;
DUBROVNIK;11;;12;12;12;0;0;0;0;0;1;0;0;0;4;0;1;0;1;2;0;0;0;0;0;1;0;1;0;0;1;;
DUBROVNIK;12;;10;10;9;1;0;1;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;4;0;0;0;;
DUBROVNIK;13;;17;17;16;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;5;0;4;0;0;2;;
DUBROVNIK;14;;10;10;9;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;4;0;0;1;;
DUBROVNIK;15;;7;7;7;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;3;0;2;0;0;0;;
DUBROVNIK;16;;16;16;16;0;1;0;0;0;1;0;0;0;2;0;1;4;0;2;1;0;0;1;0;3;0;0;0;0;0;;
DUBROVNIK;17;;11;11;11;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;1;0;0;0;1;0;5;0;0;0;;
DUBROVNIK;18;;12;12;12;0;0;0;0;0;0;0;0;0;2;0;0;2;0;1;0;0;0;0;0;0;0;7;0;0;0;;
DUBROVNIK;19;;13;13;12;1;0;1;0;1;0;0;0;0;1;0;0;4;0;0;3;0;0;0;0;0;0;1;1;0;0;;
DUBROVNIK;20;;14;14;14;0;0;1;0;0;0;0;0;0;2;0;0;4;0;4;0;0;0;0;0;0;0;3;0;0;0;;
DUBROVNIK;21;;12;12;12;0;0;0;0;0;0;0;0;0;3;0;0;3;0;1;0;0;0;0;0;3;0;1;1;0;0;;
DUBROVNIK;22;;8;8;8;0;0;0;0;0;0;0;0;0;2;0;2;1;0;0;0;0;0;0;0;1;0;1;0;0;1;;
DUBROVNIK;23;;14;14;13;1;0;0;0;0;1;0;0;0;6;0;0;1;0;0;1;0;0;0;0;1;0;3;0;0;0;;
DUBROVNIK;24;;36;33;33;0;0;0;0;0;0;1;0;2;11;0;1;2;0;1;4;0;0;1;0;0;0;9;1;0;0;;
DUGO SELO;1;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ÐAKOVO;1;;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ÐURÐEVAC;1;;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
GAREŠNICA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
GLINA;1;;6;6;6;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;1;0;2;0;0;0;;
GOSPIÆ;1;;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
GOSPIÆ;2;;13;13;13;0;0;0;0;0;0;1;0;1;6;0;0;1;0;1;1;0;1;0;0;0;0;1;0;0;0;;
GOSPIÆ;3;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
GRUBIŠNO POLJE;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
HRVATSKA KOSTAJNICA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
HVAR;1;;12;12;12;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;9;0;0;0;;
ILOK;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
IMOTSKI;1;;25;25;25;0;0;0;0;0;0;0;0;1;12;0;0;2;0;0;0;0;2;1;0;2;0;4;1;0;0;;
IVANIÆ-GRAD;1;;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;;
KARLOVAC;1;;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
KARLOVAC;2;;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
KARLOVAC;3;;2;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;
KARLOVAC;4;;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
KAŠTELA;1;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;
KNIN;1;;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
KNIN;2;;23;23;23;0;0;0;0;0;0;0;0;0;12;1;0;2;0;1;0;0;2;0;0;2;0;3;0;0;0;;
KOPRIVNICA;1;;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
KORÈULA;1;;17;17;17;0;0;0;0;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;1;9;1;0;0;;
