Grad/opæina;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: mr.sc. DRAGUTIN PRIBANIÆ                                       ;AKCIJA MLADIH - AM, Nositelj liste: GORAN FRKOVIÆ, dipl.iur.                                                    ;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: JASENKO STIPAC, dipl.ing.                         ;DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENI HRVATSKE - ZELENI HR, Nositelj liste: MARIJA JELINÈIÆ;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;DOMOVINSKA GRAÐANSKA STRANKA - DGS, Nositelj liste: NENAD DUBRAVEC;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: JOSIP MILJAK                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA EUROPSKA STRANKA - HES, Nositelj liste: NAJA ŠEBALJ          ;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                   ;HRVATSKA RADNIÈKA STRANKA - HRS, AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, PRIMORSKO GORANSKI SAVEZ - PGS, Nositelj liste: BOŽIDAR PANKRETIÆ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: ROBERT OSTRUN                                        ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: MLADEN ŠEPIÆ;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: KRUNOSLAV GAŠPARIÆ;LJEVICA HRVATSKE - LJEVICA, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, HRVATSKI SOCIJALDEMOKRATI - HSD, Nositelj liste: VLADIMIR BEBIÆ, dipl. politolog;NEOVISNA LISTA, Nositelj liste: HRVOJE HITREC                                 ;NEOVISNA LISTA, Nositelj liste: IVAN LONÈAR, dipl.ing.                                 ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;STRANKA UMIROVLJENIKA - SU, Nositelj liste: VENKO BANOVIÆ;ZELENA LISTA, Nositelj liste: DRAGUTIN RIBARIÆ.                                                          ;;;
JASTREBARSKO;42;364;179;179;178;1;0;0;1;5;4;0;1;0;83;1;5;3;23;2;7;5;0;0;1;1;1;31;1;3;;;
JASTREBARSKO;43;175;138;138;137;1;0;2;0;0;7;0;2;2;38;1;0;0;50;0;0;7;4;0;0;1;0;21;1;1;;;
JASTREBARSKO;44;362;234;234;230;4;0;3;1;3;6;0;1;0;100;2;2;0;25;1;7;9;0;0;0;0;1;64;4;1;;;
JASTREBARSKO;45;363;179;179;178;1;0;1;0;4;7;0;0;0;96;0;2;0;25;2;5;6;0;1;2;1;2;21;2;1;;;
JASTREBARSKO;46;460;356;356;351;5;1;1;2;1;37;0;0;1;134;0;10;0;49;1;6;12;0;0;0;0;1;91;2;2;;;
JASTREBARSKO;47;236;161;161;161;0;0;0;1;0;13;0;0;0;81;0;3;0;15;0;4;2;0;1;0;0;4;35;2;0;;;
JASTREBARSKO;48;275;180;180;178;2;0;0;3;1;7;0;1;0;69;1;7;0;12;3;5;9;0;1;1;0;0;58;0;0;;;
JASTREBARSKO;49;368;231;231;224;7;1;0;0;1;21;0;1;2;82;0;8;1;23;2;5;17;1;0;0;1;0;54;2;2;;;
KARLOVAC;1;628;439;439;434;5;0;0;0;3;3;0;0;0;141;0;13;3;14;5;16;27;0;1;6;1;0;195;5;1;;;
KARLOVAC;2;1739;1270;1270;1259;11;0;3;3;0;2;0;0;6;348;0;65;8;43;8;28;54;0;7;12;1;7;643;16;5;;;
KARLOVAC;3;638;447;447;441;6;0;3;0;3;4;0;2;1;133;0;18;1;17;3;12;31;1;4;0;0;2;199;4;3;;;
KARLOVAC;4;896;655;655;643;12;2;2;1;1;2;0;2;1;182;0;39;1;14;3;14;36;1;3;1;2;1;319;12;4;;;
KARLOVAC;5;1510;1131;1131;1104;27;0;3;0;2;3;0;0;1;368;1;71;4;27;4;25;48;0;7;2;4;7;512;11;4;;;
KARLOVAC;6;1399;993;993;982;11;1;1;0;3;4;0;2;2;283;1;70;4;31;2;25;46;1;2;7;0;2;480;12;3;;;
KARLOVAC;7;1250;849;848;833;15;5;3;1;5;8;0;0;0;252;0;66;3;23;1;26;43;1;11;5;3;5;360;8;4;;;
KARLOVAC;8;1364;923;923;913;10;1;2;1;2;9;0;0;3;342;0;63;1;20;7;20;15;0;6;7;1;2;405;3;3;;;
KARLOVAC;9;448;271;271;267;4;1;1;0;1;3;0;1;3;79;0;14;4;6;1;10;6;0;1;1;0;5;127;2;1;;;
KARLOVAC;10;439;301;301;300;1;0;1;1;1;1;1;0;1;98;0;22;2;11;0;7;11;0;3;3;1;1;131;3;1;;;
KARLOVAC;11;430;281;281;278;3;2;1;1;1;2;0;1;0;95;0;14;1;9;0;10;14;0;0;1;1;3;120;2;0;;;
KARLOVAC;12;1060;708;708;701;7;2;4;0;1;6;1;2;4;226;0;33;3;22;3;34;26;0;3;0;1;4;315;9;2;;;
KARLOVAC;13;495;317;317;308;9;0;1;0;3;3;1;3;0;118;1;8;3;9;0;16;22;0;2;3;0;1;107;6;1;;;
KARLOVAC;14;398;306;306;303;3;3;0;0;2;1;1;1;0;165;1;16;0;14;1;4;21;0;1;1;1;1;62;7;0;;;
KARLOVAC;15;887;508;508;500;8;0;0;2;2;3;0;1;6;262;0;10;0;46;3;24;27;1;4;0;1;2;102;2;2;;;
KARLOVAC;16;181;124;124;122;2;0;0;2;1;0;1;0;2;81;0;4;1;5;1;11;1;0;0;0;0;1;11;0;0;;;
KARLOVAC;17;62;34;34;34;0;0;0;1;0;1;0;0;1;18;0;3;0;1;0;0;0;0;1;0;0;0;6;2;0;;;
KARLOVAC;18;190;154;154;152;2;0;1;1;0;1;0;0;1;101;0;7;0;13;1;7;3;0;2;0;0;0;14;0;0;;;
KARLOVAC;19;283;201;201;196;5;1;0;0;0;0;0;1;2;91;0;18;1;10;3;9;15;2;1;0;1;3;33;3;2;;;
KARLOVAC;20;47;41;41;41;0;0;0;0;0;0;0;0;0;24;0;8;0;0;0;0;0;0;2;0;0;1;6;0;0;;;
KARLOVAC;21;375;215;215;211;4;1;1;0;0;2;1;0;0;103;0;4;1;41;1;11;7;1;1;0;0;3;33;0;0;;;
KARLOVAC;22;69;37;37;36;1;0;0;0;0;0;0;0;0;17;0;0;0;6;0;0;3;0;0;0;0;0;9;0;1;;;
KARLOVAC;23;194;115;115;112;3;1;1;2;0;2;0;0;0;69;0;3;1;13;0;4;2;0;0;0;0;1;13;0;0;;;
KARLOVAC;24;311;208;208;204;4;0;0;1;0;0;0;0;0;124;0;4;0;41;2;0;4;0;1;1;0;3;21;2;0;;;
KARLOVAC;25;190;138;138;137;1;0;0;2;1;1;0;0;1;60;1;4;0;25;1;6;6;0;2;0;0;1;23;0;3;;;
KARLOVAC;26;149;96;96;93;3;0;0;1;0;2;0;0;0;46;0;3;0;13;0;3;2;0;0;0;0;1;20;0;2;;;
KARLOVAC;27;606;322;322;320;2;1;0;1;0;3;0;0;4;220;1;4;1;19;3;6;5;0;3;1;1;1;46;0;0;;;
KARLOVAC;28;195;117;117;113;4;0;0;0;2;0;0;0;0;71;0;2;1;8;0;12;0;0;0;0;0;0;15;1;1;;;
KARLOVAC;29;75;41;41;39;2;1;1;0;0;0;0;0;0;19;0;5;0;5;0;1;2;0;0;0;0;1;4;0;0;;;
KARLOVAC;30;135;82;82;80;2;0;0;0;0;0;0;0;1;49;0;3;0;9;1;4;2;3;1;0;0;2;2;3;0;;;
KARLOVAC;31;1276;878;878;867;11;2;5;0;3;6;0;2;3;297;0;37;4;24;3;31;33;1;8;2;1;2;392;7;4;;;
KARLOVAC;32;296;200;200;197;3;0;0;0;1;1;0;0;0;55;0;15;1;5;2;8;13;0;1;0;2;1;89;2;1;;;
KARLOVAC;33;1386;1010;1010;969;41;0;4;1;2;9;0;1;3;315;1;57;4;35;2;25;36;0;8;10;1;9;436;7;3;;;
KARLOVAC;34;597;425;425;414;11;0;2;0;1;0;0;1;0;106;0;13;0;8;1;15;26;0;2;6;0;0;223;8;2;;;
KARLOVAC;35;381;268;268;263;5;1;0;0;4;1;0;0;1;122;2;5;0;7;1;10;17;1;4;2;0;0;80;2;3;;;
KARLOVAC;36;701;518;518;510;8;2;2;0;1;4;1;0;5;249;1;29;0;14;4;30;30;0;1;2;0;5;124;6;0;;;
KARLOVAC;37;980;677;677;668;9;1;3;1;3;4;1;2;4;293;0;27;1;28;2;25;43;0;3;1;0;4;213;7;2;;;
KARLOVAC;38;1760;1141;1141;1126;15;3;4;0;7;10;2;1;2;440;0;52;4;30;4;47;66;2;16;11;3;12;401;4;5;;;
KARLOVAC;39;1059;742;742;738;4;4;5;3;5;1;0;0;3;274;0;58;0;23;9;25;21;1;10;3;0;2;279;4;8;;;
KARLOVAC;40;1516;1085;1085;1065;20;3;3;0;4;8;0;3;3;334;0;67;2;20;6;38;46;2;6;2;0;2;500;10;6;;;
KARLOVAC;41;936;637;634;621;13;0;1;0;4;1;0;1;3;224;0;49;1;27;5;16;32;1;1;4;3;2;238;6;2;;;
KARLOVAC;42;166;132;132;131;1;0;0;0;0;0;0;0;0;106;0;1;0;5;0;10;0;0;0;0;0;0;9;0;0;;;
KARLOVAC;43;192;135;135;131;4;0;1;1;0;0;2;1;0;68;0;1;0;30;1;8;0;0;1;0;0;5;12;0;0;;;
KARLOVAC;44;722;411;411;409;2;1;1;2;0;0;0;1;0;266;0;18;0;2;1;6;1;0;7;2;0;0;98;0;3;;;
KARLOVAC;45;513;364;334;326;8;2;0;0;0;2;0;0;1;98;0;21;0;14;3;10;11;0;11;1;1;4;142;2;3;;;
KARLOVAC;46;607;431;431;414;17;0;3;1;1;1;0;1;2;187;0;19;3;25;1;16;12;1;3;2;0;1;128;6;1;;;
KARLOVAC;47;657;404;398;395;3;0;0;0;1;10;1;0;2;246;0;8;0;17;4;11;13;0;4;3;0;5;68;1;1;;;
KARLOVAC;48;149;102;102;101;1;0;0;1;0;5;0;0;2;46;0;2;1;10;0;1;2;2;2;0;0;0;25;1;1;;;
KARLOVAC;49;1008;617;617;612;5;0;0;0;0;5;1;0;0;323;1;29;0;19;0;29;21;1;8;1;2;3;162;2;5;;;
KARLOVAC;50;587;333;333;331;2;2;3;0;0;1;0;0;1;195;0;6;2;10;0;22;3;4;0;3;0;4;70;4;1;;;
KARLOVAC;51;415;258;258;256;2;2;0;0;0;3;0;0;1;143;0;2;0;29;2;25;2;0;3;0;2;2;38;2;0;;;
KARLOVAC;52;425;304;304;302;2;0;2;2;1;0;0;1;4;134;1;15;2;25;0;6;11;0;4;1;2;3;83;4;1;;;
KARLOVAC;53;728;429;429;427;2;3;0;0;0;0;2;1;2;285;0;11;1;15;1;31;10;0;0;2;0;1;60;2;0;;;
KARLOVAC;54;230;189;189;187;2;2;0;1;1;0;0;0;0;143;1;0;1;4;2;16;3;0;0;0;0;1;11;0;1;;;
KARLOVAC;55;260;136;136;132;4;0;1;0;0;0;0;0;0;57;0;29;0;7;1;2;2;0;1;1;0;0;30;1;0;;;
KARLOVAC;56;85;55;55;54;1;0;0;0;0;0;0;0;0;22;1;1;0;2;0;1;0;0;0;0;0;2;24;1;0;;;
KARLOVAC;57;220;95;95;93;2;0;0;0;0;0;0;0;0;71;0;1;0;7;0;2;0;1;2;0;1;1;6;1;0;;;
KARLOVAC;58;91;71;71;69;2;0;0;0;1;0;0;0;0;46;0;1;0;1;1;15;0;0;0;0;0;0;4;0;0;;;
KARLOVAC;59;109;64;64;64;0;0;0;0;1;0;0;0;0;51;0;0;0;2;0;4;2;0;0;0;0;3;0;1;0;;;
KARLOVAC;60;351;183;183;182;1;1;0;2;0;1;0;0;2;84;0;2;0;40;0;18;1;1;2;0;0;0;27;0;1;;;
KARLOVAC;61;82;42;42;42;0;1;0;0;0;0;0;1;0;19;0;1;0;13;1;1;1;0;1;0;0;0;3;0;0;;;
KARLOVAC;62;160;100;100;98;2;0;1;0;0;0;1;0;0;62;0;1;1;2;0;0;1;0;1;1;0;0;26;1;0;;;
KARLOVAC;63;130;89;89;88;1;0;0;0;0;0;0;0;2;31;0;9;0;13;0;1;0;0;0;0;0;0;29;3;0;;;
KARLOVAC;64;398;271;271;266;5;1;1;2;0;4;0;0;1;104;0;15;2;8;3;11;29;1;4;1;0;1;72;5;1;;;
KARLOVAC;65;949;670;670;655;15;1;1;1;1;2;0;0;2;224;0;56;4;26;4;37;38;1;6;3;1;5;223;12;7;;;
KARLOVAC;66;483;333;333;327;6;0;0;0;1;1;0;0;1;117;0;25;0;17;2;23;22;1;3;1;1;2;99;7;4;;;
KARLOVAC;67;1345;910;910;899;11;0;2;1;3;4;0;2;3;292;1;65;5;57;12;59;74;1;6;4;4;12;271;14;7;;;
KARLOVAC;68;695;514;514;510;4;2;1;0;6;5;0;0;7;216;0;23;0;24;4;32;33;0;4;0;1;11;129;9;3;;;
KARLOVAC;69;1674;1030;1030;1018;12;2;5;7;3;16;0;0;2;374;2;50;2;124;11;59;39;3;9;5;1;8;283;10;3;;;
KARLOVAC;70;314;224;223;217;6;2;0;2;0;2;0;2;2;94;2;11;1;12;1;7;9;1;1;0;1;2;58;5;2;;;
KARLOVAC;71;321;218;218;216;2;1;0;3;3;1;0;0;0;104;0;7;0;31;0;12;3;1;1;0;0;0;47;2;0;;;
KARLOVAC;72;430;269;269;263;6;0;1;0;0;3;1;1;0;129;0;15;1;16;1;13;20;0;1;0;1;3;52;3;2;;;
KARLOVAC;73;664;434;434;429;5;0;1;0;1;1;0;0;8;92;0;51;0;14;2;11;22;0;1;1;1;5;209;5;4;;;
KARLOVAC;74;1010;688;688;673;15;0;3;2;0;6;0;0;1;229;1;32;3;15;4;18;36;0;3;5;1;2;308;4;0;;;
KARLOVAC;75;575;366;366;363;3;0;0;0;2;2;0;1;2;97;0;19;2;10;3;8;24;0;4;2;0;3;180;3;1;;;
KARLOVAC;76;520;296;296;295;1;0;0;0;2;0;0;2;1;112;0;21;0;8;2;13;20;1;4;1;1;3;101;2;1;;;
KARLOVAC;77;368;253;253;246;7;0;0;0;3;3;1;1;0;83;0;14;0;6;2;10;16;1;1;1;0;1;95;5;3;;;
KARLOVAC;78;662;434;434;427;7;0;1;0;2;1;1;0;0;156;2;22;1;12;1;19;30;0;4;0;1;3;161;10;0;;;
KARLOVAC;79;490;328;328;321;7;0;0;0;0;1;1;0;0;117;1;10;3;7;3;11;21;0;0;3;1;3;132;5;2;;;
KARLOVAC;80;438;272;272;269;3;0;2;1;1;3;0;0;1;92;0;13;0;17;1;15;12;0;3;0;0;1;101;4;2;;;
KARLOVAC;81;359;231;231;231;0;0;1;0;1;6;0;0;0;88;0;16;0;18;1;10;18;0;2;1;0;4;63;2;0;;;
KARLOVAC;82;285;204;197;194;3;0;1;1;2;1;0;0;1;67;1;5;1;12;1;4;10;0;1;0;0;0;80;6;0;;;
KARLOVAC;83;914;635;635;622;13;0;0;2;8;4;1;0;3;203;2;25;0;21;3;20;51;2;5;1;1;4;252;11;3;;;
KARLOVAC;84;388;264;264;258;6;1;2;0;0;2;0;1;0;94;0;27;3;14;2;12;10;0;4;1;0;4;79;2;0;;;
KARLOVAC;85;657;438;438;429;9;0;3;1;0;5;0;0;1;172;0;16;1;28;3;13;28;1;4;1;0;5;135;10;2;;;
KARLOVAC;86;506;372;372;362;10;1;3;1;1;6;0;0;1;154;0;27;2;19;1;5;26;0;1;0;0;3;105;5;1;;;
KARLOVAC;87;519;337;337;328;9;1;1;1;4;1;1;0;2;126;1;33;0;25;0;9;15;1;3;0;0;6;90;5;3;;;
KARLOVAC;88;243;129;129;127;2;0;2;0;0;1;1;0;0;49;0;12;0;3;2;8;11;0;1;0;0;1;30;5;1;;;
KARLOVAC;89;103;66;66;66;0;0;0;0;0;1;2;1;0;38;0;5;0;1;2;0;0;0;0;0;0;1;15;0;0;;;
KARLOVAC;90;241;131;131;126;5;1;1;0;0;2;0;0;0;85;0;1;0;4;1;6;5;1;1;0;0;0;17;1;0;;;
KARLOVAC;91;234;140;140;140;0;0;0;2;1;0;0;1;2;70;0;9;0;4;3;4;10;1;1;1;0;1;26;3;1;;;
KARLOVAC;92;112;97;97;97;0;0;0;0;0;0;0;0;0;84;0;0;0;6;0;4;0;0;0;0;0;0;2;0;1;;;
KASTAV;1;883;583;583;581;2;0;5;1;2;5;0;0;1;130;1;27;1;42;9;4;25;1;1;11;3;2;298;11;1;;;
KASTAV;2;745;516;515;505;10;0;6;2;4;11;0;0;1;126;2;33;2;35;6;17;19;2;1;9;0;1;214;7;7;;;
KASTAV;3;1772;1119;1119;1088;31;0;10;2;6;6;4;0;6;324;0;74;5;40;8;19;44;0;1;11;3;2;508;13;2;;;
KASTAV;4;1595;999;999;989;10;3;4;0;1;9;2;2;5;238;0;74;1;48;12;19;36;2;1;10;3;2;487;19;11;;;
KASTAV;5;2406;1542;1542;1518;24;0;10;1;2;19;0;0;2;436;0;103;2;54;9;21;65;1;3;17;2;8;726;31;6;;;
KASTAV;6;940;617;617;609;8;0;1;0;4;10;0;1;1;130;1;31;0;33;7;9;48;0;3;12;0;1;307;7;3;;;
NOVI VINODOLSKI;1;472;241;241;240;1;0;1;0;0;2;0;0;1;98;0;3;1;6;0;5;8;0;0;0;0;1;111;3;0;;;
NOVI VINODOLSKI;2;124;76;76;76;0;0;0;0;0;0;0;0;1;31;1;2;0;2;2;10;4;0;0;2;0;0;20;1;0;;;
NOVI VINODOLSKI;3;233;149;149;148;1;0;3;0;0;1;0;0;0;75;0;4;1;6;0;1;4;0;0;2;0;0;50;0;1;;;
NOVI VINODOLSKI;4;251;162;162;161;1;0;1;0;2;0;0;0;1;51;0;11;0;5;0;7;4;0;0;0;0;0;78;0;1;;;
NOVI VINODOLSKI;5;131;99;99;97;2;1;0;0;0;1;0;0;0;33;0;1;0;4;0;0;10;0;2;0;0;2;41;1;1;;;
NOVI VINODOLSKI;6;158;131;131;124;7;0;0;1;0;0;0;0;0;80;0;1;2;0;0;1;3;0;0;0;0;0;36;0;0;;;
NOVI VINODOLSKI;7;113;99;99;98;1;0;0;0;0;0;0;0;0;50;0;1;0;2;0;0;0;0;0;0;0;2;41;2;0;;;
NOVI VINODOLSKI;8;499;317;317;312;5;0;0;1;2;3;1;0;0;127;0;13;0;11;0;5;9;0;0;2;0;1;130;4;3;;;
NOVI VINODOLSKI;9;518;352;352;348;4;0;1;1;0;0;0;0;0;154;0;10;1;16;0;5;9;0;0;4;1;2;137;5;2;;;
NOVI VINODOLSKI;10;578;352;352;350;2;1;1;0;2;1;0;0;2;159;1;16;1;13;1;4;12;0;0;3;1;1;127;3;1;;;
NOVI VINODOLSKI;11;652;399;399;394;5;1;1;0;2;1;0;0;1;136;1;17;0;13;0;12;10;0;0;6;0;0;186;6;1;;;
NOVI VINODOLSKI;12;334;193;193;190;3;0;1;0;0;1;0;0;0;75;1;10;2;6;0;2;4;0;0;0;0;0;86;2;0;;;
NOVI VINODOLSKI;13;345;203;203;202;1;0;1;0;1;1;0;0;0;64;1;0;0;19;1;1;8;1;0;1;0;0;99;3;1;;;
NOVI VINODOLSKI;14;307;207;207;204;3;0;0;0;2;1;0;0;0;56;0;6;0;8;0;11;10;0;2;2;0;3;103;0;0;;;
NOVI VINODOLSKI;15;640;411;411;409;2;1;1;0;0;3;0;0;0;152;0;19;0;13;0;8;10;0;0;2;0;0;193;7;0;;;
OGULIN;1;87;73;73;72;1;1;0;0;1;0;1;0;0;5;0;5;0;3;1;0;3;0;0;2;0;0;50;0;0;;;
OGULIN;2;51;43;43;43;0;0;0;0;1;0;0;1;0;10;0;4;0;2;0;0;2;0;0;3;0;0;20;0;0;;;
OGULIN;3;110;86;86;86;0;1;0;0;0;0;2;1;0;41;0;4;0;1;0;3;1;0;0;0;0;1;30;1;0;;;
OGULIN;4;1086;729;729;712;17;3;6;0;4;0;0;1;5;366;2;14;3;33;3;27;42;0;4;3;4;7;175;9;1;;;
OGULIN;5;45;41;41;38;3;0;0;0;0;1;0;0;0;2;0;2;0;2;0;0;4;0;0;0;0;0;27;0;0;;;
OGULIN;6;390;272;272;265;7;0;2;1;2;2;0;1;3;140;0;12;0;1;0;4;10;0;1;0;1;2;81;2;0;;;
OGULIN;7;916;595;582;569;13;2;6;0;9;4;2;1;1;330;2;7;0;29;6;24;34;1;1;1;0;15;87;5;2;;;
OGULIN;8;210;147;147;146;1;1;0;0;0;0;0;0;0;85;0;0;0;2;1;7;6;0;11;0;0;2;29;2;0;;;
OGULIN;9;1506;1059;1059;1039;20;2;1;1;4;7;0;1;4;479;0;31;0;33;6;48;51;0;7;1;2;5;337;10;9;;;
OGULIN;10;216;172;172;171;1;1;2;0;0;1;0;0;1;108;1;0;0;4;1;4;8;1;8;1;0;4;23;2;1;;;
OGULIN;11;610;347;347;338;9;0;1;2;1;1;0;0;2;236;0;3;0;38;2;6;12;0;1;0;0;6;24;3;0;;;
OGULIN;12;1190;771;770;761;9;0;4;1;3;0;0;0;3;416;0;16;0;47;7;46;37;0;3;4;2;13;150;7;2;;;
OGULIN;13;246;194;194;194;0;1;1;0;0;1;0;0;0;133;0;1;0;14;0;1;12;0;0;0;0;1;28;0;1;;;
OGULIN;14;263;216;216;209;7;0;0;0;0;0;1;0;0;38;0;8;0;10;1;3;10;0;0;1;0;1;132;2;2;;;
OGULIN;15;56;50;50;46;4;0;0;0;0;1;0;0;0;2;0;1;0;1;0;0;1;1;0;0;0;0;38;1;0;;;
OGULIN;16;49;43;43;41;2;1;0;0;0;0;0;1;0;4;0;3;0;1;0;0;0;0;0;1;0;0;29;1;0;;;
OGULIN;17;106;81;81;81;0;0;1;0;0;0;0;1;1;9;0;1;0;1;0;0;6;0;0;2;0;0;55;3;1;;;
OGULIN;18;189;162;162;159;3;2;0;2;0;1;0;0;0;20;1;11;0;2;0;1;6;0;0;7;0;0;105;1;0;;;
OGULIN;19;862;575;575;560;15;2;1;0;1;5;0;0;3;243;0;20;2;30;3;23;28;1;2;1;1;12;170;9;3;;;
OGULIN;20;985;720;714;698;16;1;1;0;2;4;0;0;1;348;0;23;1;43;7;40;26;0;4;1;0;7;177;10;2;;;
OGULIN;21;386;287;287;282;5;0;0;1;0;1;0;0;2;121;0;6;0;8;0;5;24;0;3;3;3;2;97;6;0;;;
OGULIN;22;700;534;534;527;7;0;0;1;3;4;0;0;0;215;0;20;0;14;3;14;18;0;1;0;1;3;225;3;2;;;
OGULIN;23;724;545;545;540;5;1;0;1;3;4;1;0;2;171;0;25;1;11;2;13;20;2;2;2;0;4;266;4;5;;;
OZALJ;1;934;633;633;621;12;0;1;1;4;3;0;0;2;165;2;62;1;28;4;12;19;0;1;1;1;4;296;8;6;;;
OZALJ;2;441;234;234;225;9;0;0;0;1;6;0;0;0;59;1;17;1;20;3;10;9;1;3;3;0;7;81;2;1;;;
OZALJ;3;148;85;85;82;3;0;0;0;0;1;0;0;0;46;0;2;0;11;1;10;0;0;2;0;0;0;8;1;0;;;
OZALJ;4;163;98;98;97;1;2;0;1;0;1;0;0;2;48;0;0;0;8;1;5;1;0;0;0;0;2;26;0;0;;;
OZALJ;5;416;229;229;224;5;0;0;0;0;2;1;0;0;60;1;15;3;30;2;10;8;0;0;3;0;3;82;4;0;;;
OZALJ;6;354;219;219;217;2;1;0;0;0;0;0;1;1;58;1;14;2;6;0;9;3;0;2;0;0;1;117;1;0;;;
OZALJ;7;177;95;94;92;2;0;2;1;0;2;0;2;1;15;2;21;0;6;0;1;2;1;0;0;0;0;32;1;3;;;
OZALJ;8;385;276;276;272;4;0;0;1;1;2;0;0;0;122;0;15;0;12;1;21;6;0;4;0;0;0;79;7;1;;;
OZALJ;9;55;36;36;35;1;0;0;0;0;2;0;3;1;10;0;2;0;2;0;2;5;1;0;0;0;0;7;0;0;;;
OZALJ;10;69;34;34;33;1;0;0;0;0;0;0;0;0;11;0;8;0;3;0;0;0;0;0;0;0;0;10;1;0;;;
OZALJ;11;159;88;88;85;3;0;2;1;0;1;3;0;1;25;1;2;0;5;0;2;5;0;1;1;0;0;35;0;0;;;
OZALJ;12;284;151;151;147;4;1;0;0;1;1;2;0;2;36;0;12;0;22;2;6;0;1;1;0;0;0;58;1;1;;;
OZALJ;13;487;249;249;246;3;0;2;0;4;1;1;1;0;112;1;13;4;20;5;16;4;0;1;0;1;2;51;7;0;;;
OZALJ;14;217;116;116;116;0;1;1;0;0;2;1;0;0;35;1;9;0;12;0;8;3;1;0;0;0;1;37;1;3;;;
OZALJ;15;74;36;36;36;0;0;1;0;0;1;0;0;0;10;0;6;0;2;0;3;0;0;0;0;0;0;13;0;0;;;
OZALJ;16;100;42;42;41;1;0;1;0;1;0;0;0;1;23;0;0;1;2;0;1;0;1;2;0;0;0;8;0;0;;;
OZALJ;17;310;188;188;185;3;0;0;1;0;0;0;0;0;52;0;16;0;16;2;10;2;0;0;0;0;1;80;4;1;;;
OZALJ;18;92;59;59;59;0;1;0;1;0;1;0;0;2;36;0;0;2;2;0;5;0;0;0;0;1;0;7;0;1;;;
OZALJ;19;593;302;302;290;12;1;3;2;2;5;0;0;5;65;3;7;3;27;2;17;7;0;1;0;2;2;129;3;4;;;
OZALJ;20;252;109;109;108;1;0;0;1;1;0;0;0;1;19;0;11;0;26;0;14;6;0;1;0;2;0;24;2;0;;;
OZALJ;21;305;159;159;159;0;0;1;2;2;1;0;0;2;63;0;13;0;23;0;9;5;0;0;0;0;2;36;0;0;;;
OZALJ;22;214;104;104;103;1;0;0;0;0;2;0;0;0;26;1;4;0;16;1;9;3;0;0;0;0;0;40;0;1;;;
OZALJ;23;95;59;59;59;0;1;2;0;0;0;0;0;0;26;0;3;1;4;1;2;0;0;0;0;0;1;18;0;0;;;
OZALJ;24;183;101;101;99;2;0;1;0;1;2;0;0;0;47;0;4;1;12;0;3;2;0;2;0;0;0;24;0;0;;;
OZALJ;25;166;123;123;122;1;0;1;0;0;2;0;0;0;40;0;10;1;4;1;11;10;1;0;0;0;0;40;0;1;;;
OZALJ;26;251;127;127;127;0;0;0;0;0;1;0;0;0;5;0;26;1;7;0;1;3;0;0;0;1;0;82;0;0;;;
OZALJ;27;137;83;83;81;2;0;0;0;0;0;0;1;0;15;1;0;1;5;0;0;1;0;1;0;0;0;54;2;0;;;
SAMOBOR;1;235;154;154;153;1;1;1;0;0;3;0;0;0;60;1;9;1;19;1;1;9;0;2;0;0;2;38;4;1;;;
SAMOBOR;2;311;183;183;176;7;1;1;0;0;9;0;1;0;55;0;15;2;43;1;1;10;0;1;0;0;1;31;4;0;;;
SAMOBOR;3;1332;891;891;876;15;1;5;4;3;8;0;3;1;193;1;41;0;73;14;22;49;1;1;0;2;11;431;5;7;;;
