Grad/opæina;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: BRANKO OZIMEC                                        ;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: JASENKO STIPAC, dipl.ing.                         ;DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENI HRVATSKE - ZELENI HR, Nositelj liste: MARIJA JELINÈIÆ;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: GORAN ROHAÈEK                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA KRŠÆANSKA DEMOKRATSKA STRANKA - HKDS, Nositelj liste: JULIJANA ILÈIÆ;HRVATSKA KRŠÆANSKA DEMOKRATSKA UNIJA - HKDU, Nositelj liste: BOŽO RENDIÆ;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                    ;HRVATSKA RADNIÈKA STRANKA - HRS, AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, HRVATSKA SELJAÈKA STRANKA - HSS, ZAGORSKA DEMOKRATSKA STRANKA - ZDS, Nositelj liste: dr.sc. IVAN ÈEHOK;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: DARKO PETRIÈIÆ                                      ;HRVATSKA STRANKA NEZAPOSLENIH - HSN, Nositelj liste: NURIJA AHMETOVIÆ, prof.;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKA STRANKA ZELENIH-EKO SAVEZ - ZELENI, Nositelj liste: mr.sc. ZLATKO SVIBEN;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: RUDOLF FORKO;HRVATSKI ZBOR - ZBOR, Nositelj liste: VINKO KALINIÆ;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: mr.sc. VLADIMIR MESARIÆ;MOJE MALO MEÐIMURJE - 3 M, Nositelj liste: ANTUN VARGA;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, LJEVICA HRVATSKE - LJEVICA, HRVATSKI SOCIJALDEMOKRATI - HSD, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, Nositelj liste: FRANJO GOLENKO;STRANKA UMIROVLJENIKA - SU, Nositelj liste: JOSIP ŽUŽUL;ZELENA LISTA, Nositelj liste: STANKO BEZEK                                                         ;;
KLANJEC;5;122;52;52;48;4;0;1;0;0;2;0;16;0;0;1;0;20;0;0;0;4;0;0;0;0;0;3;0;1;0;;
KLANJEC;6;79;61;61;59;2;0;0;1;0;0;0;24;0;0;3;0;2;0;1;2;3;0;0;0;0;0;22;0;1;0;;
KLANJEC;7;143;91;91;89;2;0;3;0;0;0;0;26;0;1;0;0;31;4;0;2;4;0;0;1;0;0;17;0;0;0;;
KLANJEC;8;202;108;108;105;3;0;1;0;1;2;2;19;0;0;4;0;43;1;0;2;3;0;0;0;0;0;25;1;1;0;;
KLANJEC;9;330;214;214;205;9;0;0;1;0;1;1;74;1;0;6;0;54;3;0;0;15;0;0;1;0;0;48;0;0;0;;
KLANJEC;10;148;77;77;75;2;0;0;0;0;0;1;40;0;0;0;0;26;0;0;0;3;1;0;0;0;0;3;0;1;0;;
KRAPINA;1;808;483;483;466;17;1;7;3;0;0;0;247;0;0;83;2;14;0;1;7;8;1;1;0;0;0;85;0;5;1;;
KRAPINA;2;949;628;628;611;17;0;9;1;5;1;5;213;1;0;94;2;34;1;0;8;23;1;0;0;1;1;200;3;7;1;;
KRAPINA;3;873;631;631;615;16;0;2;3;1;0;0;184;0;1;68;2;36;7;1;4;38;1;0;0;0;0;256;2;8;1;;
KRAPINA;4;890;655;655;645;10;0;2;8;3;1;0;161;1;2;102;4;37;7;0;5;32;3;1;1;2;0;263;5;4;1;;
KRAPINA;5;1008;723;723;715;8;0;1;1;2;0;0;225;0;1;124;0;48;4;0;4;42;3;0;0;0;2;247;2;6;3;;
KRAPINA;6;1065;796;796;778;18;0;1;2;5;1;0;222;1;0;95;1;42;5;3;11;36;2;0;0;2;0;334;5;7;3;;
KRAPINA;7;1144;864;864;840;24;1;7;1;3;1;0;267;1;2;100;3;67;2;4;2;38;1;0;0;0;0;325;0;13;2;;
KRAPINA;8;316;192;192;190;2;0;2;0;0;0;0;76;3;0;16;0;10;2;1;2;13;2;0;0;0;0;59;0;3;1;;
KRAPINA;9;331;250;250;240;10;2;3;0;0;1;2;78;2;0;51;1;5;1;1;3;15;0;0;0;0;0;71;0;4;0;;
KRAPINA;10;1006;763;763;753;10;1;6;4;1;0;1;293;2;3;158;1;29;5;5;12;32;1;1;0;1;1;175;3;14;4;;
KRAPINA;11;653;280;279;273;6;2;4;1;1;1;0;111;0;0;46;4;21;2;1;1;11;1;0;0;0;0;65;0;1;0;;
KRAPINA;12;382;243;243;237;6;1;4;0;1;1;2;101;1;1;25;0;21;2;1;6;11;1;0;0;0;0;53;1;3;1;;
KRAPINA;13;324;189;189;182;7;1;10;2;1;0;1;89;0;0;11;0;23;1;0;0;5;2;0;0;1;0;32;0;2;1;;
KRAPINA;14;609;430;430;422;8;1;3;0;0;0;0;167;2;1;67;1;39;3;1;3;30;0;4;0;1;0;91;2;5;1;;
KRAPINA;15;357;249;249;248;1;1;5;3;4;0;3;122;0;0;11;1;16;1;0;1;16;1;1;0;0;0;60;0;2;0;;
LEPOGLAVA;1;632;381;381;376;5;0;1;1;1;1;0;57;4;0;186;2;16;2;1;13;15;0;0;1;0;0;65;3;6;1;;
LEPOGLAVA;2;471;338;338;337;1;0;0;2;0;0;0;96;0;0;154;1;7;1;0;4;6;1;0;0;0;0;63;1;1;0;;
LEPOGLAVA;3;830;590;589;587;2;1;0;2;1;1;0;106;0;0;212;1;26;6;2;7;9;1;0;0;0;1;204;1;4;2;;
LEPOGLAVA;4;381;256;256;249;7;0;1;0;1;0;0;85;1;1;91;0;10;0;0;3;12;0;0;1;0;0;36;2;4;1;;
LEPOGLAVA;5;447;276;276;270;6;0;1;2;0;1;0;75;0;0;116;1;13;2;0;5;9;0;0;0;1;0;40;0;3;1;;
LEPOGLAVA;6;516;334;334;331;3;2;0;1;0;0;0;99;2;1;91;0;14;2;0;7;5;1;0;0;0;0;99;2;4;1;;
LEPOGLAVA;7;185;122;122;118;4;0;0;0;0;0;0;26;0;0;57;0;9;1;0;0;5;0;0;0;0;0;20;0;0;0;;
LEPOGLAVA;8;141;105;105;105;0;0;0;0;0;0;0;45;0;0;34;0;3;0;0;4;2;0;0;0;1;0;16;0;0;0;;
LEPOGLAVA;9;176;118;118;117;1;0;1;1;0;0;1;36;0;0;33;0;10;0;1;7;1;0;1;0;1;0;21;0;2;1;;
LEPOGLAVA;10;403;228;227;226;1;0;0;0;0;0;1;62;1;0;83;1;9;0;1;1;7;0;0;1;1;0;55;0;3;0;;
LEPOGLAVA;11;222;100;100;98;2;0;0;0;0;0;0;34;0;1;47;0;0;0;1;0;1;0;0;0;0;0;14;0;0;0;;
LEPOGLAVA;12;203;98;98;94;4;0;0;2;0;0;0;19;0;0;36;0;1;0;0;3;3;0;0;0;0;0;27;1;1;1;;
LEPOGLAVA;13;644;393;393;393;0;0;0;1;0;0;0;89;0;0;182;0;18;0;3;2;9;0;0;0;0;1;81;2;5;0;;
LEPOGLAVA;14;453;259;257;257;0;0;3;1;1;0;2;68;0;1;152;0;8;1;3;2;0;2;0;1;0;2;9;1;0;0;;
LEPOGLAVA;15;672;335;335;331;4;1;1;0;0;0;0;126;2;1;162;1;9;0;0;2;2;0;0;1;2;2;19;0;0;0;;
LEPOGLAVA;16;412;180;180;174;6;1;1;1;1;0;0;44;2;2;96;0;3;1;0;2;1;0;0;0;1;0;16;2;0;0;;
LUDBREG;1;1370;955;955;948;7;0;2;0;3;0;1;157;3;0;303;1;59;2;2;48;25;1;0;0;1;0;326;0;11;3;;
LUDBREG;2;1622;1158;1158;1141;17;1;2;1;3;0;2;147;1;0;359;1;74;3;2;34;39;4;0;0;0;1;461;2;3;1;;
LUDBREG;3;521;343;343;342;1;1;0;0;0;0;1;44;0;0;118;0;17;2;1;9;8;0;0;1;0;2;132;1;4;1;;
LUDBREG;4;608;437;437;433;4;0;6;1;0;0;0;87;3;3;169;1;71;2;1;9;6;3;0;0;0;0;69;0;2;0;;
LUDBREG;5;241;186;186;185;1;0;2;1;0;0;0;47;0;0;81;0;14;1;1;1;1;0;0;0;1;0;30;1;2;2;;
LUDBREG;6;233;177;177;170;7;0;2;0;0;0;0;62;2;0;55;0;11;0;0;5;2;0;0;1;0;0;27;0;2;1;;
LUDBREG;7;775;537;537;535;2;1;1;1;2;2;0;115;0;0;205;0;46;1;0;13;15;0;0;0;1;0;125;3;1;3;;
LUDBREG;8;167;128;128;125;3;0;0;0;0;0;0;19;0;1;63;0;6;1;0;3;6;0;0;0;0;1;25;0;0;0;;
LUDBREG;9;630;473;473;463;10;0;2;1;0;0;0;66;1;0;229;0;20;4;0;2;19;0;0;0;0;1;114;1;3;0;;
LUDBREG;10;414;258;258;257;1;0;2;1;1;0;2;33;0;0;105;1;13;0;0;4;11;1;0;0;0;0;79;0;4;0;;
LUDBREG;11;265;179;178;178;0;0;1;1;0;0;0;31;0;1;98;0;5;0;0;8;3;1;0;1;0;0;27;1;0;0;;
LUDBREG;12;398;241;241;241;0;0;4;1;0;0;0;59;1;0;79;0;22;0;0;3;9;0;0;0;0;0;59;0;3;1;;
LUDBREG;13;33;28;28;28;0;0;0;0;0;0;0;14;0;0;6;0;0;0;0;0;1;0;0;0;0;0;7;0;0;0;;
MURSKO SREDIŠÆE;1;1180;777;777;769;8;0;1;2;1;0;2;150;0;1;143;4;92;0;2;8;25;4;1;1;14;5;303;0;7;3;;
MURSKO SREDIŠÆE;2;484;303;303;297;6;0;2;0;2;0;1;55;3;2;68;2;49;2;0;1;6;1;0;0;0;2;99;1;1;0;;
MURSKO SREDIŠÆE;3;1289;863;863;851;12;2;0;2;2;0;2;150;0;0;141;0;100;1;0;11;28;1;3;0;12;5;382;1;6;2;;
MURSKO SREDIŠÆE;4;1121;721;721;719;2;1;0;2;0;1;2;134;2;0;177;0;54;2;3;11;21;1;0;1;2;1;302;1;1;0;;
MURSKO SREDIŠÆE;5;565;390;390;387;3;1;4;0;0;1;4;102;1;2;48;0;27;2;0;6;17;3;0;0;0;1;164;2;2;0;;
MURSKO SREDIŠÆE;6;333;189;189;188;1;1;0;2;0;0;0;78;1;1;42;1;12;2;0;3;4;0;0;0;0;1;40;0;0;0;;
MURSKO SREDIŠÆE;7;698;371;371;366;5;0;1;3;3;0;0;74;0;1;88;3;43;2;1;2;8;0;0;0;3;4;123;0;7;0;;
NOVI MAROF;1;685;545;545;543;2;0;0;0;1;0;0;120;4;0;191;1;21;0;2;8;15;0;0;0;0;0;175;0;3;2;;
NOVI MAROF;2;640;468;468;464;4;0;0;1;2;1;0;103;0;0;166;0;42;1;0;5;15;2;0;2;1;0;118;0;5;0;;
NOVI MAROF;3;382;308;308;306;2;0;0;0;1;0;0;71;0;0;121;0;23;2;0;0;2;2;0;0;0;0;80;1;2;1;;
NOVI MAROF;4;240;184;184;183;1;1;1;0;0;0;0;52;1;1;86;0;12;2;0;0;1;0;0;0;1;0;24;0;1;0;;
NOVI MAROF;5;641;481;481;478;3;1;3;0;1;1;0;193;0;2;180;2;16;2;1;6;9;0;0;0;2;0;56;0;3;0;;
NOVI MAROF;6;399;309;309;305;4;1;2;1;0;0;1;123;0;0;135;1;10;0;0;3;4;1;0;0;0;0;23;0;0;0;;
NOVI MAROF;7;408;325;325;324;1;1;0;0;0;0;0;107;0;0;153;0;14;0;3;2;8;0;0;0;0;0;34;1;1;0;;
NOVI MAROF;8;483;366;366;365;1;0;1;1;0;0;0;71;0;0;193;2;24;0;0;18;2;0;0;0;0;0;46;1;5;1;;
NOVI MAROF;9;579;425;424;420;4;0;2;0;0;0;0;121;2;0;192;0;16;0;0;11;5;0;0;0;0;0;70;1;0;0;;
NOVI MAROF;10;239;184;184;183;1;1;0;0;0;1;0;46;0;1;81;0;8;1;0;1;4;1;0;0;1;0;33;0;4;0;;
NOVI MAROF;11;401;302;302;301;1;0;0;0;2;0;4;73;2;1;135;0;4;1;0;8;13;1;0;0;0;0;53;1;3;0;;
NOVI MAROF;12;244;197;197;195;2;0;0;0;1;0;0;39;0;0;98;0;7;0;0;0;13;0;0;2;0;0;35;0;0;0;;
NOVI MAROF;13;247;204;204;204;0;0;0;0;2;0;0;26;0;0;132;0;9;0;1;5;2;0;1;0;0;0;25;1;0;0;;
NOVI MAROF;14;571;379;379;369;10;0;0;0;1;1;1;154;3;2;104;2;22;0;0;4;3;1;0;0;0;0;69;0;2;0;;
NOVI MAROF;15;461;311;311;308;3;0;3;1;0;1;1;102;1;1;103;1;27;2;0;8;11;1;0;0;0;0;43;0;2;0;;
NOVI MAROF;16;322;227;227;224;3;0;1;0;1;0;1;100;0;0;50;0;14;1;0;3;4;1;0;1;0;0;47;0;0;0;;
NOVI MAROF;17;77;59;59;59;0;0;0;0;0;0;0;17;0;0;31;0;0;0;0;1;2;0;0;0;0;0;8;0;0;0;;
NOVI MAROF;18;320;216;216;213;3;0;2;0;1;0;0;81;0;1;80;0;20;2;0;0;7;0;1;0;0;0;15;0;3;0;;
NOVI MAROF;19;115;64;64;63;1;0;0;0;0;0;0;23;1;1;24;0;3;0;0;0;5;0;0;0;0;0;6;0;0;0;;
NOVI MAROF;20;364;240;240;239;1;1;1;0;0;1;0;41;0;0;139;0;9;0;0;4;1;0;0;0;0;0;41;0;0;1;;
NOVI MAROF;21;418;298;298;289;9;0;2;3;1;0;2;85;0;0;103;0;18;1;0;3;2;0;0;0;0;0;62;0;2;5;;
NOVI MAROF;22;516;331;331;327;4;0;0;1;0;1;1;67;1;2;160;0;17;0;0;1;12;0;0;0;0;0;64;0;0;0;;
NOVI MAROF;23;343;243;243;243;0;0;1;0;0;0;0;59;1;0;115;0;14;1;0;2;2;1;0;0;0;0;47;0;0;0;;
NOVI MAROF;24;217;134;134;133;1;0;0;1;0;0;1;36;0;0;70;0;9;2;0;1;2;1;0;0;0;0;9;0;1;0;;
NOVI MAROF;25;238;165;165;165;0;0;0;1;0;0;0;73;0;0;69;0;4;0;2;0;5;0;0;0;0;0;11;0;0;0;;
NOVI MAROF;26;276;162;162;160;2;1;0;1;0;0;2;55;1;0;54;1;5;0;0;1;5;4;0;0;0;0;25;1;4;0;;
NOVI MAROF;27;663;432;432;426;6;0;0;1;0;0;0;122;2;0;221;0;19;3;2;1;8;0;0;0;0;1;45;0;0;1;;
NOVI MAROF;28;730;502;502;498;4;0;4;3;0;0;3;94;1;1;311;0;14;1;1;4;6;0;0;0;0;0;52;1;1;1;;
NOVI MAROF;29;125;96;96;96;0;0;1;0;0;0;0;18;0;0;57;0;2;1;0;0;0;0;0;0;0;0;14;0;3;0;;
NOVI MAROF;30;164;104;104;104;0;0;0;0;0;0;0;38;0;2;44;0;8;0;0;1;0;0;0;0;0;0;11;0;0;0;;
OROSLAVJE;1;933;656;656;647;9;2;5;4;5;0;2;185;0;0;91;2;41;6;1;22;49;2;0;1;0;0;222;1;5;1;;
OROSLAVJE;2;926;624;623;613;10;2;4;2;4;0;2;151;0;0;86;1;43;4;2;8;36;3;0;1;0;1;248;2;11;2;;
OROSLAVJE;3;781;464;464;458;6;1;6;2;0;2;1;130;3;2;75;2;38;8;2;12;40;2;0;0;0;0;128;2;2;0;;
OROSLAVJE;4;1103;714;714;707;7;0;10;0;8;2;0;193;1;0;103;1;72;4;3;17;44;4;1;0;0;0;233;3;7;1;;
OROSLAVJE;5;644;455;455;446;9;2;2;1;4;2;0;102;0;0;75;1;46;7;1;21;17;2;0;0;2;1;152;2;4;2;;
OROSLAVJE;6;467;316;316;313;3;1;2;3;1;0;0;82;0;0;50;0;29;0;0;17;24;0;0;0;0;0;100;1;2;1;;
OROSLAVJE;7;570;369;369;356;13;0;0;0;4;1;0;117;1;0;26;2;64;3;1;4;18;1;0;0;0;0;107;0;7;0;;
PREGRADA;1;1423;970;970;951;19;0;5;7;6;2;2;323;5;0;55;4;79;5;1;11;39;5;0;0;1;1;386;2;8;4;;
PREGRADA;2;342;168;168;163;5;1;2;0;0;0;0;39;0;1;7;3;18;1;0;5;13;2;0;0;0;0;68;0;3;0;;
PREGRADA;3;159;89;89;89;0;0;3;0;0;0;0;52;1;0;0;0;13;1;1;0;2;0;0;0;0;0;16;0;0;0;;
PREGRADA;4;96;61;61;61;0;0;0;0;0;0;0;20;0;0;1;0;3;0;0;0;3;1;0;0;0;0;33;0;0;0;;
PREGRADA;5;142;96;96;95;1;1;6;0;1;0;0;24;0;0;2;0;9;1;0;2;6;0;0;0;0;0;40;0;1;2;;
PREGRADA;6;603;356;356;347;9;0;9;1;4;0;1;136;1;1;18;1;44;1;0;3;16;1;0;0;0;1;105;0;3;1;;
PREGRADA;7;524;249;249;246;3;0;3;1;1;0;2;117;1;2;16;0;15;3;0;3;21;2;0;0;1;0;58;0;0;0;;
PREGRADA;8;250;140;140;136;4;0;1;0;0;0;1;62;2;0;6;1;21;0;0;1;3;0;0;0;1;0;34;2;1;0;;
PREGRADA;9;307;160;160;154;6;0;3;0;1;0;0;68;0;0;10;0;29;0;0;0;0;1;0;0;0;0;40;0;2;0;;
PREGRADA;10;359;209;209;207;2;0;4;4;1;0;1;116;1;0;4;1;22;0;2;1;5;0;0;1;0;1;42;0;1;0;;
PREGRADA;11;451;248;248;243;5;0;8;0;0;1;0;101;0;1;9;0;34;6;0;3;12;1;0;0;0;0;65;0;2;0;;
PREGRADA;12;502;273;273;262;11;3;8;2;2;3;0;82;1;0;22;1;33;2;0;3;10;0;0;1;0;0;87;0;1;1;;
PREGRADA;13;589;333;333;324;9;0;18;1;2;0;0;81;4;1;16;2;72;1;0;5;19;0;0;0;1;1;96;2;1;1;;
PRELOG;1;721;507;507;495;12;1;2;2;3;0;1;128;3;1;127;1;34;2;1;7;11;3;0;1;0;0;161;2;3;1;;
PRELOG;2;823;581;581;572;9;0;4;2;0;2;2;143;3;0;181;2;52;2;1;10;17;1;0;0;2;0;144;1;2;1;;
PRELOG;3;345;248;248;243;5;1;2;2;0;0;0;74;0;0;45;0;18;2;0;4;7;1;0;0;1;0;80;1;5;0;;
PRELOG;4;282;205;205;202;3;0;0;3;1;0;0;48;5;0;59;0;7;1;1;6;12;0;0;1;2;0;53;1;2;0;;
PRELOG;5;271;196;196;194;2;0;0;2;0;0;0;52;0;0;36;0;24;0;1;3;8;1;0;0;0;0;65;0;2;0;;
PRELOG;6;601;441;441;430;11;0;2;1;0;0;0;100;0;1;77;0;59;1;0;17;4;0;0;1;0;2;158;1;6;0;;
PRELOG;7;772;513;513;508;5;0;5;0;2;0;2;125;1;0;113;0;31;6;1;6;9;0;1;1;0;0;200;3;2;0;;
PRELOG;8;944;646;646;643;3;1;5;2;2;1;2;183;0;2;157;0;33;3;1;8;24;1;0;0;0;1;208;3;0;6;;
PRELOG;9;1001;682;682;673;9;0;2;1;1;0;3;155;3;1;129;0;49;1;1;11;11;3;0;0;2;4;290;2;2;2;;
PRELOG;10;908;616;616;607;9;1;1;2;3;1;0;102;1;0;154;2;43;1;1;10;9;0;0;0;3;3;261;2;5;2;;
VARAŽDIN;1;656;472;472;465;7;0;0;1;1;0;1;123;3;0;144;1;63;1;0;9;16;2;1;0;0;0;95;4;0;0;;
VARAŽDIN;2;443;317;317;314;3;0;0;0;0;0;0;38;0;0;110;0;40;0;0;3;11;0;1;0;0;0;105;3;2;1;;
VARAŽDIN;3;413;287;287;283;4;0;0;1;0;0;0;57;0;0;92;1;40;0;0;2;9;0;0;0;0;0;77;2;2;0;;
VARAŽDIN;4;639;450;450;444;6;0;1;0;0;0;1;63;2;2;154;0;50;1;0;7;12;1;0;1;2;2;143;0;2;0;;
VARAŽDIN;5;372;288;288;285;3;0;0;1;3;0;1;54;0;0;81;0;27;0;0;1;9;0;1;0;0;0;105;0;2;0;;
VARAŽDIN;6;418;307;307;303;4;2;0;0;1;0;0;41;2;0;113;1;45;0;1;5;9;0;0;0;0;0;76;0;5;2;;
VARAŽDIN;7;420;307;307;305;2;0;1;1;0;0;0;52;2;0;83;1;34;3;0;5;9;0;0;0;0;0;113;0;1;0;;
VARAŽDIN;8;851;610;610;607;3;0;0;1;1;0;1;89;2;1;225;1;71;1;1;2;9;0;0;0;0;1;196;1;2;2;;
VARAŽDIN;9;529;382;382;374;8;0;0;0;0;0;1;64;1;0;91;0;61;0;0;6;17;1;0;0;0;0;125;0;7;0;;
VARAŽDIN;10;405;323;323;321;2;0;0;0;1;0;1;44;1;0;100;0;47;1;0;5;9;0;0;0;0;0;110;0;1;1;;
VARAŽDIN;11;776;610;609;605;4;0;1;1;1;0;1;75;2;0;182;2;71;0;0;12;5;1;0;0;1;0;243;3;0;4;;
VARAŽDIN;12;1424;1029;1029;1011;18;0;0;4;5;0;1;168;3;0;299;2;134;4;0;7;28;2;1;0;1;1;343;3;3;2;;
VARAŽDIN;13;1317;938;938;936;2;0;3;1;3;0;2;114;1;2;268;1;125;3;1;5;33;2;0;0;0;0;358;0;13;1;;
VARAŽDIN;14;1230;861;861;853;8;0;2;3;1;0;1;125;2;0;254;3;133;0;0;12;20;0;0;0;1;1;284;5;5;1;;
VARAŽDIN;15;1042;782;782;771;11;0;0;1;3;0;0;103;0;0;243;2;106;1;1;13;17;1;0;1;0;1;275;0;1;2;;
VARAŽDIN;16;737;542;542;534;8;0;0;0;2;0;0;57;3;0;163;2;61;0;0;3;16;0;0;1;0;0;216;1;5;4;;
VARAŽDIN;17;494;388;388;386;2;1;2;0;0;0;2;55;0;0;115;0;43;0;2;6;15;0;0;0;1;0;142;2;0;0;;
VARAŽDIN;18;506;370;370;367;3;0;0;0;0;0;1;59;0;0;107;0;67;1;1;2;6;0;0;0;0;0;117;1;4;1;;
VARAŽDIN;19;1230;898;898;886;12;0;0;2;0;0;0;139;2;0;274;1;154;3;0;10;14;3;0;0;0;0;279;2;3;0;;
VARAŽDIN;20;772;593;593;585;8;0;1;1;2;0;0;76;1;1;159;0;60;1;0;10;20;1;1;0;2;0;243;1;4;1;;
VARAŽDIN;21;542;391;391;387;4;0;1;1;0;0;0;52;0;0;104;0;102;1;0;1;9;2;0;0;0;0;112;0;2;0;;
VARAŽDIN;22;694;532;532;521;11;0;0;0;1;1;0;75;1;0;158;0;83;2;0;5;18;1;0;1;1;0;170;0;4;0;;
VARAŽDIN;23;636;464;464;462;2;0;0;0;1;0;0;77;0;0;145;2;85;0;0;5;13;1;0;0;0;0;127;1;3;2;;
VARAŽDIN;24;1132;854;854;849;5;0;1;2;1;0;0;116;3;1;273;0;154;1;0;9;15;2;0;0;0;0;267;0;3;1;;
VARAŽDIN;25;1159;911;911;902;9;0;0;4;1;0;1;144;3;0;260;0;168;1;1;4;31;0;3;0;1;0;273;2;5;0;;
VARAŽDIN;26;782;564;563;552;11;0;0;5;3;0;0;77;1;0;178;0;78;0;0;7;15;0;0;0;0;0;180;0;8;0;;
VARAŽDIN;27;1152;930;930;920;10;0;1;2;4;0;0;152;0;0;298;0;160;2;1;9;16;2;0;0;3;0;263;1;6;0;;
VARAŽDIN;28;1364;997;997;988;9;1;1;1;3;1;0;152;3;0;323;1;175;0;1;8;26;3;1;0;1;0;277;1;6;3;;
VARAŽDIN;29;378;253;253;247;6;0;0;1;0;0;1;35;2;0;93;0;36;1;0;1;5;0;0;0;0;0;70;0;1;1;;
VARAŽDIN;30;857;594;594;588;6;1;1;1;3;0;0;82;0;0;208;1;114;0;1;9;28;2;0;0;0;0;135;0;1;1;;
VARAŽDIN;31;1232;910;910;894;16;0;1;3;3;0;0;122;4;0;304;1;144;0;0;5;29;4;0;0;0;0;263;2;8;1;;
VARAŽDIN;32;1969;1481;1481;1464;17;0;5;1;3;1;2;241;3;0;452;3;191;3;1;21;60;0;2;0;4;0;456;4;10;1;;
VARAŽDIN;33;658;490;490;487;3;0;0;1;2;0;0;89;1;0;136;0;59;0;0;9;21;0;0;0;0;0;165;1;2;1;;
VARAŽDIN;34;1318;941;941;924;17;2;1;1;4;0;0;114;2;0;262;2;128;0;0;8;29;2;1;0;1;2;352;2;8;3;;
VARAŽDIN;35;853;647;647;643;4;0;1;0;4;1;1;81;3;0;180;3;85;4;2;4;15;1;0;0;1;0;248;2;5;2;;
VARAŽDIN;36;1552;1207;1206;1187;19;0;1;2;1;0;1;172;1;1;332;1;161;1;1;4;40;1;0;1;0;1;455;1;9;0;;
VARAŽDIN;37;1017;698;696;688;8;1;0;0;1;0;0;129;2;1;188;1;90;2;0;10;24;1;0;0;0;0;230;4;4;0;;
VARAŽDIN;38;713;476;476;464;12;0;1;1;4;0;0;66;0;0;147;0;108;2;1;1;12;0;0;0;0;0;119;0;1;1;;
VARAŽDIN;39;1609;1175;1175;1160;15;0;0;1;10;0;1;170;0;0;388;2;195;1;0;7;35;0;0;0;0;0;343;0;4;3;;
VARAŽDIN;40;858;636;635;629;6;0;1;1;2;0;1;125;1;0;239;1;112;1;0;6;15;0;0;0;0;0;121;3;0;0;;
VARAŽDIN;41;1097;752;752;741;11;0;1;1;1;1;0;99;1;0;311;1;132;4;1;0;21;0;0;2;0;1;159;0;5;0;;
VARAŽDIN;42;379;300;300;299;1;0;1;2;0;0;1;81;1;1;93;0;65;0;2;2;4;0;0;0;1;0;45;0;0;0;;
VARAŽDIN;43;573;394;394;389;5;0;1;0;0;1;0;51;3;0;152;1;83;0;0;2;7;0;0;0;0;0;86;1;1;0;;
VARAŽDIN;44;481;381;381;378;3;0;4;2;0;0;0;63;0;1;110;1;106;0;0;4;19;0;0;0;1;0;65;0;1;1;;
VARAŽDIN;45;1181;902;902;892;10;0;1;1;1;1;1;141;0;1;357;2;131;3;3;10;17;0;0;0;1;1;218;0;2;0;;
VARAŽDIN;46;948;761;761;748;13;0;2;2;1;0;0;129;2;0;220;3;189;3;3;6;10;0;0;0;0;0;168;1;3;6;;
VARAŽDIN;47;623;469;469;464;5;0;0;1;1;0;3;77;0;1;114;1;147;0;1;8;5;0;0;1;0;0;99;0;3;2;;
VARAŽDIN;48;416;326;325;321;4;1;3;0;0;0;0;33;0;0;73;0;108;1;0;1;6;1;0;0;0;0;91;1;2;0;;
VARAŽDINSKE TOPLICE;1;421;325;325;322;3;0;0;0;0;0;0;67;1;1;89;1;47;2;1;3;6;3;0;0;0;1;98;0;1;1;;
VARAŽDINSKE TOPLICE;2;533;388;388;383;5;0;0;1;2;0;1;106;1;0;83;0;49;2;1;21;6;0;0;0;0;0;107;0;3;0;;
VARAŽDINSKE TOPLICE;3;635;468;467;462;5;0;0;1;0;0;0;89;3;0;113;0;64;3;0;11;8;1;0;0;0;0;162;1;3;3;;
