Izborna jedinica;Grad/opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: RÓBERT JANKOVICS, Zamjenik: TIBOR SANTO, dr.med., Predlagatelj: DEMOKRATSKA ZAJEDNICA MAÐARA HRVATSKE - DZMH                                        ;Kandidat: STANISLAV RUKSINSKI, Zamjenik: FERENC SALAI, Predlagatelj: ABECEDA DEMOKRACIJE - ABECEDA                                        ;Kandidat: PETER SEKEREŠ, Zamjenik: ROKUŠ KALAPIŠ, Predlagatelj: NEOVISNI KANDIDAT                                        ;Kandidat: mr.sc. DENEŠ ŠOJA, Zamjenik: JOSIP KEL, Predlagatelj: SAVEZ MAÐARSKIH UDRUGA                                       ;Kandidat: TIBOR VARGA, dipl.oec., Zamjenik: JOSIP JUHAS, Predlagatelj: NEOVISNI KANDIDAT                                        ;;;;;;;;;;;;;;;;;;;;;;
3;IVANEC  ;34;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;KLANJEC  ;10;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;KRAPINA  ;15;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;LEPOGLAVA  ;16;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;LUDBREG  ;13;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;MURSKO SREDIŠÆE  ;7;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;NOVI MAROF  ;30;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;OROSLAVJE  ;7;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;PREGRADA  ;13;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;PRELOG  ;10;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;VARAŽDIN  ;48;5;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;VARAŽDINSKE TOPLICE  ;21;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;ZABOK  ;16;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;ZLATAR  ;17;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;BEDEKOVÈINA  ;13;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;BEDNJA  ;18;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;BELICA  ;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;BERETINEC  ;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;BREZNICA  ;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;BREZNIÈKI HUM  ;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;BUDINŠÈINA  ;9;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;CESTICA  ;12;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;DEKANOVEC  ;1;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;DESINIÆ  ;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;DOMAŠINEC  ;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;DONJA DUBRAVA  ;2;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;DONJA VOÆA  ;8;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;DONJI KRALJEVEC  ;8;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;DONJI VIDOVEC  ;2;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;ÐURMANEC  ;12;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;GORIÈAN  ;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;GORNJA STUBICA  ;15;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;GORNJI KNEGINEC  ;7;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;GORNJI MIHALJEVEC  ;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;HRAŠÆINA  ;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;HUM NA SUTLI  ;8;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;JALŽABET  ;7;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;JESENJE  ;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;KLENOVNIK  ;7;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;KONJŠÈINA  ;17;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;KOTORIBA  ;4;5;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;KRALJEVEC NA SUTLI  ;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;KRAPINSKE TOPLICE  ;11;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;KUMROVEC  ;9;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;LOBOR  ;9;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;LJUBEŠÆICA  ;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;MAÈE  ;8;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;MALA SUBOTICA  ;7;1;1;1;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;MALI BUKOVEC  ;7;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;MARIJA BISTRICA  ;15;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;MARTIJANEC  ;10;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;MARUŠEVEC  ;15;7;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;MIHOVLJAN  ;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;NEDELIŠÆE  ;15;3;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;NOVI GOLUBOVEC  ;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;OREHOVICA  ;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;PETRIJANEC  ;8;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;PETROVSKO  ;11;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;PODTUREN  ;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;PRIBISLAVEC  ;2;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;RADOBOJ  ;9;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;SELNICA  ;7;3;1;1;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;SRAÈINEC  ;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;STRAHONINEC  ;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;STUBIÈKE TOPLICE  ;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;SVETA MARIJA  ;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;SVETI ÐURÐ  ;10;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;SVETI ILIJA  ;8;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;SVETI JURAJ NA BREGU  ;9;3;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;SVETI KRIŽ ZAÈRETJE  ;14;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;SVETI MARTIN NA MURI  ;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;ŠENKOVEC  ;3;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;ŠTRIGOVA  ;7;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;TRNOVEC BARTOLOVEÈKI  ;7;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;TUHELJ  ;10;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;VELIKI BUKOVEC  ;3;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;VELIKO TRGOVIŠÆE  ;11;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;VIDOVEC  ;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;VINICA  ;7;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;VISOKO  ;7;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;VRATIŠINEC  ;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;ZAGORSKA SELA  ;7;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
3;ZLATAR-BISTRICA  ;6;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
4;BELI MANASTIR  ;12;542;252;252;248;4;112;2;5;126;3;;;;;;;;;;;;;;;;;;;;;;
4;BELIŠÆE  ;15;15;6;6;6;0;2;3;0;1;0;;;;;;;;;;;;;;;;;;;;;;
4;DONJI MIHOLJAC  ;10;14;3;3;3;0;2;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;
4;ÐAKOVO  ;37;57;11;11;11;0;7;0;1;3;0;;;;;;;;;;;;;;;;;;;;;;
4;NAŠICE  ;27;7;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
4;ORAHOVICA  ;11;4;1;1;1;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;
4;OSIJEK  ;111;523;177;176;175;1;79;5;3;84;4;;;;;;;;;;;;;;;;;;;;;;
4;SLATINA  ;23;21;1;1;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
4;VALPOVO  ;17;7;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
4;VIROVITICA  ;21;21;5;4;4;0;3;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;
4;ANTUNOVAC  ;2;12;3;3;3;0;0;0;0;3;0;;;;;;;;;;;;;;;;;;;;;;
4;BILJE  ;6;1386;864;864;858;6;523;2;5;319;9;;;;;;;;;;;;;;;;;;;;;;
4;BIZOVAC  ;8;4;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
4;CRNAC  ;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
4;ÈAÈINCI  ;8;5;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
4;ÈAÐAVICA  ;8;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
4;ÈEMINAC  ;4;47;16;16;15;1;4;1;1;9;0;;;;;;;;;;;;;;;;;;;;;;
4;ÈEPIN  ;14;21;7;7;7;0;0;0;0;7;0;;;;;;;;;;;;;;;;;;;;;;
4;DARDA  ;6;308;79;79;78;1;26;0;2;46;4;;;;;;;;;;;;;;;;;;;;;;
4;DONJA MOTIÈINA  ;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
4;DRAŽ  ;6;693;444;444;440;4;240;0;0;200;0;;;;;;;;;;;;;;;;;;;;;;
4;DRENJE  ;11;5;2;2;2;0;0;0;1;1;0;;;;;;;;;;;;;;;;;;;;;;
4;ÐURÐENOVAC  ;16;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
4;ERDUT  ;10;322;178;178;175;3;165;0;2;6;2;;;;;;;;;;;;;;;;;;;;;;
4;ERNESTINOVO  ;2;299;130;130;126;4;99;0;1;22;4;;;;;;;;;;;;;;;;;;;;;;
4;FERIÈANCI  ;5;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
4;GORJANI  ;2;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
4;GRADINA  ;12;19;11;11;11;0;11;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
4;JAGODNJAK  ;3;50;19;19;18;1;18;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
4;KNEŽEVI VINOGRADI  ;8;1697;1056;1056;1042;14;407;2;3;622;8;;;;;;;;;;;;;;;;;;;;;;
4;KOŠKA  ;10;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
4;LEVANJSKA VAROŠ  ;9;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
4;LUKAÈ  ;10;2;1;1;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
4;MAGADENOVAC  ;6;3;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
4;MARIJANCI  ;6;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
4;MIKLEUŠ  ;3;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
4;NOVA BUKOVICA  ;8;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
4;PETLOVAC  ;6;249;131;131;131;0;76;1;4;49;1;;;;;;;;;;;;;;;;;;;;;;
4;PETRIJEVCI  ;4;4;1;1;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
4;PITOMAÈA  ;19;4;3;3;3;0;2;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;
4;PODGORAÈ  ;10;2;1;1;1;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;
4;PODRAVSKA MOSLAVINA  ;2;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
4;POPOVAC  ;3;66;30;30;30;0;21;1;1;7;0;;;;;;;;;;;;;;;;;;;;;;
4;PUNITOVCI  ;3;2;1;1;1;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;
4;SATNICA ÐAKOVAÈKA  ;4;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
4;SEMELJCI  ;5;5;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
4;SOPJE  ;9;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
4;STRIZIVOJNA  ;3;3;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
4;SUHOPOLJE  ;19;11;1;1;1;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;
4;ŠODOLOVCI  ;7;10;4;4;4;0;2;0;0;2;0;;;;;;;;;;;;;;;;;;;;;;
4;ŠPIŠIÆ BUKOVICA  ;8;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
4;TRNAVA  ;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
4;VILJEVO  ;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
4;VIŠKOVCI  ;3;3;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
4;VLADISLAVCI  ;4;110;77;77;77;0;4;0;6;67;0;;;;;;;;;;;;;;;;;;;;;;
4;VOÆIN  ;3;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
4;VUKA  ;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
4;ZDENCI  ;9;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;ILOK  ;7;38;4;4;1;3;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;KUTJEVO  ;21;3;1;1;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
5;LIPIK  ;19;50;23;23;23;0;1;0;1;21;0;;;;;;;;;;;;;;;;;;;;;;
5;NOVA GRADIŠKA  ;14;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
