Država;Broj biraèkih mjesta;UKUPNO biraèa;Glasovalo ukupno;Listiæi ukupno;Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: VLADIMIR PAVLETIÆ                                        ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, HRVATSKA RADNIÈKA STRANKA - HRS, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;ALIJANSA ZA PRAVNU DRŽAVU - ALIJANSA, Nositelj liste: dr.sc. JURAJ PLENKOVIÆ;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;DOMOVINSKA GRAÐANSKA STRANKA - DGS, Nositelj liste: DAMIR BAKSA;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: TADIJA LJUBIÈIÆ                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: IVAN VUKOJA                                      ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: ŠIME TOLIÆ;NEOVISNA LISTA, Nositelj liste: ANDJELKO GALIÆ                                ;NEOVISNA LISTA, Nositelj liste: JERKO IVANKOVIÆ LIJANOVIÆ                               ;STRANKA HRVATSKIH BRANITELJA - SHB, Nositelj liste: DOMAGOJ MARGETIÆ                    ;;;;;;;;;;;;;;
NJEMAÈKA  ;23;38233;2329;2328;2315;13;3;17;2;7;1;13;2051;16;158;9;8;17;13;;;;;;;;;;;;;;
PERU  ;1;1410;68;68;64;4;2;1;3;0;4;0;46;4;1;1;0;1;1;;;;;;;;;;;;;;
POLJSKA  ;1;59;5;5;5;0;0;2;0;0;0;0;2;0;0;0;0;0;1;;;;;;;;;;;;;;
PORTUGAL  ;1;18;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
RUMUNJSKA  ;2;1499;106;106;104;2;2;2;4;2;2;2;86;2;1;0;0;0;1;;;;;;;;;;;;;;
RUSKA FEDERACIJA  ;1;113;5;5;5;0;0;2;0;2;0;0;1;0;0;0;0;0;0;;;;;;;;;;;;;;
SAD  ;6;5373;255;255;254;1;1;2;0;3;1;5;209;2;22;3;1;3;2;;;;;;;;;;;;;;
SLOVAÈKA REPUBLIKA  ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
SLOVENIJA  ;1;4376;98;98;92;6;0;7;0;2;0;1;73;4;2;0;1;0;2;;;;;;;;;;;;;;
SRBIJA  ;15;23716;1120;1118;1067;51;9;102;14;109;11;12;680;25;33;0;31;35;6;;;;;;;;;;;;;;
ŠPANJOLSKA  ;2;200;5;5;5;0;1;0;0;0;0;0;4;0;0;0;0;0;0;;;;;;;;;;;;;;
ŠVEDSKA  ;3;2096;123;121;120;1;0;1;0;3;0;3;94;1;15;0;0;2;1;;;;;;;;;;;;;;
ŠVICARSKA  ;5;8350;509;509;509;0;0;0;0;3;0;4;465;1;33;0;1;1;1;;;;;;;;;;;;;;
TURSKA  ;2;52;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;
UKRAJINA  ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
VELIKA BRITANIJA  ;1;515;8;8;8;0;0;1;0;1;0;0;6;0;0;0;0;0;0;;;;;;;;;;;;;;
VENECUELA  ;1;467;112;112;112;0;1;2;1;2;0;1;93;1;4;0;0;5;2;;;;;;;;;;;;;;
UKUPNO;265;404950;90456;90376;89627;749;166;730;132;828;88;325;73427;438;3857;80;246;9024;286;;;;;;;;;;;;;;
