Grad/opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: mr.sc. DRAGUTIN PRIBANIÆ                                       ;AKCIJA MLADIH - AM, Nositelj liste: GORAN FRKOVIÆ, dipl.iur.                                                    ;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: JASENKO STIPAC, dipl.ing.                         ;DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENI HRVATSKE - ZELENI HR, Nositelj liste: MARIJA JELINÈIÆ;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;DOMOVINSKA GRAÐANSKA STRANKA - DGS, Nositelj liste: NENAD DUBRAVEC;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: JOSIP MILJAK                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA EUROPSKA STRANKA - HES, Nositelj liste: NAJA ŠEBALJ          ;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                   ;HRVATSKA RADNIÈKA STRANKA - HRS, AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, PRIMORSKO GORANSKI SAVEZ - PGS, Nositelj liste: BOŽIDAR PANKRETIÆ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: ROBERT OSTRUN                                        ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: MLADEN ŠEPIÆ;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: KRUNOSLAV GAŠPARIÆ;LJEVICA HRVATSKE - LJEVICA, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, HRVATSKI SOCIJALDEMOKRATI - HSD, Nositelj liste: VLADIMIR BEBIÆ, dipl. politolog;NEOVISNA LISTA, Nositelj liste: HRVOJE HITREC                                 ;NEOVISNA LISTA, Nositelj liste: IVAN LONÈAR, dipl.ing.                                 ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;STRANKA UMIROVLJENIKA - SU, Nositelj liste: VENKO BANOVIÆ;ZELENA LISTA, Nositelj liste: DRAGUTIN RIBARIÆ.                                                          ;;;
ÈAVLE  ;7;5921;3866;3864;3806;58;9;37;3;23;38;5;3;10;919;9;237;17;200;38;96;195;2;5;62;10;14;1780;59;35;;;
DRAGANIÆ  ;4;2607;1573;1573;1543;30;3;7;6;1;19;1;1;5;588;1;53;5;181;9;74;55;4;10;3;0;16;481;11;9;;;
FUŽINE  ;3;1577;1020;1020;986;34;2;10;2;4;5;1;2;2;244;2;50;3;60;5;29;37;3;0;7;2;5;488;15;8;;;
GENERALSKI STOL  ;8;2691;1532;1532;1497;35;5;4;11;5;16;0;2;17;800;3;68;3;120;8;106;50;5;22;5;3;12;206;19;7;;;
JELENJE  ;9;4378;2940;2940;2870;70;4;33;13;31;30;2;4;8;698;4;150;13;230;51;113;163;6;8;44;10;23;1149;64;19;;;
JOSIPDOL  ;11;3188;2193;2193;2155;38;2;5;7;10;5;4;1;4;1173;6;87;7;81;16;131;109;8;15;8;9;19;407;31;10;;;
KAMANJE  ;3;917;598;598;588;10;0;2;0;1;3;0;0;1;129;0;24;1;16;2;12;13;1;2;2;6;3;366;2;2;;;
KLANA  ;6;1694;1138;1138;1111;27;4;15;2;8;5;3;0;4;259;3;33;3;86;13;34;93;1;3;19;5;7;478;23;10;;;
KLINÈA SELA  ;16;4326;2868;2865;2795;70;3;15;11;2;31;1;5;11;935;2;74;7;401;31;120;173;1;15;7;7;22;856;48;17;;;
KRAŠIÆ  ;13;2629;1549;1545;1510;35;1;10;4;11;29;2;6;13;828;6;39;11;147;19;57;42;8;6;6;14;13;221;16;1;;;
KRNJAK  ;5;1208;643;643;626;17;2;1;1;3;4;0;0;2;215;1;50;1;6;0;14;8;1;0;5;1;1;305;4;1;;;
LASINJA  ;6;1586;929;929;916;13;0;1;2;2;5;0;1;4;455;0;38;4;91;5;85;28;4;7;1;3;8;163;5;4;;;
LOKVE  ;1;990;730;729;716;13;1;3;1;0;3;0;2;1;202;2;31;1;89;7;45;28;0;0;2;3;0;270;16;9;;;
MRKOPALJ  ;2;1303;807;807;785;22;2;7;3;3;8;4;1;6;284;1;17;5;62;4;58;48;0;0;1;4;2;252;11;2;;;
NETRETIÆ  ;17;3061;1899;1899;1861;38;8;6;16;7;18;6;7;13;885;3;52;5;233;23;83;71;3;16;4;4;20;338;30;10;;;
PISAROVINA  ;10;3314;2048;2048;1988;60;9;3;11;10;24;1;2;8;820;0;62;9;251;19;58;72;9;8;13;3;10;559;19;8;;;
PLAŠKI  ;3;1346;809;807;777;30;1;1;1;0;2;1;2;5;402;0;68;0;10;7;15;22;1;3;1;0;3;219;11;2;;;
RAKOVICA  ;5;2345;1353;1353;1325;28;2;4;6;3;9;0;2;6;731;0;27;3;127;6;84;22;1;17;2;4;4;256;6;3;;;
RAVNA GORA  ;4;2341;1624;1624;1601;23;1;4;4;4;3;0;2;7;538;1;67;6;157;13;53;89;3;2;8;1;8;596;31;3;;;
RIBNIK  ;4;578;323;323;305;18;0;2;7;0;0;2;0;1;78;2;7;1;65;4;6;11;4;2;1;1;0;101;6;4;;;
SABORSKO  ;1;613;349;349;341;8;0;0;0;0;0;0;1;2;230;0;12;0;8;2;3;35;1;19;1;1;0;21;3;2;;;
SKRAD  ;1;1096;793;793;778;15;1;3;0;3;2;0;1;2;269;0;16;1;74;5;26;54;2;0;1;1;8;287;19;3;;;
STUPNIK  ;3;3070;1755;1755;1723;32;4;3;19;10;28;1;7;4;591;3;71;9;172;23;66;77;2;17;3;4;16;564;19;10;;;
TOUNJ  ;4;1064;688;688;666;22;6;3;3;2;6;2;0;1;328;0;39;1;54;5;34;44;0;2;1;0;15;111;7;2;;;
VINODOLSKA OPÆINA  ;5;3506;2079;2079;2054;25;4;11;5;8;12;5;5;5;512;4;122;6;109;17;94;66;1;3;25;4;10;1001;15;10;;;
VIŠKOVO  ;7;10145;6238;6238;6166;72;4;62;5;25;74;3;8;14;2116;4;273;22;291;70;152;213;11;22;86;16;23;2546;81;45;;;
VOJNIÆ  ;12;4113;2190;2189;2155;34;3;11;1;9;8;4;5;9;779;4;76;4;26;7;87;19;3;37;5;7;2;1028;13;8;;;
ŽAKANJE  ;12;1987;1318;1318;1295;23;3;9;20;11;13;0;4;4;461;1;35;2;158;17;145;37;1;6;2;6;6;332;16;6;;;
ŽUMBERAK  ;8;1174;599;595;577;18;8;0;8;6;6;2;2;3;245;6;12;2;52;3;33;8;7;2;3;2;3;154;9;1;;;
UKUPNO;699;403812;262039;261491;257343;4148;374;1057;662;1331;2983;210;330;758;89596;298;14294;948;16813;2095;8328;11751;398;1626;1149;699;1436;95548;3112;1547;;;
