Izborna jedinica;Grad / opæina;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  BRANKO OZIMEC;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  MIROSLAV RAJH  ;AKCIJA MLADIH - AM  , Nositelj liste:  VOJMIR SABOLIÆ ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU  , Nositelj liste:  ZLATKO KLARIÆ, prof. ;AKCIJA ZA BOLJU HRVATSKU - ABH , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  mr.sc. ŽELJKO SAÈIÆ;AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS , SAVEZ ZA PROMJENE - SP  , Nositelj liste:  IVAN PERNAR;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  RUDOLF FORKO   ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ;HRVATSKA DEMOKRATSKA SELJAÈKA STRANKA - HDSS  , Nositelj liste:  IVAN MARTAN ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR ;HRVATSKA EUROPSKA STRANKA - HES  , Nositelj liste:  NAJA ŠEBALJ;HRVATSKA KRŠÆANSKA DEMOKRATSKA UNIJA - HKDU  , Nositelj liste:  BOŽO RENDIÆ   ;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  dr.sc. ZVONIMIR SABATI ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS , ZAGORSKA DEMOKRATSKA STRANKA - ZDS  , Nositelj liste:  DARINKO KOSOR ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ   ;HRVATSKA STRANKA ZELENIH - EKO SAVEZ - ZELENI  , Nositelj liste:  ROBERT ŠPOLJAR, dipl.ing.sig.;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  LADISLAV ILÈIÆ  ;MEÐIMURSKI DEMOKRATSKI SAVEZ - MDS  , Nositelj liste:  ŽELJKO PAVLIC  ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  DEAN GOLUBIÆ, dipl.krim. ;NEOVISNA LISTA  , Nositelj liste:  IVAN FIOLIÆ FIO;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ   ;, NOVA HRVATSKA - NH  , Nositelj liste:  BORKO ŠAMIJA  ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  RADIMIR ÈAÈIÆ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  FRANJO GOLENKO ;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad. ;ZAGORSKA STRANKA - ZS  , Nositelj liste:  MILJENKO JERNEIÆ  ;ZELENA LISTA  , Nositelj liste:  STANKO BEZEK  ;ZELENA STRANKA - ZS  , Nositelj liste:  TIHOMIR CAMPANELLO  ;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;DONJA STUBICA;9;MATENCI (DONJI);DRUŠTVENI DOM MATENCI (DONJI);MATENCI DONJI;199;119;119;118;1;0;0;1;0;0;1;0;2;0;0;31;0;1;17;6;2;1;2;11;5;0;0;2;0;0;35;0;0;1;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;DONJA STUBICA;10;LEPA VES;PODRUÈNA OSNOVNA ŠKOLA;LEPA VES;344;206;206;205;1;0;0;1;2;2;6;0;2;0;0;45;0;0;14;5;4;0;0;12;4;0;0;4;2;0;95;0;0;6;1;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;DONJA STUBICA;11;VUÈAK;PODRUÈNA OSNOVNA ŠKOLA;VUÈAK;367;238;238;236;2;0;1;1;2;4;4;1;5;1;2;63;1;1;15;6;3;0;1;16;4;0;1;4;1;1;95;0;1;2;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;IVANEC;1;IVANEC - 1;SREDNJA ŠKOLA - BIR.1;IVANEC;580;400;400;396;4;0;0;3;1;3;3;1;15;7;2;42;1;1;13;13;1;4;0;26;10;0;0;0;3;0;242;1;1;2;0;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;IVANEC;2;IVANEC - 2;OSNOVNA ŠKOLA - BIR.1;IVANEC;954;674;674;664;10;0;3;2;3;1;1;0;12;4;3;50;0;1;18;15;13;3;4;62;21;2;0;1;8;0;428;4;0;0;3;2;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;IVANEC;3;IVANEC - 3;"STARA RADIONICA ""PAHINSKO""";IVANEC;593;405;405;396;9;1;0;1;3;3;2;1;3;3;1;39;0;0;17;5;6;0;4;35;14;1;0;0;3;2;245;1;0;3;1;2;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;IVANEC;4;IVANEC - 4;SREDNJA ŠKOLA - BIR.2;IVANEC;621;398;398;394;4;1;0;2;0;2;0;0;11;0;1;37;0;0;19;11;3;2;3;36;13;0;0;2;1;0;243;0;0;2;3;2;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;IVANEC;5;IVANEC - 5;"NOVA RADIONICA ""PAHINSKO""";IVANEC;382;240;240;237;3;0;0;2;6;0;0;0;4;2;2;24;0;0;6;6;1;0;0;24;5;0;0;1;0;1;149;1;0;1;0;2;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;IVANEC;6;IVANEC - 6;OSNOVNA ŠKOLA - BIR.2;IVANEC;770;513;513;509;4;0;1;1;7;4;3;0;6;3;4;75;1;4;26;10;3;2;0;35;23;2;1;3;0;0;292;0;0;0;1;2;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;IVANEC;7;IVANEC - 7;"PROSTORIJE BIVŠE ŽELJEZARE ""FŽ""";ŽRTAVA HRVATSKIH DOM. RATOVA 16A;560;376;376;365;11;0;0;0;1;1;2;0;3;0;2;35;0;2;6;4;6;1;2;28;9;0;0;0;4;1;251;1;0;2;2;2;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;IVANEC;8;LANÈIÆ;DRUŠTVENI DOM;LANÈIÆ;335;219;218;212;6;0;0;2;1;0;0;0;1;0;2;12;0;0;5;5;0;0;0;28;4;0;0;3;0;1;146;0;0;1;0;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;IVANEC;9;VUGLOVEC;PROSTORIJE BIVŠE MJESNE ZAJEDNICE;VUGLOVEC;277;182;182;173;9;0;0;0;1;2;0;1;0;1;0;10;0;0;4;0;5;0;1;8;4;0;0;0;0;0;133;1;0;0;1;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;IVANEC;10;GEÈKOVEC;KUÆA POK. SLAVICE GEÈEK;GEÈKOVEC 5;108;81;81;79;2;0;0;0;1;1;0;1;1;1;0;5;0;0;2;1;0;0;0;3;2;0;0;1;2;0;55;2;0;0;1;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;IVANEC;11;KANIŽA;KUÆA MARIJE WEBER;KANIŽA BB;258;178;178;173;5;0;0;0;0;1;1;1;3;0;1;14;0;0;4;3;1;1;0;14;0;1;0;0;1;0;127;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;IVANEC;12;BEDENEC;VATROGASNI DOM - BIR. 1;BEDENEC;385;218;218;211;7;0;1;0;1;2;2;0;3;1;5;42;1;0;18;3;3;0;0;8;1;1;0;1;0;0;116;1;0;0;1;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;IVANEC;13;BEDENEC;VATROGASNI DOM - BIR. 2;BEDENEC;269;129;129;127;2;0;0;0;1;0;2;1;3;1;2;15;1;0;15;1;1;0;1;8;1;0;0;0;0;0;73;0;0;0;0;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;IVANEC;14;JEROVEC DONJI;KUÆA DRAGUTINA BREZOVCA;JEROVEC 96;369;263;263;260;3;0;1;0;2;3;1;0;1;0;0;58;0;0;5;3;4;1;0;10;4;0;1;0;3;1;160;0;0;2;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;IVANEC;15;JEROVEC;PROSTORIJE BIVŠE MJESNE ZAJEDNICE;JEROVEC;342;222;222;218;4;0;0;2;2;4;2;0;2;1;1;64;0;1;7;5;1;1;0;13;2;0;0;1;0;0;109;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;IVANEC;16;RIBIÆ BREG;KUÆA POK. VJEKOSLAVA PAHIÆA;RIBIÆ BREG 3;129;89;89;86;3;0;0;0;1;0;0;0;2;1;2;21;0;0;1;2;1;0;0;6;0;1;0;1;0;0;46;0;1;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;IVANEC;17;HORVATSKO;"PROSTORIJE ""ORION""";HORVATSKO 28;141;97;97;91;6;0;0;0;0;0;1;0;1;0;2;21;1;0;1;5;3;0;1;6;4;0;0;0;0;0;45;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;IVANEC;18;PRIGOREC;OSNOVNA ŠKOLA;PRIGOREC;466;285;285;279;6;0;0;0;3;1;0;1;7;0;2;31;0;0;44;5;1;0;2;18;7;1;0;2;0;0;153;0;0;1;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;IVANEC;19;PUNIKVE;DRUŠTVENI DOM;PUNIKVE;374;259;259;254;5;0;0;1;3;1;0;0;4;0;5;28;0;2;15;4;7;18;0;17;5;0;0;3;1;1;136;1;0;2;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;IVANEC;20;IVANEÈKO NASELJE;"TRGOVINA ""ŠTACUN""";IVANEÈKO NASELJE 13;202;155;155;152;3;0;1;0;1;0;0;0;3;0;5;9;0;2;9;3;2;1;0;8;7;0;0;0;3;0;98;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;IVANEC;21;IVANEÈKI VRHOVEC;KUÆA IVANA LONÈARA;IVANEÈKI VRHOVEC BB;267;173;173;162;11;1;0;1;2;0;1;0;5;1;0;25;0;0;9;4;6;0;0;5;2;3;0;1;0;0;95;1;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;IVANEC;22;VITEŠINEC;"BIVŠE IZLETIŠTE ""CRKVENJAK""";VITIŠINEC;88;61;61;60;1;0;1;0;1;0;0;0;2;0;0;4;0;0;3;1;0;0;0;3;1;0;0;0;0;0;44;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;IVANEC;23;GAÈICE;OSNOVNA ŠKOLA;GAÈICE;291;188;188;186;2;0;0;0;1;1;0;1;3;0;0;18;0;1;7;5;2;0;0;25;0;1;1;0;0;1;119;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;IVANEC;24;CERJE TUŽNO;DRUŠTVENI DOM;CERJE TUŽNO;141;100;100;98;2;0;0;2;1;0;0;0;0;1;1;14;0;1;0;2;1;0;0;5;3;0;0;2;0;0;60;0;0;0;3;2;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;IVANEC;25;SALINOVEC;STARA OSNOVNA ŠKOLA;SALINOVEC;423;297;295;290;5;0;1;1;0;0;3;0;6;0;2;19;0;1;45;18;2;1;3;4;0;1;0;3;0;0;177;0;0;0;3;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;IVANEC;26;IVANEÈKA ŽELJEZNICA;"UGOSTITELJ. OBJEKT ""ZELENA DOLINA""";IVANEÈKA ŽELJEZNICA BB;338;195;195;193;2;0;0;1;1;2;1;2;2;0;1;15;0;0;14;2;4;1;1;12;2;0;0;0;0;0;130;0;1;0;1;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;IVANEC;27;STAŽNJEVEC;STARA ŠKOLA;STAŽNJEVEC;287;186;186;181;5;0;0;2;0;2;0;0;2;0;2;15;1;0;13;4;1;3;0;10;7;0;0;2;0;2;115;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;IVANEC;28;LUKAVEC;DRUŠTVENI DOM;LUKAVEC;117;97;97;96;1;1;0;1;1;1;2;0;2;0;1;15;0;0;3;1;0;0;0;2;0;0;0;0;0;0;65;0;0;0;1;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;IVANEC;29;MARGEÈAN;OSNOVNA ŠKOLA - BIR.1;MARGEÈAN;345;242;242;238;4;0;0;1;1;2;0;0;1;1;3;39;0;0;9;2;2;0;0;14;8;1;0;0;4;1;148;1;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;IVANEC;30;MARGEÈAN;OSNOVNA ŠKOLA - BIR.2;MARGEÈAN;183;91;91;89;2;0;0;0;0;0;0;0;0;0;1;28;0;1;1;5;2;0;0;3;0;0;0;2;1;1;42;0;0;1;1;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;IVANEC;31;MARGEÈAN;OSNOVNA ŠKOLA - BIR.3;MARGEÈAN;169;107;107;103;4;0;1;0;2;0;0;0;0;1;1;39;0;0;6;0;3;0;0;5;1;0;0;1;2;0;39;0;0;0;2;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;IVANEC;32;RADOVAN;OSNOVNA ŠKOLA - BIR.1;RADOVAN;390;271;271;266;5;0;2;0;4;2;4;0;5;1;1;47;0;0;9;8;8;0;1;19;11;0;1;0;3;0;137;1;0;1;0;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;IVANEC;33;ŠKRILJEVEC (BIVŠA TRGOVINA);KUÆA TOME ŠKRILJEVEÈKI;ŠKRILJEVEC 55;229;132;132;130;2;0;0;0;1;2;1;0;0;0;2;23;0;1;4;2;5;0;0;4;0;2;0;0;1;0;81;0;0;0;1;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;IVANEC;34;RADOVAN;OSNOVNA ŠKOLA - BIR.2;RADOVAN;408;278;278;273;5;0;1;1;7;3;0;0;7;2;4;28;0;1;10;5;2;0;0;19;12;0;0;0;1;1;166;0;1;0;2;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;KLANJEC;1;KLANJEC;VELIKA DVORANA GRADA KLANJCA;TRG MIRA 11;506;360;360;347;13;1;1;4;2;2;1;0;11;2;1;59;0;0;4;19;2;6;1;20;5;1;0;2;0;1;198;0;0;4;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;KLANJEC;2;KLANJEC;KUÆA KSENIJE ŽUPANIÆ, MIHANOVIÆEV DOL;A. MIHANOVIÆA 3;279;208;208;201;7;0;0;0;2;1;5;0;4;0;1;28;1;0;8;10;2;2;1;5;3;0;1;1;4;0;117;2;0;2;1;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;KLANJEC;3;GREDICE;VATROGASNI DOM GREDICE;GREDICE 29;316;182;182;178;4;0;1;1;2;2;2;0;3;1;2;44;1;0;5;16;2;2;6;6;2;1;0;0;3;0;71;0;0;3;2;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;KLANJEC;4;NOVI DVORI;KUÆA LJUBICE JAMBREŠIÆ;NOVI DVORI 6;352;206;206;198;8;1;0;1;4;2;1;0;6;0;6;20;0;2;3;15;1;0;2;13;0;0;0;0;2;0;115;1;1;2;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;KLANJEC;5;GOLJAK;KUÆA DARKA BALJE;BRATOVSKI VRH 27;120;49;49;48;1;0;0;0;1;0;0;2;0;0;0;9;0;0;1;8;1;0;0;0;0;1;0;1;1;0;23;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;KLANJEC;6;KLANJEC;VELIKA DVORANA GRADA KLANJCA;TRG MIRA 11;233;154;154;150;4;0;1;0;0;0;1;0;1;2;3;26;0;0;1;8;1;3;1;11;3;0;1;2;2;0;80;1;0;2;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;KLANJEC;7;RAKOVEC;VATROGASNI DOM;RAKOVEC 17;325;176;176;171;5;0;1;1;3;3;2;0;5;3;0;29;2;1;5;13;8;2;1;6;3;2;1;2;0;0;72;0;1;3;1;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;KLANJEC;8;LUÈELNICA;OSNOVNA ŠKOLA;LUÈELNICA TOM. 32;315;185;185;177;8;2;2;0;3;0;1;0;5;0;2;35;0;1;2;43;0;1;0;7;3;1;0;2;1;0;56;1;0;9;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;KLANJEC;9;LETOVÈAN TOMAŠEVEÈKI;KUÆA HORVAT STJEPANA;LETOVÈAN TOMAŠEVEÈKI 5;123;55;55;55;0;1;0;2;0;0;1;0;0;0;0;15;0;0;1;13;1;1;0;2;0;0;0;0;0;0;15;0;1;0;1;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;KRAPINA;1;DONJA ŠEMNICA;OSNOVNA ŠKOLA ŠEMNICA DONJA;DONJA ŠEMNICA 287;798;438;438;425;13;0;1;1;5;0;7;8;4;2;0;135;1;1;4;17;9;4;0;28;6;1;0;5;0;0;177;0;0;3;2;4;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;KRAPINA;2;LEPAJCI;PODRUÈNA ŠKOLA LEPAJCI;LEPAJCI 4;965;604;604;591;13;1;2;2;5;1;5;2;25;4;0;106;0;0;8;17;14;1;0;49;0;2;2;8;4;0;314;3;2;10;4;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;KRAPINA;3;KRAPINA I;PUÈKO OTVORENO UÈILIŠTE (PLAVI SALON);ŠETALIŠTE HRV.NARODNOG PREP. 13;886;628;628;613;15;0;1;1;6;0;1;1;19;0;0;110;0;0;3;29;10;4;2;53;6;1;0;1;5;0;343;1;1;12;3;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;KRAPINA;4;KRAPINA II;OSNOVNA ŠKOLA LJUDEVIT GAJ;TRG STJEPANA RADIÆA  1;913;650;650;637;13;0;0;2;7;1;6;2;15;3;1;114;0;0;7;23;11;1;1;36;15;0;0;9;11;1;362;0;1;2;3;3;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;KRAPINA;5;KRAPINA III;PUÈKO UÈILIŠTE (MALA DVORANA);ŠETALIŠTE HRV.NARODNOG PREP. 13;1.023;719;719;696;23;0;1;1;9;4;10;0;13;2;3;128;0;0;7;24;14;4;3;64;9;2;1;2;5;1;377;2;1;4;1;4;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;KRAPINA;6;KRAPINA IV;OSNOVNA ŠKOLA A.CESAREC;ŠETALIŠTE I.VRENCEA  1;1.034;775;775;757;18;0;2;1;6;9;2;1;20;6;2;120;1;1;5;30;21;3;3;45;4;2;0;4;13;0;442;3;0;7;1;3;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;KRAPINA;7;PODGORA KRAPINSKA;PODRUÈNA ŠKOLA PODGORA;PODGORA  76;1.168;820;820;798;22;2;7;0;7;5;5;1;16;3;3;157;2;5;13;25;14;6;4;49;7;0;0;2;3;1;442;1;0;15;3;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;KRAPINA;8;ŽUTNICA;KUÆA VLADIMIRA ŠTEFANIÆA;ŽUTNICA 46A;303;188;188;185;3;0;0;1;4;6;1;1;6;2;2;47;0;0;2;4;2;0;1;12;2;0;0;1;0;1;87;0;0;1;0;2;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;KRAPINA;9;ŠUŠELJ BREG;GOSTIONA ŠUMSKI GUJDEK;TRŠKI VRH 91;327;227;227;217;10;0;0;4;2;0;2;0;11;0;1;37;1;0;6;7;7;2;1;16;1;0;0;2;1;0;114;0;0;0;0;2;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;KRAPINA;10;MIHALJEKOV JAREK;PROSTORIJE MJESNOG ODBORA;MIHALJEKOV JAREK 9A;1.019;722;720;697;23;0;0;3;5;4;2;6;21;7;2;165;1;0;12;49;11;2;8;38;8;2;0;18;5;0;311;1;0;12;3;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;KRAPINA;11;ŠKARIÆEVO;OSNOVNA ŠKOLA ŠKARIÆEVO;ŠKARIÆEVO 84;612;244;244;235;9;0;0;0;3;0;2;0;3;0;3;70;0;1;9;3;4;1;1;12;0;0;0;4;1;1;110;1;0;6;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;KRAPINA;12;LEPAJCI;PODRUÈNA ŠKOLA;LEPAJCI 4;364;192;192;189;3;0;0;0;0;0;0;0;3;2;1;46;0;0;6;10;7;1;0;11;0;1;0;3;0;0;92;1;0;2;0;3;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;KRAPINA;13;VIDOVEC KRAPINSKI;KUÆA LELJAK IVANKE;VIDOVEC KRAPINSKI 67;314;154;154;147;7;1;0;0;0;0;0;0;8;1;1;36;0;0;10;1;3;0;0;2;0;0;0;5;8;0;69;0;0;1;0;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;KRAPINA;14;BOBOVJE;DRUŠTVENI DOM BOBOVJE;BOBOVJE 43;600;405;405;383;22;0;0;4;4;2;6;3;12;3;3;98;0;2;10;24;3;2;0;30;3;0;1;8;6;0;147;1;1;9;1;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;KRAPINA;15;TKALCI;KUÆA BARILAR DAVORA;TKALCI 18;358;215;215;209;6;1;1;3;2;2;0;1;6;4;1;62;0;1;4;5;2;1;2;18;2;1;0;3;0;0;83;2;1;1;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;LEPOGLAVA;1;LEPOGLAVA - 1;"UGOST.OBJEKT ""STARA CIGLANA""";ULICA HRVATSKIH PAVLINA 101;702;413;413;406;7;0;2;1;2;3;0;0;9;1;1;64;1;2;11;3;9;2;1;16;3;2;1;2;1;0;267;0;0;0;1;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;LEPOGLAVA;2;LEPOGLAVA - 2;"BIVŠA TRGOVINA ""RENOVA"" VL. TOME KOSTANJEVCA";ULICA HRVATSKIH PAVLINA 52;392;267;267;264;3;0;0;0;0;7;0;0;5;2;0;50;0;1;7;11;3;2;2;18;1;1;1;0;1;0;151;0;0;1;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;LEPOGLAVA;3;LEPOGLAVA - 3;"OSNOVNA ŠKOLA ""ANTE STARÈEVIÆ""";LEPOGLAVA;832;585;585;578;7;0;4;2;1;0;3;2;17;5;0;79;0;0;4;7;5;9;2;52;7;0;3;0;3;0;366;0;0;1;5;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;LEPOGLAVA;4;LEPOGLAVA - 4;VATROGASNI DOM;LEPOGLAVA;365;219;219;214;5;0;0;1;1;1;0;1;3;2;0;53;1;2;5;5;3;4;1;10;3;2;0;1;3;1;108;0;1;0;2;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;LEPOGLAVA;5;OÈURA;DRUŠTVENI DOM;OÈURA;444;269;269;257;12;0;1;0;2;1;1;0;3;3;2;52;1;3;9;11;7;0;0;19;2;2;0;2;0;0;132;0;0;1;0;3;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;LEPOGLAVA;6;PURGA;"UGOSTITELJSKI OBJEKT ""SPORT""";IVANA MAŽURANIÆA 2A;514;318;318;317;1;0;0;3;2;0;0;0;4;2;2;66;0;1;11;3;3;2;2;17;6;1;0;2;4;1;178;1;0;1;3;2;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;LEPOGLAVA;7;KAMENIÈKI VRHOVEC;"BIVŠI UGOST. OBJEKT ""ZELENA DOLINA""";KAMENIÈKI VRHOVEC;177;120;120;119;1;0;0;1;0;0;0;0;3;0;1;18;0;0;5;1;1;0;0;7;0;0;0;0;0;0;80;0;0;1;1;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;LEPOGLAVA;8;KAMENICA;"OSNOVNA ŠKOLA ""IVAN RANGER""";KAMENICA;143;100;100;100;0;0;0;1;0;0;0;0;2;0;0;28;0;0;2;2;1;1;1;2;1;0;0;1;0;0;58;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;LEPOGLAVA;9;CRKOVEC;KUÆA MARIJANA ERDEC;CRKOVEC 12;163;116;116;115;1;0;0;0;0;0;1;1;0;0;2;30;0;0;7;0;10;0;0;3;0;1;0;0;0;0;59;1;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;LEPOGLAVA;10;VILETINEC;"BIVŠI UGOST. OBJEKT ""VIKTORIJA""";VILETINEC;168;93;93;91;2;0;0;1;0;1;0;0;2;0;0;19;0;0;1;2;1;1;1;1;4;0;1;1;0;0;53;0;0;0;2;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;LEPOGLAVA;11;VULIŠINEC;KUÆA MILICE KELEMENIÆ;VULIŠINEC 2;226;135;135;133;2;0;0;0;0;0;0;0;2;0;0;38;0;0;3;3;3;0;0;12;0;0;0;2;3;3;62;1;0;1;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;LEPOGLAVA;12;KAMENIÈKO PODGORJE - 1;KUÆA ŽELJKA JUREN;KAMENIÈKO PODGORJE 76;232;127;126;126;0;0;0;0;1;1;1;0;0;1;0;36;0;0;0;1;0;0;0;1;0;0;0;0;1;0;82;0;0;1;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;LEPOGLAVA;13;KAMENIÈKO PODGORJE - 2;KUÆA KRISTIJANA GALIÆ;ŽAROVNICA 215;190;81;81;81;0;0;0;0;0;0;1;0;0;0;0;11;0;0;3;0;2;1;0;3;0;1;0;0;0;0;59;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;LEPOGLAVA;14;DONJA VIŠNJICA;"OSNOVNA ŠKOLA ""IZIDOR POLJAK""";VIŠNJICA;453;229;229;224;5;1;1;1;1;2;0;0;1;4;0;60;0;0;4;1;5;1;3;10;1;0;0;4;0;0;123;1;0;0;0;0;;;;;;;;;;;;;;;;;
