Izborna jedinica;Grad / opæina;BM Rbr;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: BAJRO BAJRIÆ, Predlagatelj: HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS ;"Kandidat: BOJAN BALOG , Predlagatelj: UDRUGA ""ZA BOLJITAK"" ROMA MEÐIMURJA ";Kandidat: ŽELJKO BALOG, Predlagatelj: KROVNA ZAJEDNICA BAJAŠA HRVATSKE ;Kandidat: ŽELJKO BOGDAN, Predlagatelj: UDRUGA ROMA OSJEÈKO-BARANJSKE ŽUPANIJE ;Kandidat: SLAVKO BURDA, Predlagatelj: , AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU   ;Kandidat: TOTI DEDIÆ  , Predlagatelj: SAVEZ ZA PROMJENE - SP ;Kandidat: VIKTOR FILIMA, Predlagatelj: UKRAJINSKA ZAJEDNICA REPUBLIKE HRVATSKE;Kandidat: IBRAHIM GUŠANI  , Predlagatelj: MREŽA ROMSKIH UDRUGA HRVATSKE SLAVONSKI BROD - MRUHSB  ;Kandidat: SEAD BRACO HASANOVIÆ  , Predlagatelj: KOALICIJA ROMA HRVATSKE - KRUH  ;Kandidat: MILAN IGNAC, Predlagatelj: NEOVISNI KANDIDAT;Kandidat: ŽELJKO IVANIŠEVIÆ, Predlagatelj: UNIJA ROMA HRVATSKE - URH  ;Kandidat: IVAN JELENIÆ, Predlagatelj: HRVATSKA ROMSKA DEMOKRATSKA STRANKA - HRDS ;Kandidat: VELJKO KAJTAZI, Predlagatelj: CENTAR ZA PROVEDBU INTEGRACIJA U EUROPSKU UNIJU - CPI EU ;"Kandidat: ZVONKO KOSTELNIK, prof., Predlagatelj: KULTURNO UMJETNIÈKO DRUŠTVO ""JOAKIM HARDI"" PETROVCI ";Kandidat: NAZIF MEMEDI, Predlagatelj: NJEMAÈKO-AUSTRIJSKA UNIJA ;Kandidat: ALIJA MEŠIÆ , Predlagatelj: UDRUGA ROMA ZAGREB I ZAGREBAÈKE ŽUPANIJE;"Kandidat: ALADAR METZINGER, Predlagatelj: ŽIDOVSKA KULTURNA SCENA ""BEJAHAD"" ";Kandidat: RANKO NIKOLIÆ, Predlagatelj: , UDRUGA ZA RAZVOJ I BOLJI ŽIVOT ROMA - UZRIBŽR, ROMSKA UDRUGA UMIROVLJENIKA - RUU ;Kandidat: JASMINKA PETTER, mag.art, Predlagatelj: NARODNI SAVEZ NIJEMACA HRVATSKE ;Kandidat: MIJO ŠAJTOŠ, univ.bacc.ing.agr.  , Predlagatelj: HRVATSKA SELJAÈKA STRANKA - HSS ;"Kandidat: LILIANNA HANNA TOLJ, Predlagatelj: POLJSKA KULTURNA UDRUGA ""FRYDERYK CHOPIN"" RIJEKA - POLSKIE TOWARZYSTWO KULTURALNE ""FRYDERYK CHOPIN"" RIJEKA - PKU ""FRYDERYK CHOPIN"" RIJEKA ";Kandidat: mr.sc. RENATA TRISCHLER, Predlagatelj: NJEMAÈKA ZAJEDNICA - ZEMALJSKA UDRUGA PODUNAVSKIH ŠVABA U HRVATSKOJ;"Kandidat: JOSIP ZAVACKI, Predlagatelj: POLJSKA KULTURNA UDRUGA ""MIKOLAJ KOPERNIK"" ";
XII. IZBORNA JEDINICA;OSIJEK;1;0;2;2;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;OSIJEK;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;PAKRAC;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;PAZIN;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;PETRINJA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;PITOMAÈA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;POPOVAÈA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;POREÈ - PARENZO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;POŽEGA;1;0;6;6;6;0;0;0;4;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;POŽEGA;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;POŽEGA;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;PREKO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;PREKO;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;PROMINA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;PULA - POLA;1;0;3;3;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;PULA - POLA;2;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;PULA - POLA;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;PULA - POLA;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;PULA - POLA;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;PULA - POLA;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;PULA - POLA;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;PULA - POLA;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;PULA - POLA;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;PULA - POLA;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;PULA - POLA;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;PULA - POLA;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;RAB;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;RIJEKA;1;0;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;RIJEKA;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;ROVINJ - ROVIGNO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;SALI;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;SAMOBOR;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;SELNICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;SINJ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;SISAK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;SISAK;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;SLATINA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;SLAVONSKI BROD;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;SOLIN;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;SPLIT;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;SPLIT;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;SPLIT;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;SPLIT;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;SPLIT;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;SPLIT;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;SPLIT;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;SPLIT;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;SPLIT;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;SPLIT;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;SUPETAR;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;SVETI IVAN ZELINA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;ŠENKOVEC;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;ŠIBENIK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;ŠIBENIK;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;TOPUSKO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;UMAG - UMAGO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;VALPOVO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;VARAŽDIN;1;0;18;18;17;1;1;0;12;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;
XII. IZBORNA JEDINICA;VARAŽDIN;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;VARAŽDINSKE TOPLICE;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;VELIKA GORICA;1;0;5;5;5;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;VELIKA GORICA;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;VINKOVCI;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;VIROVITICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;VIS;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;VRBOVEC;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;VUKOVAR;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;ZADAR;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;ZADAR;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;ZADAR;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;ZADAR;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;ZADAR;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;ZADAR;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;ZADAR;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;ZADAR;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;ZADAR;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;ZADAR;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;ZADAR;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;ZADAR;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;ZADAR;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;ZADAR;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;ZADAR;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;ZADAR;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;ZADAR;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;ZADAR;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;ZADAR;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;ZADAR;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;ZAPREŠIÆ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;ZEMUNIK DONJI;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;ŽUPANJA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
UKUPNO;;;0;50;50;48;2;2;0;24;3;0;2;0;0;4;1;2;0;0;1;4;1;0;0;0;0;2;1;1;
