Izborna jedinica;Grad / opæina;BM Rbr;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: BAJRO BAJRIÆ, Predlagatelj: HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS ;"Kandidat: BOJAN BALOG , Predlagatelj: UDRUGA ""ZA BOLJITAK"" ROMA MEÐIMURJA ";Kandidat: ŽELJKO BALOG, Predlagatelj: KROVNA ZAJEDNICA BAJAŠA HRVATSKE ;Kandidat: ŽELJKO BOGDAN, Predlagatelj: UDRUGA ROMA OSJEÈKO-BARANJSKE ŽUPANIJE ;Kandidat: SLAVKO BURDA, Predlagatelj: , AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU   ;Kandidat: TOTI DEDIÆ  , Predlagatelj: SAVEZ ZA PROMJENE - SP ;Kandidat: VIKTOR FILIMA, Predlagatelj: UKRAJINSKA ZAJEDNICA REPUBLIKE HRVATSKE;Kandidat: IBRAHIM GUŠANI  , Predlagatelj: MREŽA ROMSKIH UDRUGA HRVATSKE SLAVONSKI BROD - MRUHSB  ;Kandidat: SEAD BRACO HASANOVIÆ  , Predlagatelj: KOALICIJA ROMA HRVATSKE - KRUH  ;Kandidat: MILAN IGNAC, Predlagatelj: NEOVISNI KANDIDAT;Kandidat: ŽELJKO IVANIŠEVIÆ, Predlagatelj: UNIJA ROMA HRVATSKE - URH  ;Kandidat: IVAN JELENIÆ, Predlagatelj: HRVATSKA ROMSKA DEMOKRATSKA STRANKA - HRDS ;Kandidat: VELJKO KAJTAZI, Predlagatelj: CENTAR ZA PROVEDBU INTEGRACIJA U EUROPSKU UNIJU - CPI EU ;"Kandidat: ZVONKO KOSTELNIK, prof., Predlagatelj: KULTURNO UMJETNIÈKO DRUŠTVO ""JOAKIM HARDI"" PETROVCI ";Kandidat: NAZIF MEMEDI, Predlagatelj: NJEMAÈKO-AUSTRIJSKA UNIJA ;Kandidat: ALIJA MEŠIÆ , Predlagatelj: UDRUGA ROMA ZAGREB I ZAGREBAÈKE ŽUPANIJE;"Kandidat: ALADAR METZINGER, Predlagatelj: ŽIDOVSKA KULTURNA SCENA ""BEJAHAD"" ";Kandidat: RANKO NIKOLIÆ, Predlagatelj: , UDRUGA ZA RAZVOJ I BOLJI ŽIVOT ROMA - UZRIBŽR, ROMSKA UDRUGA UMIROVLJENIKA - RUU ;Kandidat: JASMINKA PETTER, mag.art, Predlagatelj: NARODNI SAVEZ NIJEMACA HRVATSKE ;Kandidat: MIJO ŠAJTOŠ, univ.bacc.ing.agr.  , Predlagatelj: HRVATSKA SELJAÈKA STRANKA - HSS ;"Kandidat: LILIANNA HANNA TOLJ, Predlagatelj: POLJSKA KULTURNA UDRUGA ""FRYDERYK CHOPIN"" RIJEKA - POLSKIE TOWARZYSTWO KULTURALNE ""FRYDERYK CHOPIN"" RIJEKA - PKU ""FRYDERYK CHOPIN"" RIJEKA ";Kandidat: mr.sc. RENATA TRISCHLER, Predlagatelj: NJEMAÈKA ZAJEDNICA - ZEMALJSKA UDRUGA PODUNAVSKIH ŠVABA U HRVATSKOJ;"Kandidat: JOSIP ZAVACKI, Predlagatelj: POLJSKA KULTURNA UDRUGA ""MIKOLAJ KOPERNIK"" ";
XII. IZBORNA JEDINICA;DUBROVNIK;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;DUBROVNIK;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;DUBROVNIK;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;DUBROVNIK;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;DUBROVNIK;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;DUBROVNIK;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;DUGO SELO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;ÐAKOVO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;ÐURÐEVAC;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;GAREŠNICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;GLINA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;GOSPIÆ;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;GOSPIÆ;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;GRAD ZAGREB;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;GRAD ZAGREB;1;0;2;2;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;GRAD ZAGREB;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;GRAD ZAGREB;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;GRAD ZAGREB;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;GRAD ZAGREB;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;GRAD ZAGREB;4;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
XII. IZBORNA JEDINICA;GRUBIŠNO POLJE;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;HRVATSKA KOSTAJNICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;HVAR;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;ILOK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;IMOTSKI;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;IVANEC;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;IVANIÆ-GRAD;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;JASTREBARSKO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;KARLOVAC;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
XII. IZBORNA JEDINICA;KARLOVAC;2;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;KARLOVAC;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;KOPRIVNICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;KORÈULA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;KOTORIBA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;KRAPINA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
