Izborna jedinica;Izborna jedinica grada / opæine;Grad / opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: JOVAN AJDUKOVIÆ, dipl. pravnik, Zamjenik: DRAGAN TODIÆ, dipl. pravnik, Predlagatelj: , SRPSKA NARODNA STRANKA - SNS, DEMOKRATSKA PARTIJA SRBA - DPS , NAŠA STRANKA - NS  ;Kandidat: DUŠAN CVETANOVIÆ, Zamjenik: NEVEN ÆUK, Predlagatelj: SAVEZ ZA PROMJENE - SP ;Kandidat: VELJKO DŽAKULA, dipl.ing., Zamjenik: OLIVERA MIOÈINOVIÆ, dr.med. , Predlagatelj: , SRPSKA NARODNA STRANKA - SNS , DEMOKRATSKA PARTIJA SRBA - DPS , NAŠA STRANKA - NS  ;Kandidat: NEMANJA MARIÆ, Zamjenik: DAVID CVETANOVIÆ, Predlagatelj: SAVEZ ZA PROMJENE - SP;Kandidat: LJUBOMIR MIKIÆ, dipl.iur. , Zamjenik: DRAGO PEPIÆ, dipl.iur. , Predlagatelj: NEOVISNI KANDIDAT;Kandidat: SLOBODAN MILOŠEVIÆ, Zamjenik: SOFIJA ÐURKOVIÆ, Predlagatelj: UDRUGA SRBA OSJEÈKO-BARANJSKE ŽUPANIJE - U.S.O.B.Ž. ;Kandidat: prof.dr.sc. MILORAD PUPOVAC , Zamjenik: ALEKSANDAR MILOŠEVIÆ, dipl.pol. , Predlagatelj: SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS ;Kandidat: DRAGANA RESAN, Zamjenik: MIODRAG VESIÆ, Predlagatelj: SAVEZ ZA PROMJENE - SP ;Kandidat: MILAN RODIÆ, mag. iur., Zamjenik: RADMILA MEDAKOVIÆ, ing.el.str., Predlagatelj: , SRPSKA NARODNA STRANKA - SNS , DEMOKRATSKA PARTIJA SRBA - DPS , NAŠA STRANKA - NS ;Kandidat: DUŠKO SIMIÆ, dipl.iur., Zamjenik: ALEKSANDAR KOJIÆ, Predlagatelj: NEOVISNI KANDIDAT;Kandidat: VOJISLAV STANIMIROVIÆ, dr.med., Zamjenik: DRAGAN CRNOGORAC, prof., Predlagatelj: SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS ;Kandidat: BRANISLAV TEKIÆ, dipl.iur., Zamjenik: SAŠA BJELANOVIÆ, Predlagatelj: NEOVISNI KANDIDAT;Kandidat: JOVO VUKOVIÆ, ing.grad., Zamjenik: MILE HORVAT, dipl.iur. , Predlagatelj: SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
XII. IZBORNA JEDINICA;3;SVETI ÐURÐ;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;SVETI ILIJA;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;SVETI JURAJ NA BREGU;9;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;SVETI KRIŽ ZAÈRETJE;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;SVETI MARTIN NA MURI;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;ŠENKOVEC;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;ŠTRIGOVA;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;TRNOVEC BARTOLOVEÈKI;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;TUHELJ;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;VELIKI BUKOVEC;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;VELIKO TRGOVIŠÆE;11;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;VIDOVEC;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;VINICA;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;VISOKO;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;VRATIŠINEC;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;ZAGORSKA SELA;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;ZLATAR BISTRICA;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;BELI MANASTIR;12;2.676;529;529;525;4;77;7;31;7;10;16;405;7;21;6;422;6;368
XII. IZBORNA JEDINICA;4;BELIŠÆE;15;130;9;9;9;0;2;1;2;0;0;0;5;1;0;0;5;0;1
XII. IZBORNA JEDINICA;4;DONJI MIHOLJAC;10;187;7;7;6;1;1;0;1;3;0;0;3;1;0;1;2;0;3
XII. IZBORNA JEDINICA;4;ÐAKOVO;37;196;8;8;8;0;1;2;3;0;0;0;5;0;1;0;4;0;4
XII. IZBORNA JEDINICA;4;NAŠICE;27;312;29;29;28;1;7;2;3;2;2;3;14;0;1;0;11;0;6
XII. IZBORNA JEDINICA;4;ORAHOVICA;11;339;43;43;43;0;6;1;4;3;1;1;34;1;4;0;29;1;28
XII. IZBORNA JEDINICA;4;OSIJEK;110;7.002;909;909;893;16;175;26;95;15;58;53;576;7;44;24;544;27;553
XII. IZBORNA JEDINICA;4;SLATINA;23;1.346;110;110;108;2;15;6;5;1;2;16;83;1;8;1;67;0;65
XII. IZBORNA JEDINICA;4;VALPOVO;17;112;12;12;12;0;2;0;1;1;0;0;9;0;1;0;9;0;7
XII. IZBORNA JEDINICA;4;VIROVITICA;24;597;45;45;45;0;7;1;6;2;1;3;31;3;3;1;28;1;21
XII. IZBORNA JEDINICA;4;ANTUNOVAC;3;125;2;2;2;0;0;1;1;0;1;0;1;0;0;0;1;0;1
XII. IZBORNA JEDINICA;4;BILJE;6;321;18;18;18;0;2;0;2;3;1;4;7;0;0;0;9;0;5
XII. IZBORNA JEDINICA;4;BIZOVAC;7;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;CRNAC;3;86;4;4;4;0;2;0;0;1;0;0;3;0;0;0;2;0;0
XII. IZBORNA JEDINICA;4;ÈAÈINCI;8;340;22;22;22;0;11;2;3;0;1;0;14;0;2;3;12;1;12
XII. IZBORNA JEDINICA;4;ÈAÐAVICA;8;161;44;44;42;2;11;2;6;2;1;2;31;0;1;0;27;1;26
XII. IZBORNA JEDINICA;4;ÈEMINAC;4;271;11;11;11;0;3;0;0;1;0;1;6;0;2;1;8;0;3
XII. IZBORNA JEDINICA;4;ÈEPIN;14;405;18;18;18;0;2;1;1;1;0;4;5;0;1;2;6;0;6
XII. IZBORNA JEDINICA;4;DARDA;6;1.834;324;324;319;5;25;1;10;7;1;14;250;2;5;3;259;2;229
XII. IZBORNA JEDINICA;4;DONJA MOTIÈINA;4;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;DRAŽ;6;99;5;5;5;0;2;1;0;0;0;0;1;0;0;0;0;0;1
XII. IZBORNA JEDINICA;4;DRENJE;11;85;8;8;8;0;1;1;1;0;1;1;5;0;0;0;3;0;1
XII. IZBORNA JEDINICA;4;ÐURÐENOVAC;15;98;2;2;2;0;1;0;1;0;1;1;0;0;1;0;1;0;0
XII. IZBORNA JEDINICA;4;ERDUT;10;3.655;1.537;1.537;1.512;25;146;12;51;20;27;14;1.184;7;36;13;1.222;15;1.348
XII. IZBORNA JEDINICA;4;ERNESTINOVO;2;219;17;17;16;1;4;1;1;0;0;0;8;0;1;0;11;0;4
XII. IZBORNA JEDINICA;4;FERIÈANCI;5;19;3;3;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0
XII. IZBORNA JEDINICA;4;GORJANI;2;18;2;2;2;0;1;0;0;1;0;0;2;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;GRADINA;12;366;43;43;42;1;8;2;4;1;1;0;23;1;4;2;26;2;19
XII. IZBORNA JEDINICA;4;JAGODNJAK;3;1.345;381;329;324;5;35;9;18;8;3;22;233;3;14;1;251;2;245
XII. IZBORNA JEDINICA;4;KNEŽEVI VINOGRADI;8;932;275;275;269;6;29;2;12;1;1;7;222;4;7;4;212;4;200
XII. IZBORNA JEDINICA;4;KOŠKA;10;360;19;19;19;0;3;6;3;2;1;1;9;1;2;1;3;2;3
XII. IZBORNA JEDINICA;4;LEVANJSKA VAROŠ;9;86;10;10;10;0;1;1;3;1;0;1;6;0;1;3;4;0;1
XII. IZBORNA JEDINICA;4;LUKAÈ;10;148;5;5;5;0;2;0;1;0;0;0;2;0;1;0;1;0;0
XII. IZBORNA JEDINICA;4;MAGADENOVAC;6;210;64;64;63;1;2;0;1;1;1;0;59;1;1;0;55;0;56
XII. IZBORNA JEDINICA;4;MARIJANCI;6;29;9;9;9;0;0;0;0;1;0;0;3;1;0;0;5;0;6
XII. IZBORNA JEDINICA;4;MIKLEUŠ;3;204;9;9;9;0;5;1;5;1;0;0;6;1;0;1;0;0;1
XII. IZBORNA JEDINICA;4;NOVA BUKOVICA;8;192;26;26;25;1;10;5;8;5;1;0;11;1;6;2;9;1;6
XII. IZBORNA JEDINICA;4;PETLOVAC;6;125;25;25;25;0;2;0;0;0;0;0;20;0;0;0;22;0;20
XII. IZBORNA JEDINICA;4;PETRIJEVCI;4;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;PITOMAÈA;19;47;4;4;4;0;2;1;3;0;0;1;1;1;0;2;1;0;0
XII. IZBORNA JEDINICA;4;PODGORAÈ;10;297;29;29;29;0;8;3;4;2;0;4;11;0;1;1;11;0;7
XII. IZBORNA JEDINICA;4;PODRAVSKA MOSLAVINA;2;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;POPOVAC;3;627;165;165;163;2;12;1;5;3;2;1;137;1;1;1;146;1;139
XII. IZBORNA JEDINICA;4;PUNITOVCI;3;13;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;SATNICA ÐAKOVAÈKA;3;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;SEMELJCI;5;20;10;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;SOPJE;9;200;21;21;21;0;3;0;2;0;0;2;16;0;0;1;15;0;5
XII. IZBORNA JEDINICA;4;STRIZIVOJNA;3;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;SUHOPOLJE;19;794;109;109;108;1;19;11;22;9;0;12;69;2;10;5;64;1;55
XII. IZBORNA JEDINICA;4;ŠODOLOVCI;6;1.347;443;443;432;11;116;10;58;5;17;25;264;1;40;10;258;6;286
XII. IZBORNA JEDINICA;4;ŠPIŠIÆ BUKOVICA;8;29;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;TRNAVA;6;87;10;10;7;3;1;0;0;1;0;0;3;0;0;0;3;0;4
XII. IZBORNA JEDINICA;4;VILJEVO;4;482;81;81;81;0;19;3;2;6;1;11;54;1;3;1;61;1;53
XII. IZBORNA JEDINICA;4;VIŠKOVCI;3;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;VLADISLAVCI;4;163;9;9;9;0;3;0;2;1;1;0;4;0;1;0;0;0;2
XII. IZBORNA JEDINICA;4;VOÆIN;3;795;88;88;86;2;7;1;4;1;0;1;75;1;3;3;70;0;75
XII. IZBORNA JEDINICA;4;VUKA;1;18;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
XII. IZBORNA JEDINICA;4;ZDENCI;9;86;3;3;3;0;1;1;0;0;0;1;1;0;0;1;1;0;1
XII. IZBORNA JEDINICA;5;ILOK;7;409;64;64;62;2;8;1;6;2;1;3;41;3;1;2;50;2;38
XII. IZBORNA JEDINICA;5;KUTJEVO;21;200;13;13;13;0;3;3;4;1;0;1;5;1;0;1;1;0;0
XII. IZBORNA JEDINICA;5;LIPIK;16;1.961;164;164;163;1;37;13;51;9;3;5;101;2;17;5;91;4;67
XII. IZBORNA JEDINICA;5;NOVA GRADIŠKA;14;438;39;39;36;3;9;1;12;1;2;6;20;1;5;0;18;1;6
XII. IZBORNA JEDINICA;5;OTOK;6;8;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0
XII. IZBORNA JEDINICA;5;PAKRAC;23;3.514;294;294;287;7;72;12;137;12;6;16;138;1;45;5;111;2;72
XII. IZBORNA JEDINICA;5;PLETERNICA;36;157;13;13;12;1;5;2;1;1;0;0;2;1;0;0;2;0;1
XII. IZBORNA JEDINICA;5;POŽEGA;48;976;54;54;53;1;21;7;18;2;2;4;24;4;8;2;18;3;16
XII. IZBORNA JEDINICA;5;SLAVONSKI BROD;60;852;91;91;88;3;13;7;18;5;4;5;50;4;6;4;47;5;19
XII. IZBORNA JEDINICA;5;VINKOVCI;33;2.063;361;361;356;5;59;10;33;7;9;11;221;2;7;5;311;5;224
XII. IZBORNA JEDINICA;5;VUKOVAR;16;10.323;2.018;2.016;1.968;48;474;27;247;27;76;34;1.251;13;145;35;1.418;106;1.242
XII. IZBORNA JEDINICA;5;ŽUPANJA;9;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;ANDRIJAŠEVCI;4;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;BABINA GREDA;5;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;BEBRINA;7;30;3;3;3;0;0;0;0;0;0;0;1;0;2;0;0;0;0
XII. IZBORNA JEDINICA;5;BOGDANOVCI;3;262;22;22;21;1;9;3;4;1;2;3;10;1;5;0;14;0;8
XII. IZBORNA JEDINICA;5;BOROVO;5;4.190;1.765;1.764;1.709;55;548;21;257;14;33;18;1.031;10;210;30;1.199;36;1.263
XII. IZBORNA JEDINICA;5;BOŠNJACI;4;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;BRESTOVAC;17;567;48;48;48;0;15;3;28;2;3;6;12;2;19;4;20;0;10
XII. IZBORNA JEDINICA;5;BRODSKI STUPNIK;5;44;4;4;4;0;3;0;1;0;0;2;0;0;2;1;0;0;1
XII. IZBORNA JEDINICA;5;BUKOVLJE;6;46;4;4;4;0;3;1;1;0;0;0;1;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;CERNA;5;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;CERNIK;10;48;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;ÈAGLIN;22;245;25;25;25;0;4;0;3;2;1;0;16;1;2;0;16;0;15
XII. IZBORNA JEDINICA;5;DAVOR;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;DONJI ANDRIJEVCI;6;65;14;14;14;0;4;0;2;2;0;0;5;0;0;0;3;0;6
XII. IZBORNA JEDINICA;5;DRAGALIÆ;6;173;13;13;13;0;1;0;6;0;0;0;10;0;1;0;4;0;3
XII. IZBORNA JEDINICA;5;DRENOVCI;6;139;11;11;9;2;0;2;0;1;1;0;5;1;0;1;3;0;4
XII. IZBORNA JEDINICA;5;GARÈIN;9;169;17;17;17;0;4;1;5;0;1;1;11;1;3;0;10;0;5
XII. IZBORNA JEDINICA;5;GORNJA VRBA;5;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;GORNJI BOGIÆEVCI;5;152;28;28;28;0;2;5;8;2;2;1;13;5;6;2;10;0;6
XII. IZBORNA JEDINICA;5;GRADIŠTE;4;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;GUNDINCI;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;GUNJA;4;152;28;28;28;0;5;2;3;1;3;1;21;0;0;2;17;1;11
XII. IZBORNA JEDINICA;5;IVANKOVO;6;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;JAKŠIÆ;13;169;12;12;12;0;4;2;5;2;0;0;4;1;6;0;5;2;1
XII. IZBORNA JEDINICA;5;JARMINA;3;20;1;1;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0
XII. IZBORNA JEDINICA;5;KAPTOL;11;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;KLAKAR;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;LOVAS;2;107;6;6;6;0;0;0;1;0;0;0;0;0;0;0;5;0;1
XII. IZBORNA JEDINICA;5;MARKUŠICA;6;2.072;704;704;688;16;151;15;68;7;15;14;501;3;38;7;546;4;482
XII. IZBORNA JEDINICA;5;NEGOSLAVCI;1;1.305;418;418;404;14;76;11;30;6;6;11;295;3;24;7;327;5;306
XII. IZBORNA JEDINICA;5;NIJEMCI;8;335;109;109;103;6;12;2;6;5;0;4;71;1;9;2;81;3;64
XII. IZBORNA JEDINICA;5;NOVA KAPELA;14;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;NUŠTAR;5;140;8;8;8;0;3;0;2;2;0;0;4;0;1;0;2;0;1
XII. IZBORNA JEDINICA;5;OKUÈANI;6;641;94;94;94;0;22;11;27;7;2;5;48;7;4;4;43;2;36
XII. IZBORNA JEDINICA;5;OPRISAVCI;9;15;2;2;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
XII. IZBORNA JEDINICA;5;ORIOVAC;11;113;6;6;6;0;3;1;2;0;0;0;4;0;0;1;3;0;0
XII. IZBORNA JEDINICA;5;PODCRKAVLJE;11;14;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;PRIVLAKA;3;11;1;1;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0
XII. IZBORNA JEDINICA;5;REŠETARI;8;17;2;2;2;0;1;1;0;0;0;2;2;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;SIBINJ;12;39;3;3;2;1;0;0;0;0;0;0;1;0;0;1;0;0;0
XII. IZBORNA JEDINICA;5;SIKIREVCI;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;SLAVONSKI ŠAMAC;4;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;STARA GRADIŠKA;6;183;49;49;48;1;16;4;14;3;3;2;27;1;2;1;19;1;19
XII. IZBORNA JEDINICA;5;STARI JANKOVCI;5;1.091;242;242;238;4;45;5;29;2;3;5;176;2;12;2;197;10;160
XII. IZBORNA JEDINICA;5;STARI MIKANOVCI;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;STARO PETROVO SELO;13;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;ŠTITAR;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;TOMPOJEVCI;5;223;27;27;26;1;9;1;5;4;1;2;12;0;0;0;18;0;11
XII. IZBORNA JEDINICA;5;TORDINCI;4;73;22;22;22;0;12;2;6;1;0;0;9;0;1;2;11;1;7
XII. IZBORNA JEDINICA;5;TOVARNIK;4;354;41;41;39;2;9;1;5;1;1;0;22;1;0;0;30;2;27
XII. IZBORNA JEDINICA;5;TRPINJA;7;4.323;1.516;1.513;1.457;56;259;18;96;19;14;31;1.007;10;65;19;1.145;19;1.049
XII. IZBORNA JEDINICA;5;VELIKA;17;266;16;16;15;1;6;2;4;2;1;1;10;1;1;0;8;0;5
XII. IZBORNA JEDINICA;5;VELIKA KOPANICA;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;VOÐINCI;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;VRBANJA;6;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;VRBJE;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;VRPOLJE;4;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;GLINA;20;4.083;245;245;237;8;79;17;74;10;2;12;132;4;40;9;108;5;70
XII. IZBORNA JEDINICA;6;HRVATSKA KOSTAJNICA;8;1.065;98;98;94;4;23;12;25;1;5;5;58;3;8;7;51;1;29
XII. IZBORNA JEDINICA;6;IVANIÆ-GRAD;21;64;7;7;6;1;2;0;2;1;0;0;4;0;1;1;3;0;2
XII. IZBORNA JEDINICA;6;KUTINA;39;580;57;56;48;8;12;3;9;2;0;6;29;1;10;2;16;3;9
XII. IZBORNA JEDINICA;6;NOVSKA;20;920;34;34;32;2;5;5;7;3;2;2;17;1;5;4;10;0;3
XII. IZBORNA JEDINICA;6;PETRINJA;35;2.018;146;146;143;3;36;14;55;6;5;5;61;2;17;9;61;2;33
XII. IZBORNA JEDINICA;6;SISAK;70;1.741;228;228;218;10;51;18;50;17;6;18;142;7;17;13;103;3;92
XII. IZBORNA JEDINICA;6;VELIKA GORICA;68;661;34;34;33;1;7;3;9;0;1;4;21;3;9;2;10;1;3
XII. IZBORNA JEDINICA;6;ZAGREB-JUGOISTOK;96;3.281;370;326;319;7;92;31;63;17;7;25;216;11;32;16;170;5;99
XII. IZBORNA JEDINICA;6;DONJI KUKURUZARI;5;916;74;74;70;4;7;2;16;2;2;2;52;1;14;2;41;0;36
XII. IZBORNA JEDINICA;6;DVOR;12;3.915;821;821;792;29;123;69;147;29;16;19;553;18;78;20;562;19;481
XII. IZBORNA JEDINICA;6;GVOZD;7;3.079;95;95;94;1;25;6;27;3;2;7;60;0;11;5;51;1;37
XII. IZBORNA JEDINICA;6;HRVATSKA DUBICA;6;710;99;99;95;4;11;3;9;1;0;2;74;1;8;8;66;0;60
XII. IZBORNA JEDINICA;6;JASENOVAC;10;164;12;12;12;0;0;0;4;1;1;0;10;1;4;0;5;0;6
XII. IZBORNA JEDINICA;6;KLOŠTAR IVANIÆ;13;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;KRAVARSKO;10;9;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;KRIŽ;19;31;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0
XII. IZBORNA JEDINICA;6;LEKENIK;16;25;2;2;2;0;1;0;1;0;0;0;1;0;0;0;1;0;0
XII. IZBORNA JEDINICA;6;LIPOVLJANI;6;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;MAJUR;8;493;80;79;78;1;9;10;19;3;3;3;56;1;3;4;51;0;45
XII. IZBORNA JEDINICA;6;MARTINSKA VES;17;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;ORLE;6;24;4;4;4;0;0;0;0;0;0;0;0;0;1;0;3;0;0
XII. IZBORNA JEDINICA;6;POKUPSKO;13;4;2;2;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;POPOVAÈA;19;42;4;4;4;0;4;2;3;0;0;0;1;0;0;0;0;0;2
XII. IZBORNA JEDINICA;6;RUGVICA;14;62;4;4;4;0;3;0;3;0;0;1;0;0;1;1;1;0;0
XII. IZBORNA JEDINICA;6;SUNJA;22;987;116;116;116;0;34;11;40;5;3;10;70;5;14;2;63;1;43
XII. IZBORNA JEDINICA;6;TOPUSKO;8;1.667;108;108;107;1;42;4;43;2;5;8;55;2;25;8;54;2;25
XII. IZBORNA JEDINICA;6;VELIKA LUDINA;12;6;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;BAKAR;8;135;9;9;9;0;1;2;2;0;1;0;5;0;0;0;4;1;4
XII. IZBORNA JEDINICA;7;ÈABAR;5;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;DELNICE;7;95;4;4;4;0;2;0;1;0;1;0;2;0;1;0;1;0;1
XII. IZBORNA JEDINICA;7;DUGA RESA;25;107;11;11;11;0;6;1;5;1;0;0;6;1;5;0;3;0;2
XII. IZBORNA JEDINICA;7;JASTREBARSKO;49;74;9;9;9;0;3;0;0;0;0;0;6;0;0;0;6;0;6
XII. IZBORNA JEDINICA;7;KARLOVAC;92;4.887;366;347;339;8;54;18;69;15;9;13;219;9;49;5;174;9;142
XII. IZBORNA JEDINICA;7;KASTAV;7;274;43;43;43;0;15;3;8;4;2;1;30;0;10;3;22;1;16
XII. IZBORNA JEDINICA;7;NOVI VINODOLSKI;12;66;3;3;2;1;0;0;0;0;1;0;1;0;0;1;0;0;0
XII. IZBORNA JEDINICA;7;OGULIN;22;1.713;318;318;312;6;53;15;43;5;8;7;217;9;65;6;180;1;164
XII. IZBORNA JEDINICA;7;OZALJ;27;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;SAMOBOR;80;193;6;5;4;1;0;0;3;0;0;1;3;0;1;0;2;0;0
XII. IZBORNA JEDINICA;7;SLUNJ;12;1.055;81;81;81;0;23;9;25;0;2;4;47;0;9;6;42;3;34
XII. IZBORNA JEDINICA;7;SVETA NEDELJA;17;89;5;5;5;0;1;1;2;1;0;0;3;0;1;1;1;0;2
XII. IZBORNA JEDINICA;7;VRBOVSKO;12;849;105;105;102;3;32;2;14;3;3;7;50;1;17;6;43;1;32
XII. IZBORNA JEDINICA;7;ZAGREB-JUŽNI DIO;116;2.926;226;203;199;4;48;12;49;8;5;15;145;5;32;7;101;2;64
XII. IZBORNA JEDINICA;7;BARILOVIÆ;12;558;68;68;65;3;7;4;7;3;2;2;51;2;4;2;52;2;45
XII. IZBORNA JEDINICA;7;BOSILJEVO;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;BROD MORAVICE;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;CETINGRAD;3;414;6;6;6;0;4;1;3;0;0;0;1;0;0;0;2;0;0
XII. IZBORNA JEDINICA;7;ÈAVLE;7;175;19;19;19;0;4;0;1;0;0;1;14;0;1;0;13;1;9
