Izborna jedinica;Grad / opæina;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: VLADIMIR KONEÈNY, prof. ;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  VLADIMIR SEVER  ;AKCIJA MLADIH - AM  , Nositelj liste:  IGOR PUHAR;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU  , Nositelj liste:  ZLATKO KLARIÆ, prof.;AKCIJA ZA BOLJU HRVATSKU - ABH , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  mr.sc. ŽELJKO SAÈIÆ;AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS , SAVEZ ZA PROMJENE - SP , DEMOKRATSKA PRIGORSKO-ZAGREBAÈKA STRANKA - DPS  , Nositelj liste:  IVAN PERNAR  ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  MILAN BINGULA ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ ;DEMOKRATSKA STRANKA SLAVONSKE RAVNICE - SLAVONSKA RAVNICA  , Nositelj liste:  SLAVKO VUKŠIÆ ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ  ;GLAS RAZUMA  , Nositelj liste:  MILAN LELAS, dipl.ing.prometa, pilot ;HRVATSKA DEMOKRATSKA SELJAÈKA STRANKA - HDSS  , Nositelj liste:  VLADO MIKLOBUŠEC  ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR;HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS  , Nositelj liste:  prof.dr.sc. JOSIP JURÈEVIÆ ;HRVATSKA 21. STOLJEÆA - HRVATSKA 21.  , Nositelj liste:  DARKO PETRIÈIÆ ;HRVATSKA EUROPSKA STRANKA - HES  , Nositelj liste:  NAJA ŠEBALJ ;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  JOSIP FRIŠÈIÆ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR  ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB ;  , HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  ZVONKO BAJAN  ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  EMIL ZORAJ ;Predlagatelji: NEOVISNA LISTA  , Nositelj liste:  MILAN BANDIÆ;NEOVISNA LISTA  , Nositelj liste:  DARKO DUGA;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ;NEOVISNA LISTA  , Nositelj liste:  BRANKO STOJKOVIÆ ;NOVA HRVATSKA - NH  , Nositelj liste:  BORKO ŠAMIJA;OBITELJSKA STRANKA - OS  , Nositelj liste:  KREŠIMIR ŠTETIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ  ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  RANKO JEFTIMIJA, dr.  ;VOLIM HRVATSKU - VH  , Nositelj liste:  ROKO ŠIKIÆ ;ZAGREBAÈKA NEZAVISNA LISTA - ZNL  , Nositelj liste:  mr.sc. TATJANA HOLJEVAC, dipl.ing. ;ZELENA LISTA  , Nositelj liste:  ŽELJKO TUPEK ;ZELENA STRANKA - ZS  , Nositelj liste:  LJUBO SUBOTIÆ, prof.;ZELENI ZAJEDNO  , Nositelj liste:  SRÐAN DVORNIK, mag. pol. ;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;41;KUPINOVAC;"PROSTORIJE MO ""KUPINOVAC""";KUPINOVAC BB;131;70;70;67;3;0;0;0;0;0;1;0;1;0;1;0;0;6;0;0;0;18;5;2;0;5;0;0;1;0;0;0;0;0;26;0;0;0;1;0;0;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;42;LETIÈANI;"PROSTORIJE MO ""LETIÈANI""";LETIÈANI BB;262;168;168;166;2;0;0;0;0;3;2;2;4;0;1;0;1;22;0;1;0;14;10;2;1;16;6;0;1;0;0;1;0;0;76;0;0;0;1;1;1;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;43;MALO KORENOVO;"PROSTORIJE MO ""MALO KORENOVO""";MALO KORENOVO BB;170;107;107;107;0;0;1;0;1;2;1;0;3;0;2;1;1;33;0;1;0;1;9;3;2;6;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;44;NOVI PAVLJANI;"PROSTORIJE MO  ""NOVI PAVLJANI""";NOVI PAVLJANI BB;114;61;61;59;2;0;0;0;1;0;0;0;1;0;0;0;0;10;0;0;0;0;8;2;1;7;0;0;0;0;1;1;0;0;27;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;45;NOVOSELJANI;DOM U NOVOSELJANIMA;NOVOSELJANSKA 91;522;355;353;349;4;1;0;3;4;5;1;0;12;0;0;1;1;106;2;1;0;15;11;10;5;17;3;0;6;0;6;0;0;0;138;0;0;0;0;0;1;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;46;OBROVNICA;ŠKOLA U OBROVNICI;OBROVNICA BB;149;94;94;92;2;0;0;0;1;0;1;0;2;1;0;0;0;14;2;2;0;17;1;4;0;6;0;0;0;0;1;0;0;0;36;2;0;0;0;0;2;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;47;PATKOVAC;DOM U PATKOVCU;PATKOVAC BB;230;146;146;145;1;0;0;1;0;0;1;1;7;0;0;0;0;54;0;0;0;14;4;2;2;5;0;0;2;0;3;0;0;0;49;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;48;PLAVNICE GORNJE;VATROGASNI DOM U PLAVNICAMA GORNJIM;PLAVNICE GORNJE BB;581;305;305;299;6;0;2;1;0;2;1;0;8;0;0;0;3;88;2;1;2;13;13;8;4;11;0;0;5;0;0;0;0;0;130;1;0;0;2;1;1;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;49;PRESPA;"PROSTORIJE MO ""PRESPA""";PRESPA BB;451;255;255;248;7;0;0;2;5;1;3;0;6;0;0;0;0;45;0;1;0;27;26;16;4;6;0;1;0;0;1;0;0;0;100;1;1;0;2;0;0;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;50;PRGOMELJE;DOM U PRGOMELJU;PRGOMELJE BB;502;291;268;265;3;0;2;0;2;1;0;0;2;0;0;0;1;88;2;0;0;24;22;13;0;12;0;0;1;0;1;0;0;1;90;0;0;0;2;0;1;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;51;PROKLJUVANI;DOM U PROKLJUVANIMA;PROKLJUVANI 53;231;163;163;159;4;0;2;1;1;1;2;0;2;0;1;1;0;55;0;0;0;17;6;8;2;3;0;0;1;0;2;0;0;1;51;0;2;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;52;RAJIÆ;"PROSTORIJE MO ""RAJIÆ""";RAJIÆ BB;178;103;103;102;1;0;1;1;2;1;1;0;3;0;0;0;2;23;1;0;1;7;2;6;1;7;0;0;3;0;0;0;0;0;40;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;53;STANÈIÆI;DOM U STANÈIÆIMA;STANÈIÆI BB;77;55;55;55;0;0;0;0;1;0;2;0;0;0;1;0;1;11;0;0;0;8;8;2;0;2;0;0;0;0;1;0;0;0;18;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;54;STARE PLAVNICE;DOM U STARIM PLAVNICAMA;STAROPLAVNIÈKA ULICA 52;582;401;401;399;2;0;2;4;2;2;4;0;12;0;1;0;1;79;2;0;2;24;20;16;7;17;0;0;6;0;3;0;0;0;188;1;1;1;1;2;1;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;55;STARI PAVLJANI;DOM U STARIM PAVLJANIMA;STARI PAVLJANI BB;187;112;112;112;0;0;1;0;0;0;0;0;2;0;0;0;1;25;0;0;0;8;2;8;2;1;0;1;2;0;1;0;0;0;58;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;56;TOMAŠ;DOM U DONJEM TOMAŠU;TOMAŠ BB;216;123;123;123;0;0;1;0;4;9;1;1;7;0;1;0;1;4;0;0;0;13;20;6;1;7;0;0;0;0;0;0;0;1;46;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;57;TROJSTVENI MARKOVAC;DOM U TROJSTVENOM MARKOVCU I;ÐURÐEVAÈKA CESTA 148;870;507;507;499;8;0;3;3;1;4;1;1;15;0;2;1;1;109;2;0;0;44;38;10;25;31;1;0;4;0;4;2;0;1;195;0;0;0;0;1;0;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;58;TROJSTVENI MARKOVAC;DOM U TROJSTVENOM MARKOVCU II;ÐURÐEVAÈKA CESTA 148;733;521;505;498;7;0;1;1;4;1;1;0;9;0;2;0;2;112;1;2;0;20;40;12;5;41;3;0;3;4;8;0;0;2;221;0;1;0;1;1;0;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;59;VELIKO KORENOVO;DOM U VELIKOM KORENOVU;VELIKO KORENOVO BB;462;290;290;288;2;0;1;0;3;17;1;0;7;0;1;0;2;68;1;0;1;25;27;5;5;11;2;0;1;0;2;0;0;0;106;0;1;0;0;1;0;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;60;ZVIJERCI;DOM U ZVIJERCIMA I;ZVIJERCI 77A;786;422;422;416;6;0;3;0;3;0;3;1;13;0;4;2;2;84;1;0;0;30;28;11;12;16;4;0;4;1;6;0;0;0;183;2;0;0;2;1;0;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;61;ZVIJERCI;DOM U ZVIJERCIMA II;ZVIJERCI 77A;977;635;635;627;8;1;15;4;5;5;4;2;14;0;2;0;3;100;0;0;0;16;63;27;8;48;1;1;2;0;9;0;0;0;294;1;0;1;0;0;1;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;62;ŽDRALOVI;ŠKOLA U ŽDRALOVIMA;DARUVARSKA 40;731;438;437;431;6;1;2;1;12;3;2;1;15;0;0;0;2;117;1;0;0;15;28;15;3;19;4;0;4;0;4;0;0;2;176;0;1;0;1;0;2;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;63;ŽDRALOVI;DOM U ŽDRALOVIMA;ŽDRALOVSKA 20;575;339;339;330;9;1;3;2;2;2;1;0;9;0;1;0;1;58;1;0;0;16;10;14;5;21;2;0;6;0;0;1;1;0;172;1;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;ÈAZMA;1;ÈAZMA;DOM KULTURE;TRG ÈAZMANSKOG KAPTOLA 13;656;435;435;432;3;0;0;2;6;12;7;0;8;1;0;1;3;44;2;0;0;38;19;9;15;38;5;1;5;0;3;0;0;1;209;0;0;2;1;0;0;;;;;;;;;
II. IZBORNA JEDINICA;ÈAZMA;2;ÈAZMA;VIJEÆNICA;KRALJA TOMISLAVA 1;400;295;295;290;5;1;0;1;1;2;0;0;7;0;1;1;0;24;0;0;0;11;10;9;9;19;6;0;2;0;7;0;0;0;179;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;ÈAZMA;3;DEREZA;DOM DEREZA;DEREZA BB;193;119;119;116;3;0;1;0;0;1;0;0;3;0;1;1;3;10;0;1;1;6;2;3;2;11;2;0;3;1;0;1;0;0;63;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;ÈAZMA;4;BOSILJEVO;DOM BOSILJEVO;BOSILJEVO BB;333;160;160;160;0;0;2;0;1;1;6;1;6;1;0;1;3;29;0;0;0;11;0;5;4;15;0;0;6;0;3;0;0;0;65;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;ÈAZMA;5;ÈAZMA;ZGRADA ŠUMARIJE;M. NOVAÈIÆA 48;686;470;470;468;2;0;0;2;5;12;0;1;9;0;3;1;0;101;1;0;0;26;11;13;12;27;3;1;5;0;2;0;0;0;229;1;0;0;2;1;0;;;;;;;;;
II. IZBORNA JEDINICA;ÈAZMA;6;ÈAZMA;DOM UMIROVLJENIKA;KRALJA TOMISLAVA 10A;640;383;383;375;8;0;1;2;2;6;9;0;5;1;1;1;1;63;1;0;0;35;14;13;5;39;2;0;6;0;3;0;0;2;158;0;0;0;1;4;0;;;;;;;;;
II. IZBORNA JEDINICA;ÈAZMA;7;SUHAJA;DOM SUHAJA;SUHAJA BB;171;119;119;118;1;0;0;0;1;1;2;0;1;0;0;0;0;10;0;0;1;10;2;1;4;8;0;0;3;0;0;0;0;0;72;0;0;0;1;1;0;;;;;;;;;
II. IZBORNA JEDINICA;ÈAZMA;8;MILAŠEVAC;DOM MILAŠEVAC;MILAŠEVAC BB;147;86;86;82;4;0;1;1;0;1;0;1;2;0;1;0;1;11;1;1;0;10;2;2;2;3;0;0;3;0;2;0;0;0;34;0;1;0;0;0;2;;;;;;;;;
II. IZBORNA JEDINICA;ÈAZMA;9;CERINA;DOM CERINA;CERINA BB;98;67;67;65;2;0;0;0;0;0;0;0;4;0;1;0;2;4;0;1;0;15;0;1;1;2;0;0;3;0;0;0;0;1;29;0;0;0;0;1;0;;;;;;;;;
II. IZBORNA JEDINICA;ÈAZMA;10;GRABIK;KUÆA ÐURE KAPELCA;GRABIK 30;40;32;32;32;0;0;0;0;0;0;0;0;1;0;0;0;0;22;2;0;0;3;0;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;ÈAZMA;11;GORNJI LIPOVÈANI;DOM DVD GORNJI LIPOVÈANI;GORNJI LIPOVÈANI BB;152;102;102;101;1;1;0;2;0;0;1;0;0;3;0;0;0;20;1;0;0;11;5;1;1;9;0;0;1;0;1;0;0;0;39;1;2;0;1;0;1;;;;;;;;;
II. IZBORNA JEDINICA;ÈAZMA;12;GORNJI DRAGIÈEVCI;KUÆA IVANKE FERENÈAK;GORNJI DRAGIÈEVCI 31;87;45;45;44;1;0;1;0;0;1;0;1;0;0;0;0;0;12;0;1;0;7;0;0;0;4;0;0;0;0;0;1;0;0;15;1;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;ÈAZMA;13;DONJI DRAGIÈEVCI;KUÆA JADRANKE PAPIÆ;DONJI DRAGIÈEVCI 5A;42;31;31;31;0;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0;1;6;1;0;0;7;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;ÈAZMA;14;PRNJAROVAC;VATROGASNO SPREMIŠTE;PRNJAROVAC 64;105;70;70;69;1;0;0;1;1;1;1;1;3;0;0;0;0;19;0;1;0;10;0;2;1;4;0;1;2;0;1;0;0;0;20;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;ÈAZMA;15;DAPCI;DOM DAPCI;DAPCI BB;177;103;103;101;2;0;0;1;1;3;0;2;0;0;0;1;4;25;0;0;0;10;1;2;4;11;1;0;2;0;1;0;0;1;26;2;0;1;1;1;0;;;;;;;;;
II. IZBORNA JEDINICA;ÈAZMA;16;MARÈANI;DOM MARÈANI;MARÈANI BB;93;52;52;52;0;0;0;1;0;3;0;0;0;0;0;0;0;15;0;0;0;8;3;1;0;5;0;0;1;0;0;0;0;0;15;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;ÈAZMA;17;OPÆEVAC;DOM OPÆEVAC;OPÆEVAC BB;298;191;191;190;1;0;1;0;0;9;1;4;3;0;2;1;3;17;3;0;0;15;3;5;4;22;0;2;4;1;1;0;0;1;86;0;0;0;1;1;0;;;;;;;;;
II. IZBORNA JEDINICA;ÈAZMA;18;SOVARI;DOM SOVARI;SOVARI BB;86;50;50;50;0;0;0;0;0;0;0;0;3;0;0;0;0;10;0;0;0;21;2;2;0;2;0;0;1;0;0;0;0;0;9;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;ÈAZMA;19;GORNJI DRAGANEC;DOM GORNJI DRAGANEC;GORNJI DRAGANEC BB;314;194;194;193;1;0;0;1;5;0;1;1;2;0;0;0;1;26;0;0;0;13;7;7;6;18;0;0;4;1;1;0;0;0;96;0;0;0;2;0;1;;;;;;;;;
II. IZBORNA JEDINICA;ÈAZMA;20;DONJI DRAGANEC;DOM DONJI DRAGANEC;DONJI DRAGANEC BB;136;92;92;91;1;0;1;0;1;0;0;0;3;1;1;0;1;24;1;0;0;9;3;3;0;4;0;0;0;0;0;0;0;0;37;0;1;0;1;0;0;;;;;;;;;
II. IZBORNA JEDINICA;ÈAZMA;21;SIŠÆANI;DOM SIŠÆANI;SIŠÆANI BB;276;166;166;163;3;0;0;0;1;1;3;0;1;0;2;0;2;48;0;0;0;31;5;3;1;7;0;0;1;0;0;0;0;0;54;0;1;0;1;1;0;;;;;;;;;
II. IZBORNA JEDINICA;ÈAZMA;22;ZDENÈEC;DOM ZDENÈEC;ZDENÈEC BB;95;76;76;73;3;0;0;1;1;0;0;0;4;0;1;1;0;26;0;0;0;3;2;4;2;2;1;0;0;0;1;0;0;0;24;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;ÈAZMA;23;BOJANA;DOM BOJANA;BOJANA BB;159;106;106;101;5;0;0;1;1;0;1;1;5;0;0;0;0;39;1;0;0;12;0;1;3;1;0;0;1;0;0;0;0;0;32;0;0;0;1;0;1;;;;;;;;;
II. IZBORNA JEDINICA;ÈAZMA;24;VAGOVINA;DOM VAGOVINA;VAGOVINA BB;344;192;192;185;7;0;1;0;2;1;2;0;5;0;1;0;1;49;1;0;0;14;4;3;1;9;1;0;2;0;1;0;0;1;86;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;ÈAZMA;25;KOMUŠEVAC;DOM KOMUŠEVAC;KOMUŠEVAC BB;147;111;111;106;5;0;0;0;2;3;1;0;0;0;0;0;0;21;0;0;0;30;10;3;0;1;0;0;1;0;1;0;0;0;32;1;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;ÈAZMA;26;POBJENIK;ŠKOLA POBJENIK;POBJENIK BB;251;124;124;123;1;0;0;0;6;3;0;0;1;1;0;0;1;18;2;0;0;10;3;5;0;8;0;0;2;0;2;0;0;0;60;0;0;0;1;0;0;;;;;;;;;
II. IZBORNA JEDINICA;ÈAZMA;27;GRABOVNICA;ŠKOLA GRABOVNICA;GRABOVNICA BB;372;221;221;220;1;0;0;1;2;5;4;0;7;1;0;1;0;32;0;0;1;24;1;11;1;17;2;0;3;0;0;2;0;1;102;0;1;0;1;0;0;;;;;;;;;
II. IZBORNA JEDINICA;ÈAZMA;28;GORNJI MIKLOUŠ;ŠKOLA GORNJI MIKLOUŠ;GORNJI MIKLOUŠ BB;118;69;69;69;0;0;0;0;0;0;0;0;1;0;0;1;0;17;0;0;0;6;1;2;0;3;1;0;0;0;1;0;0;1;35;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;ÈAZMA;29;DONJI MIKLOUŠ;DOM DONJI MIKLOUŠ;DONJI MIKLOUŠ BB;191;123;123;121;2;0;0;1;1;1;0;1;1;1;0;0;1;20;2;0;0;5;3;2;3;9;0;0;1;0;2;0;0;0;67;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;ÈAZMA;30;MARTINAC;DOM MARTINAC;MARTINAC BB;78;51;51;51;0;0;0;0;0;0;2;0;1;0;0;0;0;13;0;0;0;10;2;0;0;4;1;0;0;0;0;0;0;0;17;0;1;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;ÈAZMA;31;NOVO SELO;KUÆA KATE MLINARIÆ;NOVO SELO 18;38;24;24;24;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;3;0;0;0;3;0;1;1;0;0;0;0;0;14;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;ÈAZMA;32;VUÈANI;DOM VUÈANI;VUÈANI BB;91;60;60;57;3;0;1;0;2;2;1;0;1;0;0;0;0;15;0;1;0;8;0;0;0;0;0;0;3;0;0;0;0;0;23;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;ÈAZMA;33;VRTLINSKA;DOM VRTLINSKA;VRTLINSKA BB;173;113;113;106;7;0;0;2;2;0;1;0;3;0;0;0;1;24;0;0;0;15;0;6;0;2;0;0;3;0;3;0;0;0;44;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;ÈAZMA;34;PAVLIÈANI;DOM PAVLIÈANI;PAVLIÈANI BB;71;45;45;45;0;0;2;0;0;2;1;0;3;0;0;1;0;2;0;0;0;6;0;1;1;5;2;0;0;0;0;0;0;0;19;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;DARUVAR;1;DARUVAR;HRVATSKI DOM;M. GUPCA 7;467;274;274;271;3;0;0;0;3;0;1;2;14;2;2;0;0;56;2;0;0;11;6;10;4;17;1;0;0;0;3;0;0;0;133;2;1;0;0;0;1;;;;;;;;;
II. IZBORNA JEDINICA;DARUVAR;2;DARUVAR;UDRUGA MATICE UMIROVLJENIKA;S. RADIÆA 11;630;440;440;432;8;0;3;0;0;1;2;1;12;0;4;0;0;85;0;1;0;11;15;13;3;43;4;0;1;0;7;0;0;0;219;4;0;0;2;1;0;;;;;;;;;
II. IZBORNA JEDINICA;DARUVAR;3;DARUVAR;"NOVA OSNOVNA  ŠKOLA ""VLADIMIR NAZOR""";FRANKOPANSKA 80;1.620;977;977;965;12;1;1;3;4;5;3;0;19;3;6;2;2;241;1;0;0;61;34;28;10;62;6;2;5;0;14;0;0;1;446;3;1;0;0;0;1;;;;;;;;;
II. IZBORNA JEDINICA;DARUVAR;4;DARUVAR;JASLICE;J.J. STROSSMAYERA BB;700;444;444;433;11;0;1;2;4;1;0;1;15;1;0;0;0;98;0;0;0;12;28;9;5;30;0;0;3;0;7;0;1;1;206;2;0;1;1;2;2;;;;;;;;;
II. IZBORNA JEDINICA;DARUVAR;5;DARUVAR;"NOVA OSNOVNA ŠKOLA ""VLADIMIR NAZOR""";FRANKOPANSKA 80;662;313;313;310;3;0;0;2;1;1;1;1;4;0;4;0;1;124;2;0;0;8;8;8;0;24;0;1;1;1;1;0;0;2;111;3;0;0;0;0;1;;;;;;;;;
II. IZBORNA JEDINICA;DARUVAR;6;DARUVAR;HRVATSKE ŠUME ZAGREB, UPRAVA ŠUMA BJELOVAR - ŠUMARIJA DARUVAR;P. ZRINSKOG 1;845;557;557;541;16;0;0;2;4;2;4;1;18;3;1;0;2;119;0;0;0;12;26;14;3;61;2;0;8;0;6;0;0;2;246;3;0;0;1;1;0;;;;;;;;;
II. IZBORNA JEDINICA;DARUVAR;7;DOLJANI;MJESNI DOM DOLJANI;DOLJANI BB;562;313;313;311;2;0;1;0;5;3;1;1;6;2;0;0;1;128;2;0;0;15;18;9;1;19;0;0;0;1;1;0;0;0;94;3;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;DARUVAR;8;DARUVAR;AMBULANTA ZVODA ZA JAVNO ZDRAVSTVO (HES);SVAÈIÆEVA BB;625;414;414;405;9;0;0;0;5;4;0;0;15;0;0;0;1;121;1;0;0;4;21;12;6;33;0;0;2;0;7;0;0;0;162;3;0;0;4;2;2;;;;;;;;;
II. IZBORNA JEDINICA;DARUVAR;9;DARUVAR;VIJEÆNICA UDRUŽENJA OBRTNIKA;J.JELAÈIÆA 15;315;198;198;197;1;0;0;0;3;1;0;0;1;1;0;0;2;29;3;0;0;3;18;6;5;21;2;0;0;0;3;0;0;2;94;3;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;DARUVAR;10;DARUVAR;"HOL OSNOVNE ŠKOLE ""VLADIMIR NAZOR""";LJUDEVITA GAJA 24;407;274;274;268;6;0;0;2;1;1;0;0;4;0;1;0;0;59;0;0;0;10;15;4;2;25;0;0;1;0;3;0;0;0;132;7;0;0;0;0;1;;;;;;;;;
II. IZBORNA JEDINICA;DARUVAR;11;DARUVAR;ÈEŠKI DOM DARUVAR;T. G. MASARYKA 5;1.171;797;796;785;11;1;0;0;4;2;4;1;25;2;2;0;1;173;2;1;0;23;38;21;13;64;5;0;4;0;4;2;0;1;383;3;0;0;2;0;4;;;;;;;;;
II. IZBORNA JEDINICA;DARUVAR;12;GORNJI DARUVAR;DOM KULTURE GORNJI DARUVAR;GORNJI DARUVAR BB;323;170;170;164;6;0;0;2;3;1;3;0;4;1;1;0;0;36;0;0;0;9;3;1;1;14;0;0;0;0;3;0;0;1;79;1;0;0;1;0;0;;;;;;;;;
II. IZBORNA JEDINICA;DARUVAR;13;LJUDEVIT SELO;ÈEŠKI DOM LJUDEVIT SELO;LJUDEVIT SELO BB;90;62;62;61;1;0;0;0;0;0;0;0;1;0;0;0;0;9;1;0;0;8;0;1;0;9;0;0;0;0;2;0;0;0;30;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;DARUVAR;14;LIPOVAC MAJUR;OSNOVNA ŠKOLA LIPOVAC MAJUR;LIPOVAC MAJUR BB;55;29;29;29;0;0;0;0;0;0;2;0;0;0;0;0;1;12;0;0;0;1;2;3;0;2;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;DARUVAR;15;DONJI DARUVAR;VATROGASNI DOM DONJI DARUVAR;DONJI DARUVAR BB;766;460;460;450;10;0;0;2;2;1;5;2;12;0;2;2;1;92;1;2;0;16;22;10;8;35;0;0;2;0;3;0;0;2;223;2;1;0;1;1;0;;;;;;;;;
II. IZBORNA JEDINICA;DUGO SELO;1;DUGO SELO - ZAPAD I - KOPÈEVEC;"ZGRADA ""HRVATSKE VODOPRIVREDE""";ZAGREBAÈKA ULICA 35, DUGO SELO;1.521;870;870;864;6;1;4;7;4;2;6;1;24;0;5;3;3;225;3;2;1;22;28;45;30;46;13;1;42;0;22;0;0;2;313;2;0;1;3;2;1;;;;;;;;;
II. IZBORNA JEDINICA;DUGO SELO;2;DUGO SELO - ZAPAD II - KOPÈEVEC;DOM HV;ZAGREBAÈKA ULICA 24, DUGO SELO;1.223;659;659;654;5;0;0;4;4;1;1;2;23;3;4;3;3;178;3;0;0;26;30;24;17;37;16;0;26;0;8;0;0;1;227;1;0;1;6;2;3;;;;;;;;;
