Izborna jedinica;Grad / opæina;BM Rbr;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  JURE GRUBIŠIÆ ;AKCIJA MLADIH - AM  , Nositelj liste:  ANTE RUBEŠA ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , SPLITSKA STRANKA UMIROVLJENIKA - SSU , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH  , Nositelj liste:  IVAN ŠPIKA;AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS , SAVEZ ZA PROMJENE - SP  , Nositelj liste:  IVAN PERNAR ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  BORE KAREGA  ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ   ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ , HRVATSKA GRAÐANSKA STRANKA - HGS  , Nositelj liste:  JADRANKA KOSOR ;HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  prof.dr.sc. JOSIP JURÈEVIÆ;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  ZORAN SMOLIÆ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DRAŽEN BUDIŠA  ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  MIRKO ÈONDIÆ ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ  ;HRVATSKA STRANKA ZELENIH - EKO SAVEZ - ZELENI  , Nositelj liste:  ZDRAVKO BELUŠIÆ, ing. aeronautike ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  ZDRAVKO ROŠKO;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. STIPISLAV JADRIJEVIÆ, dr.med. ;NEOVISNA LISTA  , Nositelj liste:  STIPE PETRINA;OBITELJSKA STRANKA - OS  , Nositelj liste:  DUŠAN BEŠLIÆ ;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS  , Nositelj liste:  prof.dr.sc. SLOBODAN UZELAC ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  BERISLAV RUBELJ ;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad. ;ZELENA LISTA  , Nositelj liste:  ATANA GRBIÆ-MARTINOVIÆ;ZELENA STRANKA - ZS  , Nositelj liste:  mr.sc. MILE SOKOLIÆ   ;;;;
IX. IZBORNA JEDINICA;KUTINA;1;0;7;7;7;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;;;
IX. IZBORNA JEDINICA;LABIN;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;LASTOVO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;LEPOGLAVA;1;0;28;28;26;2;0;0;0;0;0;0;0;8;0;0;0;1;0;0;2;1;3;0;0;0;0;10;1;0;0;0;;;;
IX. IZBORNA JEDINICA;MAKARSKA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;MALI LOŠINJ;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;;;
IX. IZBORNA JEDINICA;METKOVIÆ;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;MLJET;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;NAŠICE;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;NEDELIŠÆE;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;NOVA GRADIŠKA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;NOVALJA;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;NOVI MAROF;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;NOVSKA;1;0;3;3;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;;;;
IX. IZBORNA JEDINICA;OGULIN;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;OPATIJA;1;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;;;;
IX. IZBORNA JEDINICA;ORAHOVICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;OREHOVICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;OSIJEK;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;;;
IX. IZBORNA JEDINICA;OSIJEK;2;0;9;9;9;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;7;0;0;0;0;;;;
IX. IZBORNA JEDINICA;PAKRAC;1;0;2;2;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;;;
IX. IZBORNA JEDINICA;PAZIN;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;PETRINJA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;PITOMAÈA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;POPOVAÈA;1;0;8;8;8;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;6;0;0;0;0;;;;
IX. IZBORNA JEDINICA;POREÈ - PARENZO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;POŽEGA;1;0;11;11;11;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;;;;
IX. IZBORNA JEDINICA;POŽEGA;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;POŽEGA;3;0;4;4;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;;;;
IX. IZBORNA JEDINICA;PREKO;1;0;10;9;9;0;0;0;0;1;1;0;0;4;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;;;;
IX. IZBORNA JEDINICA;PREKO;2;0;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;;;;
IX. IZBORNA JEDINICA;PROMINA;1;0;19;19;18;1;0;0;0;0;1;0;0;5;0;2;0;0;1;1;1;1;0;0;2;0;0;3;0;0;1;0;;;;
IX. IZBORNA JEDINICA;PULA - POLA;1;0;5;5;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;;;;
IX. IZBORNA JEDINICA;PULA - POLA;2;0;13;13;12;1;0;0;0;0;0;1;0;5;0;1;1;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;;;;
IX. IZBORNA JEDINICA;PULA - POLA;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;PULA - POLA;4;0;6;6;5;1;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;PULA - POLA;5;0;3;3;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;PULA - POLA;6;0;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;;;;
IX. IZBORNA JEDINICA;PULA - POLA;7;0;5;5;5;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;PULA - POLA;8;0;2;2;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;PULA - POLA;9;0;5;5;5;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;;;;
IX. IZBORNA JEDINICA;PULA - POLA;10;0;4;4;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;;;;
IX. IZBORNA JEDINICA;PULA - POLA;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;PULA - POLA;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;RAB;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;RIJEKA;1;0;2;2;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;RIJEKA;2;0;40;40;40;0;0;2;1;0;0;1;0;12;0;0;2;0;0;0;0;0;3;0;1;0;0;18;0;0;0;0;;;;
IX. IZBORNA JEDINICA;ROVINJ - ROVIGNO;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;;;
IX. IZBORNA JEDINICA;SALI;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;SAMOBOR;1;0;6;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0;0;0;0;2;0;0;0;0;;;;
IX. IZBORNA JEDINICA;SELNICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;SINJ;1;0;6;6;6;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;SISAK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;SISAK;2;0;5;5;5;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;SLATINA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;SLAVONSKI BROD;1;0;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;;;;
IX. IZBORNA JEDINICA;SOLIN;1;0;38;38;37;1;1;0;0;1;0;1;0;14;0;0;2;3;0;0;0;0;3;1;0;0;0;11;0;0;0;0;;;;
IX. IZBORNA JEDINICA;SPLIT;1;0;2;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;SPLIT;2;0;10;10;10;0;0;0;0;0;0;0;0;4;0;0;1;0;1;0;0;0;0;0;2;0;0;2;0;0;0;0;;;;
IX. IZBORNA JEDINICA;SPLIT;3;0;3;3;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;;;;
IX. IZBORNA JEDINICA;SPLIT;4;0;8;8;8;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;4;0;0;0;0;;;;
IX. IZBORNA JEDINICA;SPLIT;5;0;6;6;6;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;;;;
IX. IZBORNA JEDINICA;SPLIT;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;SPLIT;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;SPLIT;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;SPLIT;9;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;SPLIT;10;0;18;18;18;0;0;0;0;0;0;1;0;2;0;0;1;0;1;0;0;1;1;0;0;0;0;11;0;0;0;0;;;;
IX. IZBORNA JEDINICA;SUPETAR;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;;;
IX. IZBORNA JEDINICA;SVETI IVAN ZELINA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;ŠENKOVEC;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;ŠIBENIK;1;0;53;53;53;0;0;3;0;1;0;2;0;14;0;0;1;3;2;2;0;0;1;2;4;0;1;17;0;0;0;0;;;;
IX. IZBORNA JEDINICA;ŠIBENIK;2;0;11;11;11;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;1;0;2;0;0;0;0;3;0;0;0;0;;;;
IX. IZBORNA JEDINICA;TOPUSKO;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;;;
IX. IZBORNA JEDINICA;UMAG - UMAGO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;VALPOVO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;VARAŽDIN;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;VARAŽDIN;2;0;7;7;7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;5;0;0;0;0;;;;
IX. IZBORNA JEDINICA;VARAŽDINSKE TOPLICE;1;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;VELIKA GORICA;1;0;8;8;8;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;;;;
IX. IZBORNA JEDINICA;VELIKA GORICA;2;0;7;7;7;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;0;;;;
IX. IZBORNA JEDINICA;VINKOVCI;1;0;9;9;9;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;;;;
IX. IZBORNA JEDINICA;VIROVITICA;1;0;7;7;7;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;;;;
IX. IZBORNA JEDINICA;VIS;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;VRBOVEC;1;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;;;;
IX. IZBORNA JEDINICA;VUKOVAR;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;;;
IX. IZBORNA JEDINICA;ZADAR;1;0;59;59;58;1;0;3;0;1;1;0;0;22;0;3;3;2;2;0;0;0;0;0;2;0;0;17;1;1;0;0;;;;
IX. IZBORNA JEDINICA;ZADAR;2;0;23;23;21;2;0;1;0;0;0;0;0;5;0;1;1;2;1;0;1;0;1;0;0;0;0;7;0;0;0;1;;;;
IX. IZBORNA JEDINICA;ZADAR;3;0;17;17;17;0;0;1;1;0;1;0;0;5;1;0;0;0;1;0;1;0;1;0;0;0;0;5;0;0;0;0;;;;
IX. IZBORNA JEDINICA;ZADAR;4;0;20;20;20;0;0;0;0;1;0;0;2;1;0;0;1;1;2;0;1;0;0;0;0;0;0;11;0;0;0;0;;;;
IX. IZBORNA JEDINICA;ZADAR;5;0;15;15;14;1;0;1;1;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;1;0;0;7;0;0;0;0;;;;
IX. IZBORNA JEDINICA;ZADAR;6;0;24;24;21;3;0;0;0;0;0;0;0;6;2;0;0;2;3;0;4;0;0;0;0;0;0;4;0;0;0;0;;;;
IX. IZBORNA JEDINICA;ZADAR;7;0;25;25;21;4;0;0;0;0;0;0;0;3;0;2;1;0;0;0;0;0;1;0;1;0;0;13;0;0;0;0;;;;
IX. IZBORNA JEDINICA;ZADAR;8;0;23;23;21;2;0;0;1;0;0;0;0;8;1;0;1;1;2;0;2;0;0;0;0;0;0;4;0;0;0;1;;;;
IX. IZBORNA JEDINICA;ZADAR;9;0;22;22;20;2;1;0;0;0;0;0;0;4;1;1;1;2;2;0;0;0;0;0;0;0;0;8;0;0;0;0;;;;
IX. IZBORNA JEDINICA;ZADAR;10;0;18;18;18;0;0;0;0;1;0;0;0;7;0;0;1;0;0;0;1;0;0;0;0;0;0;7;0;0;1;0;;;;
IX. IZBORNA JEDINICA;ZADAR;11;0;21;21;21;0;0;0;0;0;0;0;1;4;0;3;0;1;2;0;0;0;1;0;0;0;0;9;0;0;0;0;;;;
IX. IZBORNA JEDINICA;ZADAR;12;0;23;23;22;1;0;1;0;0;0;0;0;9;0;1;0;1;0;0;1;0;2;0;1;0;0;6;0;0;0;0;;;;
IX. IZBORNA JEDINICA;ZADAR;13;0;22;22;22;0;0;0;0;0;0;2;0;8;0;1;0;0;0;0;3;0;4;0;0;0;0;4;0;0;0;0;;;;
IX. IZBORNA JEDINICA;ZADAR;14;0;19;19;19;0;0;1;0;0;0;0;0;5;0;0;0;2;1;0;2;0;1;0;0;0;0;7;0;0;0;0;;;;
IX. IZBORNA JEDINICA;ZADAR;15;0;13;13;13;0;0;0;0;0;0;0;0;6;0;0;0;0;2;0;0;0;1;0;0;0;0;3;0;0;1;0;;;;
IX. IZBORNA JEDINICA;ZADAR;16;0;20;20;20;0;0;0;0;0;0;1;0;4;0;0;1;4;3;0;2;0;0;0;0;0;0;5;0;0;0;0;;;;
IX. IZBORNA JEDINICA;ZADAR;17;0;18;18;18;0;0;0;0;0;0;1;0;4;0;0;3;2;0;0;2;0;0;0;0;0;0;5;0;0;0;1;;;;
IX. IZBORNA JEDINICA;ZADAR;18;0;20;20;19;1;0;0;0;0;0;0;0;8;0;0;0;0;3;0;0;1;2;1;2;0;0;2;0;0;0;0;;;;
IX. IZBORNA JEDINICA;ZADAR;19;0;68;68;68;0;1;0;1;0;0;3;0;22;0;0;5;0;3;0;1;2;3;2;0;0;1;24;0;0;0;0;;;;
IX. IZBORNA JEDINICA;ZADAR;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
IX. IZBORNA JEDINICA;ZAPREŠIÆ;1;0;6;6;6;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;;;;
IX. IZBORNA JEDINICA;ZEMUNIK DONJI;1;0;34;34;30;4;0;0;0;0;0;0;0;10;0;4;0;0;6;0;4;0;0;0;0;0;0;6;0;0;0;0;;;;
IX. IZBORNA JEDINICA;ŽUPANJA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
UKUPNO;;;0;1.463;1.462;1.426;36;3;16;10;7;9;24;7;393;9;27;48;45;56;8;65;12;60;8;27;0;7;573;2;1;5;4;;;;
