Izborna jedinica;Grad / opæina;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  MILAN ŽUPANÈIÆ, prof. ;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  LUKA ŽUŽENIÆ ;AKCIJA MLADIH - AM  , Nositelj liste:  ROBERT KURELIÆ  ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU  , Nositelj liste:  ZLATKO KLARIÆ, prof. ;AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS , SAVEZ ZA PROMJENE - SP  , Nositelj liste:  BRANKO BORKOVIÆ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  DRAŽEN KELEMINEC   ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ ;GLAS RAZUMA  , Nositelj liste:  MILAN PERKOVAC, mg.elektronike ;HRVATSKA DEMOKRATSKA SELJAÈKA STRANKA - HDSS  , Nositelj liste:  TOMISLAV POKUPÈIÆ ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ , DEMOKRATSKI CENTAR - DC  , Nositelj liste:  JADRANKA KOSOR ;HRVATSKA 21. STOLJEÆA - HRVATSKA 21.  , Nositelj liste:  NADA LANDEKA  ;HRVATSKA EUROPSKA STRANKA - HES  , Nositelj liste:  NAJA ŠEBALJ ;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  MARIJANA PETIR ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  ANTO ÐAPIÆ  ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ  ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  PERO PAŽIN;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  MARINKO BOBINAC;NEOVISNA LISTA  , Nositelj liste:  MILAN BANDIÆ ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  DRAGICA LOVREKOVIÆ;VOLIM HRVATSKU - VH  , Nositelj liste:  ROKO ŠIKIÆ;ZAGREBAÈKA NEZAVISNA LISTA - ZNL  , Nositelj liste:  mr.sc. TATJANA HOLJEVAC, dipl.ing. ;ZELENA LISTA  , Nositelj liste:  MILAN LONÈAR;ZELENA STRANKA - ZS  , Nositelj liste:  mr.sc. ALJOŠA BABIÆ ;ZELENI ZAJEDNO  , Nositelj liste:  TONI VIDAN;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;IVANIÆ-GRAD;7;GREDA BREŠKA;DRUŠTVENI DOM GREDA BREŠKA;GREDA BREŠKA;291;154;154;146;8;0;0;1;0;11;1;2;1;0;2;20;1;0;4;9;6;1;6;4;0;7;1;64;2;1;0;1;0;1;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;IVANIÆ-GRAD;8;LIJEVI DUBROVÈAK;STARA ŠKOLA;LIJEVI DUBROVÈAK;412;255;255;251;4;1;0;0;0;22;0;15;0;0;0;51;0;1;16;1;6;11;7;2;0;9;1;107;0;0;0;1;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;IVANIÆ-GRAD;9;PREROVEC;DRUŠTVENI DOM PREROVEC;PREROVEC;89;53;53;53;0;0;0;0;0;5;1;1;0;0;0;4;0;0;5;1;2;9;0;0;0;1;1;22;0;1;0;0;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;IVANIÆ-GRAD;10;PREÈNO;DRUŠTVENI DOM PREÈNO;PREÈNO;91;74;74;73;1;0;0;0;0;6;1;1;0;0;0;3;0;1;5;0;2;1;1;0;1;0;1;50;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;IVANIÆ-GRAD;11;CAGINEC;DRUŠTVENI DOM CAGINEC;CAGINEC;858;516;516;509;7;0;0;4;3;9;6;9;1;0;4;85;1;0;37;33;8;14;32;8;0;13;2;228;2;0;2;3;0;5;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;IVANIÆ-GRAD;12;GRABERJE IVANIÆKO;DRUŠTVENI DOM GRABERJE IVANIÆKO;ZAGREBAÈKA UL. BB, GRABERJE IVANIÆKO;767;478;478;476;2;2;1;5;1;14;1;10;2;0;6;73;1;0;22;20;16;10;31;7;1;15;6;222;2;2;0;4;2;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;IVANIÆ-GRAD;13;ŠUMEÆANI;DRUŠTVENI DOM ŠUMEÆANI;ŠUMEÆANI;436;271;271;263;8;0;0;2;3;11;0;6;3;0;1;51;1;0;6;30;4;3;14;0;0;8;2;115;0;1;0;1;1;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;IVANIÆ-GRAD;14;DEANOVEC;DRUŠTVENI DOM DEANOVEC;DEANOVEC;471;314;314;312;2;2;2;1;2;5;1;1;0;0;2;37;1;0;17;10;8;2;23;2;1;6;3;178;3;0;0;1;0;4;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;IVANIÆ-GRAD;15;IVANIÆ-GRAD - ŠARAMPOV GORNJI I;"O.Š.""STJEPANA BASARIÈEKA""";UL. MILKE TRNINE BB, IVANIÆ-GRAD;945;658;657;639;18;0;1;4;2;8;1;28;6;3;1;88;2;0;16;24;6;22;48;8;0;13;4;343;1;0;0;4;1;5;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;IVANIÆ-GRAD;16;IVANIÆ-GRAD - ŠARAMPOV GORNJI II;"SPOMEN DOM ""A. VULINCA"" (I. KAT)";BELICEVA 1, IVANIÆ-GRAD;1.246;774;774;762;12;4;4;6;5;20;2;21;6;1;3;159;1;0;22;31;16;19;61;10;1;26;8;318;1;1;4;4;2;6;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;IVANIÆ-GRAD;17;IVANIÆ-GRAD - CENTAR I;MALA SALA PUÈKOG OTVORENOG UÈILIŠTA;MOSLAVAÈKA 11, IVANIÆ-GRAD;601;427;427;418;9;2;0;4;1;8;1;15;0;0;4;62;0;0;6;19;7;24;29;5;0;4;14;204;2;2;1;0;0;4;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;IVANIÆ-GRAD;18;IVANIÆ-GRAD - CENTAR II;DOM UMIROVLJENIKA;UL. KRALJA TOMISLAVA BB, IVANIÆ-GRAD;987;706;706;697;9;1;0;2;2;7;0;20;2;0;1;110;0;0;13;38;8;41;50;3;1;6;10;368;6;1;0;3;3;1;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;IVANIÆ-GRAD;19;IVANIÆ-GRAD - POLJANA II;DRUŠTVENI DOM POLJANA;SAVSKA BB, IVANIÆ-GRAD;649;444;443;436;7;0;1;1;1;10;3;14;1;0;0;67;0;1;11;23;7;18;29;2;0;18;6;210;2;2;0;7;1;1;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;IVANIÆ-GRAD;20;DONJI ŠARAMPOV;DRUŠTVENI DOM;MAJDEKOVA BB, DONJI ŠARAMPOV;558;334;334;329;5;0;0;3;1;5;0;9;2;0;1;33;0;0;15;17;3;5;26;3;1;11;2;191;0;0;0;0;0;1;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;IVANIÆ-GRAD;21;IVANIÆ-GRAD - ŠARAMPOV GORNJI III;SPORTSKA DVORANA ŽERAVINEC;MILKE TRNINE BB, IVANIÆ-GRAD;622;445;445;441;4;1;1;1;0;9;1;12;9;0;0;76;0;0;11;12;20;18;20;7;0;8;4;221;1;4;1;1;0;3;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;1;KUTINA;O.Š. STJEPAN KEFELJA - PROSTOR BR. 1;NIKOLE TESLE 1;1.284;794;793;779;14;0;1;3;4;10;2;24;2;0;0;128;0;0;48;181;19;20;46;5;0;7;8;268;0;1;0;0;1;1;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;2;KUTINA;TEHNIÈKA ŠKOLA KUTINA - PROSTOR BR. 1;HRVATSKIH BRANITELJA 6;480;292;292;287;5;0;3;0;0;1;1;10;0;0;1;45;0;0;12;52;13;8;16;5;1;8;4;105;0;0;0;0;2;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;3;KUTINA;"O.Š. ""VLADIMIR VIDRIÆ"" - PROSTOR BR. 1";ŠKOLSKA 2;335;236;236;233;3;0;0;1;3;3;1;6;1;0;0;33;0;0;6;47;2;3;15;1;0;1;5;103;2;0;0;0;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;4;KUTINA;"O.Š. ""VLADIMIR VIDRIÆ"" - PROSTOR BR. 2";ŠKOLSKA 2;858;565;565;550;15;0;0;2;1;5;0;20;1;0;0;66;0;0;17;87;17;16;34;6;0;5;6;262;2;0;0;2;0;1;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;5;KUTINA;VATROGASNI DOM KUTINA;LJUDEVITA POSAVSKOG BB;633;432;432;429;3;0;2;1;5;1;3;13;0;0;1;63;0;0;7;61;11;9;28;2;1;6;1;211;1;0;0;0;1;1;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;6;KUTINA;"DJEÈJI VRTIÆ""MASLAÈAK""";ANDRIJE HEBRANGA 1;837;564;564;555;9;0;1;0;1;14;0;13;1;0;1;103;0;0;23;92;7;11;27;10;1;2;12;224;4;1;0;4;0;3;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;7;KUTINA;ŠUMARIJA;UL. ANTUNA GUSTAVA MATOŠA;960;673;672;660;12;0;0;3;5;3;0;14;0;0;0;80;0;1;18;127;20;22;51;4;0;6;12;289;1;1;1;0;1;1;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;8;KUTINA;"O.Š. ""STJEPAN KEFELJA"" - PROSTOR BR. 2";NIKOLE TESLE 1;725;466;466;457;9;0;1;1;1;0;3;7;2;0;2;87;3;2;21;64;17;10;14;0;0;0;5;210;1;0;0;3;0;3;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;9;KUTINA;"O.Š. ""STJEPAN KEFELJA"" - PROSTOR BR. 3";NIKOLE TESLE 1;779;575;575;566;9;0;1;3;3;5;2;16;2;0;0;97;1;0;17;89;21;1;27;2;0;2;9;261;3;1;0;1;0;2;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;10;KUTINA;"O.Š. ""MATE LOVRAK"" - PROSTOR BR. 1";CRKVENA 59;649;388;388;378;10;0;1;1;1;5;2;7;1;0;0;85;0;1;14;68;10;11;10;3;0;8;5;140;1;0;1;2;0;1;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;11;KUTINA;"O.Š. ""MATE LOVRAK"" - PROSTOR BR. 2";CRKVENA 59;455;309;309;303;6;0;1;0;2;5;0;8;0;0;0;52;0;1;14;36;7;4;12;5;0;3;3;148;0;1;0;1;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;12;KUTINA;TEHNIÈKA ŠKOLA KUTINA PROSTOR BR. 2;HRVATSKIH BRANITELJA 6;828;567;567;560;7;0;1;0;1;2;2;11;0;0;0;75;0;0;24;84;8;12;34;5;0;3;11;283;0;0;0;1;2;1;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;13;KUTINA;"O.Š. ""ZVONIMIR FRANK"" - PROSTOR BR. 1";SILVIJA STRAHIMIRA KRANJÈEVIÆA 2;990;600;600;593;7;1;0;0;3;9;0;24;0;1;2;94;0;0;18;85;21;14;28;13;0;7;4;261;1;1;0;1;2;3;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;14;KUTINA;"O.Š. ""ZVONIMIR FRANK"" - PROSTOR BR. 2";SILVIJA STRAHIMIRA KRANJÈEVIÆA 2;793;529;529;518;11;1;3;4;2;6;0;11;3;1;2;98;0;0;15;88;13;6;30;6;1;10;11;204;0;0;0;1;2;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;15;KUTINA;DOM RADNIÈKO NASELJE;RADNIÈKA ULICA BB;349;216;216;207;9;0;0;0;3;2;0;1;2;0;0;36;1;0;12;42;20;6;5;1;0;3;2;69;0;0;0;1;1;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;16;KUTINA;DOM;ULICA STJEPANA RADIÆA;895;441;441;435;6;4;1;1;1;6;0;4;1;0;1;82;1;2;89;74;9;9;16;1;0;6;1;124;1;0;1;0;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;17;DOM REPUŠNICA;DOM REPUŠNICA;REPUŠNICA, LJUDEVITA GAJA BB;935;606;606;596;10;0;1;0;1;10;0;11;1;2;1;112;0;0;98;89;26;17;30;5;0;10;7;166;3;0;0;3;0;3;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;18;ŠKOLA REPUŠNICA;ŠKOLA REPUŠNICA;REPUŠNICA, LJUDEVITA GAJA 120;770;499;499;485;14;0;0;1;1;7;2;20;4;0;0;86;1;0;58;80;13;12;27;1;0;7;1;160;0;1;0;2;0;1;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;19;MEÐURIÆ;DOM MEÐURIÆ;MEÐURIÆ;317;208;208;204;4;0;0;0;1;1;0;2;0;0;1;62;0;0;11;20;3;1;3;0;0;4;0;95;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;20;JANJA LIPA;DOM JANJA LIPA;JANJA LIPA;208;125;125;123;2;0;0;0;0;2;0;2;0;0;1;43;0;0;9;40;3;5;5;1;0;1;0;10;0;1;0;0;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;21;JAMARICE;DOM JAMARICE;JAMARICA;375;222;222;219;3;0;0;0;0;4;0;3;0;0;3;68;0;0;17;29;8;2;1;0;0;4;1;78;0;0;0;1;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;22;BANOVA JARUGA;VATROGASNI DOM BANOVA JARUGA;BANOVA JARUGA;625;361;361;358;3;2;1;0;2;1;1;3;0;0;2;86;0;0;16;48;4;6;20;1;0;4;3;150;0;2;2;2;0;2;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;23;ILOVA;ŠKOLA ILOVA;ILOVA;745;437;436;430;6;1;0;1;6;9;0;9;4;0;4;114;0;0;74;30;18;21;11;5;1;2;1;117;1;0;0;1;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;24;ZBJEGOVAÈA;DOM ZBJEGOVAÈA;ZBJEGOVAÈA;287;189;189;187;2;0;0;0;1;5;1;7;1;0;1;15;0;0;12;39;3;1;4;1;0;3;0;92;0;0;0;0;1;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;25;HUSAIN;DOM HUSAIN;HUSAIN;902;565;564;558;6;2;3;1;4;8;1;14;3;0;1;141;0;1;40;80;15;12;16;1;1;8;6;197;0;0;0;2;0;1;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;26;BATINA;DOM BATINA;BATINA;200;150;150;149;1;1;0;0;0;2;1;2;0;0;0;32;0;0;20;18;5;1;7;0;0;1;0;54;1;1;1;0;1;1;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;27;GOJLO;DOM GOJLO;GOJLO;342;211;203;197;6;1;0;0;0;2;1;6;0;0;0;36;1;0;27;21;5;3;5;0;0;1;1;85;1;1;0;0;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;28;MIŠINKA;KUÆA OBITELJI MLINAR;MIŠINKA 6;129;73;73;71;2;0;0;0;2;0;1;1;0;0;0;18;0;0;0;11;7;0;2;0;0;3;1;24;0;0;0;0;0;1;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;29;KUTINSKA SLATINA;DOM KUTINSKA SLATINA;KUTINSKA SLATINA;571;339;339;334;5;2;0;1;1;0;0;12;2;0;0;107;0;0;28;66;17;10;14;1;0;2;2;68;0;0;1;0;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;30;KATOLIÈKE ÈAIRE;DOM KATOLIÈKE ÈAIRE;KATOLIÈKE ÈAIRE;212;123;123;122;1;0;1;1;0;1;0;1;0;0;0;38;0;0;7;40;1;3;3;1;0;0;0;24;0;0;0;1;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;31;KLETIŠTE;DRUŠTVENI DOM;GORNJE KLETIŠTE;118;78;78;76;2;1;0;1;0;0;1;0;0;0;1;26;0;0;7;14;13;2;3;0;0;1;0;6;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;32;ŠARTOVAC;DOM ŠARTOVAC;ŠARTOVAC;354;246;246;239;7;0;0;1;1;1;1;5;1;0;2;62;0;0;18;59;20;1;16;3;0;2;1;45;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;33;STUPOVAÈA;ŠKOLA STUPOVAÈA;STUPOVAÈA;385;233;233;229;4;0;0;1;1;6;1;1;1;1;0;27;0;0;17;45;6;0;2;0;0;2;0;118;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;34;BRINJANI;DOM BRINJANI;BRINJANI;198;149;149;146;3;0;0;0;1;0;1;3;2;0;0;36;0;0;2;25;5;0;4;0;0;0;0;64;1;1;1;0;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;35;KRAJIŠKA KUTINICA;DOM KRAJIŠKA KUTINICA;KRAJIŠKA KUTINICA;58;33;33;33;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;2;0;27;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;36;KUTINICA;DOM KUTINICA;KUTINICA;52;34;34;31;3;0;0;0;0;0;1;1;0;0;0;0;0;0;2;5;0;0;0;0;0;1;0;19;2;0;0;0;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;37;ÈAIRE;OBJEKAT OPG MALBAŠIÆ;ÈAIRE 12;33;15;15;15;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;9;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;38;SELIŠTE;DOM SELIŠTE;SELIŠTE;230;142;142;136;6;0;1;0;1;0;2;1;0;0;1;5;0;0;12;20;6;2;2;0;0;1;0;81;0;0;0;1;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;KUTINA;39;MIKLEUŠKA;DOM MIKLEUŠKA;MIKLEUŠKA;110;82;82;81;1;1;0;0;0;0;0;1;0;0;1;2;1;0;0;3;0;0;0;2;0;2;0;66;0;0;0;1;0;1;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;NOVSKA;1;NOVSKA;OSNOVNA ŠKOLA NOVSKA;TRG DR. FRANJE TUÐMANA 1;1.124;710;709;704;5;0;0;2;3;8;5;20;1;0;3;184;1;0;15;80;63;15;35;2;1;25;13;225;2;0;0;1;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;NOVSKA;2;NOVSKA;SREDNJA ŠKOLA NOVSKA;TINA UJEVIÆA BB;1.234;707;707;697;10;2;2;1;3;8;3;18;3;1;3;210;2;0;24;78;45;12;13;5;0;29;3;223;2;3;0;0;2;2;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;NOVSKA;3;NOVSKA;GRADSKA GALERIJA PUÈKOG OTVORENOG UÈILIŠTA;TRG DR. FRANJE TUÐMANA BR. 3;760;455;455;453;2;1;2;1;3;6;3;19;2;2;6;128;2;1;10;59;40;13;7;0;0;4;7;134;0;1;0;0;0;2;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;NOVSKA;4;NOVSKA;VATROGASNI DOM;OSJEÈKA ULICA;1.358;873;873;862;11;0;0;2;4;8;2;16;1;1;5;260;0;0;37;88;58;23;38;2;0;8;7;297;0;0;0;2;0;3;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;NOVSKA;5;NOVSKA;STARA GRADSKA TRŽNICA;POTOÈNA ULICA;590;376;376;366;10;1;1;0;1;1;1;12;0;0;3;90;0;0;10;21;22;7;20;0;1;4;8;157;1;0;0;2;1;2;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;NOVSKA;6;NOVSKA;ZGRADA VODOPRIVREDE;ULICA KRALJA ZVONIMIRA;1.119;638;638;633;5;0;1;6;5;7;6;22;2;0;1;181;0;0;22;90;53;19;18;0;0;12;4;174;2;0;0;2;2;4;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;NOVSKA;7;BROÈICE;DRUŠTVENI DOM;BROÈICE;838;538;538;532;6;0;0;1;3;5;0;18;2;0;7;235;1;0;22;65;22;15;14;1;0;6;4;104;0;3;0;1;0;3;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;NOVSKA;8;BRESTAÈA;DRUŠTVENI DOM;BRESTAÈA;792;430;430;419;11;0;0;1;2;5;4;16;0;0;1;114;0;1;29;43;30;9;26;2;1;12;1;122;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;NOVSKA;9;KOZARICE;VATROGASNI DOM;KOZARICE;419;208;208;204;4;0;2;2;2;0;2;1;0;0;1;68;0;1;12;32;17;3;1;0;0;4;1;53;0;1;1;0;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;NOVSKA;10;NOVA SUBOCKA;OSNOVNA ŠKOLA;NOVA SUBOCKA;637;379;379;372;7;2;0;0;2;7;2;6;0;0;4;133;0;0;26;50;32;4;5;1;0;6;2;90;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;NOVSKA;11;STARA SUBOCKA;DRUŠTVENI DOM;STARA SUBOCKA;457;271;269;263;6;0;1;0;1;17;4;5;0;1;4;94;1;0;30;33;18;2;4;0;0;8;1;36;1;0;0;1;0;1;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;NOVSKA;12;SIGETAC;DRUŠTVENI DOM;SIGETAC;117;77;74;71;3;1;0;0;0;2;1;1;0;0;0;32;0;0;16;2;5;0;2;0;0;0;1;8;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;NOVSKA;13;PLESMO;DRUŠTVENI DOM;PLESMO;74;53;53;51;2;0;0;0;3;1;0;0;0;0;0;5;0;0;13;0;2;0;4;0;0;0;1;21;0;0;0;1;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;NOVSKA;14;STARI GRABOVAC;DRUŠTVENI DOM;STARI GRABOVAC;434;283;283;280;3;0;1;2;2;4;1;7;1;0;1;98;0;0;11;26;23;10;12;0;0;3;4;71;1;0;0;1;0;1;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;NOVSKA;15;PAKLENICA;DRUŠTVENI DOM;PAKLENICA;267;144;143;142;1;1;2;0;1;0;0;0;0;1;1;52;0;1;7;20;10;0;3;0;0;3;0;38;0;0;1;1;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;NOVSKA;16;VOÆARICA;DRUŠTVENI DOM;VOÆARICA;177;138;138;138;0;0;0;0;0;3;0;4;0;0;0;63;0;0;4;8;10;4;3;0;0;3;0;36;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;NOVSKA;17;JAZAVICA;OSNOVNA ŠKOLA;JAZAVICA;355;221;221;218;3;0;0;0;0;1;5;5;0;0;2;95;0;0;19;12;30;5;6;0;0;2;3;32;0;0;0;1;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;NOVSKA;18;ROŽDANIK;DRUŠTVENI DOM;ROŽDANIK;248;163;163;163;0;1;0;0;3;0;0;2;0;0;1;75;2;1;10;13;13;5;4;1;0;1;0;29;0;0;0;0;2;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;NOVSKA;19;RAJIÆ;DRUŠTVENI DOM;RAJIÆ;816;418;418;413;5;2;6;0;1;2;6;9;3;1;2;152;4;0;27;22;76;4;10;0;0;3;4;71;2;0;1;0;5;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;NOVSKA;20;BOROVAC;DRUŠTVENI DOM;BOROVAC;299;134;134;131;3;1;0;1;0;1;2;0;0;0;1;53;0;0;5;5;19;2;1;0;0;0;0;40;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;PETRINJA;1;PETRINJA;OPÆINSKI SUD U SISKU, STALNA SLUŽBA U PETRINJI;TRG DR. FRANJE TUÐMANA 12;498;307;307;295;12;0;1;0;1;2;1;9;0;1;1;105;1;0;22;9;18;18;19;2;0;7;1;72;1;1;0;2;0;1;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;PETRINJA;2;PETRINJA;OPÆINSKI SUD U SISKU, STALNA SLUŽBA U PETRINJI;TRG DR. FRANJE TUÐMANA 12;632;379;379;375;4;0;0;5;1;8;0;27;1;0;1;78;1;0;14;16;24;8;26;0;1;7;6;149;1;0;0;1;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;PETRINJA;3;PETRINJA;HRVATSKI DOM PETRINJA;MATIJE GUPCA 2;958;574;574;563;11;1;0;3;3;8;3;28;0;1;2;184;1;0;27;18;31;11;30;2;0;12;3;187;2;0;0;2;1;3;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;PETRINJA;4;PETRINJA;HRVATSKI DOM PETRINJA;MATIJE GUPCA 2;991;546;545;536;9;0;0;4;1;5;2;25;0;0;1;123;1;0;21;17;18;14;30;1;1;20;7;241;1;0;0;0;1;2;;;;;;;;;;;;;;;;;
