Izborna jedinica;Država;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  VLADIMIR PAVLETIÆ, dipl.ing.graditeljstva;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  BORIS KINDIJ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  MILE CIGIÆ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR;HRVATSKA 21. STOLJEÆA - HRVATSKA 21.  , Nositelj liste:  NATAŠA SRDOÈ ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  dr.sc. MLADEN ZELJKO;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ;HRVATSKI RAST - HRAST  , Nositelj liste:  PETAR GALIÆ;JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA , HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS  , Nositelj liste:  MARJAN BOŠNJAK;LISTA ZA RIJEKU - LISTA-RI , AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH  , Nositelj liste:  DENIS PEŠUT  ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  LEO PLOÈKINIÆ;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS  , Nositelj liste:  IVAN PERNAR;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing. grad.  ;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;26;biraèko mjesto broj 26 - TUZLA;KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, TUZLA;"GKUD ""BOSNA"", KAZAN MAHALA 2, 75000 TUZLA, BOSNA I HERCEGOVINA";8.010;333;333;324;9;6;8;3;15;219;5;9;30;7;1;4;5;0;4;8;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;27;biraèko mjesto broj 27 - TUZLA;KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, TUZLA;"GKUD ""BOSNA"", KAZAN MAHALA 2, 75000 TUZLA, BOSNA I HERCEGOVINA";7.344;307;307;301;6;1;7;6;22;201;5;13;26;5;0;5;4;1;3;2;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;28;biraèko mjesto broj 28 - TUZLA;KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, TUZLA;"GKUD ""BOSNA"", KAZAN MAHALA 2, 75000 TUZLA, BOSNA I HERCEGOVINA";7.765;294;294;288;6;6;4;3;14;196;6;13;28;2;1;4;0;0;4;7;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;29;biraèko mjesto broj 29 - TUZLA;KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, TUZLA;"GKUD ""BOSNA"", KAZAN MAHALA 2, 75000 TUZLA, BOSNA I HERCEGOVINA";8.428;410;410;402;8;4;9;2;16;280;8;12;38;7;1;6;9;0;8;2;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;30;biraèko mjesto broj 30 - TUZLA;KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, TUZLA;"GKUD ""BOSNA"", KAZAN MAHALA 2, 75000 TUZLA, BOSNA I HERCEGOVINA";7.880;342;342;336;6;4;7;3;22;225;2;9;29;7;0;6;14;0;4;4;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;BUGARSKA;1;biraèko mjesto broj 1 - SOFIJA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI BUGARSKOJ;VELIKO TRNOVO 32, 1504 SOFIJA, BUGARSKA;36;9;9;9;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;CRNA GORA;1;biraèko mjesto broj 1 - PODGORICA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U CRNOJ GORI;VLADA ÆETKOVIÆA 2, PODGORICA, CRNA GORA;510;27;27;27;0;2;4;0;4;8;1;3;0;3;0;0;2;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;CRNA GORA;2;biraèko mjesto broj 2 - KOTOR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U CRNOJ GORI, KOTOR;TRG OD ORUŽJA BB, KOTOR, CRNA GORA;2.521;203;203;201;2;1;5;3;15;111;8;28;10;9;1;2;4;0;4;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;ÈEŠKA REPUBLIKA;1;biraèko mjesto broj 1 - PRAG;VELEPOSLANSTVO REPUBLIKE HRVATSKE U ÈEŠKOJ REPUBLICI;V PRUHLEDU 9, 16200 PRAHA 6, ÈEŠKA;375;7;7;7;0;0;2;0;1;3;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;ÈILE;1;biraèko mjesto broj 1 - SANTIAGO DE CHILE;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI ÈILE;EZEQUIAS ALLIENDE 2370, PROVIDENCIA;4.308;14;14;14;0;0;0;0;2;6;0;0;1;0;1;2;2;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;DANSKA;1;biraèko mjesto broj 1 - KOPENHAGEN;VELEPOSLANSTVO REPUBLIKE HRVATSKE U KRALJEVINI DANSKOJ;FREDERIKSGADE 19, 1ST. FL., 1265 COPENHAGEN K, KRALJEVINA DANSKA;493;4;4;4;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;EGIPAT;1;biraèko mjesto broj 1 - KAIRO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U ARAPSKOJ REPUBLICI EGIPAT;3 ABOU EL FEDA STREET, ZAMALEK, CAIRO, EGYPT;103;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;FINSKA;1;biraèko mjesto broj 1 - HELSINKI;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI FINSKOJ;KRUUNUVUORENKATU 5, 00160 HELSINKI, FINSKA;29;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;FRANCUSKA;1;biraèko mjesto broj 1 - PARIZ;VELEPOSLANSTVO REPUBLIKE HRVATSKE U FRANCUSKOJ REPUBLICI;7, SQUARE THIERS, 75116 PARIS, FRANCUSKA;1.973;15;15;15;0;0;0;0;0;7;1;0;0;2;0;4;1;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;GRÈKA;1;biraèko mjesto broj 1 - ATENA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U HELENSKOJ REPUBLICI;TZAVELA 4, NEO PSYCHICO, 15451 ATHENS, GREECE;61;4;4;4;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;INDIJA;1;biraèko mjesto broj 1 - NEW DELHI;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI INDIJI;A-15, WEST END NEW DELHI 110021,REPUBLIKA INDIJA;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;INDONEZIJA;1;biraèko mjesto broj 1 - JAKARTA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI INDONEZIJI;MENARA MULIA-SUITE, FLOOR 28, 2801, JL JEND. GATOT SUBROTO KAV. 9-11,;13;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;IRAN;1;biraèko mjesto broj 1 - TEHERAN;VELEPOSLANSTVO REPUBLIKE HRVATSKE U ISLAMSKOJ REPUBLICI IRANU;1. BEHESTAN BR. 25, AVIA PASDARAN, TEHERAN, ISLAMSKA REPUBLIKA IRAN;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;IRSKA;1;biraèko mjesto broj 1 - DUBLIN;VELEPOSLANSTVO REPUBLIKE HRVATSKE U IRSKOJ;ADELAIDE CHAMBERS, PETER STREET, DUBLIN 8, IRSKA;45;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;ITALIJA;1;biraèko mjesto broj 1 - MILANO;GENERALNI KONZULAT REPUBLIKE HRVATSKE U TALIJANSKOJ REPUBLICI;PIAZZALE LUIGI CADORNA 15/1, 20123 MILANO, TALIJANSKA REPUBLIKA;965;5;5;5;0;0;0;0;1;1;0;0;0;0;1;0;2;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;ITALIJA;2;biraèko mjesto broj 2 - RIM;VELEPOSLANSTVO REPUBLIKE HRVATSKE U TALIJANSKOJ REPUBLICI;VIA LUIGI BODIO 74-76 00191 ROMA, TALIJANSKA REPUBLIKA;622;38;38;38;0;0;0;0;1;28;0;1;1;0;5;2;0;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;ITALIJA;3;biraèko mjesto broj 3 - TRST;GENERALNI KONZULAT REPUBLIKE HRVATSKE U TALIJANSKOJ REPUBLICI, TRST;PIAZZA GOLDONI 9, 34122 TRST, TALIJANSKA REPUBLIKA;903;19;19;19;0;0;0;5;0;8;0;0;0;1;0;0;5;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;IZRAEL;1;biraèko mjesto broj 1 - TEL AVIV;VELEPOSLANSTVO REPUBLIKE HRVATSKE U DRŽAVI IZRAEL;2, WEITZMAN STREET, AMOT INVESTMENT BUILDING, 8TH FLOOR, TEL AVIV 6423;82;11;11;11;0;0;1;0;2;4;0;1;0;1;0;1;1;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;JAPAN;1;biraèko mjesto broj 1 - TOKYO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U JAPANU;3-3-10 HIROO, SHIBUYA-KU, TOKYO 1500-0012, JAPAN;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;JUŽNOAFRIÈKA REPUBLIKA;1;biraèko mjesto broj 1 - PRETORIJA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI JUŽNOJ AFRICI;1160 CHURCH STREET, COLBYN 0083, PRETORIA, SOUTH AFRICA;603;3;3;3;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;KANADA;1;biraèko mjesto broj 1 - MISSISSAUGA;GENERALNI KONZULAT REPUBLIKE HRVATSKE U KANADI, MISSISSAUGA;918 DUNDAS STREET EAST, SUITE 302, MISSISSAUGA, ONTARIO L4Y 2B8, KANAD;1.398;76;76;76;0;0;0;0;2;54;0;2;1;16;1;0;0;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;KANADA;2;biraèko mjesto broj 2 - MISSISSAUGA;GENERALNI KONZULAT REPUBLIKE HRVATSKE U KANADI, MISSISSAUGA;918 DUNDAS STREET EAST, SUITE 302, MISSISSIAUGA, ONTARIO L4Y 2B8, KANA;939;89;89;88;1;0;2;0;3;58;1;1;3;10;3;5;0;0;2;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;KANADA;3;biraèko mjesto broj 3 - OTTAWA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U KANADI;229 CHAPEL STREET, OTTAWA, ONTARIO K1N 7Y6, KANADA;1.052;7;7;7;0;0;0;0;0;2;0;1;2;1;1;0;0;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;KINA;1;biraèko mjesto broj 1 - PEKING;VELEPOSLANSTVO REPUBLIKE HRVATSKE U NARODNOJ REPUBLICI KINI;SAN LI TUN DIPLOMATIC OFFICE BUILDING 2-7-2, 100600 BEIJING, NR KINA;9;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;KOSOVO;1;biraèko mjesto broj 1 - PRIŠTINA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI KOSOVO;FEHMI AGANI 69/A, PRISHTINË, KOSOVO;458;14;14;14;0;0;0;0;0;11;2;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;MAÐARSKA;1;biraèko mjesto broj 1 - BUDIMPEŠTA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI MAÐARSKOJ;MUNKÁCSY MIHÁLY U. 15, 1063 BUDAPEST, MAÐARSKA;384;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;MAÐARSKA;2;biraèko mjesto broj 2 - PEÈUH;GENERALNI KONZULAT REPUBLIKE HRVATSKE U REPUBLICI MAÐARSKOJ, PEÈUH;IFJUSAG U. 11, 7624 PECS, MAÐARSKA;295;12;12;12;0;0;0;0;2;8;0;0;2;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;MAKEDONIJA;1;biraèko mjesto broj 1 - SKOPJE;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI MAKEDONIJI;MITROPOLIT TEODOSIE GOLOGANOV 44, 1000 SKOPJE, MAKEDONIJA;1.922;195;195;193;2;2;1;4;16;115;7;26;2;1;1;4;7;1;5;1;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;MALEZIJA;1;biraèko mjesto broj 1 - KUALA LUMPUR;VELEPOSLANSTVO REPUBLIKE HRVATSKE U MALEZIJI;NO. 3, JALAN MENGKUANG, OFF JALAN RU, OFF JALAN AMPANG, 55000 KUALA LU;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;MAROKO;1;biraèko mjesto broj 1 - RABAT;VELEPOSLANSTVO REPUBLIKE HRVATSKE U KRALJEVINI MAROKU;73, RUE MARNISSA (SOUISSI), 10000 RABAT, MAROKO;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;NIZOZEMSKA;1;biraèko mjesto broj 1 - DEN HAAG;VELEPOSLANSTVO REPUBLIKE HRVATSKE U KRALJEVINI NIZOZEMSKOJ;AMALIASTRAAT 16, 2514 JC DEN HAAG, NIZOZEMSKA;1.247;11;11;11;0;0;0;0;1;9;0;0;0;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;NORVEŠKA;1;biraèko mjesto broj 1 - OSLO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U KRALJEVINI NORVEŠKOJ;DRAMMENSVEIEN 82, 0244 OSLO, NORVEŠKA;259;6;6;6;0;0;2;0;1;1;0;0;1;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;NOVI ZELAND;1;biraèko mjesto broj 1 - AUCKLAND;GENERALNI KONZULAT REPUBLIKE HRVATSKE U NOVOM ZELANDU;291 LINCOLN ROAD, HENDERSON, AUCKLAND, NOVI ZELAND;636;10;10;10;0;2;0;0;0;2;0;6;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;NJEMAÈKA;1;biraèko mjesto broj 1 - BERLIN;VELEPOSLANSTVO REPUBLIKE HRVATSKE U SR NJEMAÈKOJ;AHORNSTR. 4, 10787 BERLIN, SR NJEMAÈKA;801;35;35;35;0;0;0;0;1;31;0;0;0;0;0;2;0;1;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;NJEMAÈKA;2;biraèko mjesto broj 2 - BERLIN;VELEPOSLANSTVO REPUBLIKE HRVATSKE U SR NJEMAÈKOJ;AHORNSTR. 4, 10787 BERLIN, SR NJEMAÈKA;599;23;23;21;2;0;0;0;0;16;0;0;0;3;0;1;0;0;0;1;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;NJEMAÈKA;3;biraèko mjesto broj 3 - BERLIN;VELEPOSLANSTVO REPUBLIKE HRVATSKE U SR NJEMAÈKOJ;AHORNSTR. 4, 10787 BERLIN, SR NJEMAÈKA;764;35;35;35;0;1;0;0;2;25;0;0;2;2;3;0;0;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;NJEMAÈKA;4;biraèko mjesto broj 4 - DÜSSELDORF;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ, DÜSSELDORF;CORNELIUSSTR. 53, 40215 DÜSSELDORF, SR NJEMAÈKA;2.571;79;79;79;0;0;1;0;1;70;1;1;1;1;1;0;0;0;0;2;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;NJEMAÈKA;5;biraèko mjesto broj 5 - DÜSSELDORF;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ, DÜSSELDORF;CORNELIUSSTR. 53, 40215 DÜSSELDORF, SR NJEMAÈKA;2.656;88;88;88;0;0;0;0;0;77;1;1;0;3;0;1;0;0;2;3;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;NJEMAÈKA;6;biraèko mjesto broj 6 - DÜSSELDORF;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ, DÜSSELDORF;CORNELIUSSTR. 53, 40215 DÜSSELDORF, SR NJEMAÈKA;2.922;91;91;89;2;0;1;0;1;76;1;2;2;4;1;1;0;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;NJEMAÈKA;7;biraèko mjesto broj 7 - FRANKFURT;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ, FRANKFURT;AM WEINGARTEN 25, 60487 FRANKFURT AM MAIN, SR NJEMAÈKA;2.520;71;71;70;1;0;0;1;3;55;0;3;2;4;1;0;1;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;NJEMAÈKA;8;biraèko mjesto broj 8 - FRANKFURT;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ, FRANKFURT;AM WEINGARTEN 25, 60487 FRANKFURT AM MAIN, SR NJEMAÈKA;2.500;83;83;81;2;0;0;0;0;67;0;2;3;3;2;2;1;0;0;1;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;NJEMAÈKA;9;biraèko mjesto broj 9 - FRANKFURT;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ, FRANKFURT;AM WEINGARTEN 25, 60487 FRANKFURT AM MAIN, SR NJEMAÈKA;2.513;90;90;90;0;0;0;0;0;80;0;0;1;4;1;3;0;0;0;1;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;NJEMAÈKA;10;biraèko mjesto broj 10- HAMBURG;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ, HAMBURG;HERMANNSTRASSE 16, 20095 HAMBURG, SR NJEMAÈKA;3.602;118;118;118;0;0;3;4;0;89;0;0;6;4;2;4;2;0;2;2;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;NJEMAÈKA;11;biraèko mjesto broj 11 - MÜNCHEN;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ, MÜNCHEN;OBERFÖHRINGER STRASSE 6, 81679 MÜNCHEN, NJEMAÈKA;1.948;40;40;39;1;0;0;1;1;28;0;0;3;2;0;3;0;0;1;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;NJEMAÈKA;12;biraèko mjesto broj 12 - MÜNCHEN;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ,MÜNCHEN;OBERFÖHRINGER STRASSE 6, 81679 MÜNCHEN, NJEMAÈKA;1.788;45;45;45;0;0;0;0;2;36;0;1;2;0;1;1;1;0;1;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;NJEMAÈKA;13;biraèko mjesto broj 13 - MÜNCHEN;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ, MÜNCHEN;OBERFÖHRINGER STRASSE 6, 81679 MÜNCHEN, NJEMAÈKA;1.936;65;65;65;0;0;0;0;1;50;1;1;7;2;1;2;0;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;NJEMAÈKA;14;biraèko mjesto broj 14 - MÜNCHEN;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ, MÜNCHEN;OBERFÖHRINGER STRASSE 6, 81679 MÜNCHEN, NJEMAÈKA;1.625;55;55;55;0;0;0;1;0;46;0;3;2;0;1;1;1;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;NJEMAÈKA;15;biraèko mjesto broj 15 - STUTTGART;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ, STUTTGART;LIEBENZELLER STRASSE 5, 70372 STUTTGART (BAD CANNSTATT), NJEMAÈKA;3.156;144;144;144;0;0;1;0;2;123;0;1;4;8;1;4;0;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;NJEMAÈKA;16;biraèko mjesto broj 16 - STUTTGART;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ, STUTTGART;LIEBENZELLER STRASSE 5, 70372 STUTTGART (BAD CANNSTATT), NJEMAÈKA;2.793;122;122;122;0;0;0;1;3;109;0;0;3;3;0;2;0;0;1;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;NJEMAÈKA;17;biraèko mjesto broj 17 - STUTTGART;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ STUTTGART;LIEBENZELLER STRASSE 5, 70372 STUTTGART (BAD CANNSTATT), NJEMAÈKA;2.490;104;104;104;0;0;0;1;3;92;0;1;2;3;1;0;0;0;0;1;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;NJEMAÈKA;18;biraèko mjesto broj 18 - STUTTGART;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ, STUTTGART;LIEBENZELLER STRASSE 5, 70372 STUTTGART (BAD CANNSTATT), NJEMAÈKA;2.365;107;105;103;2;1;0;3;1;85;0;1;3;6;0;2;0;0;1;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;NJEMAÈKA;19;biraèko mjesto broj 19 - STUTTGART;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SAVEZNOJ REPUBLICI NJEMAÈKOJ, STUTTGART;LIEBENZELLER STRASSE 5, 70372 STUTTGART (BAD CANNSTATT), NJEMAÈKA;1.893;74;74;74;0;0;0;0;0;62;0;1;4;4;1;2;0;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;POLJSKA;1;biraèko mjesto broj 1 - VARŠAVA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI POLJSKOJ;UL. IGNACEGO KRASICKIEGO 25, 02-611 WARSZAW, POLJSKA;64;3;3;3;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;PORTUGAL;1;biraèko mjesto broj 1 - LISABON;VELEPOSLANSTVO REPUBLIKE HRVATSKE U PORTUGALSKOJ REPUBLICI;RUA DOM LOURENCO DE ALMEIDA, 24, 1400-126 LISBOA, PORTUGAL;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;RUMUNJSKA;1;biraèko mjesto broj 1 - BUKUREŠT;VELEPOSLANSTVO REPUBLIKE HRVATSKE U RUMUNJSKOJ;STR. DR. BURGHELEA BR. 1, SECTOR 2, BUCURESTI, RUMUNJSKA;1.538;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;RUSIJA;1;biraèko mjesto broj 1 - MOSKVA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U RUSKOJ FEDERACIJI;KOROBEYNIKOV PEREULOK 16/10, 119034 MOSKVA, RUSIJA;133;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;SAD;1;biraèko mjesto broj 1 - WASHINGTON;VELEPOSLANSTVO REPUBLIKE HRVATSKE U SJEDINJENIM AMERIÈKIM DRŽAVAMA;2343 MASSACHUSETTS AVE. NW, WASHINGTON D.C. 20008-2803, SAD;1.481;5;5;5;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;SAD;2;biraèko mjesto broj 2 - CHICAGO;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SJEDINJENIM AMERIÈKIM DRŽAVAMA, CHICAGO;737 NORTH MICHIGAN AVENUE,  SUITE 1030, CHICAGO, ILINOIS 60611, SAD;1.389;23;23;23;0;0;0;3;0;16;0;0;2;0;1;0;0;0;1;0;;;;;;;;;;;;;;;;;
XI. IZBORNA JEDINICA;SAD;3;biraèko mjesto broj 3 - LOS ANGELES;GENERALNI KONZULAT REPUBLIKE HRVATSKE U SJEDINJENIM AMERIÈKIM DRŽAVAMA, LOS ANGELES;11766 WILSHIRE BLVD. , SUITE 1250, LOS ANGELES CA 90025, SAD;1.759;14;14;14;0;0;0;0;0;10;0;0;3;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
