Izborna jedinica;Grad / opæina;BM Rbr;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  STJEPAN RUŠEC;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  DARKO KRNIÆ;AKCIJA MLADIH - AM  , Nositelj liste:  ANDREJ BRIŠÈIK ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU  , Nositelj liste:  ZLATKO KLARIÆ, prof. ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  EMIL ÈIÆ  ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ ;DEMOKRATSKA STRANKA SLAVONSKE RAVNICE - SLAVONSKA RAVNICA  , Nositelj liste:  SLAVKO VUKŠIÆ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ;HRVATSKA DEMOKRATSKA SELJAÈKA STRANKA - HDSS  , Nositelj liste:  STEVO GRAHOVAC;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  MATO BARUKÈIÆ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR;"HRVATSKA STRANKA PRAVA - HSP , ""HRVATSKA STRAŽA"" NACIONALNA STRANKA - HS NS  , Nositelj liste:  DANIEL SRB   ";HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ;HRVATSKI DEMOKRATSKI SAVEZ SLAVONIJE I BARANJE - HDSSB  , Nositelj liste:  prof.dr.sc. VLADIMIR ŠIŠLJAGIÆ  ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  TOMISLAV ŠPERANDA ;JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  MARIJAN ŠKARIÆ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  GORDAN MASNJAK;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ ;NEOVISNA LISTA  , Nositelj liste:  IVAN LONÈAR;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS  , Nositelj liste:  DALI MOR ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  NIKOLA OPAÈIÆ ;VOLIM HRVATSKU - VH  , Nositelj liste:  ROKO ŠIKIÆ ;ZELENA LISTA  , Nositelj liste:  DANICA JOVIÆ  ;ZELENA STRANKA - ZS  , Nositelj liste:  mr.sc. ALJOŠA BABIÆ  ;ZELENI HRVATSKE - ZELENI HR  , Nositelj liste:  ZDRAVKO PEKO;;;;;;
IV. IZBORNA JEDINICA;DUBROVNIK;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;DUBROVNIK;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;DUBROVNIK;8;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;DUBROVNIK;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;DUBROVNIK;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;DUBROVNIK;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;DUBROVNIK;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;DUBROVNIK;13;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;DUGO SELO;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;1;0;3;3;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;ÐURÐEVAC;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;GAREŠNICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;GLINA;1;0;23;23;23;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;10;1;0;0;0;0;0;0;11;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;GOSPIÆ;1;0;5;5;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;GOSPIÆ;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;GRAD ZAGREB;1;0;6;6;6;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;GRAD ZAGREB;1;0;19;17;16;1;0;0;0;0;0;0;1;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;9;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;GRAD ZAGREB;2;0;13;13;13;0;0;0;0;0;0;0;1;0;0;5;0;0;1;0;2;0;1;0;0;0;0;0;3;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;GRAD ZAGREB;2;0;4;4;4;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;GRAD ZAGREB;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;GRAD ZAGREB;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;GRAD ZAGREB;4;0;65;65;63;2;0;0;0;0;0;0;1;0;0;13;0;2;1;0;1;7;0;0;0;4;0;0;33;1;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;GRUBIŠNO POLJE;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;HRVATSKA KOSTAJNICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;HVAR;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;ILOK;1;0;11;11;11;0;0;0;0;1;0;0;0;3;0;2;1;0;0;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;IMOTSKI;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;IVANEC;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;IVANIÆ-GRAD;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;JASTREBARSKO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;KARLOVAC;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;KARLOVAC;2;0;16;16;15;1;0;0;0;0;1;0;0;0;0;6;0;0;0;1;4;0;0;0;0;1;0;0;1;0;0;1;0;0;;;;;;
IV. IZBORNA JEDINICA;KARLOVAC;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;KOPRIVNICA;1;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;KORÈULA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;KOTORIBA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;KRAPINA;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;KRIŽEVCI;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;KRK;1;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;KUTINA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;LABIN;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;LASTOVO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;LEPOGLAVA;1;0;56;56;55;1;0;1;0;0;0;0;2;0;1;8;0;1;5;2;13;1;0;1;1;0;0;0;19;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;MAKARSKA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;MALI LOŠINJ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;METKOVIÆ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;MLJET;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;NAŠICE;1;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;NEDELIŠÆE;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;NOVA GRADIŠKA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;NOVALJA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;NOVI MAROF;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;NOVSKA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;OGULIN;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;OPATIJA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;ORAHOVICA;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;OREHOVICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;1;0;81;81;79;2;0;0;0;2;1;1;3;0;2;7;0;1;5;2;44;0;0;0;0;0;0;0;11;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;OSIJEK;2;0;11;11;11;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;1;0;0;0;1;0;0;3;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;PAKRAC;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;PAZIN;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;PETRINJA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;PITOMAÈA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;POPOVAÈA;1;0;9;9;7;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;POREÈ - PARENZO;1;0;11;11;10;1;1;0;0;0;0;0;0;0;0;2;0;0;1;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;POŽEGA;1;0;43;43;43;0;0;0;2;0;0;0;0;0;0;8;0;0;1;0;12;0;0;0;2;1;0;0;16;0;0;0;1;0;;;;;;
IV. IZBORNA JEDINICA;POŽEGA;2;0;11;11;11;0;0;0;1;1;0;0;0;0;0;3;1;0;0;0;2;0;0;0;0;0;0;0;3;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;POŽEGA;3;0;2;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;PREKO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;PREKO;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;PROMINA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;PULA - POLA;1;0;7;7;7;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;PULA - POLA;2;0;9;9;9;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;PULA - POLA;3;0;3;3;3;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;PULA - POLA;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;PULA - POLA;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;PULA - POLA;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;PULA - POLA;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;PULA - POLA;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;PULA - POLA;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;PULA - POLA;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;PULA - POLA;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;PULA - POLA;12;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;RAB;1;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
