Izborna jedinica;Grad / Opæine;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  STJEPAN VUJANIÆ;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  MARIJAN FERIÆ ;AKCIJA MLADIH - AM  , Nositelj liste:  BOJAN KURELIÆ ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU , LISTA ZA RIJEKU - LISTA-RI  , Nositelj liste:  ZLATKO KLARIÆ, prof.;AKCIJA ZA BOLJU HRVATSKU - ABH , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  mr.sc. ŽELJKO SAÈIÆ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  NATKO KOVAÈEVIÆ, dr.med.vet.;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR ;HRVATSKA 21. STOLJEÆA - HRVATSKA 21.  , Nositelj liste:  NATAŠA SRDOÈ;HRVATSKA EUROPSKA STRANKA - HES  , Nositelj liste:  NAJA ŠEBALJ ;HRVATSKA SELJAÈKA STRANKA - HSS , ZELENA STRANKA - ZS , STRANKA PENZIONERA - SP  , Nositelj liste:  mr.sc. BOŽIDAR PANKRETIÆ  ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  JELENA ÆORIÆ MUDROVÈIÆ  ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  IGOR GALOVIÆ;NEOVISNA LISTA  , Nositelj liste:  MILAN BANDIÆ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ ;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS , DEMOKRATSKA PRIGORSKO-ZAGREBAÈKA STRANKA - DPS  , Nositelj liste:  IVAN PERNAR;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  MILORAD MRVOŠ, prof.   ;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad. ;ZAGREBAÈKA NEZAVISNA LISTA - ZNL  , Nositelj liste:  mr.sc. TATJANA HOLJEVAC, dipl.ing.  ;ZELENA LISTA  , Nositelj liste:  DARKO MRZLEÈKI ;ZELENI ZAJEDNO  , Nositelj liste:  MARIJA PERUŠIÆ, struè.spec.oec.  ;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;ÈABAR;4;BIRAÈKO MJESTO BR. 4;GEROVO -  ZGRADA OSNOVNE ŠKOLE;GEROVO, ZAGREBAÈKA 2;1.148;662;662;647;15;0;2;6;5;3;2;35;5;134;0;2;15;7;11;8;38;1;0;1;5;5;352;2;0;0;5;3;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;ÈABAR;5;BIRAÈKO MJESTO BR. 5;PLEŠCE - ZGRADA DRUŠTVENOG DOMA;PLEŠCE, ANTUNA MUHVIÆA 1;361;193;193;193;0;1;0;0;3;0;0;3;2;55;0;0;6;1;3;1;4;0;0;0;0;1;109;2;0;0;1;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;DELNICE;1;BIRAÈKO MJESTO BR. 1;PODRUÈNA OŠ IVANA GORANA KOVAÈIÆA;CRNI LUG, I.G. KOVAÈIÆA 1;363;237;237;231;6;0;0;0;1;2;0;15;0;49;2;0;8;2;15;8;5;0;0;0;4;7;111;0;1;0;1;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;DELNICE;2;BIRAÈKO MJESTO BR. 2;ZGRADA MGP;LUÈICE, LUÈIÆKA CESTA 1;311;161;161;160;1;1;1;0;1;1;1;14;1;17;1;0;11;4;3;7;7;1;1;0;0;6;80;0;0;0;1;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;DELNICE;3;BIRAÈKO MJESTO BR. 3;DOM ORUŽANIH SNAGA RH;DELNICE, STJEPANA RADIÆA 3.;1.234;812;812;789;23;0;0;12;3;2;5;73;3;148;4;0;20;9;21;38;59;0;0;7;13;7;354;2;1;0;6;2;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;DELNICE;4;BIRAÈKO MJESTO BR. 4;ZGRADA SUDA;DELNICE, TINA UJEVIÆA 1.;1.334;881;880;859;21;1;1;11;4;7;1;59;4;131;1;1;31;16;11;35;77;2;2;9;14;7;418;3;3;1;6;3;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;DELNICE;5;BIRAÈKO MJESTO BR. 5;ZGRADA ŠUMARIJE DELNICE;DELNICE, PETRA KREŠIMIRA IV BR. 3;1.404;962;962;943;19;1;2;10;3;11;3;82;2;127;2;1;32;24;28;34;68;1;0;5;15;12;466;3;5;1;1;4;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;DELNICE;6;BIRAÈKO MJESTO BR. 6;OSNOVNA ŠKOLA FRANA KRSTE FRANKOPANA;BROD NA KUPI, KRALJA TOMISLAVA 12 A;454;270;270;262;8;1;1;6;3;2;0;12;1;55;0;0;5;2;7;2;9;1;0;2;3;6;139;0;0;0;5;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;DELNICE;7;BIRAÈKO MJESTO BR. 7;OSNOVNA ŠKOLA TURKE;TURKI, TURKI 1;182;99;99;94;5;0;0;1;2;0;0;7;0;25;0;0;5;2;4;1;1;1;0;0;2;2;37;2;0;0;1;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;DUGA RESA;1;BIRAÈKO MJESTO BR. 1;OŠ VLADIMIR NAZOR;JOZEFINSKA CESTA 85;917;659;643;621;22;1;2;2;4;3;1;12;3;149;1;1;31;36;21;34;30;9;1;8;13;4;244;0;0;1;5;5;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;DUGA RESA;2;BIRAÈKO MJESTO BR. 2;DJEÈJE JASLICE I VRTIÆ /NOVI/;TRG HRVATSKIH MUÈENIKA BB;769;521;521;510;11;0;1;2;2;13;1;22;1;113;0;0;24;22;15;21;39;0;0;2;8;5;210;0;0;0;6;3;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;DUGA RESA;3;BIRAÈKO MJESTO BR. 3;"PROSTORIJE SPORTSKOG DRUŠTVA""MLADOST"" NA NOGOMETNOM IGRALIŠTU";DONJE MRZLO POLJE BB;474;318;318;313;5;1;0;1;2;2;1;11;1;80;0;0;23;16;16;11;17;0;0;0;4;10;112;1;0;1;0;3;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;DUGA RESA;4;BIRAÈKO MJESTO BR. 4;UDRUŽENJE UMIROVLJENIKA;JOSEFA JERUZALEMA 2;701;431;431;417;14;1;1;1;3;6;1;8;2;96;2;0;41;7;13;20;29;1;0;3;8;7;161;4;1;0;0;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;DUGA RESA;5;BIRAÈKO MJESTO BR. 5;DOM ŠPORTOVA;BANA JOSIPA JELAÈIÆA 41;484;330;330;323;7;1;0;0;2;7;0;16;0;73;0;0;10;18;9;17;17;2;0;2;3;3;134;0;0;0;2;7;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;DUGA RESA;6;BIRAÈKO MJESTO BR. 6;OŠ IVAN GORAN KOVAÈIÆ;BANA JOSIPA JELAÈIÆA 8;584;437;437;435;2;0;2;1;5;4;4;14;5;105;0;0;21;17;7;11;32;0;1;4;9;3;184;0;0;0;3;3;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;DUGA RESA;7;BIRAÈKO MJESTO BR. 7;PROSTORIJE PEKARE MUS;TRG KRALJA TOMISLAVA 1;519;376;376;363;13;1;0;2;0;5;0;15;1;82;0;0;10;10;13;15;20;1;1;2;2;2;174;1;0;0;2;4;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;DUGA RESA;8;BIRAÈKO MJESTO BR. 8;KUÆA KATICE POLOVIÆ;JURANOVO BRDO 27;330;232;232;226;6;0;1;0;1;1;2;9;2;50;1;0;12;10;2;8;13;1;0;2;3;0;105;0;2;0;1;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;DUGA RESA;9;BIRAÈKO MJESTO BR. 9;PROSTORIJE MO TREŠNJEVKA;TRG HRVATSKIH MUÈENIKA 17;514;338;338;333;5;0;0;0;4;5;2;15;0;72;2;0;17;6;11;14;19;2;0;4;2;4;147;1;1;0;2;3;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;DUGA RESA;10;BIRAÈKO MJESTO BR. 10;VATROGASNI DOM STARA SELA;FRANKOPANSKA BB;680;464;464;451;13;0;0;1;6;2;0;20;3;119;0;2;39;5;20;13;30;11;0;4;8;2;152;1;0;0;2;11;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;DUGA RESA;11;BIRAÈKO MJESTO BR. 11;KUÆA PROTULIPAC ŽELJKA;PETRAKOVO BRDO 22B;139;99;99;97;2;0;0;1;1;1;0;1;0;33;0;0;9;3;5;2;3;0;0;0;0;0;32;0;1;0;2;3;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;DUGA RESA;12;BIRAÈKO MJESTO BR. 12;TAPETARSKA RADNJA ÈUNOVIÆ ŽELJKA;GORNJE MRZLO POLJE 43;583;431;431;420;11;0;0;4;2;12;2;16;2;109;2;2;31;10;13;17;30;1;1;5;9;1;143;0;0;0;5;3;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;DUGA RESA;13;BIRAÈKO MJESTO BR. 13;KUÆA VERE TRGOVÈIÆ;DOMOBRANSKA 23;807;561;558;547;11;0;2;3;2;5;1;23;2;159;2;0;72;19;12;26;24;5;1;4;5;6;167;0;0;0;3;4;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;DUGA RESA;14;BIRAÈKO MJESTO BR. 14;PROSTORIJE MO BELAJSKA VINICA;BELAJSKA VINICA BB;250;143;142;138;4;0;0;0;2;2;1;1;2;47;0;0;9;2;4;10;4;0;0;1;4;0;43;0;1;0;2;3;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;DUGA RESA;15;BIRAÈKO MJESTO BR. 15;KUÆA ŽIVÈIÆ MARKA;MREŽNIÈKI BRIG 91;315;198;198;195;3;0;0;1;0;3;1;5;2;48;0;0;24;9;8;5;10;2;0;3;3;1;67;0;1;0;2;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;DUGA RESA;16;BIRAÈKO MJESTO BR. 16;KUÆA ZDENKA MALOVIÆA;MIHALIÆ SELO 14;130;62;62;56;6;0;0;0;0;0;0;1;0;16;0;0;11;2;1;0;4;0;0;0;1;0;20;0;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;DUGA RESA;17;BIRAÈKO MJESTO BR. 17;KUÆA MARIJANA MATAKOVIÆA;MREŽNIÈKI NOVAKI 31;166;100;100;99;1;1;0;0;0;0;1;0;1;52;0;0;14;0;4;1;0;0;0;2;0;0;18;0;1;0;2;2;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;DUGA RESA;18;BIRAÈKO MJESTO BR. 18;PROSTORIJE PODRUÈNE ŠKOLE BELAVIÆI;BELAVIÆI;512;378;378;372;6;0;3;2;3;10;1;12;2;101;0;0;35;6;17;18;17;1;0;5;11;2;118;1;0;0;3;4;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;DUGA RESA;19;BIRAÈKO MJESTO BR. 19;DRUŠTVENI DOM DVORJANCI;DVORJANCI BB;197;121;121;120;1;1;0;1;3;4;1;3;0;30;1;0;11;1;10;4;3;0;0;2;0;0;42;0;2;0;1;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;DUGA RESA;20;BIRAÈKO MJESTO BR. 20;PROSTORIJE MO ZVEÈAJ;ZVEÈAJ 26;266;191;191;190;1;0;0;1;4;1;1;5;1;87;1;0;8;9;9;6;6;0;0;5;0;2;41;0;1;0;1;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;DUGA RESA;21;BIRAÈKO MJESTO BR. 21;ŠKOLA DONJI ZVEÈAJ;DONJI ZVEÈAJ 8;153;111;110;107;3;0;0;0;2;0;0;3;1;31;0;0;10;7;6;2;2;0;0;3;1;0;37;1;0;0;1;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;DUGA RESA;22;BIRAÈKO MJESTO BR. 22;KUÆA MALOVIÆ IVANA;MREŽNIÈKI VENAC 17;114;84;84;80;4;0;0;0;1;2;0;2;0;23;1;0;15;2;6;2;1;0;0;3;2;0;19;1;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;DUGA RESA;23;BIRAÈKO MJESTO BR. 23;KUÆA MALOVIÆ BRANKE;GRŠÆAKI 4;74;42;42;41;1;0;0;0;0;0;0;1;0;3;0;0;16;2;1;1;0;0;0;0;0;0;17;0;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;DUGA RESA;24;BIRAÈKO MJESTO BR. 24;PROSTORIJE MO SVETI PETAR;SVETI PETAR BB;364;245;245;239;6;0;2;2;1;2;0;5;2;60;0;0;28;1;11;16;13;1;0;0;5;4;82;0;0;0;1;3;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;DUGA RESA;25;BIRAÈKO MJESTO BR. 25;PROSTORIJE MO LIŠNICA;LIŠNICA BB;168;111;111;111;0;0;0;1;2;3;0;1;0;41;0;0;8;5;6;1;8;0;0;0;3;1;24;0;0;1;1;5;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;1;BREZNIK PLEŠIVIÈKI;KUÆA STJEPANA SLEMENŠEKA (GARAŽA);BREZNIK PLEŠIVIÈKI             43;117;80;80;79;1;2;0;0;1;0;0;3;0;15;0;1;19;1;2;4;3;1;0;1;0;0;26;0;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;2;DONJI DESINEC;DOM DVD;DONJI DESINEC;685;457;457;446;11;0;0;0;2;2;4;20;1;78;1;1;66;12;14;15;17;1;0;5;2;14;187;1;1;0;1;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;3;GORNJI DESINEC;DOM DVD;GORNJI DESINEC;800;527;527;515;12;0;2;3;2;4;0;20;4;110;3;1;26;18;27;18;22;6;1;6;15;4;215;0;0;2;3;3;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;4;LOKOŠIN DOL;"PROSTORIJE PODRUMA ""MLADINA"" U MLADINI";LOKOŠIN DOL;79;63;63;63;0;0;0;0;0;0;2;2;0;2;0;0;7;2;0;0;1;2;0;0;1;0;42;1;0;0;0;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;5;VLAŠKOVEC;"PROSTORIJE LOVAÈKOG DOMA L.D. ""SRNDAÆ""";PLEŠIVICA;111;64;64;63;1;0;0;0;0;1;1;2;1;11;0;0;4;2;1;0;6;1;0;2;1;0;29;0;0;0;1;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;6;STANKOVO;DOM DVD;STANKOVO;301;203;203;199;4;0;0;0;1;2;0;15;1;42;0;0;44;4;10;9;3;1;0;1;2;0;64;0;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;7;DONJA REKA;"PROSTORIJE TRGOVINE""IVANÈIÆ"" - VL. MARIJANA IVANÈIÆ";DONJA REKA                     35  A;290;200;200;200;0;0;0;1;0;0;0;2;0;53;0;0;35;2;12;11;13;0;0;3;1;0;63;0;1;1;2;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;8;GORNJA REKA;DOM DVD;GORNJA REKA;328;230;230;221;9;0;0;0;1;1;4;9;0;46;0;0;27;9;13;9;6;3;1;3;1;6;79;0;0;0;1;2;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;9;ZDIHOVO;DOM DVD;ZDIHOVO;143;106;106;106;0;0;0;0;1;1;1;2;0;27;0;1;6;3;5;2;3;0;0;1;1;0;47;0;3;1;1;0;;;;;;;;;;;;;;;;;
