Izborna jedinica;Grad / Opæine;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  STJEPAN VUJANIÆ;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  MARIJAN FERIÆ ;AKCIJA MLADIH - AM  , Nositelj liste:  BOJAN KURELIÆ ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU , LISTA ZA RIJEKU - LISTA-RI  , Nositelj liste:  ZLATKO KLARIÆ, prof.;AKCIJA ZA BOLJU HRVATSKU - ABH , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  mr.sc. ŽELJKO SAÈIÆ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  NATKO KOVAÈEVIÆ, dr.med.vet.;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR ;HRVATSKA 21. STOLJEÆA - HRVATSKA 21.  , Nositelj liste:  NATAŠA SRDOÈ;HRVATSKA EUROPSKA STRANKA - HES  , Nositelj liste:  NAJA ŠEBALJ ;HRVATSKA SELJAÈKA STRANKA - HSS , ZELENA STRANKA - ZS , STRANKA PENZIONERA - SP  , Nositelj liste:  mr.sc. BOŽIDAR PANKRETIÆ  ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  JELENA ÆORIÆ MUDROVÈIÆ  ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  IGOR GALOVIÆ;NEOVISNA LISTA  , Nositelj liste:  MILAN BANDIÆ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ ;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS , DEMOKRATSKA PRIGORSKO-ZAGREBAÈKA STRANKA - DPS  , Nositelj liste:  IVAN PERNAR;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  MILORAD MRVOŠ, prof.   ;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad. ;ZAGREBAÈKA NEZAVISNA LISTA - ZNL  , Nositelj liste:  mr.sc. TATJANA HOLJEVAC, dipl.ing.  ;ZELENA LISTA  , Nositelj liste:  DARKO MRZLEÈKI ;ZELENI ZAJEDNO  , Nositelj liste:  MARIJA PERUŠIÆ, struè.spec.oec.  ;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;10;PAVLOVÈANI;DRUŠTVENI DOM;PAVLOVÈANI;240;156;156;153;3;0;1;0;1;2;0;2;0;29;0;0;42;6;4;4;7;0;0;2;4;2;46;0;0;0;1;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;11;PLEŠIVICA;DOM DVD;PLEŠIVICA;270;195;195;183;12;0;2;0;1;1;1;3;0;31;1;0;32;2;6;10;9;2;2;3;0;2;73;0;0;0;2;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;12;PRILIPJE;DRUŠTVENI DOM;PRILIPJE;200;149;149;145;4;1;0;0;1;0;1;3;0;50;1;0;14;3;3;8;9;0;0;2;2;1;45;1;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;13;VRANOV DOL;DOM DVD;VRANOV DOL;128;97;97;94;3;0;1;0;0;0;0;1;0;30;0;0;27;1;3;1;6;0;0;2;1;1;20;0;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;14;JURJEVÈANI;DRUŠTVENI DOM;JURJEVÈANI;80;56;56;56;0;0;0;1;0;0;0;2;0;15;0;0;4;0;4;6;5;0;0;2;2;0;14;0;0;0;0;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;15;MALUNJE;DOM DVD;MALUNJE;355;245;245;240;5;0;0;1;2;4;1;5;0;71;1;0;20;4;14;17;6;3;0;2;3;2;81;0;0;1;2;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;16;JASTREBARSKO I;CENTAR ZA KULTURU JASTREBARSKO;DR. F. TUÐMANA                 9;445;313;313;307;6;0;1;1;2;1;0;10;1;39;0;0;16;10;11;9;32;5;0;2;5;3;156;1;0;1;1;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;17;JASTREBARSKO II;ZGRADA OPÆINSKOG SUDA JASTREBARSKO;BRAÆE KAZIÆ                    6;529;400;398;391;7;0;1;0;2;10;1;8;5;53;1;0;39;19;20;10;16;3;0;1;8;2;185;1;0;0;3;3;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;18;JASTREBARSKO III;ZGRADA ŽUPANIJSKIH ISPOSTAVA (BIVŠA OPÆINA);VLADKA MAÈEKA                  2;641;475;475;464;11;0;0;0;2;1;1;13;1;68;2;0;31;13;24;18;28;1;0;6;10;2;238;0;0;0;2;3;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;19;JASTREBARSKO IV;ZGRADA GRADSKE UPRAVE;STROSSMAYEROV TRG              13;563;386;386;383;3;1;0;0;2;9;0;12;5;66;0;0;22;27;16;10;13;2;3;2;8;3;176;1;0;0;4;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;20;ÈRNILOVEC;DOM DVD;ÈRNILOVEC;116;80;80;80;0;0;0;0;0;0;0;2;0;21;0;0;12;7;3;5;3;1;0;1;1;2;21;0;0;0;0;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;21;JASTREBARSKO V;ZGRADA HAK-A;TREŠNJEVKA                     14;455;342;342;333;9;1;1;3;1;2;2;10;0;43;2;0;15;11;15;11;21;5;0;5;5;3;172;2;0;0;3;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;22;JASTREBARSKO VI;SREDNJA ŠKOLA JASTREBARSKO;V.HOLJEVCA                     11;753;491;491;484;7;0;4;0;4;7;0;22;2;75;0;0;25;10;11;13;29;5;0;12;7;4;249;0;1;0;3;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;23;CVETKOVIÆ;DOM DVD;CVETKOVIÆ;563;367;367;357;10;0;0;3;1;2;0;13;1;115;0;1;30;9;14;22;22;2;0;3;3;3;112;0;0;0;1;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;24;JASTREBARSKO VII;ZGRADA HRVATSKOG ŠUMARSKOG INSTITUTA JASTREBARSKO;CVJETNO NASELJE                41;472;334;334;332;2;0;2;0;0;5;0;12;1;36;1;0;29;8;13;12;35;6;0;1;4;8;157;0;0;1;0;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;25;JASTREBARSKO VIII;"DJEÈJI VRTIÆ ""RADOST II""";B.TOME ERDEDIJA BAKAÈA         2;413;310;310;306;4;1;2;1;5;1;0;16;3;46;0;0;21;7;6;10;13;2;0;3;13;1;152;0;0;0;0;3;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;26;ÈABDIN;DOM DVD;ÈABDIN;132;93;93;87;6;0;0;0;0;0;0;1;1;20;0;0;13;4;1;1;2;0;0;0;1;0;42;0;0;0;1;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;27;CRNA MLAKA;"ZGRADA TVRTKE ""IHOR PARK"" (BIVŠI RESTORAN)";CRNA MLAKA;34;28;28;28;0;0;0;0;0;0;1;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;28;BREBROVAC;DRUŠTVENI DOM;BREBROVAC;95;60;60;60;0;0;0;0;0;2;0;3;0;20;0;0;2;0;0;0;6;0;0;1;2;2;20;0;0;0;0;2;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;29;PETROVINA;DOM DVD;PETROVINA;393;258;258;248;10;0;2;1;2;6;1;3;5;41;0;0;36;4;11;10;8;15;0;1;6;2;92;0;0;0;2;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;30;DRAGOVANŠÈAK;"PROSTORIJE MALONOGOMETNOG KLUBA ""PRIGORAC""";DRAGOVANŠÈAK;167;94;94;92;2;0;0;0;0;0;0;0;0;24;0;0;8;2;1;0;0;0;0;3;2;0;50;1;0;0;0;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;31;SLAVETIÆ;"PROSTORIJE MALONOGOMETNOG KLUBA ""SLAVETIÆ""";SLAVETIÆ;106;64;64;63;1;0;0;1;0;0;0;2;0;25;0;0;2;1;2;0;0;0;0;1;0;0;28;0;0;0;1;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;32;HRAŠÆA;DRUŠTVENI DOM;HRAŠÆA;125;71;71;70;1;1;1;0;1;0;0;0;0;39;0;0;7;0;0;0;4;2;0;1;0;2;12;0;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;33;BELÈIÆI;DOM DVD;BELÈIÆI;247;139;139;134;5;0;0;0;3;0;0;11;4;39;1;0;10;4;8;9;2;0;0;3;0;0;37;0;0;0;2;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;34;BUKOVAC SVETOJANSKI;KUÆA JOSIPA PAVKOVIÆA;BUKOVAC SVETOJANSKI            9;103;46;46;46;0;0;0;1;0;1;2;1;1;12;0;0;1;0;4;1;2;0;1;5;1;1;12;0;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;35;MILADINI;DOM DVD;MILADINI;139;91;91;87;4;0;0;1;0;1;0;0;0;37;2;0;8;0;6;2;4;0;0;3;0;0;23;0;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;36;DRAGA SVETOJANSKA;PROSTORIJE TRGOVINE VL. ÐURÐE BRADVIÆ;DRAGA SVETOJANSKA 28;169;100;100;97;3;0;0;2;2;1;1;2;0;22;1;0;11;1;6;5;6;0;0;0;0;4;33;0;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;37;GORICA SVETOJANSKA;PROSTORIJE BIVŠEG MATIÈNOG UREDA;GORICA SVETOJANSKA;155;85;85;82;3;0;0;0;0;2;0;1;1;15;0;0;13;3;3;3;8;0;0;0;1;2;28;1;0;0;1;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;38;IVANÈIÆI;VINARSKI PODRUM;IVANÈIÆI;198;124;123;120;3;1;0;0;1;0;0;2;0;36;0;0;9;2;7;7;5;0;0;4;2;5;36;1;0;0;2;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;39;KUPEÈ DOL;KUÆA NIKOLE TONÈIÆA;KUPEÈ DOL 4;93;64;64;63;1;0;0;0;0;0;0;0;2;27;1;0;1;0;1;2;1;0;0;3;0;1;23;0;0;0;1;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;40;PRODIN DOL;KUÆA STJEPANA ROŽIÆA;PRODIN DOL 16;95;73;73;69;4;0;0;1;0;0;0;0;1;22;0;0;5;0;3;5;7;0;0;0;0;1;24;0;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;41;JASTREBARSKO IX;ZGRADA GRADSKOG MUZEJA;VLADKA MAÈEKA                  1;596;378;378;364;14;0;0;0;1;5;3;14;2;49;0;0;19;17;23;19;13;7;0;7;12;4;163;0;0;0;3;3;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;42;GUCI DRAGANIÆKI;DOM DVD;GUCI DRAGANIÆKI;346;135;135;133;2;2;0;3;3;2;1;2;0;30;0;0;14;2;7;6;4;0;0;2;1;4;48;0;0;1;0;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;43;GORNJA KUPÈINA;DRUŠTVENI DOM;GORNJA KUPÈINA;159;113;113;113;0;1;0;0;0;0;0;0;0;22;0;0;23;2;5;6;8;0;0;1;0;0;45;0;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;44;ÈEGLJE;DRUŠTVENI DOM;ÈEGLJE;370;229;229;228;1;0;1;0;3;3;1;2;3;69;0;0;21;4;32;9;4;0;1;2;0;4;66;0;0;0;3;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;45;VUKŠIN ŠIPAK;DOM DVD;VUKŠIN ŠIPAK;351;139;139;138;1;0;1;1;1;0;0;2;0;45;1;0;13;3;4;6;9;0;0;3;1;1;41;0;0;0;1;5;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;46;DOMAGOVIÆ;DOM DVD;DOMAGOVIÆ;474;347;347;340;7;1;3;2;0;1;0;3;0;82;1;0;28;11;25;17;29;1;0;3;7;2;121;0;0;0;0;3;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;47;IZIMJE;DOM DVD;IZIMJE;233;130;129;127;2;0;0;0;1;1;0;5;0;35;0;0;10;4;18;6;3;0;0;4;0;2;36;0;1;0;1;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;48;NOVAKI PETROVINSKI;DOM DVD;NOVAKI PETROVINSKI;286;174;174;167;7;1;4;0;1;2;0;0;1;40;0;0;6;5;8;1;7;0;0;8;1;3;78;0;0;0;1;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;JASTREBARSKO;49;VOLAVJE;DOM DVD;VOLAVJE;361;233;233;225;8;1;0;1;0;1;0;12;0;51;0;0;18;7;10;4;19;4;0;5;3;3;84;0;0;0;2;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;1;BIRAÈKO MJESTO BR. 1;INKASATOR D.O.O. (NOVA TRŽNICA);TRG JOSIPA BROZA 2;608;440;440;431;9;0;7;2;2;8;0;10;2;93;3;0;5;11;5;9;21;0;0;1;7;2;234;3;2;0;3;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;2;BIRAÈKO MJESTO BR. 2;"GRADSKA KNJIŽNICA ""I.G.KOVAÈIÆ""";LJ. ŠESTIÆA 1;1.669;1.207;1.207;1.189;18;1;5;6;4;12;0;35;6;201;0;0;32;33;27;28;72;13;0;8;26;10;655;4;2;0;8;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;3;BIRAÈKO MJESTO BR. 3;INKASATOR D.O.O. (NOVA TRŽNICA);TRG JOSIPA BROZA 2;637;445;445;439;6;0;3;2;3;7;3;10;2;84;2;0;7;11;4;16;26;1;0;1;11;3;240;0;0;0;1;2;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;4;BIRAÈKO MJESTO BR. 4;VELEUÈILIŠTE KARLOVAC;MEŠTROVIÆEVA 10;844;613;613;607;6;2;3;7;2;4;0;9;4;116;0;0;16;17;16;13;39;0;0;4;9;2;331;1;1;1;4;6;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;5;BIRAÈKO MJESTO BR. 5;VELEUÈILIŠTE KARLOVAC;MEŠTROVIÆEVA 10;1.558;1.158;1.158;1.140;18;1;2;5;2;13;5;28;5;239;1;0;23;39;39;29;53;11;0;6;33;4;591;1;0;1;3;6;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;6;BIRAÈKO MJESTO BR. 6;OSNOVNA ŠKOLA GRABRIK;GRABRIK BB;1.329;936;936;927;9;0;6;1;3;18;1;26;6;171;0;0;20;26;25;21;45;5;0;6;12;7;518;4;0;0;3;3;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;7;BIRAÈKO MJESTO BR. 7;OSNOVNA ŠKOLA GRABRIK;GRABRIK BB;1.213;834;830;818;12;0;3;1;0;3;0;20;2;157;3;0;29;20;23;23;49;1;0;9;10;4;451;2;2;0;3;3;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;8;BIRAÈKO MJESTO BR. 8;OSNOVNA ŠKOLA GRABRIK;GRABRIK BB;1.385;927;927;914;13;1;2;1;1;1;4;29;3;233;0;0;18;20;26;20;49;4;0;3;16;3;470;4;0;0;1;5;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;9;BIRAÈKO MJESTO BR. 9;GRADSKA ÈETVRT ZVIJEZDA;BANJAVÈIÆEVA 8 (ÈITAONICA);426;248;247;244;3;0;1;1;0;1;1;5;1;46;1;0;3;13;4;12;7;0;0;1;7;2;134;2;0;1;1;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;10;BIRAÈKO MJESTO BR. 10;DOM UMIROVLJENIKA;KUKULJEVIÆEVA 2;472;342;342;330;12;0;3;1;3;2;1;8;2;72;1;0;6;11;7;16;14;3;0;2;21;1;152;1;0;0;3;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;11;BIRAÈKO MJESTO BR. 11;PROSTORIJE HAK-A;GAŽANSKI TRG 1;395;261;261;255;6;1;0;1;0;2;1;5;1;43;0;2;6;8;5;8;17;1;0;2;2;2;142;0;3;1;1;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;12;BIRAÈKO MJESTO BR. 12;PROSTORIJE GRADSKE ÈETVRTI GAZA;GAŽANSKI TRG 11;920;622;622;617;5;1;4;3;2;4;1;17;3;140;0;0;17;10;16;9;40;2;0;8;11;3;323;0;1;0;2;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;13;BIRAÈKO MJESTO BR. 13;PROSTORIJE PRIRODOSLOVNE ŠKOLE KARLOVAC;STJEPANA MIHALIÆA 43;505;325;325;320;5;0;3;1;2;0;0;11;2;80;1;0;9;3;12;4;12;1;0;3;1;5;164;2;1;1;1;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;14;BIRAÈKO MJESTO BR. 14;VATROGASNI DOM GRADAC;GRADAC BB;396;293;293;286;7;0;0;0;2;10;4;13;2;116;1;1;7;7;5;6;9;1;0;2;1;3;94;0;0;0;0;2;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;15;BIRAÈKO MJESTO BR. 15;VATROGASNI DOM DVD ORLOVAC;ORLOVAC BB;852;472;472;451;21;3;0;0;5;9;2;14;0;174;2;8;19;15;15;13;24;2;0;7;1;10;120;0;1;0;6;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;16;BIRAÈKO MJESTO BR. 16;DRUŠTVENI DOM HUSJE;HUSJE BB;181;118;118;114;4;0;0;0;1;7;0;5;1;60;0;0;3;2;9;1;3;2;0;0;0;0;20;0;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;17;BIRAÈKO MJESTO BR. 17;VATROGASNI DOM DVD POKUPSKI KOBILIÆ;KOBILIÆ POKUPSKI BB;56;30;30;29;1;0;0;0;0;0;0;0;0;8;0;0;4;2;4;0;4;0;0;0;0;0;7;0;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;18;BIRAÈKO MJESTO BR. 18;VATROGASNI DOM DVD DONJE MEKUŠJE;DONJE MEKUŠJE BB;193;156;156;154;2;0;0;2;0;4;0;1;2;74;0;0;3;1;7;9;3;0;0;1;2;2;42;0;0;0;1;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;19;BIRAÈKO MJESTO BR. 19;PROSTORIJE MO POKUPSKA DOLINA;VODOSTAJ BB;259;175;175;173;2;2;0;0;0;1;0;6;1;66;0;0;5;1;11;5;4;1;0;1;0;0;65;1;1;0;2;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;20;BIRAÈKO MJESTO BR. 20;DRUŠTVENI DOM ÈURJACI;ÈURJACI BB;50;39;39;39;0;0;0;0;0;2;1;1;0;18;1;0;1;0;0;1;2;0;0;1;0;1;10;0;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;21;BIRAÈKO MJESTO BR. 21;PROSTORIJE DOMA DVD REÈICA-MATICA;POKUPSKA LUKA BR.9;358;169;169;165;4;1;0;0;3;4;0;9;0;64;0;0;18;5;7;0;8;0;0;0;1;0;45;0;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;22;BIRAÈKO MJESTO BR. 22;DRUŠTVENI DOM KARASI;KARASI BB;65;36;36;34;2;0;0;0;0;0;0;0;0;12;0;0;1;0;5;0;1;1;0;0;0;0;14;0;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;23;BIRAÈKO MJESTO BR. 23;DRUŠTVENI DOM ZAMRŠJE;ZAMRŠJE BB;188;115;115;115;0;0;0;0;0;0;0;4;2;52;0;0;14;7;1;5;1;0;0;0;7;1;21;0;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;24;BIRAÈKO MJESTO BR. 24;PROSTORIJE ZDRAVSTVENE AMBULANTE REÈICA;REÈICA 50;294;201;200;193;7;0;2;0;2;3;0;1;0;107;0;0;17;2;7;7;5;6;0;1;3;2;23;0;0;0;4;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;25;BIRAÈKO MJESTO BR. 25;VATROGASNI DOM DVD DONJA REÈICA;REÈICA BB;178;125;125;112;13;0;0;2;1;3;0;4;0;37;1;0;10;4;5;4;3;0;0;3;2;1;32;0;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;26;BIRAÈKO MJESTO BR. 26;VATROGASNI DOM DVD KORITINJA;KORITINJA BB;144;90;90;87;3;0;1;0;0;0;0;0;0;27;0;0;7;5;7;5;4;4;0;3;3;0;20;0;0;0;0;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;27;BIRAÈKO MJESTO BR. 27;PROSTORIJE MO ŠIŠLJAVIÆ;ŠIŠLJAVIÆ BB;529;278;278;276;2;0;2;2;0;2;1;2;1;141;0;0;24;10;9;2;8;1;0;1;8;5;56;0;0;1;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;28;BIRAÈKO MJESTO BR. 28;DRUŠTVENI DOM RIBARI;RIBARI BB;173;89;89;80;9;0;1;0;1;1;1;1;1;56;1;0;2;2;3;2;0;0;0;0;0;0;8;0;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;29;BIRAÈKO MJESTO BR. 29;VATROGASNI DOM DVD BROÐANI;BROÐANI BB;63;25;25;25;0;0;1;0;1;0;0;0;0;5;0;0;4;1;0;0;3;0;0;0;0;0;9;1;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;30;BIRAÈKO MJESTO BR. 30;"LOVAÈKI DOM ""LISICA""";BREŽANI BB;125;89;89;88;1;0;0;0;0;0;0;2;0;57;0;0;5;2;8;3;0;0;0;1;0;1;9;0;0;0;0;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;31;BIRAÈKO MJESTO BR. 31;GIMNAZIJA KARLOVAC;RAKOVAC 4;1.287;873;873;860;13;2;3;1;5;6;0;27;8;193;1;0;18;23;30;24;45;5;0;1;9;12;431;0;1;1;8;6;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;32;BIRAÈKO MJESTO BR. 32;EKONOMSKA ŠKOLA KARLOVAC;KURELÈEVA 2;277;194;194;193;1;1;1;1;1;4;0;4;0;29;0;0;4;6;1;2;6;2;0;3;13;0;113;1;0;0;1;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;33;BIRAÈKO MJESTO BR. 33;PROSTORIJE GRADSKE ÈETVRTI RAKOVAC;DOMOBRANSKA 20 C;1.347;945;945;933;12;2;7;5;2;9;0;27;2;200;1;0;15;34;24;32;47;9;0;4;13;10;483;1;0;0;4;2;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;34;BIRAÈKO MJESTO BR. 34;GIMNAZIJA KARLOVAC;RAKOVAC 4;572;409;408;402;6;0;2;2;0;3;0;10;0;70;0;0;5;10;4;16;18;1;0;3;5;2;244;4;0;0;2;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;35;BIRAÈKO MJESTO BR. 35;PROSTORIJE MO  LOGORIŠTE;LOGORIŠTE 38;414;271;271;261;10;2;2;0;3;0;0;9;1;68;1;0;9;6;13;9;15;7;0;3;3;7;101;0;0;0;0;2;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;36;BIRAÈKO MJESTO BR. 36;PROSTORIJE MO MALA ŠVARÈA;MALA ŠVARÈA BB;661;491;491;484;7;4;1;1;3;4;0;14;3;177;2;0;16;10;26;14;35;2;0;5;7;8;144;2;2;0;3;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;KARLOVAC;37;BIRAÈKO MJESTO BR. 37;PROSTORIJE GRADSKE ÈETVRTI ŠVARÈA;TRG SV. FRANJE KSAVERSKOG 2;999;709;709;696;13;3;4;1;4;6;0;29;1;206;0;2;18;23;40;12;46;3;0;2;16;1;272;1;1;1;2;2;;;;;;;;;;;;;;;;;
