Izborna jedinica;Grad / opæine;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  ,  Nositelj liste:  VLADIMIR PAVLETIÆ, dipl.ing.graditeljstva;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  ANTONIO BARNJAK;AKCIJA MLADIH - AM  , Nositelj liste:  IRENA PERIÆ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , SPLITSKA STRANKA UMIROVLJENIKA - SSU , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH  , Nositelj liste:  MATE BULJUBAŠIÆ ;AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS , SAVEZ ZA PROMJENE - SP  , Nositelj liste:  IVAN PERNAR;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  MIŠO VERAJA ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ ;DALMATINSKA LIBERALNA STRANKA - DLS  , Nositelj liste:  ANTE TEŠIJA;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ ;GLAS RAZUMA  , Nositelj liste:  STJEPAN RADILOVIÆ, dipl. organizator poslovanja ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ , HRVATSKA GRAÐANSKA STRANKA - HGS  , Nositelj liste:  JADRANKA KOSOR;HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  prof.dr.sc. JOSIP JURÈEVIÆ ;HRVATSKA SELJAÈKA STRANKA - HSS , ZELENA STRANKA - ZS , STRANKA PENZIONERA - SP  , Nositelj liste:  mr.sc. STIPO GABRIÆ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  VEDRAN UJEVIÆ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  MARTINA SUÈIÆ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. STIPISLAV JADRIJEVIÆ, dr.med.;NEOVISNA LISTA  , Nositelj liste:  STEVKO MARINKOVIÆ;NEOVISNA LISTA  , Nositelj liste:  JURICA TUCAK;NEOVISNA LISTA  , Nositelj liste:  NIKO VISKOVIÆ, dr.med. ;NEOVISNA LISTA  , Nositelj liste:  SINIŠA VUCO;NOVA HRVATSKA - NH  , Nositelj liste:  BORKO ŠAMIJA;OBITELJSKA STRANKA - OS  , Nositelj liste:  IVICA ŠKILJO  ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ;SOCIJALISTIÈKA PARTIJA HRVATSKE - SPH  , Nositelj liste:  dr.sc. SLOBODAN MARKO BEROŠ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  RANKO ADORIÆ;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad. ;VOLIM HRVATSKU - VH  , Nositelj liste:  ROKO ŠIKIÆ;ZELENA LISTA  , Nositelj liste:  IVICA SUMIÆ ;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;45;KOLOÈEP;"OSNOVNA ŠKOLA ""KOLOÈEP""";DONJE ÈELO BB;183;117;117;113;4;0;0;0;1;2;0;1;0;0;3;29;0;1;4;3;10;8;0;0;3;4;0;0;0;0;0;0;43;0;0;0;0;1;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;46;LJUBAÈ;DOM LJUBAÈ;LJUBAÈ BB;66;55;55;53;2;0;0;0;0;0;0;1;0;0;0;36;0;1;0;0;4;2;0;0;1;0;0;0;0;1;0;0;5;0;0;0;0;2;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;47;LOPUD;"OSNOVNA ŠKOLA ""ANTUN MASLE""";LOPUD;322;136;136;129;7;0;0;1;0;0;2;4;0;1;1;34;0;2;3;4;8;3;0;0;2;0;0;1;0;0;1;1;59;0;1;0;0;1;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;48;MRAVINJAC;MJESNI ODBOR MRAVINJAC;MRAVINJAC BB;54;34;34;33;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;3;9;0;0;0;0;0;0;0;1;0;0;0;16;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;49;MRÈEVO;MJESNI ODBOR MRÈEVO;MRÈEVO BB;104;69;69;63;6;0;0;0;6;2;0;2;0;0;0;26;1;0;1;0;8;2;0;0;3;0;0;0;0;1;1;0;10;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;50;ORAŠAC;MATIÈNI URED ORAŠAC;NA KOMARDI 21;577;328;328;321;7;0;0;3;2;1;1;13;2;3;3;94;4;13;7;7;12;26;0;0;8;3;1;0;0;2;0;0;115;0;0;0;0;1;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;51;OSOJNIK;OSNOVNA ŠKOLA OSOJNIK;OSOJNIK BB;291;205;205;196;9;2;0;1;1;1;1;2;0;1;0;133;2;11;0;4;12;3;0;0;5;0;0;0;0;2;0;0;14;0;0;0;1;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;52;RIÐICA;MJESNI DOM RIÐICA;RIÐICA BB;30;23;23;22;1;0;0;0;0;0;0;1;0;0;0;10;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;0;0;0;0;1;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;53;SUÐURAÐ;OSNOVNA ŠKOLA SUÐURAÐ;SUÐURAÐ BB;214;102;102;100;2;0;0;0;0;1;0;4;0;1;0;33;1;2;2;2;18;2;0;0;1;1;0;0;0;0;0;0;30;0;0;0;1;1;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;54;SUSTJEPAN;DRUŠTV.PROST NA SPORTS. IGRALIŠTU SUSTJEPAN;SUSTJEPAN BB;253;174;163;160;3;0;0;0;0;0;0;2;0;1;0;45;2;3;1;4;13;4;0;0;6;4;0;0;2;4;0;1;66;1;0;0;0;1;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;55;ŠIPAN;DOM MLADEŽI  ŠIPAN - ŠIPANSKA LUKA;ŠIPANSKA LUKA  BB;270;160;160;158;2;0;0;2;1;2;0;4;0;0;1;39;3;2;0;3;18;7;0;0;9;1;0;0;0;3;0;0;63;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;56;TRSTENO;ZGRADA OSNOVNE ŠKOLE TRSTENO;TRSTENO BB;232;122;122;119;3;0;0;0;1;0;0;2;0;1;0;44;0;28;4;2;9;1;2;0;1;0;0;0;0;1;0;0;23;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;57;ZATON MALI;DOM MLADEŽI ZATON MALI;ZATON MALI BB;713;379;367;358;9;0;0;0;0;1;1;7;1;5;1;97;3;4;6;8;28;11;4;0;22;1;0;0;0;2;0;0;149;4;0;0;0;3;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;58;ZATON VELIKI;"URED ""TIC""-A,  ZATON VELIKI";ZATON VELIKI;399;223;223;219;4;0;0;2;1;0;0;3;0;1;0;54;1;1;5;8;9;6;2;0;18;1;0;0;2;4;1;0;99;0;1;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;59;BOÆARSKI DOM NA BOSANCI;BOSANKA;BOSANKA;112;65;65;64;1;0;0;0;0;0;0;0;1;0;0;26;1;3;1;6;9;3;0;0;4;0;0;0;0;0;0;0;10;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;HVAR;1;HVAR;"DJEÈJI VRTIÆ ""VANÐELA BOŽITKOVIÆ""";HVAR;562;315;315;312;3;0;1;3;1;0;1;8;1;2;0;44;3;0;15;3;15;8;1;0;29;6;0;0;1;2;0;1;166;0;0;0;0;1;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;HVAR;2;HVAR;"DJEÈJI VRTIÆ ""VANÐELA BOŽITKOVIÆ""";HVAR;563;304;304;298;6;0;0;0;1;0;0;9;1;1;0;98;2;2;9;7;5;10;3;0;34;2;0;0;1;1;0;0;111;0;0;0;0;1;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;HVAR;3;HVAR;GRADSKA LOGGIA;HVAR;930;535;535;526;9;0;0;2;1;4;0;8;0;2;3;133;6;8;13;7;24;11;5;1;65;12;0;0;0;0;0;1;212;0;0;0;1;7;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;HVAR;4;HVAR;OSNOVNA ŠKOLA;HVAR;831;421;421;415;6;0;1;1;5;5;0;5;0;1;1;108;2;8;13;6;27;12;4;1;33;7;0;0;0;2;1;1;165;0;0;0;0;6;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;HVAR;5;HVAR;OSNOVNA ŠKOLA;HVAR;830;447;447;444;3;0;2;4;2;2;0;3;1;2;0;87;2;5;7;12;18;22;5;1;60;1;0;1;0;1;0;0;197;1;2;0;0;6;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;HVAR;6;MILNA;"BISTRO ""FORTUNA""";MILNA;89;63;63;62;1;0;0;0;0;0;0;2;0;2;0;25;1;6;5;1;2;0;1;0;3;2;0;0;0;0;0;0;10;1;0;0;0;1;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;HVAR;7;BRUSJE;MJESNI ODBOR;BRUSJE;234;136;136;132;4;0;1;0;1;1;0;4;0;1;0;29;1;8;1;1;2;4;0;0;13;1;0;0;0;2;0;0;60;0;0;0;0;2;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;HVAR;8;VELO GRABLJE;POLJOPRIVREDNA ZADRUGA;VELO GRABLJE;22;12;12;12;0;0;0;0;0;0;0;1;0;0;0;3;0;1;0;0;1;1;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;1;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;HVAR;9;SV. NEDJELJA;POLJOPRIVREDNA ZADRUGA;SV. NEDJELJA;157;103;103;101;2;0;0;3;0;0;1;3;0;1;0;44;0;3;0;8;9;1;0;0;10;0;1;0;1;0;0;0;15;0;0;0;0;1;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;IMOTSKI;1;IMOTSKI;"OŠ ""STJEPAN RADIÆ""";IMOTSKI;861;450;450;443;7;0;2;0;0;0;0;17;0;0;2;232;6;1;3;6;16;5;54;0;27;2;0;5;1;2;0;1;59;1;0;0;0;1;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;IMOTSKI;2;IMOTSKI;"OŠ ""STJEPAN RADIÆ""";IMOTSKI;510;241;235;231;4;0;1;1;0;0;1;3;0;2;0;101;3;3;3;8;14;4;15;0;17;0;0;0;0;2;0;0;52;1;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;IMOTSKI;3;IMOTSKI;"OŠ ""STJEPAN RADIÆ""";IMOTSKI;1.620;834;830;820;10;0;0;1;1;0;0;9;1;1;0;375;7;21;23;20;32;4;79;1;70;2;0;3;0;6;0;0;161;0;1;0;1;1;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;IMOTSKI;4;IMOTSKI;"OŠ ""STJEPAN RADIÆ""";IMOTSKI;1.371;734;722;714;8;0;2;0;0;2;3;16;0;0;0;353;12;12;10;28;43;10;75;0;44;6;0;2;0;5;0;1;89;0;0;0;0;1;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;IMOTSKI;5;GLAVINA GORNJA;KUÆA MARICE JAŽIÆA UD. MILE;GLAVINA GORNJA;236;136;136;134;2;0;1;0;0;0;2;3;0;1;0;71;1;1;0;0;2;1;7;0;12;0;0;3;1;0;0;0;28;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;IMOTSKI;6;VINJANI GORNJI;"OŠ ""KUKAVICE""";VINJANI GORNJI;838;388;388;386;2;0;2;1;1;2;1;2;0;0;0;241;5;1;5;21;12;2;20;0;15;0;0;1;0;3;0;0;50;1;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;IMOTSKI;7;VINJANI GORNJI;"OŠ ""KUTLEŠA""";VINJANI GORNJI;263;125;125;120;5;1;2;0;0;1;0;0;1;0;0;86;3;1;0;4;6;0;2;0;0;0;0;0;0;1;0;1;10;0;0;0;1;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;IMOTSKI;8;VINJANI GORNJI;OŠ LONÈARI;VINJANI GORNJI;386;189;189;182;7;0;0;0;0;1;0;3;0;1;0;105;4;5;4;7;11;0;10;0;5;0;0;2;0;0;0;1;23;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;IMOTSKI;9;VINJANI DONJI;OŠ DONJI VINJANI (NOVA ŠKOLA);VINJANI DONJI;621;263;263;258;5;1;2;0;1;1;1;5;0;0;0;101;4;7;1;26;16;2;22;0;9;1;0;2;0;0;1;0;52;0;1;0;0;2;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;IMOTSKI;10;VINJANI DONJI;OŠ DONJI VINJANI (NOVA ŠKOLA);VINJANI DONJI;827;420;420;409;11;0;1;0;2;0;2;11;0;1;1;222;4;20;12;33;19;0;5;1;17;0;0;0;0;3;0;0;55;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;IMOTSKI;11;VINJANI DONJI;KUÆA ANE REBIÆ ZV: ŠKAMPO, ZASEOK REBIÆI;ZASEOK REBIÆI;324;185;185;181;4;0;0;0;0;0;0;4;0;1;0;89;1;5;1;20;5;0;3;0;15;1;0;3;0;2;0;0;31;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;IMOTSKI;12;VINJANI DONJI;DVORANA KOD SV. ROKA;VINJANI DONJI;220;132;132;131;1;0;0;0;0;0;0;2;0;1;0;89;2;6;1;7;5;0;2;0;10;0;0;0;0;1;0;0;5;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;IMOTSKI;13;MEDVIDOVIÆA DRAGA;KUÆA IVICE MEDVIDOVIÆA;MEDVIDOVIÆA DRAGA;287;153;152;152;0;0;0;1;1;1;0;2;0;0;0;121;1;0;1;3;0;0;3;0;6;1;0;0;0;1;0;0;10;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;IMOTSKI;14;GLAVINA DONJA;"OŠ ""GLAVINA DONJA"" (NOVA ŠKOLA)";GLAVINA DONJA;596;323;323;308;15;0;0;1;0;0;4;3;0;0;1;178;2;6;3;11;9;2;11;0;15;0;1;1;0;4;0;0;54;1;0;1;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;IMOTSKI;15;GLAVINA DONJA;KUÆA ŽELJKA VUJÈIÆA;GLAVINA DONJA;398;265;265;262;3;1;0;0;0;0;0;6;0;0;1;111;2;4;6;5;28;1;4;0;7;0;0;1;0;0;1;0;83;0;1;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;IMOTSKI;16;GLAVINA DONJA;OŠ GLAVINA DONJA (NOVA ŠKOLA);GLAVINA DONJA;427;266;266;264;2;0;0;1;0;2;0;2;0;0;0;187;1;4;1;16;10;4;14;0;9;0;0;0;0;3;0;1;9;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;KOMIŽA;1;KOMIŽA;GALERIJA BORISA MARDEŠIÆA;HRVATSKIH MUÈENIKA 9;793;410;410;396;14;0;0;3;4;4;2;7;0;1;0;70;1;25;5;3;16;10;4;0;25;7;10;0;0;2;0;0;193;0;1;0;0;3;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;KOMIŽA;2;KOMIŽA;ÈITAONICA;RIVA SV. MIKULE 31, KOMIŽA;803;404;403;390;13;1;1;4;3;2;0;6;2;0;2;88;3;22;3;3;14;13;0;0;27;4;21;0;0;1;0;1;162;0;4;1;0;2;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;KOMIŽA;3;PODŠPILJE;"OSNOVNA ŠKOLA ""PODŠPILJE""";PODŠPILJE;126;67;67;66;1;0;1;0;0;0;0;0;0;0;0;22;0;2;0;0;0;2;0;1;7;0;1;1;0;0;0;1;24;0;0;0;0;4;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;KORÈULA;1;KORÈULA;ZGRADI CENTRA ZA KULTURU KORÈULA;KORÈULA;1.147;711;711;702;9;0;0;0;3;0;2;3;0;3;1;223;1;12;37;30;40;11;10;1;52;1;0;0;1;3;2;0;262;0;2;0;0;2;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;KORÈULA;2;KORÈULA;"HOTEL ""MARKO POLO""";KORÈULA;572;349;349;347;2;0;0;0;0;0;1;3;1;0;0;98;3;4;13;17;21;4;3;0;23;1;0;0;0;1;0;1;149;1;0;0;0;3;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;KORÈULA;3;KORÈULA;DOM ZDRAVLJA U KORÈULI;KORÈULA;1.193;688;688;673;15;1;1;2;3;4;0;12;3;0;0;159;2;8;21;29;53;23;1;0;55;2;0;0;2;5;0;1;273;0;3;0;0;10;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;KORÈULA;4;PUPNAT;DOM KULTURE U PUPNATU;PUPNAT;295;170;170;168;2;0;0;0;0;0;0;2;1;0;0;110;0;1;1;7;3;2;1;0;4;0;0;0;0;0;0;1;34;0;1;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;KORÈULA;5;KNEŽE;"ZGRADA ANTUNA - STANE STANIŠIÆA U KNEŽAMA (BIVŠA KONOBA ""DALMATINO"")";KNEŽE;104;63;62;60;2;0;0;0;0;0;0;0;0;0;0;11;0;1;0;6;5;1;0;0;6;0;0;0;0;0;0;0;30;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;KORÈULA;6;ŽRNOVSKA BANJA;ZGRADA MIRKA SKOKANDIÆ-BARIÆ U ŽRNOVSKOJ BANJI;ŽRNOVO, ŽRNOVSKA BANJA;405;232;232;229;3;0;0;1;0;0;0;4;1;0;0;60;0;3;3;5;20;12;3;1;6;0;0;0;0;0;0;0;107;1;1;0;0;1;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;KORÈULA;7;ÈARA;ZADRUŽNI DOM ÈARA;ÈARA;596;387;387;370;17;2;1;0;1;1;1;4;0;2;0;122;1;2;2;11;24;2;1;0;7;0;0;0;0;3;0;0;180;0;0;0;2;1;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;KORÈULA;8;RAÈIŠÆE;"HOTEL ""MEDITERAN""";RAÈIŠÆE;423;254;254;250;4;2;0;1;1;0;0;7;0;1;0;75;1;4;3;8;8;1;0;1;11;1;0;0;0;2;0;0;122;0;0;0;0;1;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;KORÈULA;9;ŽRNOVO;"ZGRADA KUD ""SOCIJ""";ŽRNOVO;429;282;282;276;6;0;0;0;2;1;1;9;1;1;0;86;2;3;13;11;18;9;0;0;13;1;0;0;0;1;0;1;95;1;1;0;0;6;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;KORÈULA;10;POSTRANA;ZGRADA BRATSKE SLOGE U POSTRANI-ŽRNOVO;ŽRNOVO;252;175;175;167;8;0;0;0;2;0;1;1;0;0;1;44;1;8;2;8;10;3;1;0;5;2;0;0;0;0;0;0;77;1;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;MAKARSKA;1;BIRAÈKO MJESTO BR. 1;OŠ PETRA PERICE - MAKARSKA;ZELENKA BB;3.767;1.731;1.731;1.715;16;2;5;4;5;6;5;30;4;7;3;646;8;21;14;42;75;39;19;0;114;11;1;5;1;11;1;2;612;3;5;0;4;10;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;MAKARSKA;2;BIRAÈKO MJESTO BR. 2;DJEÈJI VRTIÆ;DR. M. UJEVIÆA 5;2.148;1.119;1.119;1.102;17;2;10;7;7;2;1;27;0;1;1;323;3;20;14;19;37;25;5;0;72;10;0;1;0;9;0;0;493;0;5;0;1;7;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;MAKARSKA;3;BIRAÈKO MJESTO BR. 3;"UDRUGA ""SUNCE""";KRALJA PETRA KREŠIMIRA IV BR.9;2.840;1.439;1.437;1.423;14;2;14;1;4;3;0;23;0;1;5;290;11;14;14;11;58;38;5;1;122;4;0;0;1;11;1;1;772;2;3;0;1;10;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;MAKARSKA;4;BIRAÈKO MJESTO BR. 4;STARA ŠKOLA;DON M. PAVLINOVIÆA 1;945;486;486;479;7;0;5;2;4;1;0;6;0;1;1;117;3;7;8;5;16;9;2;0;48;6;1;0;1;3;0;2;225;0;0;0;2;4;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;MAKARSKA;5;BIRAÈKO MJESTO BR. 5;VATROGASNI DOM;POTOK BROJ 2;2.129;1.124;1.101;1.083;18;1;26;2;2;7;3;23;1;3;1;301;7;15;11;18;51;24;4;1;74;6;0;0;0;9;1;1;482;1;3;1;0;4;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;MAKARSKA;6;BIRAÈKO MJESTO BR. 6;SREDNJA ŠKOLA FRA A.K. MIOŠIÆA;Z. FRANKOPANSKA BB;3.504;1.745;1.744;1.707;37;1;19;5;4;4;8;32;2;6;2;499;10;20;22;26;60;43;13;1;111;26;0;1;0;8;1;1;768;0;3;1;0;10;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;MAKARSKA;7;BIRAÈKO MJESTO BR.7;DOM U VELIKOM BRDU;VELIKO BRDO 103;417;231;231;228;3;0;1;0;1;0;0;2;1;2;0;78;5;1;3;1;12;1;1;0;14;0;0;0;0;4;0;0;101;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;METKOVIÆ;1;METKOVIÆ;CENTAR ZA KULTURU;S. RADIÆA 1;610;372;372;363;9;0;0;0;2;2;4;1;2;0;2;98;3;104;4;18;15;4;12;0;16;0;0;0;0;2;0;0;74;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;METKOVIÆ;2;METKOVIÆ;ZGRADA OPÆINSKOG  SUDA U METKOVIÆU;DON R. JERKOVIÆA 1;1.164;702;702;684;18;0;0;1;0;0;3;12;0;3;0;167;4;173;8;26;33;12;19;0;37;0;0;0;0;3;0;2;179;0;0;0;1;1;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;METKOVIÆ;3;METKOVIÆ;ZGRADA OPÆINSKOG SUDA U METKOVIÆU;DON R. JERKOVIÆA 1;1.844;1.104;1.104;1.082;22;0;0;3;4;5;6;19;0;1;0;287;11;188;20;44;57;32;37;0;55;5;0;1;8;1;0;0;296;0;0;0;0;2;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;METKOVIÆ;4;METKOVIÆ;ZGRADA POLITIÈKIH STRANAKA;UL. KRALJA ZVONIMIRA 20;870;533;533;526;7;0;0;1;0;2;6;5;0;2;0;130;3;164;2;15;19;11;24;0;29;2;0;0;1;3;0;0;106;0;0;0;0;1;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;METKOVIÆ;5;METKOVIÆ;OBITELJSKA KUÆA BLAŽEVIÆ;P. KREŠIMIRA IV. BROJ 3;1.047;647;647;634;13;0;1;0;0;2;3;9;0;1;0;224;2;115;7;19;31;15;24;0;30;4;0;0;1;2;1;0;138;3;0;0;0;2;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;METKOVIÆ;6;METKOVIÆ;"SALON NAMJEŠTAJA ""ANAID-COMMERCE""";P. KREŠIMIRA IV. BROJ 68;1.447;863;863;836;27;0;0;3;2;1;11;11;0;0;0;264;5;214;14;15;38;14;34;1;45;1;0;0;2;5;0;2;154;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;METKOVIÆ;7;METKOVIÆ;SALON NAMJEŠTAJA ''ANAID-COMMERCE'';P. KREŠIMIRA IV. BROJ 68;845;538;537;522;15;0;3;1;0;2;4;5;0;0;0;160;6;127;5;14;22;14;21;1;21;4;0;0;0;4;0;0;104;1;0;0;1;2;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;METKOVIÆ;8;METKOVIÆ;DRŽAVNI ARHIV;A. HEBRANGA 8;1.721;1.050;1.050;1.031;19;1;0;0;0;3;4;12;1;0;2;350;11;210;18;48;27;26;32;0;60;1;0;0;0;6;0;1;210;2;0;0;1;5;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;METKOVIÆ;9;METKOVIÆ;OBITELJSKA  KUÆA REBIÆ;KNEZA BRANIMIRA 27;1.488;922;922;898;24;0;3;1;2;3;4;12;0;4;0;315;1;220;15;31;45;17;13;0;42;1;1;0;0;5;1;2;155;1;0;0;0;4;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;METKOVIÆ;10;METKOVIÆ;"OŠ ""DON M. PAVLINOVIÆ""";A. STEPINCA BROJ 2;1.083;691;691;669;22;1;0;0;1;3;1;3;1;1;0;221;8;162;10;18;24;15;18;0;47;1;0;1;0;10;1;1;117;0;0;0;2;2;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;METKOVIÆ;11;METKOVIÆ;"OŠ""DON M. PAVLINOVIÆA""";A. STEPINCA 2;1.191;810;808;798;10;0;2;3;1;7;3;4;0;1;1;216;5;253;12;15;52;13;14;1;48;3;0;0;2;6;0;0;135;0;0;0;0;1;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;METKOVIÆ;12;VID;DRUŠTVENE PROSTORIJE;VID, LEDENE GOSPE 22;699;454;454;434;20;0;1;1;4;0;2;2;0;3;0;119;1;177;3;12;10;7;1;0;10;1;0;0;1;3;0;2;72;0;2;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;METKOVIÆ;13;PRUD;PODRUÈNA ŠKOLA PRUD;PRUD;482;325;325;319;6;0;1;0;0;1;2;1;0;2;0;130;4;94;10;17;6;6;2;0;7;1;0;0;0;1;0;1;30;1;0;0;1;1;;;;;;;;;;;;;;;
