Izborna jedinica;Grad / opæina;BM Rbr;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  MIRKO MAKAUS ;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  GORAN OŽANIÆ;AKCIJA MLADIH - AM , LISTA ZA RIJEKU - LISTA-RI , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH  , Nositelj liste:  DANKO ŠVORINIÆ ;AKCIJA ZA BOLJU HRVATSKU - ABH , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  mr.sc. ŽELJKO SAÈIÆ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  ANDRIJA ŠKRIBULJA  ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ  ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR;HRVATSKA 21. STOLJEÆA - HRVATSKA 21.  ,  Nositelj liste:  NATAŠA SRDOÈ  ;HRVATSKA SELJAÈKA STRANKA - HSS , ZELENA STRANKA - ZS , STRANKA PENZIONERA - SP  , Nositelj liste:  IVO ZRILIÆ ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  dr.sc. IVAN KIRIN;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  DAVOR JURICA ;ISTARSKA SOCIJALDEMOKRATSKA NEZAVISNA STRANKA - ISDNS  , Nositelj liste:  IVAN JANKO  ;LADONJA  , Nositelj liste:  PLINIO CUCCURIN  ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  ZDRAVKO BERIÆ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ ;PRIMORSKO GORANSKI SAVEZ - PGS , BLOK UMIROVLJENICI ZAJEDNO - BUZ , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS  , Nositelj liste:  IVAN PERNAR   ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  IVAN PLJEŠA;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad.;VOLIM HRVATSKU - VH  , Nositelj liste:  prof.dr.sc. ZVONKO ÈAPKO ;ZELENA LISTA  , Nositelj liste:  DARKO ANTOŠ  ;ZELENA STRANKA-ZELENA ALTERNATIVA - ZELENI  , Nositelj liste:  mr.sc. JOSIP-ANTON RUPNIK;;;;
VIII. IZBORNA JEDINICA;DUBROVNIK;6;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;DUBROVNIK;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;DUBROVNIK;8;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;DUBROVNIK;9;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;DUBROVNIK;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;DUBROVNIK;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;DUBROVNIK;12;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;DUBROVNIK;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;DUGO SELO;1;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;ÐAKOVO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;ÐURÐEVAC;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;GAREŠNICA;1;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;GLINA;1;0;17;17;17;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;12;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;GOSPIÆ;1;0;11;11;11;0;0;0;0;0;0;0;2;0;1;0;2;1;0;0;0;0;0;0;0;0;5;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;GOSPIÆ;2;0;8;8;8;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;GRAD ZAGREB;1;0;5;5;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;1;;;;
VIII. IZBORNA JEDINICA;GRAD ZAGREB;1;0;14;14;14;0;0;0;0;1;0;0;2;0;0;0;1;1;0;0;0;0;0;0;1;0;8;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;GRAD ZAGREB;2;0;3;3;2;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;GRAD ZAGREB;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;GRAD ZAGREB;3;0;209;209;207;2;0;1;0;0;0;1;12;0;0;5;1;0;18;1;0;3;0;8;6;0;150;0;0;0;0;1;;;;
VIII. IZBORNA JEDINICA;GRAD ZAGREB;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;GRAD ZAGREB;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;GRUBIŠNO POLJE;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;HRVATSKA KOSTAJNICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;HVAR;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;ILOK;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;IMOTSKI;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;IVANEC;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;IVANIÆ-GRAD;1;0;2;2;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;JASTREBARSKO;1;0;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;KARLOVAC;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;KARLOVAC;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;KARLOVAC;3;0;7;7;7;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;KOPRIVNICA;1;0;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;KORÈULA;1;0;2;2;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;KOTORIBA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;KRAPINA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;KRIŽEVCI;1;0;2;2;2;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;KRK;1;0;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;KUTINA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;LABIN;1;0;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;LASTOVO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;LEPOGLAVA;1;0;30;30;30;0;0;0;0;0;0;0;3;0;0;0;0;0;1;1;0;1;0;1;0;0;23;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;MAKARSKA;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;MALI LOŠINJ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;METKOVIÆ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;MLJET;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;NAŠICE;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;NEDELIŠÆE;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;NOVA GRADIŠKA;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;NOVALJA;1;0;6;6;6;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;NOVI MAROF;1;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;NOVSKA;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;OGULIN;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;OPATIJA;1;0;4;4;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;ORAHOVICA;1;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;OREHOVICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;OSIJEK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;OSIJEK;2;0;3;3;3;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;PAKRAC;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;PAZIN;1;0;3;3;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;PETRINJA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;PITOMAÈA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;POPOVAÈA;1;0;9;9;9;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;5;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;POREÈ - PARENZO;1;0;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;POŽEGA;1;0;21;21;18;3;0;0;0;0;0;0;2;0;0;1;0;0;0;0;1;0;0;0;0;0;13;1;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;POŽEGA;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;POŽEGA;3;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;PREKO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;PREKO;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;PROMINA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;1;0;91;91;88;3;0;0;1;1;0;0;7;1;1;0;6;1;3;0;8;2;1;0;1;0;53;1;0;0;1;0;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;2;0;18;18;17;1;0;1;2;0;0;0;2;0;0;1;0;1;1;0;0;0;0;0;0;0;8;1;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;3;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;4;0;9;9;9;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;3;0;1;0;0;0;1;0;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;5;0;12;12;11;1;0;0;2;0;0;0;2;0;0;0;0;1;0;0;0;0;0;2;0;0;4;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;6;0;11;11;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;9;0;0;0;0;1;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;7;0;10;9;9;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;5;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;8;0;13;13;13;0;0;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;9;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;9;0;9;9;9;0;0;0;0;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;5;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;10;0;12;12;11;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;1;0;0;6;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;11;0;10;10;10;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;8;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;PULA - POLA;12;0;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;RAB;1;0;4;4;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;RIJEKA;1;0;87;87;85;2;0;0;2;0;2;1;10;0;1;0;2;1;2;0;2;1;0;0;6;0;49;1;0;0;3;2;;;;
VIII. IZBORNA JEDINICA;RIJEKA;2;0;29;29;29;0;0;0;0;0;0;0;7;0;0;2;0;0;1;0;0;1;0;2;0;0;16;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;ROVINJ - ROVIGNO;1;0;4;4;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;SALI;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;SAMOBOR;1;0;7;6;6;0;0;0;1;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;SELNICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;SINJ;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
VIII. IZBORNA JEDINICA;SISAK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
