Izborna jedinica;Država;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  STJEPAN RUŠEC;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  DARKO KRNIÆ;AKCIJA MLADIH - AM  , Nositelj liste:  ANDREJ BRIŠÈIK ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU  , Nositelj liste:  ZLATKO KLARIÆ, prof. ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  EMIL ÈIÆ  ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ ;DEMOKRATSKA STRANKA SLAVONSKE RAVNICE - SLAVONSKA RAVNICA  , Nositelj liste:  SLAVKO VUKŠIÆ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ;HRVATSKA DEMOKRATSKA SELJAÈKA STRANKA - HDSS  , Nositelj liste:  STEVO GRAHOVAC;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  MATO BARUKÈIÆ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR;"HRVATSKA STRANKA PRAVA - HSP , ""HRVATSKA STRAŽA"" NACIONALNA STRANKA - HS NS  , Nositelj liste:  DANIEL SRB   ";HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ;HRVATSKI DEMOKRATSKI SAVEZ SLAVONIJE I BARANJE - HDSSB  , Nositelj liste:  prof.dr.sc. VLADIMIR ŠIŠLJAGIÆ  ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  TOMISLAV ŠPERANDA ;JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  MARIJAN ŠKARIÆ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  GORDAN MASNJAK;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ ;NEOVISNA LISTA  , Nositelj liste:  IVAN LONÈAR;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS  , Nositelj liste:  DALI MOR ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  NIKOLA OPAÈIÆ ;VOLIM HRVATSKU - VH  , Nositelj liste:  ROKO ŠIKIÆ ;ZELENA LISTA  , Nositelj liste:  DANICA JOVIÆ  ;ZELENA STRANKA - ZS  , Nositelj liste:  mr.sc. ALJOŠA BABIÆ  ;ZELENI HRVATSKE - ZELENI HR  , Nositelj liste:  ZDRAVKO PEKO;;;;;;
IV. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;9;biraèko mjesto broj 9 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;"JAVNA USTANOVA OŠ ""ISAK SAMOKOVLIJA"", UL. FRA ANÐELA ZVIZDOVIÆA 1, 710";0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;10;biraèko mjesto broj 10 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;"JAVNA USTANOVA OŠ ""ISAK SAMOKOVLIJA"", UL. FRA ANÐELA ZVIZDOVIÆA 1, 710";0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;11;biraèko mjesto broj 11 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;"JAVNA USTANOVA OŠ ""ISAK SAMOKOVLIJA"", UL. FRA ANÐELA ZVIZDOVIÆA 1, 710";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;12;biraèko mjesto broj 12 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;"JAVNA USTANOVA OŠ ""ISAK SAMOKOVLIJA"", UL. FRA ANÐELA ZVIZDOVIÆA 1, 710";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;13;biraèko mjesto broj 13 - BANJA LUKA;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;MILANA KRANOVIÆA BR. 1, BANJA LUKA, BOSNA I HERCEGOVINA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;14;biraèko mjesto broj 14 - BANJA LUKA;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;MILANA KRANOVIÆA BR. 1, BANJA LUKA, BOSNA I HERCEGOVINA;0;2;2;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;15;biraèko mjesto broj 15 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;16;biraèko mjesto broj 16 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;17;biraèko mjesto broj 17 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
IV. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;18;biraèko mjesto broj 18 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""ILIJE JAKOVLJEVIÆA"" DR. ANTE STARÈEVIÆA B.B., MOSTAR, B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
