Izborna jedinica;Grad / opæina;BM Rbr;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  MILAN ŽUPANÈIÆ, prof. ;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  LUKA ŽUŽENIÆ ;AKCIJA MLADIH - AM  , Nositelj liste:  ROBERT KURELIÆ  ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU  , Nositelj liste:  ZLATKO KLARIÆ, prof. ;AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS , SAVEZ ZA PROMJENE - SP  , Nositelj liste:  BRANKO BORKOVIÆ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  DRAŽEN KELEMINEC   ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ ;GLAS RAZUMA  , Nositelj liste:  MILAN PERKOVAC, mg.elektronike ;HRVATSKA DEMOKRATSKA SELJAÈKA STRANKA - HDSS  , Nositelj liste:  TOMISLAV POKUPÈIÆ ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ , DEMOKRATSKI CENTAR - DC  , Nositelj liste:  JADRANKA KOSOR ;HRVATSKA 21. STOLJEÆA - HRVATSKA 21.  , Nositelj liste:  NADA LANDEKA  ;HRVATSKA EUROPSKA STRANKA - HES  , Nositelj liste:  NAJA ŠEBALJ ;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  MARIJANA PETIR ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  ANTO ÐAPIÆ  ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ  ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  PERO PAŽIN;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  MARINKO BOBINAC;NEOVISNA LISTA  , Nositelj liste:  MILAN BANDIÆ ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  DRAGICA LOVREKOVIÆ;VOLIM HRVATSKU - VH  , Nositelj liste:  ROKO ŠIKIÆ;ZAGREBAÈKA NEZAVISNA LISTA - ZNL  , Nositelj liste:  mr.sc. TATJANA HOLJEVAC, dipl.ing. ;ZELENA LISTA  , Nositelj liste:  MILAN LONÈAR;ZELENA STRANKA - ZS  , Nositelj liste:  mr.sc. ALJOŠA BABIÆ ;ZELENI ZAJEDNO  , Nositelj liste:  TONI VIDAN;;;;;;;
VI. IZBORNA JEDINICA;DUBROVNIK;9;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;DUBROVNIK;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;DUBROVNIK;11;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;DUBROVNIK;12;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;DUBROVNIK;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;DUGO SELO;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ÐAKOVO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ÐURÐEVAC;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;GAREŠNICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;GLINA;1;0;42;42;42;0;0;0;0;0;0;0;1;0;0;0;3;0;0;2;0;1;0;0;0;0;3;1;29;0;0;1;0;1;0;;;;;;;
VI. IZBORNA JEDINICA;GOSPIÆ;1;0;3;3;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;;;;;;;
VI. IZBORNA JEDINICA;KOTORIBA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;LASTOVO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;MLJET;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;NEDELIŠÆE;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;OREHOVICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;PITOMAÈA;1;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;POPOVAÈA;1;0;26;24;23;1;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;3;0;3;0;0;0;0;13;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;PREKO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;PREKO;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;PROMINA;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;PULA - POLA;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;PULA - POLA;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;PULA - POLA;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;PULA - POLA;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;PULA - POLA;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;PULA - POLA;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;PULA - POLA;10;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;PULA - POLA;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;PULA - POLA;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;SALI;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;SELNICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;SPLIT;4;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;SPLIT;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;SPLIT;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;SPLIT;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;SPLIT;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;SPLIT;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;SPLIT;10;0;6;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;4;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ŠENKOVEC;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;TOPUSKO;1;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZADAR;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZADAR;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZADAR;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZADAR;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZADAR;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZADAR;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZADAR;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZADAR;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZADAR;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZADAR;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZADAR;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZADAR;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZADAR;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZADAR;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZADAR;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZADAR;19;0;12;12;12;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;6;0;0;0;1;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZADAR;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;4;4;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;3;3;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;5;5;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;62;62;61;1;0;0;1;0;0;0;0;0;0;1;14;0;0;4;2;5;0;4;1;0;2;2;24;0;0;1;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;;;;;
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
