Izborna jedinica;Grad / opæina;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  JURE GRUBIŠIÆ ;AKCIJA MLADIH - AM  , Nositelj liste:  ANTE RUBEŠA ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , SPLITSKA STRANKA UMIROVLJENIKA - SSU , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH  , Nositelj liste:  IVAN ŠPIKA;AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS , SAVEZ ZA PROMJENE - SP  , Nositelj liste:  IVAN PERNAR ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  BORE KAREGA  ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ   ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ , HRVATSKA GRAÐANSKA STRANKA - HGS  , Nositelj liste:  JADRANKA KOSOR ;HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  prof.dr.sc. JOSIP JURÈEVIÆ;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  ZORAN SMOLIÆ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DRAŽEN BUDIŠA  ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  MIRKO ÈONDIÆ ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ  ;HRVATSKA STRANKA ZELENIH - EKO SAVEZ - ZELENI  , Nositelj liste:  ZDRAVKO BELUŠIÆ, ing. aeronautike ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  ZDRAVKO ROŠKO;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. STIPISLAV JADRIJEVIÆ, dr.med. ;NEOVISNA LISTA  , Nositelj liste:  STIPE PETRINA;OBITELJSKA STRANKA - OS  , Nositelj liste:  DUŠAN BEŠLIÆ ;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS  , Nositelj liste:  prof.dr.sc. SLOBODAN UZELAC ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  BERISLAV RUBELJ ;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad. ;ZELENA LISTA  , Nositelj liste:  ATANA GRBIÆ-MARTINOVIÆ;ZELENA STRANKA - ZS  , Nositelj liste:  mr.sc. MILE SOKOLIÆ   ;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;BIOGRAD NA MORU;4;BIRAÈKO MJESTO 4;DJEÈJI VRTIÆ BIOGRAD, PODRUÈNO ODJELJENJE KOSA - ZAPAD;PAŠKA 1, BIOGRAD NA MORU;1.076;662;650;628;22;0;2;1;2;2;14;2;276;6;5;29;22;19;3;26;5;15;23;12;1;8;154;0;0;1;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;DRNIŠ;1;BIRAÈKO MJESTO 1;GLAZBENA  ŠKOLA U DRNIŠU;V. NAZORA 4;891;492;492;481;11;1;2;2;0;0;5;2;221;7;7;63;8;22;2;7;5;18;4;21;0;9;74;0;0;1;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;DRNIŠ;2;BIRAÈKO MJESTO 2;SREDNJA ŠKOLA U DRNIŠU;POLJANA 1;1.078;603;603;586;17;1;1;3;1;1;8;1;280;1;11;85;8;26;2;2;8;16;4;12;0;6;108;0;0;1;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;DRNIŠ;3;BIRAÈKO MJESTO 3;OSNOVNA ŠKOLA U DRNIŠU;ANTUNA MIHANOVIÆA 4;944;590;590;569;21;1;0;2;0;0;5;0;257;0;7;84;8;19;4;9;4;24;0;24;0;7;108;0;2;2;2;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;DRNIŠ;4;BIRAÈKO MJESTO 4;OSNOVNAŠKOLA U DRINOVCIMA;OKO CRKVE 2, DRINOVCI;219;107;107;104;3;0;0;0;0;0;0;0;75;0;0;8;1;1;0;0;0;1;2;5;0;0;11;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;DRNIŠ;5;BIRAÈKO MJESTO 5;IVICE STOJANOVIÆA ( ŠKITE ) U KARALIÆU;KOD TRGOVINE 3, KRALIÆ;284;168;168;168;0;1;1;0;0;0;0;2;114;1;5;18;5;5;0;0;1;2;0;4;1;0;8;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;DRNIŠ;6;BIRAÈKO MJESTO 6;SEOSKOM DOMAÆINSTVU PEACE U BRIŠTANIMA;PLETIKOSE 14, BRIŠTANE;207;120;120;116;4;0;0;0;0;0;0;0;79;1;1;6;2;2;1;0;0;5;1;7;0;0;11;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;DRNIŠ;7;BIRAÈKO MJESTO 7;ILIJE GALIÆA U BOGATIÆU;KOD ŠKOLE 1;126;73;73;72;1;0;0;1;0;0;0;0;51;0;0;7;1;3;0;0;0;1;0;1;0;0;7;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;DRNIŠ;8;BIRAÈKO MJESTO 8;ANÐELKA MALENICE (ÐIÐIJA) U KLJUÈU;KLJUÈ 24;182;97;97;95;2;0;0;0;1;0;0;0;81;0;1;0;2;1;0;0;0;2;3;0;0;0;2;0;2;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;DRNIŠ;9;BIRAÈKO MJESTO 9;OSNOVNOJ ŠKOLI U KAOÈINAMA;KOD ŠKOLE KULUŠIÆI 20;235;143;143;141;2;0;0;0;0;0;2;0;95;2;1;4;3;7;0;0;0;8;0;3;0;0;16;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;DRNIŠ;10;BIRAÈKO MJESTO 10;OSNOVNA ŠKOLA TRBOUNJE;KOD ŠKOLE 4, TRBOUNJE;246;160;160;158;2;0;0;0;0;0;0;1;89;2;0;27;1;7;0;1;1;5;1;4;0;0;19;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;DRNIŠ;11;BIRAÈKO MJESTO 11;KUÆA IVANA TARLE (DRAGE) U VELUŠIÆU;TARLE 1, VELUŠIÆ;104;67;67;66;1;0;0;1;0;0;1;0;40;0;1;2;3;2;0;0;0;2;0;2;0;4;8;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;DRNIŠ;12;BIRAÈKO MJESTO 12;KUÆA IVANA MIHALJEVIÆA (IVANDE) U BADNJU;ÈULINE-MIHALJEVIÆI 5, BADANJ;275;142;142;139;3;0;0;0;0;0;1;0;81;1;0;20;3;3;0;1;0;2;2;4;0;0;21;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;DRNIŠ;13;BIRAÈKO MJESTO 13;KUÆA ZVONIMIRA DŽALE U KRIÈKAMA;KOD CRKVE KRALJICE MIRA 20, KRIÈKE;282;123;122;120;2;1;0;0;1;0;1;0;56;0;2;5;9;2;1;1;2;6;0;5;0;17;9;1;0;0;1;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;DRNIŠ;14;BIRAÈKO MJESTO 14;KUÆA NENE ELEZA (BIVŠA PRODAVAONICA TRGOPROMETA) U SEDRAMIÆU;ELEZI  5, SEDRAMIÆ;200;114;114;113;1;1;1;3;0;0;1;0;80;2;1;6;2;5;1;0;1;2;1;0;0;0;6;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;DRNIŠ;15;BIRAÈKO MJESTO 15;KUÆA MILE MUJANA U ŽITNIÆU;MUJANI 4B, ŽITNIÆ;193;87;87;86;1;0;0;0;0;0;2;1;48;1;2;10;2;1;0;0;0;2;0;5;0;3;9;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;DRNIŠ;16;BIRAÈKO MJESTO 16;OSNOVNA ŠKOLA PAKOVO SELO;KOD ŠKOLE 10, PAKOVO SELO;239;165;165;160;5;0;0;1;0;1;0;0;114;2;8;7;3;11;0;0;2;3;1;0;0;0;7;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;DRNIŠ;17;BIRAÈKO MJESTO 17;OSNOVNA ŠKOLA U POKROVNIKU;LUCIÆI 29, POKROVNIK;199;139;139;137;2;0;0;0;2;0;6;0;80;0;16;3;3;5;0;1;0;1;0;7;0;0;12;0;1;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;DRNIŠ;18;BIRAÈKO MJESTO 18;OSNOVNA ŠKOLA RADONIÆ;KOD ŠKOLE 1, RADONIÆ;354;182;181;176;5;0;1;3;0;0;4;1;102;1;7;5;3;6;1;3;0;1;1;19;0;1;14;2;0;1;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;DRNIŠ;19;BIRAÈKO MJESTO 19;OSNOVNA ŠKOLA U SIVERIÆU;OKO ŠKOLE 7, SIVERIÆ;565;330;330;325;5;0;1;1;1;0;3;1;150;1;15;34;9;14;1;2;0;13;0;12;0;2;63;0;0;1;1;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;DRNIŠ;20;BIRAÈKO MJESTO 20;KUÆA MIROSLAVA ÈOSIÆA U TEPLJUHU;TEPLJUH, PERIÈIÆI 16;155;69;69;69;0;0;0;0;1;0;2;0;8;0;0;0;0;3;0;0;0;0;0;4;0;33;18;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;DRNIŠ;21;BIRAÈKO MJESTO 21;KUÆA DRAGANA GUNDELJA U BIOÈIÆU;BIOÈIÆ, GUNDELJI I DEVIÆI 11;185;91;91;88;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;77;9;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;DRNIŠ;22;BIRAÈKO MJESTO 22;KUÆA STEVANA MARTIÆA U MIOÈIÆU;MIOÈIÆ, POKVASICE 17;192;49;49;48;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;39;6;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;DRNIŠ;23;BIRAÈKO MJESTO 23;KUÆA NADE BAKOVIÆ U PARÈIÆU;PARÈIÆ, KROZ SELO 6;213;89;89;88;1;1;0;0;1;0;0;0;50;0;16;6;2;2;0;2;0;1;0;1;0;1;5;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;DRNIŠ;24;BIRAÈKO MJESTO 24;KUÆA BOŠKA KRANJCA U KADINOJ GLAVICI;KADINA GLAVICA, DONJE GORETE 1A;229;117;117;111;6;0;0;0;0;1;3;0;59;2;13;17;2;7;1;0;0;0;0;0;0;0;6;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;DRNIŠ;25;BIRAÈKO MJESTO 25;KUÆA DMITRA VUDRAGOVIÆA U ŠTIKOVU;ŠTIKOVO, VUJEVIÆI 8;125;33;33;33;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;24;3;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;GOSPIÆ;1;GOSPIÆ - PUÈKO OTVORENO UÈILIŠTE;PUÈKO OTVORENO UÈILIŠTE;DR. FRANJE TUÐMANA BR. 5, GOSPIÆ;1.014;715;713;700;13;1;1;2;0;2;14;8;409;6;3;27;20;25;3;12;7;8;1;1;0;1;145;3;0;0;1;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;GOSPIÆ;2;GOSPIÆ - ZGRADA HRVATSKE POŠTE;ZGRADA HRVATSKE POŠTE;KANIŠKA BR. 53, GOSPIÆ;1.052;782;749;732;17;0;4;4;1;2;12;6;421;6;3;37;24;24;3;12;4;8;0;0;0;0;156;0;1;1;3;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;GOSPIÆ;3;GOSPIÆ - ZGRADA DOMA ZDRAVLJA;ZGRADA DOM ZDRAVLJA;BILAJSKA BR.5, GOSPIÆ;1.315;734;734;723;11;2;1;3;4;0;20;2;344;4;8;38;17;28;2;14;3;9;0;6;3;9;203;1;1;1;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;GOSPIÆ;4;GOSPIÆ - ZGRADA GIMNAZIJE;ZGRADA GIMNAZIJE;BUDAÈKA BR. 24, GOSPIÆ;809;512;512;500;12;1;2;0;1;1;13;1;251;3;6;32;18;15;2;10;6;5;0;1;0;0;131;0;0;0;1;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;GOSPIÆ;5;GOSPIÆ - ZGRADA USLUGE;ZGRADA USLUGE;BUŽIMSKA 10, GOSPIÆ;1.597;1.044;1.044;1.028;16;2;6;2;5;6;15;4;592;6;16;56;33;28;2;16;4;7;1;7;0;3;214;2;0;1;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;GOSPIÆ;6;GOSPIÆ - ÈITAONICA KANIŽA;ÈITAONICA KANIŽA;KANIŽA, GOSPIÆ;373;265;265;259;6;1;2;0;4;1;6;1;185;3;2;2;2;8;0;5;1;1;1;0;0;0;33;0;0;0;1;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;GOSPIÆ;7;GOSPIÆ - ÈITAONICA ŽABICA;ÈITAONICA ŽABICA;ŽABICA, GOSPIÆ;178;126;126;123;3;0;0;0;4;0;3;1;90;0;2;2;4;5;1;0;0;0;0;2;0;0;8;0;0;1;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;GOSPIÆ;8;GOSPIÆ - OŠ LIÈKI NOVI;OŠ LIÈKI NOVI;LIÈKI NOVI;279;185;185;180;5;1;1;2;1;0;6;1;139;0;6;3;4;1;0;0;1;0;0;1;0;0;12;0;0;1;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;GOSPIÆ;9;GOSPIÆ - ZGRADA HRV. CESTA U PODOŠTRI;ZGRADA HRV. CESTA U PODOŠTRI;PODOŠTRA;170;108;108;104;4;0;1;0;1;1;0;1;61;2;3;3;3;1;1;2;0;1;0;0;0;0;20;1;1;1;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;GOSPIÆ;10;GOSPIÆ - OŠ BILAJ;OŠ BILAJ;BILAJ;346;218;218;214;4;0;0;0;2;0;1;1;169;3;1;3;5;3;1;0;0;1;0;1;0;0;23;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;GOSPIÆ;11;GOSPIÆ - OBITELJSKA KUÆA MILE BASTA;OBITELJSKA KUÆA MILE BASTA;RIBNIK 15;105;84;84;82;2;1;0;2;0;0;2;3;51;0;2;3;3;3;1;0;0;0;0;1;0;0;9;0;0;1;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;GOSPIÆ;12;GOSPIÆ - OŠ TRNOVAC;OŠ TRNOVAC;TRNOVAC;171;89;89;87;2;1;0;0;0;0;0;1;68;0;0;3;3;4;0;0;0;0;0;0;0;0;5;0;0;2;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;GOSPIÆ;13;GOSPIÆ - OŠ BRUŠANE;OŠ BRUŠANE;BRUŠANE;176;110;110;106;4;1;0;0;0;0;0;0;66;1;2;6;7;2;0;1;0;0;0;1;0;1;18;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;GOSPIÆ;14;GOSPIÆ - ÈITAONICA BUDAK;ÈITAONICA BUDAK;BUDAK;145;99;99;97;2;0;0;0;1;3;6;3;61;1;2;3;4;2;0;0;0;0;0;0;0;0;9;0;0;0;2;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;GOSPIÆ;15;GOSPIÆ - OŠ MUŠALUK;OŠ MUŠALUK;MUŠALUK;253;158;158;152;6;0;0;1;0;0;1;0;102;2;4;4;5;1;1;4;0;0;0;1;0;0;25;1;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;GOSPIÆ;16;GOSPIÆ - ZGRADA OŠ LIÈKI OSIK;ZGRADA OŠ LIÈKI OSIK;LIÈKI OSIK;1.475;937;937;925;12;1;3;1;3;2;9;7;482;10;15;38;45;36;4;18;6;15;0;4;1;8;212;0;0;3;2;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;GOSPIÆ;17;GOSPIÆ - KUÆA M. LISCA, STARI L.OSIK;KUÆA MARIJANA LISCA, STARI L.OSIK;LIÈKI OSIK (STARI) KBR. 63A;227;124;124;121;3;0;0;0;0;2;4;0;78;1;2;12;1;4;2;3;0;0;0;0;0;0;11;0;0;0;1;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;GOSPIÆ;18;GOSPIÆ - DRUŠTVENI DOM VREBAC;DRUŠTVENI DOM U VREBCU;VREBAC;82;49;49;49;0;0;0;0;0;0;1;0;0;2;0;0;2;0;0;0;0;0;0;0;0;9;32;1;0;1;1;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;GOSPIÆ;19;GOSPIÆ - MJESNI ODBOR MOGORIÆ;MJESNI ODBOR MOGORIÆ;MOGORIÆ;92;65;65;65;0;2;0;0;0;0;0;1;0;0;0;2;0;0;1;0;1;0;0;0;0;34;23;0;1;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;GOSPIÆ;20;GOSPIÆ - MJESNI ODBOR MEDAK;MJESNI ODBOR MEDAK;MEDAK;124;57;57;56;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;49;2;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;GOSPIÆ;21;GOSPIÆ - HRVATSKI NARODNI DOM SMILJAN;HRVATSKI NARODNI DOM SMILJAN;SMILJAN;607;333;333;322;11;1;3;6;1;3;4;3;207;1;7;8;6;10;1;9;2;0;0;2;0;1;45;1;0;1;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;GOSPIÆ;22;GOSPIÆ - OŠ DEBELO BRDO;OŠ DEBELO BRDO;DEBELO BRDO;79;53;53;53;0;0;0;0;0;0;3;0;41;1;0;0;1;6;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;GOSPIÆ;23;GOSPIÆ - OŠ BUŽIM;OŠ BUŽIM;BUŽIM;100;63;63;63;0;0;0;0;0;0;2;0;46;0;1;0;2;1;0;0;0;0;0;0;0;0;10;0;0;0;1;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;GOSPIÆ;24;GOSPIÆ - OŠ VELIKI ŽITNIK;OŠ VELIKI ŽITNIK;VELIKI ŽITNIK;67;35;35;33;2;0;0;0;0;0;0;3;22;0;0;1;1;1;1;1;0;1;0;0;0;0;1;1;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;GOSPIÆ;25;GOSPIÆ - OŠ KLANAC;OŠ KLANAC;KLANAC;264;178;178;174;4;0;0;2;0;1;3;0;123;4;3;3;9;10;0;1;0;1;0;1;0;0;13;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;GOSPIÆ;26;GOSPIÆ - OŠ ALEKSINICA;OŠ ALEKSINICA;ALEKSINICA;193;123;123;119;4;0;1;1;0;1;0;1;82;1;5;3;4;2;0;0;0;1;0;2;0;0;14;0;0;0;1;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;GOSPIÆ;27;GOSPIÆ - OŠ KALINOVAÈA;OŠ KALINOVAÈA;KALINOVAÈA;171;97;97;96;1;0;0;0;0;1;0;1;73;1;0;2;3;5;0;2;0;0;0;0;0;0;8;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;GOSPIÆ;28;GOSPIÆ - OŠ NOVOSELIJA;OŠ NOVOSELIJA;NOVOSELIJA;307;173;173;169;4;0;0;0;0;0;2;2;127;0;4;1;1;2;0;2;0;0;0;0;0;0;27;0;0;1;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;GOSPIÆ;29;GOSPIÆ - ZGRADA OSNOVNE ŠKOLE U VELIKOJ PLANI;ZGRADA OSNOVNE ŠKOLE U VELIKOJ PLANI;VELIKA PLANA;111;69;69;68;1;0;0;0;0;0;1;0;52;0;0;2;0;0;2;1;0;0;0;1;0;0;9;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;KAŠTELA;1;BIRAÈKO MJESTO 1. KAŠTEL SUÆURAC;"KINO ""SV. JURAJ""";DR. A.ALFIREVIÆA 20;1.196;779;779;763;16;3;2;5;3;1;16;0;267;11;2;20;19;26;1;24;5;122;5;11;4;3;209;1;0;1;2;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;KAŠTELA;2;BIRAÈKO MJESTO 2. KAŠTEL SUÆURAC;MJESNI ODBOR;DR. A.ALFIREVIÆA 20;1.162;725;725;705;20;3;0;2;1;2;12;1;247;7;0;15;9;30;0;31;7;86;5;8;1;1;231;2;0;1;3;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;KAŠTELA;3;BIRAÈKO MJESTO 3. KAŠTEL SUÆURAC;"OŠ ""KNEZ MISLAV""";BRAÆE RADIÆ 6;1.986;1.245;1.245;1.220;25;5;3;5;4;1;24;9;402;8;7;39;22;59;1;24;13;194;19;24;5;7;340;4;0;1;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;KAŠTELA;4;BIRAÈKO MJESTO 4. KAŠTEL SUÆURAC;"KUD ""PUTALJ"" (STARA ŠKOLA)";MATICE HRVATSKE 1;1.287;843;843;814;29;2;2;1;2;0;14;4;292;9;3;22;16;58;2;19;13;110;5;18;0;1;218;0;0;3;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;KAŠTELA;5;BIRAÈKO MJESTO 5. KAŠTEL GOMILICA;MJESNI ODBOR;CESTA DR. F. TUÐMANA 58;1.822;1.044;1.044;1.021;23;3;1;3;2;1;25;2;353;10;2;26;34;60;2;45;8;117;17;20;19;1;266;0;0;2;2;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;KAŠTELA;6;BIRAÈKO MJESTO 6. KAŠTEL GOMILICA;"Š.C. ""GOŠK ADRIACHEM""";FRA F.CAREVA 0;2.514;1.422;1.421;1.400;21;4;6;7;5;1;23;2;519;13;3;39;47;68;4;53;14;156;10;21;15;3;382;2;2;0;1;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;KAŠTELA;7;BIRAÈKO MJESTO 7. KAŠTEL KAMBELOVAC;PROSTORIJE BRATSKE KUÆE;BRCE 23;1.943;1.054;1.054;1.040;14;4;5;1;5;5;23;4;343;4;5;28;29;49;0;29;29;148;6;16;6;0;296;1;1;1;2;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;KAŠTELA;8;BIRAÈKO MJESTO 8. KAŠTEL KAMBELOVAC;PROSTORIJE BRATSKE KUÆE;BRCE 23;2.571;1.442;1.442;1.410;32;5;8;13;8;1;31;7;494;11;12;56;34;77;7;50;25;161;25;21;8;1;342;5;0;3;5;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;KAŠTELA;9;BIRAÈKO MJESTO 9. KAŠTEL LUKŠIÆ;"OŠ ""OSTROG""";PUT SV.LOVRE BB;2.841;1.573;1.573;1.546;27;2;5;10;4;3;34;3;580;12;4;66;53;80;4;39;27;163;29;25;2;4;386;4;0;5;2;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;KAŠTELA;10;BIRAÈKO MJESTO 10. KAŠTEL LUKŠIÆ;DVORAC VITTURI;BRCE 1;2.108;1.192;1.191;1.177;14;3;6;7;3;1;23;3;384;10;10;44;37;59;2;22;13;153;19;18;5;1;350;1;0;3;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;KAŠTELA;11;BIRAÈKO MJESTO 11. KAŠTEL STARI;OŠ. PROF. FILIP LUKAS;PUT BANOVINE BB;2.187;1.278;1.278;1.266;12;7;7;10;3;1;21;1;457;6;11;58;35;70;4;20;13;182;20;18;5;0;312;2;0;2;1;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;KAŠTELA;12;BIRAÈKO MJESTO 12. KAŠTEL STARI;VATROGASNI DOM;IVANA DANILA 21;1.919;1.044;1.043;1.016;27;1;4;6;8;0;19;2;353;9;5;42;30;50;3;32;8;115;39;19;3;1;260;5;0;2;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;KAŠTELA;13;BIRAÈKO MJESTO 13. KAŠTEL STARI;MJESNI ODBOR  RADUN;RADUN, MALAÈKA 8;2.167;1.169;1.169;1.143;26;3;3;8;3;3;19;3;467;9;12;77;51;64;3;32;14;111;30;16;4;4;200;2;0;4;1;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;KAŠTELA;14;BIRAÈKO MJESTO 14. KAŠTEL NOVI;OŠ BIJAÆI;POLINOVAC 6;2.045;1.043;1.043;1.020;23;5;3;5;0;3;19;8;334;6;11;48;26;53;2;33;10;140;15;23;5;0;268;1;0;2;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;KAŠTELA;15;BIRAÈKO MJESTO 15. KAŠTEL NOVI;OŠ BIJAÆI;POLINOVAC 6;1.828;894;894;875;19;1;8;2;1;2;20;8;304;2;4;44;23;48;1;21;5;111;11;20;2;3;230;2;0;2;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;KAŠTELA;16;BIRAÈKO MJESTO 16. KAŠTEL NOVI;MJESNI ODBOR RUDINE (ZGRADA POŠTE);RUDINE BB;1.537;806;806;796;10;4;3;3;2;3;21;6;284;10;7;41;36;45;3;28;10;75;13;16;3;1;170;0;0;8;4;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;KAŠTELA;17;BIRAÈKO MJESTO 17. KAŠTEL ŠTAFILIÆ;"POLJOPRIVREDNA ŠKOLA ""BRAÆE RADIÆ""";PUT POLJOPRIVREDNIKA 5;1.589;751;751;735;16;2;4;1;3;0;18;4;290;9;6;36;18;34;4;7;6;62;10;13;0;1;201;1;0;4;1;;;;;;;;;;;;;;;;;
