Izborna jedinica;Izborna jedinica grada / opæine;Grad / opæina;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: ROBERT JANKOVICS, Zamjenik: TIBOR SANTO, dr.med., Predlagatelj: DEMOKRATSKA ZAJEDNICA MAÐARA HRVATSKE - DZMH  ;Kandidat: mr.sc. DENEŠ ŠOJA, Zamjenik: ŠANDOR JUHAS , Predlagatelj: SAVEZ MAÐARSKIH UDRUGA - SMU  ;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;25;NADBISKUP ANTUN BAUER;PROSTORIJE MJESNOG ODBORA;ANTUNA BAUERA 21;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;26;PAVAO ŠUBIÆ;OŠ MATKA LAGINJE;LAGINJINA 13;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;27;PAVAO ŠUBIÆ;OŠ MATKA LAGINJE;LAGINJINA 13;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;28;PETAR KREŠIMIR IV;KLASIÈNA GIMNAZIJA;KRIŽANIÆEVA 4A;2;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;29;PETAR KREŠIMIR IV;KLASIÈNA GIMNAZIJA;KRIŽANIÆEVA 4A;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;30;PETAR ZRINSKI;PROSTORIJE MJESNOG ODBORA;PRIMORSKA 32;4;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;31;PETAR ZRINSKI;OŠ PETRA ZRINSKOG;KRAJIŠKA 9;2;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;32;PETAR ZRINSKI;OŠ PETRA ZRINSKOG;KRAJIŠKA 9;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;33;ZRINJEVAC;PROSTORIJE MJESNOG ODBORA;PALMOTIÆEVA 30;2;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;34;ZRINJEVAC;PROSTORIJE MJESNOG ODBORA;PALMOTIÆEVA 30;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;35;AUGUST CESAREC;PROSTORIJE MJESNOG ODBORA;TKALÈIÆEVA 33;2;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;36;AUGUST CESAREC;PROSTORIJE MJESNOG ODBORA;TKALÈIÆEVA 33;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;37;GORNJI GRAD;PROSTORIJE MJESNOG ODBORA;OPATIÈKA 16;3;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;38;GORNJI GRAD;PROSTORIJE MJESNOG ODBORA;OPATIÈKA 16;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;39;GORNJI GRAD;HRVATSKI KATOLIÈKI ZBOR MI;MESNIÈKA 2;2;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;40;GUPÈEVA ZVIJEZDA;UPRAVA GRADSKIH GROBLJA;ALEJA HERMANNA BOLLEA 27;1;1;1;1;0;1;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;41;GUPÈEVA ZVIJEZDA;INSTITUT ZA MED.ISTRAŽIVANJA I MEDICINU RADA;KSAVERSKA CESTA 2;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;42;GUPÈEVA ZVIJEZDA;CENTAR ZA REHABILITACIJU 'ZAGREB';ORLOVAC 2;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;43;IVAN KUKULJEVIÆ SAKCINSKI;PROSTORIJE MJESNOG ODBORA;RADNIÈKI DOL 1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;44;IVAN KUKULJEVIÆ SAKCINSKI;DOM ZDRAVLJA ZAGREB-ZAPAD;RADNIÈKI DOL 24;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;45;KRALJEVEC;PROSTORIJE MJESNOG ODBORA;KRALJEVEC 11;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;46;MEDVEŠÈAK;PROSTORIJE MJESNOG ODBORA;MEDVEŠÈAK 2;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;47;MEDVEŠÈAK;PROSTORIJE MJESNOG ODBORA-MALA SCENA;MEDVEŠÈAK 2;3;2;2;2;0;2;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;48;MEDVEŠÈAK;PROSTORIJE MJESNOG ODBORA;MILANA ŠUFFLAYA 2;2;1;1;1;0;0;1;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;49;NOVA VES;PROSTORIJE MJESNOG ODBORA;NOVA VES 36;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;50;NOVA VES;OŠ KSAVERA ŠANDORA ÐALSKOG;MLINARSKA CESTA 35;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;51;NOVA VES;OŠ KSAVERA ŠANDORA ÐALSKOG;MLINARSKA CESTA 35;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;52;PETROVA;PROSTORIJE MJESNOG ODBORA;JURKOVIÆEVA 17;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;53;RIBNJAK;HRVATSKE CESTE;VONÈININA 3;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
