Izborna jedinica;Izborna jedinica grada / opæine;Grad / opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi; Kandidat: IDRIZ BEŠIÆ,  Predlagatelj: NEOVISNI KANDIDAT  ;Kandidat: ÐEMAL BRATIÆ , Predlagatelj: DEMOKRATSKI SAVEZ BOŠNJAKA SLAVONIJE I BARANJE - DSBSB ;Kandidat: NEDŽAD HODŽIÆ, dipl.ing. , Predlagatelj: BOŠNJAÈKA DEMOKRATSKA STRANKA HRVATSKE - BDSH  ;Kandidat: PAŠK KAÈINARI, Predlagatelj: , SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS ;Kandidat: ERMINA LEKAJ PRLJASKAJ, Predlagatelj: UNIJA ZAJEDNICA ALBANACA U REPUBLICI HRVATSKOJ ;Kandidat: DŽELJALJ MALIÆI  , Predlagatelj: NACIONALNI DEMOKRATI - ND;Kandidat: ANGEL MITREVSKI, dipl.ing., Predlagatelj: ZAJEDNICA MAKEDONACA U REPUBLICI HRVATSKOJ;Kandidat: NIKOLLE PREKPALAJ, Predlagatelj: UDRUGA ALBANACA ZADARSKE ŽUPANIJE - UAZŽ  ;Kandidat: IBRAHIM RUŽNIÆ, prof., Predlagatelj: BOŠNJAÈKA NACIONALNA ZAJEDNICA HRVATSKE ;Kandidat: IDRIS SULEJMANI, Predlagatelj: UDRUGA GRAÐANA ALBANSKE NACIONALNE MANJINE GRADA POREÈA I POREŠTINE - UDRUGA ALBANSKE NACIONALNE MANJINE POREŠTINE;Kandidat: SULEJMAN TABAKOVIÆ, Predlagatelj: NEOVISNI KANDIDAT ;Kandidat: prof.dr.sc. ŠEMSO TANKOVIÆ, Predlagatelj: STRANKA DEMOKRATSKE AKCIJE HRVATSKE - SDA HRVATSKE
XII. IZBORNA JEDINICA;2;HERCEGOVAC;6;3;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;HLEBINE;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;IVANSKA;13;4;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;KALINOVAC;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;KALNIK;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;KAPELA;25;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;KLOŠTAR PODRAVSKI;5;7;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;KONÈANICA;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;KOPRIVNIÈKI BREGI;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;KOPRIVNIÈKI IVANEC;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;LEGRAD;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;MOLVE;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;NOVA RAÈA;13;74;20;20;20;0;0;0;0;1;19;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;NOVIGRAD PODRAVSKI;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;NOVO VIRJE;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;PETERANEC;3;2;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
XII. IZBORNA JEDINICA;2;PODRAVSKE SESVETE;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;PRESEKA;14;2;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
XII. IZBORNA JEDINICA;2;RAKOVEC;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;RASINJA;14;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;ROVIŠÆE;12;9;3;3;3;0;0;0;0;0;3;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;SEVERIN;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;SIRAÈ;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;SOKOLOVAC;14;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;SVETI IVAN ŽABNO;19;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;SVETI PETAR OREHOVEC;14;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;ŠANDROVAC;7;26;7;7;7;0;0;0;0;0;7;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;ŠTEFANJE;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;VELIKA PISANICA;9;71;20;20;20;0;0;0;0;0;20;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;VELIKA TRNOVITICA;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;VELIKI GRÐEVAC;11;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;VELIKO TROJSTVO;12;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;VIRJE;10;8;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;ZRINSKI TOPOLOVAC;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;ÈAKOVEC;30;140;17;17;17;0;0;0;1;1;13;0;0;0;0;2;0;0
XII. IZBORNA JEDINICA;3;DONJA STUBICA;11;11;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
XII. IZBORNA JEDINICA;3;IVANEC;34;15;5;5;4;1;0;0;0;0;4;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;KLANJEC;9;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;KRAPINA;15;40;11;11;11;0;0;0;0;0;7;0;0;3;0;0;0;1
XII. IZBORNA JEDINICA;3;LEPOGLAVA;18;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;LUDBREG;13;35;2;2;2;0;0;0;0;1;1;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;MURSKO SREDIŠÆE;7;46;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
XII. IZBORNA JEDINICA;3;NOVI MAROF;30;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;OROSLAVJE;7;10;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;PREGRADA;13;25;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;PRELOG;12;29;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;VARAŽDIN;48;166;17;17;17;0;0;1;0;2;10;0;0;0;0;0;0;4
XII. IZBORNA JEDINICA;3;VARAŽDINSKE TOPLICE;21;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;ZABOK;15;31;8;8;8;0;0;1;1;0;3;0;0;0;0;0;0;3
XII. IZBORNA JEDINICA;3;ZLATAR;17;9;4;4;4;0;0;0;0;0;3;0;1;0;0;0;0;0
XII. IZBORNA JEDINICA;3;BEDEKOVÈINA;13;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;BEDNJA;13;8;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;BELICA;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;BERETINEC;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;BREZNICA;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;BREZNIÈKI HUM;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;BUDINŠÈINA;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;CESTICA;12;39;3;3;3;0;1;0;0;2;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;DEKANOVEC;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;DESINIÆ;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;DOMAŠINEC;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;DONJA DUBRAVA;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;DONJA VOÆA;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;DONJI KRALJEVEC;8;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;DONJI VIDOVEC;2;3;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;ÐURMANEC;12;14;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
XII. IZBORNA JEDINICA;3;GORIÈAN;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;GORNJA STUBICA;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;GORNJI KNEGINEC;7;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;GORNJI MIHALJEVEC;7;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;HRAŠÆINA;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;HUM NA SUTLI;8;91;4;4;3;1;1;0;0;0;1;0;0;0;1;0;0;0
XII. IZBORNA JEDINICA;3;JALŽABET;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;JESENJE;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;KLENOVNIK;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;KONJŠÈINA;17;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;KOTORIBA;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;KRALJEVEC NA SUTLI;4;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;KRAPINSKE TOPLICE;11;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;KUMROVEC;9;25;4;4;3;1;0;0;0;0;0;0;3;0;0;0;0;0
XII. IZBORNA JEDINICA;3;LOBOR;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
