Izborna jedinica;Izborna jedinica grada / opæine;Grad / opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi; Kandidat: IDRIZ BEŠIÆ,  Predlagatelj: NEOVISNI KANDIDAT  ;Kandidat: ÐEMAL BRATIÆ , Predlagatelj: DEMOKRATSKI SAVEZ BOŠNJAKA SLAVONIJE I BARANJE - DSBSB ;Kandidat: NEDŽAD HODŽIÆ, dipl.ing. , Predlagatelj: BOŠNJAÈKA DEMOKRATSKA STRANKA HRVATSKE - BDSH  ;Kandidat: PAŠK KAÈINARI, Predlagatelj: , SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS ;Kandidat: ERMINA LEKAJ PRLJASKAJ, Predlagatelj: UNIJA ZAJEDNICA ALBANACA U REPUBLICI HRVATSKOJ ;Kandidat: DŽELJALJ MALIÆI  , Predlagatelj: NACIONALNI DEMOKRATI - ND;Kandidat: ANGEL MITREVSKI, dipl.ing., Predlagatelj: ZAJEDNICA MAKEDONACA U REPUBLICI HRVATSKOJ;Kandidat: NIKOLLE PREKPALAJ, Predlagatelj: UDRUGA ALBANACA ZADARSKE ŽUPANIJE - UAZŽ  ;Kandidat: IBRAHIM RUŽNIÆ, prof., Predlagatelj: BOŠNJAÈKA NACIONALNA ZAJEDNICA HRVATSKE ;Kandidat: IDRIS SULEJMANI, Predlagatelj: UDRUGA GRAÐANA ALBANSKE NACIONALNE MANJINE GRADA POREÈA I POREŠTINE - UDRUGA ALBANSKE NACIONALNE MANJINE POREŠTINE;Kandidat: SULEJMAN TABAKOVIÆ, Predlagatelj: NEOVISNI KANDIDAT ;Kandidat: prof.dr.sc. ŠEMSO TANKOVIÆ, Predlagatelj: STRANKA DEMOKRATSKE AKCIJE HRVATSKE - SDA HRVATSKE
XII. IZBORNA JEDINICA;3;VELIKI BUKOVEC;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;VELIKO TRGOVIŠÆE;11;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;VIDOVEC;6;6;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
XII. IZBORNA JEDINICA;3;VINICA;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;VISOKO;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;VRATIŠINEC;3;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;ZAGORSKA SELA;7;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;3;ZLATAR BISTRICA;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;BELI MANASTIR;12;141;4;4;4;0;0;2;1;0;0;0;0;1;0;0;0;0
XII. IZBORNA JEDINICA;4;BELIŠÆE;15;22;2;2;2;0;0;0;0;1;0;0;0;0;0;0;1;0
XII. IZBORNA JEDINICA;4;DONJI MIHOLJAC;10;38;2;2;2;0;0;0;0;0;1;0;0;0;0;0;1;0
XII. IZBORNA JEDINICA;4;ÐAKOVO;37;52;3;3;3;0;0;0;0;0;2;0;0;0;0;0;0;1
XII. IZBORNA JEDINICA;4;NAŠICE;27;48;9;9;9;0;3;1;1;1;3;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;ORAHOVICA;11;18;5;5;5;0;0;0;0;0;5;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;OSIJEK;110;566;62;61;60;1;9;7;3;1;24;0;8;0;0;0;2;6
XII. IZBORNA JEDINICA;4;SLATINA;23;60;8;8;8;0;0;0;0;2;4;0;0;2;0;0;0;0
XII. IZBORNA JEDINICA;4;VALPOVO;17;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;VIROVITICA;24;59;5;5;5;0;0;0;1;0;4;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;ANTUNOVAC;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;BILJE;6;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;BIZOVAC;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;CRNAC;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;ÈAÈINCI;8;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;ÈAÐAVICA;8;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;ÈEMINAC;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;ÈEPIN;14;15;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;DARDA;6;52;6;6;5;1;0;0;3;0;0;0;1;0;0;0;0;1
XII. IZBORNA JEDINICA;4;DONJA MOTIÈINA;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;DRAŽ;6;6;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
XII. IZBORNA JEDINICA;4;DRENJE;11;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;ÐURÐENOVAC;15;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;ERDUT;10;22;2;2;2;0;0;0;1;0;0;0;1;0;0;0;0;0
XII. IZBORNA JEDINICA;4;ERNESTINOVO;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;FERIÈANCI;5;5;3;3;3;0;0;0;0;0;3;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;GORJANI;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;GRADINA;12;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;JAGODNJAK;3;9;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
XII. IZBORNA JEDINICA;4;KNEŽEVI VINOGRADI;8;30;4;4;4;0;0;0;0;0;0;0;3;0;1;0;0;0
XII. IZBORNA JEDINICA;4;KOŠKA;10;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;LEVANJSKA VAROŠ;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;LUKAÈ;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;MAGADENOVAC;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;MARIJANCI;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;MIKLEUŠ;3;2;2;2;2;0;0;0;0;1;0;0;1;0;0;0;0;0
XII. IZBORNA JEDINICA;4;NOVA BUKOVICA;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;PETLOVAC;6;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;PETRIJEVCI;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;PITOMAÈA;19;22;5;5;5;0;5;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;PODGORAÈ;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;PODRAVSKA MOSLAVINA;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;POPOVAC;3;34;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;PUNITOVCI;3;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
XII. IZBORNA JEDINICA;4;SATNICA ÐAKOVAÈKA;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;SEMELJCI;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;SOPJE;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;STRIZIVOJNA;3;7;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;SUHOPOLJE;19;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;ŠODOLOVCI;6;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;ŠPIŠIÆ BUKOVICA;8;2;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;TRNAVA;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;VILJEVO;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;VIŠKOVCI;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;VLADISLAVCI;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;VOÆIN;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;VUKA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;4;ZDENCI;9;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;ILOK;7;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;KUTJEVO;21;13;3;3;3;0;0;0;0;0;3;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;LIPIK;16;23;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
XII. IZBORNA JEDINICA;5;NOVA GRADIŠKA;14;39;4;4;4;0;0;0;0;0;3;0;0;1;0;0;0;0
XII. IZBORNA JEDINICA;5;OTOK;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;PAKRAC;23;37;4;4;4;0;0;0;0;0;0;0;1;3;0;0;0;0
XII. IZBORNA JEDINICA;5;PLETERNICA;36;14;2;2;2;0;1;0;0;0;1;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;POŽEGA;48;72;3;3;3;0;0;0;0;0;0;0;1;2;0;0;0;0
XII. IZBORNA JEDINICA;5;SLAVONSKI BROD;60;120;26;26;24;2;10;0;6;0;3;0;0;0;0;0;2;3
XII. IZBORNA JEDINICA;5;VINKOVCI;33;131;21;21;21;0;10;0;0;0;9;0;1;0;0;0;0;1
XII. IZBORNA JEDINICA;5;VUKOVAR;16;212;4;4;4;0;1;0;0;0;2;0;1;0;0;0;0;0
XII. IZBORNA JEDINICA;5;ŽUPANJA;9;41;9;9;9;0;6;0;3;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;ANDRIJAŠEVCI;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;BABINA GREDA;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;BEBRINA;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;BOGDANOVCI;3;81;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;BOROVO;5;12;2;2;2;0;0;0;0;0;0;1;1;0;0;0;0;0
XII. IZBORNA JEDINICA;5;BOŠNJACI;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;BRESTOVAC;17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;BRODSKI STUPNIK;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;BUKOVLJE;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;CERNA;5;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;CERNIK;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;ÈAGLIN;22;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;DAVOR;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;DONJI ANDRIJEVCI;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;DRAGALIÆ;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;DRENOVCI;6;295;159;159;159;0;92;0;48;0;0;0;0;0;0;0;0;19
XII. IZBORNA JEDINICA;5;GARÈIN;9;2;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;GORNJA VRBA;5;8;7;7;7;0;0;0;0;0;7;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;GORNJI BOGIÆEVCI;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;GRADIŠTE;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;GUNDINCI;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;GUNJA;4;747;500;500;496;4;343;0;124;1;1;0;0;0;0;0;1;26
XII. IZBORNA JEDINICA;5;IVANKOVO;6;15;3;3;3;0;0;0;0;0;3;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;JAKŠIÆ;13;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;JARMINA;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;KAPTOL;11;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;KLAKAR;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;LOVAS;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;MARKUŠICA;6;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;NEGOSLAVCI;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;NIJEMCI;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;NOVA KAPELA;14;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;NUŠTAR;5;56;13;13;11;2;0;0;0;0;11;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;OKUÈANI;6;6;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;OPRISAVCI;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;ORIOVAC;11;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;PODCRKAVLJE;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;PRIVLAKA;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;REŠETARI;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;SIBINJ;12;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;SIKIREVCI;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;SLAVONSKI ŠAMAC;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;STARA GRADIŠKA;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;STARI JANKOVCI;5;3;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
XII. IZBORNA JEDINICA;5;STARI MIKANOVCI;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;STARO PETROVO SELO;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;ŠTITAR;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;TOMPOJEVCI;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;TORDINCI;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;TOVARNIK;4;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;TRPINJA;7;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;VELIKA;17;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;VELIKA KOPANICA;9;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;VOÐINCI;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;VRBANJA;6;14;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;VRBJE;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;5;VRPOLJE;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;GLINA;20;30;4;4;4;0;0;0;1;0;2;0;0;0;0;0;0;1
XII. IZBORNA JEDINICA;6;HRVATSKA KOSTAJNICA;8;13;6;6;6;0;2;0;3;0;0;0;0;0;0;0;0;1
XII. IZBORNA JEDINICA;6;IVANIÆ-GRAD;21;96;23;23;23;0;0;0;0;8;11;2;1;0;0;0;0;1
XII. IZBORNA JEDINICA;6;KUTINA;39;118;32;32;32;0;0;0;2;0;19;0;0;1;0;0;0;10
XII. IZBORNA JEDINICA;6;NOVSKA;20;32;9;9;9;0;0;0;0;0;9;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;PETRINJA;35;119;39;39;37;2;6;2;9;0;6;1;0;0;0;0;0;13
XII. IZBORNA JEDINICA;6;SISAK;70;536;305;305;299;6;20;2;161;0;12;2;0;0;5;0;7;90
XII. IZBORNA JEDINICA;6;VELIKA GORICA;68;321;96;96;96;0;3;0;64;3;14;0;0;0;2;1;1;8
XII. IZBORNA JEDINICA;6;ZAGREB-JUGOISTOK;96;1.434;371;370;367;3;73;4;77;4;23;10;7;13;5;8;12;131
XII. IZBORNA JEDINICA;6;DONJI KUKURUZARI;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;DVOR;12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;GVOZD;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;HRVATSKA DUBICA;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;JASENOVAC;10;4;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;KLOŠTAR IVANIÆ;13;37;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;KRAVARSKO;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;KRIŽ;19;22;3;3;3;0;0;0;0;0;2;0;0;0;0;0;0;1
XII. IZBORNA JEDINICA;6;LEKENIK;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;LIPOVLJANI;6;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;MAJUR;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;MARTINSKA VES;17;4;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
XII. IZBORNA JEDINICA;6;ORLE;6;11;10;10;10;0;0;0;10;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;POKUPSKO;13;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;POPOVAÈA;19;36;4;4;4;0;0;0;1;0;3;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;RUGVICA;14;10;3;3;3;0;0;0;3;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;SUNJA;22;13;6;6;6;0;0;0;5;0;0;0;0;0;0;0;0;1
XII. IZBORNA JEDINICA;6;TOPUSKO;8;21;6;6;6;0;2;0;0;0;0;0;0;0;0;0;0;4
XII. IZBORNA JEDINICA;6;VELIKA LUDINA;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;BAKAR;8;52;10;10;9;1;0;0;2;0;6;0;0;0;0;0;1;0
XII. IZBORNA JEDINICA;7;ÈABAR;5;56;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;DELNICE;7;48;10;10;10;0;0;0;0;1;8;0;1;0;0;0;0;0
XII. IZBORNA JEDINICA;7;DUGA RESA;25;32;4;4;4;0;0;0;0;0;2;0;0;0;1;0;1;0
XII. IZBORNA JEDINICA;7;JASTREBARSKO;49;34;7;7;7;0;3;0;0;1;3;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;KARLOVAC;92;297;78;75;74;1;10;0;2;2;42;0;1;2;1;2;3;9
XII. IZBORNA JEDINICA;7;KASTAV;7;141;53;53;53;0;2;0;19;0;25;0;1;0;3;0;0;3
XII. IZBORNA JEDINICA;7;NOVI VINODOLSKI;12;56;19;19;19;0;0;0;0;0;19;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;OGULIN;22;56;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
XII. IZBORNA JEDINICA;7;OZALJ;27;19;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
XII. IZBORNA JEDINICA;7;SAMOBOR;80;163;22;20;19;1;1;0;4;6;5;0;1;0;0;1;0;1
XII. IZBORNA JEDINICA;7;SLUNJ;12;41;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;SVETA NEDELJA;17;42;6;6;6;0;0;1;2;0;0;0;0;0;0;0;0;3
XII. IZBORNA JEDINICA;7;VRBOVSKO;12;24;5;5;5;0;2;0;0;0;2;0;0;0;0;0;0;1
XII. IZBORNA JEDINICA;7;ZAGREB-JUŽNI DIO;116;1.224;304;303;300;3;37;2;70;9;69;2;8;8;14;4;6;71
XII. IZBORNA JEDINICA;7;BARILOVIÆ;12;5;4;4;4;0;3;0;0;0;0;0;0;0;0;0;0;1
XII. IZBORNA JEDINICA;7;BOSILJEVO;4;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;BROD MORAVICE;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;CETINGRAD;3;59;26;26;26;0;4;0;3;0;0;0;0;0;1;0;3;15
XII. IZBORNA JEDINICA;7;ÈAVLE;7;62;6;6;6;0;0;0;1;0;4;0;0;0;1;0;0;0
XII. IZBORNA JEDINICA;7;DRAGANIÆ;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;FUŽINE;3;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;GENERALSKI STOL;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;JELENJE;9;35;6;6;6;0;1;0;0;0;3;0;0;0;0;0;0;2
XII. IZBORNA JEDINICA;7;JOSIPDOL;11;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;KAMANJE;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;KLANA;6;12;7;7;7;0;0;0;0;1;4;1;0;0;0;0;0;1
XII. IZBORNA JEDINICA;7;KLINÈA SELA;16;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
XII. IZBORNA JEDINICA;7;KRAŠIÆ;13;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;KRNJAK;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;LASINJA;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;LOKVE;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;MRKOPALJ;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;NETRETIÆ;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;PISAROVINA;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;PLAŠKI;3;4;2;2;2;0;0;0;0;0;0;0;1;0;0;0;0;1
XII. IZBORNA JEDINICA;7;RAKOVICA;5;8;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2
XII. IZBORNA JEDINICA;7;RAVNA GORA;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;RIBNIK;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;SABORSKO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;SKRAD;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;STUPNIK;3;12;6;6;6;0;0;0;2;0;0;0;0;3;0;0;0;1
XII. IZBORNA JEDINICA;7;TOUNJ;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;7;VINODOLSKA OPÆINA;5;18;3;3;3;0;0;0;0;0;3;0;0;0;0;0;0;0
