Izborna jedinica;Grad / opæina;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  IVAN CVETKOVIÆ, dr.vet.med.;AKCIJA MLADIH - AM  , Nositelj liste:  MARIO ALEMPIJEVIÆ  ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU  , Nositelj liste:  EMIL-FRANJO MARKANOVIÆ, dr.med.;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  MARIJAN VIDOVIÆ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ;DEMOKRATSKA STRANKA SLAVONSKE RAVNICE - SLAVONSKA RAVNICA  , Nositelj liste:  SLAVKO VUKŠIÆ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR ;HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  prof.dr.sc. JOSIP JURÈEVIÆ ;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  DAVOR VLAOVIÆ, dipl.ing. ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR  ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  MIRKO DUSPARA ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ ;HRVATSKI DEMOKRATSKI SAVEZ SLAVONIJE I BARANJE - HDSSB  , Nositelj liste:  prof.dr.sc. VLADIMIR ŠIŠLJAGIÆ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  KREŠIMIR LANDEKA ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  JOSIP GRUBIŠIÆ ;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS  , Nositelj liste:  TOMISLAV POKROVAC;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  VLADO BUŠIÆ ;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad. ;ZELENA LISTA  , Nositelj liste:  DARKO STOŠIÆ ;ZELENA STRANKA - ZS  ,   Nositelj liste:  mr.sc. ALJOŠA BABIÆ ;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;NOVA GRADIŠKA;12;NOVA GRADIŠKA;"PROGNANIÈKO NASELJE ""KOVAÈEVAC""";UPRAVNA ZGRADA BB;638;319;319;314;5;0;1;2;1;8;1;2;113;1;19;5;13;10;30;9;0;2;0;94;0;2;0;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;NOVA GRADIŠKA;13;NOVA GRADIŠKA;PODRUÈNA ŠKOLA LJUPINA;LJUPINA;910;499;488;476;12;0;1;1;1;8;3;1;193;1;48;5;2;7;97;5;4;1;0;94;2;0;2;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;NOVA GRADIŠKA;14;NOVA GRADIŠKA;DRUŠTVENI DOM PRVÈA;PRVÈA BB;720;405;405;394;11;0;0;1;1;4;0;1;107;3;25;8;14;9;52;12;0;2;3;147;0;1;4;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;OTOK;1;OTOK;ZGRADA GRADSKE UPRAVE;B.JELAÈIÆA 22;1.114;732;730;719;11;0;8;1;2;9;4;6;329;1;21;23;3;11;54;13;3;0;3;223;0;2;3;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;OTOK;2;OTOK;OPÆA POLJPRIVREDNA ZADRUGA OTOK;B.JELAÈIÆA 17;1.138;704;704;686;18;0;3;3;1;7;1;3;338;2;14;18;5;14;60;9;1;1;1;201;0;1;2;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;OTOK;3;OTOK;DOM ZDRAVLJA OTOK, AMBULANTA OTOK;K.P.KREŠIMIRA IV BR. 1;1.324;795;795;781;14;7;0;1;6;10;2;5;393;4;5;25;13;26;57;13;2;4;1;203;1;1;0;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;OTOK;4;OTOK;ISPOSTAVA URED DRŽAVNE UPRAVE;V.NAZORA 1/I.;1.016;608;603;593;10;3;2;0;2;5;1;2;272;2;11;53;4;7;49;6;1;2;0;168;0;3;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;OTOK;5;KOMLETINCI;ZGRADA MJESNOG ODBORA - KOMLETINCI;B.RADIÆA 19;803;460;460;447;13;3;1;1;0;4;0;3;238;3;12;16;6;18;61;7;1;1;3;65;2;0;1;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;OTOK;6;KOMLETINCI;"OŠ ""V.NAZOR"" KOMLETINCI";B.RADIÆA 17;712;429;429;423;6;0;2;1;1;7;1;2;227;2;12;6;9;7;56;3;3;1;0;81;1;1;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PAKRAC;1;OSNOVNA ŠKOLA;BADLJEVINA;TRG DR. FRANJE TUÐMANA 4;717;411;411;400;11;1;4;4;0;13;1;1;205;0;12;10;7;5;24;4;2;0;2;100;0;0;4;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PAKRAC;2;DRUŠTVENI DOM;OMANOVAC;OMANOVAC 92;139;75;75;72;3;0;1;0;1;4;0;0;38;0;1;0;4;2;2;2;0;0;0;15;0;0;2;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PAKRAC;3;DRUŠTVENI DOM;ŠPANOVICA;ŠPANOVICA BB;67;21;21;20;1;0;0;0;1;2;1;1;2;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PAKRAC;4;DRUŠTVENI DOM;NOVI MAJUR;NOVI MAJUR 12;83;68;68;65;3;1;0;1;0;2;1;0;25;1;3;0;7;0;7;2;0;0;0;13;0;2;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PAKRAC;5;DRUŠTVENI DOM;STARI MAJUR;STARI MAJUR 12A;23;15;15;15;0;0;0;0;0;3;0;1;6;0;0;0;0;1;1;0;0;0;0;2;0;1;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PAKRAC;6;OSNOVNA ŠKOLA;PREKOPAKRA;A. STARÈEVIÆA 23;929;605;605;601;4;1;3;2;5;13;3;4;264;3;7;8;18;12;52;12;1;0;0;191;0;0;2;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PAKRAC;7;OSNOVNA ŠKOLA;BATINJANI;BATINJANI 53;67;39;39;38;1;0;0;1;0;2;0;0;11;1;0;0;0;0;2;0;0;0;0;20;1;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PAKRAC;8;OSNOVNA ŠKOLA;DONJA OBRIJEŽ;DONJA OBRIJEŽ BB;199;150;150;147;3;3;0;4;0;3;0;1;74;1;5;0;5;1;10;8;0;0;1;30;0;1;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PAKRAC;9;DRUŠTVENI DOM;PLOŠTINE;PLOŠTINE 54;99;66;66;64;2;0;0;1;0;0;0;0;29;0;0;0;1;1;4;0;0;0;2;26;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PAKRAC;10;PRIVATNA KUÆA;KAPETANOVO POLJE;KAPETANOVO POLJE 3;38;17;17;17;0;0;0;0;0;7;1;0;0;0;2;0;0;0;0;0;0;0;0;7;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PAKRAC;11;DRUŠTVENI DOM;VELIKI BANOVAC;VELIKI BANOVAC 18;227;133;133;131;2;0;0;1;0;1;0;0;76;1;3;1;2;0;4;1;0;0;2;37;0;1;1;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PAKRAC;12;PRIVATNA KUÆA;TORANJ;TORANJ 96;72;34;34;33;1;1;0;1;0;0;0;7;0;0;5;0;1;0;4;0;0;0;0;14;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PAKRAC;13;DRUŠTVENI DOM;KRAGUJ;KRAGUJ 28;25;20;20;20;0;0;0;0;0;0;0;0;1;0;2;0;1;0;0;0;1;0;0;15;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PAKRAC;14;"DJEÈJI VRTIÆ ""MASLAÈAK""";PAKRAC;MATICE HRVATSKE 13B;682;383;383;375;8;2;2;2;0;9;1;2;137;1;3;6;7;3;13;12;0;2;4;169;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PAKRAC;15;OSNOVNA ŠKOLA (NOVA);PAKRAC;BOLNIÈKA 55;796;523;523;509;14;0;3;3;0;18;0;1;190;7;6;5;12;6;16;26;3;0;1;205;0;1;1;5;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PAKRAC;16;HCK - HRVATSKI CRVENI KRIŽ;PAKRAC;BRAÆE RADIÆA 13;544;365;364;358;6;0;1;2;0;21;1;3;112;3;4;7;12;4;10;18;1;1;1;151;1;2;1;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PAKRAC;17;GLAZBENA ŠKOLA;PAKRAC;TRG BANA J. JELAÈIÆA 1;788;498;498;486;12;3;4;2;1;21;1;2;149;5;5;9;5;9;21;16;5;1;2;217;1;1;3;3;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PAKRAC;18;SREDNJA ŠKOLA (PEDAGOŠKA);PAKRAC;ALEJA KESTENOVA 37;695;444;444;436;8;1;3;10;2;7;1;2;172;3;7;6;13;7;24;15;0;0;0;158;2;0;1;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PAKRAC;19;PODUZETNIÈKI CENTAR PAKRAC;PAKRAC;ZONE MALE PRIVREDE 5;295;170;170;166;4;3;0;1;1;11;1;0;58;0;0;5;5;5;8;1;1;1;0;64;0;0;1;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PAKRAC;20;"URED ""TRIGLAV OSIGURANJE""";PAKRAC;TRG KRALJA TOMISLAVA 73 (UROŠEVAC);288;158;158;155;3;1;2;1;3;5;1;1;47;1;2;6;3;1;5;4;0;0;0;68;1;2;1;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PAKRAC;21;DRUŠTVENI DOM;ŠUMETLICA;ŠUMETLICA BB;28;17;17;14;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PAKRAC;22;"LOVAÈKA KUÆA LD ""KOŠUTA""";BRANEŠCI;BRANEŠCI 3;118;30;30;29;1;2;0;1;0;2;0;1;3;1;0;0;1;0;1;2;0;0;0;13;0;0;1;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PAKRAC;23;PRIVATNA KUÆA;KUSONJE;TRG A. STARÈEVIÆA 2;186;117;117;115;2;3;0;0;1;2;0;2;23;0;1;2;3;2;2;1;0;0;0;70;1;2;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;1;GRADSKA VIJEÆNICA;PLETERNICA;IVANA ŠVEARA 2;560;388;388;384;4;0;0;1;0;4;1;4;169;3;4;9;0;7;45;8;0;0;1;125;2;0;1;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;2;VATROGASNI DOM;PLETERNICA;S. RADIÆA 2;938;585;585;579;6;2;3;4;1;28;1;2;251;11;16;4;11;14;81;10;2;1;2;130;0;3;1;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;3;"""TOFRADO"" (BIVŠI ""OROPLET"")";PLETERNICA;V. NAZORA 7;565;343;343;342;1;0;0;0;0;12;2;3;115;1;4;8;5;9;32;10;0;1;2;135;0;0;2;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;4;PRIVATNA KUÆA NEDILJKA BUŠIÆA;PLETERNICA;E. PODUPSKOG 20;566;403;403;400;3;0;3;4;1;8;3;1;141;1;12;1;6;21;86;2;0;0;0;110;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;5;"KUD ""ORLJAVA""";PLETERNICA;B. J. JELAÈIÆA 25;482;294;294;289;5;2;0;0;1;9;3;4;116;1;2;3;3;10;42;5;1;0;0;87;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;6;OSNOVNA ŠKOLA;KUZMICA;KUZMICA BB;650;425;425;421;4;1;2;1;1;13;3;1;170;1;8;7;20;9;71;7;4;1;3;97;0;0;1;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;7;PRIVATNA KUÆA FRANJE GRBEŠA;VIŠKOVCI;VIŠKOVCI 16;233;149;149;148;1;0;1;0;2;6;1;0;45;2;1;0;1;4;33;1;2;1;7;38;0;0;3;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;8;SEOSKI DOM;BLACKO;BLACKO BB;206;133;133;128;5;0;0;1;0;7;1;0;53;0;3;0;3;5;17;2;1;0;0;32;0;0;0;3;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;9;SEOSKI DOM;TRAPARI;TRAPARI BB;153;95;95;94;1;0;0;1;0;8;1;0;24;2;9;0;5;2;18;0;0;0;0;24;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;10;PRIVATNA KUÆA MARKA MEŠTROVIÆA;NOVOSELCI;NOVOSELCI 69;170;122;122;120;2;0;0;0;2;3;2;1;43;0;3;0;0;8;19;1;0;1;1;36;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;11;VATROGASNI DOM;LAKUŠIJA;LAKUŠIJA BB;70;31;31;31;0;0;0;1;0;1;0;0;10;0;1;1;0;2;4;0;0;0;0;11;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;12;VATROGASNI DOM;SESVETE;SESVETE BB;119;85;85;84;1;0;0;1;0;1;0;0;23;0;1;0;7;3;13;1;1;0;1;32;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;13;PRIVATNA KUÆA ZDRAVKA VIDE;ÆOSINAC;ÆOSINAC 19;30;23;23;23;0;0;0;0;0;0;0;1;6;0;0;0;0;0;3;1;0;0;0;12;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;14;SEOSKI DOM;SULKOVCI;SULKOVCI BB;512;304;304;296;8;1;1;3;1;3;0;2;139;1;2;2;0;2;35;2;0;2;1;98;0;1;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;15;SEOSKI DOM;BRESNICA;BRESNICA BB;201;138;138;136;2;0;0;0;1;2;5;0;43;1;6;0;2;1;19;2;5;0;1;46;0;1;0;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;16;SEOSKI DOM;BZENICA;BZENICA BB;100;65;65;65;0;0;0;0;0;1;0;0;23;0;1;0;1;0;7;4;0;0;8;20;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;17;VATROGASNI DOM;POŽEŠKA KOPRIVNICA;POŽEŠKA KOPRIVNICA BB;247;139;139;138;1;0;1;0;0;1;1;0;54;0;5;3;2;3;5;2;1;1;0;55;0;2;2;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;18;SEOSKI DOM;KOMORICA;KOMORICA BB;157;112;112;111;1;0;0;0;0;2;2;0;51;0;13;2;0;5;1;0;0;2;0;31;0;2;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;19;PROSTOR STARE POŠTE;RATKOVICA;RATKOVICA BB;233;171;147;145;2;0;1;2;1;3;6;1;65;0;5;0;2;0;11;2;1;0;0;44;0;1;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;20;PROSTOR STARE AMBULANTE;BRODSKI DRENOVAC;BRODSKI DRENOVAC BB;688;353;353;346;7;3;3;0;2;2;5;0;196;0;4;2;2;9;20;2;0;0;2;89;3;0;0;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;21;VATROGASNI DOM;BUÈJE;BUÈJE BB;250;173;173;168;5;0;1;0;1;3;6;1;111;2;3;3;2;3;10;5;0;0;0;17;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;22;SEOSKI DOM;ZAGRAÐE;ZAGRAÐE BB;406;288;288;283;5;0;0;0;0;4;0;0;162;1;9;1;1;6;37;5;0;1;0;54;2;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;23;SEOSKI DOM;BILICE;BILICE BB;152;83;83;81;2;0;0;0;1;1;2;4;29;2;3;0;5;1;12;1;0;0;0;20;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;24;PRIVATNA KUÆA MIJE KOVAÈEVIÆA;BRÐANI;BRÐANI 34;43;26;26;26;0;0;0;0;0;0;0;0;18;0;0;0;1;1;1;0;0;0;0;5;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;25;OSNOVNA ŠKOLA;GRADAC;S. RADIÆA BB;828;531;531;524;7;0;1;1;0;9;8;3;207;0;8;2;26;14;90;5;1;0;0;148;1;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;26;SEOSKI DOM;AŠIKOVCI;AŠIKOVCI BB;74;54;54;54;0;0;0;0;0;2;1;0;10;0;4;0;1;1;10;1;1;0;0;23;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;27;SEOSKI DOM;ZARILAC;ZARILAC BB;150;113;113;112;1;0;0;0;0;0;0;0;38;0;1;1;1;2;34;0;0;0;0;35;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;28;VATROGASNI DOM;KNEŽCI;KNEŽCI BB;51;48;48;48;0;0;0;0;0;0;1;0;24;0;1;0;0;0;10;0;0;0;0;12;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;29;VATROGASNI DOM;BUK;BUK BB;527;353;353;347;6;0;2;0;1;9;1;3;108;0;25;7;7;18;62;3;9;2;0;89;0;0;0;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;30;SEOSKI DOM;KALINIÆ;KALINIÆ BB;53;38;38;37;1;1;1;0;0;1;1;0;17;0;3;0;0;6;5;0;0;0;0;2;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;31;PRIVATNA KUÆA KATE LOMBAR;PLETERNIÈKI MIHALJEVCI;PLETERNIÈKI MIHALJEVCI 29;13;8;8;8;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;32;PRIVATNA KUÆA STJEPANA VUKAŠINOVIÆA;TULNIK;TULNIK 43;20;17;17;17;0;0;0;0;1;0;0;0;6;1;0;1;0;0;0;0;0;0;0;8;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;33;PRIVATNA KUÆA ŽELJKA ÈIÈKOVIÆA;MALI BILAÈ;MALI BILAÈ 15;15;14;14;14;0;0;0;0;0;0;0;0;10;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;34;PRIVATNA KUÆA ANTE BARIŠIÆA, DVORANA;VESELA;VESELA 4;145;93;93;92;1;0;0;0;0;5;0;0;47;2;1;4;4;5;12;1;0;2;0;9;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;35;PRIVATNA KUÆA MATE KOVAÈEVIÆA;POLOJE;POLOJE 6;55;36;36;35;1;0;1;0;0;1;0;0;13;0;1;0;0;0;10;2;0;1;1;5;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;PLETERNICA;36;OSNOVNA ŠKOLA;FRKLJEVCI;FRKLJEVCI BB;467;324;324;322;2;1;5;3;0;7;1;1;149;2;4;1;1;4;27;1;0;1;2;109;0;1;0;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;1;"ARSLANOVCI I, Š.D. ""GRABRIK""";POŽEGA;ANTUNA KANIŽLIÆA 14A;540;351;351;348;3;0;0;2;0;15;1;1;72;2;2;10;3;3;39;15;3;3;0;174;1;0;2;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;2;ARSLANOVCI II, PRIVATNA KUÆA MARICE MARTINOVIÆ;POŽEGA;ARSLANOVCI 23;838;540;540;534;6;3;1;6;2;11;2;1;184;1;8;14;6;12;50;16;6;4;1;198;3;0;2;3;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;3;ARSLANOVCI III, PRIVATNA KUÆA MATE JURILJA;POŽEGA;VRANDUK 57;467;262;262;257;5;0;0;3;2;9;1;1;86;1;1;4;6;2;26;8;1;1;0;101;1;1;1;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;4;"ARSLANOVCI IV, TRGOVINA ""INLES""";POŽEGA;DUBROVAÈKA 115;700;430;430;430;0;0;0;3;0;21;1;4;126;2;7;6;2;9;50;15;5;7;5;162;2;3;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;5;CENTAR I, ZGRADA VELEUÈILIŠTA;POŽEGA;VUKOVARSKA 17;957;629;629;624;5;3;1;3;0;20;3;2;152;0;9;20;6;12;68;18;6;3;5;281;4;4;2;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;6;CENTAR II, KATOLIÈKA GIMNAZIJA;POŽEGA;PAPE IVANA PAVLA II 6;364;251;251;249;2;0;1;0;1;14;0;2;58;0;4;4;4;2;37;3;1;1;1;111;2;1;2;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;7;CENTAR III I GAREVICA, OŠ DOBRIŠE CESARIÆA;POŽEGA;SLAVONSKA 8;1.238;830;830;823;7;1;1;2;3;27;4;2;252;2;10;15;16;18;85;26;10;2;3;337;4;1;0;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;8;"CENTAR IV, ""CROATIA"" D.D.";POŽEGA;REPUBLIKE HRVATSKE 1C;460;304;304;302;2;1;1;2;1;22;0;2;77;1;2;3;3;2;33;11;5;2;0;132;1;0;0;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;9;CENTAR V, GRADSKI MUZEJ;POŽEGA;MATICE HRVATSKE 1;1.240;814;814;804;10;1;4;2;1;26;1;5;199;2;6;11;17;15;85;39;7;0;2;365;3;3;4;6;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;10;"CIGLANE I, PROSTORIJE ""CARITASA"" - DJEÈJI VRTIÆ";POŽEGA;PAVLA RADIÆA 35;905;555;555;546;9;0;2;2;1;23;5;5;124;4;2;19;4;29;96;11;3;2;2;199;4;3;1;5;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;11;CIGLANE II, TENISKI KLUB;POŽEGA;PAVLA RADIÆA 2A;318;215;215;215;0;0;0;1;0;7;2;1;57;1;3;3;1;3;26;12;2;0;1;94;0;0;1;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;12;CIGLANE III, PRIVATNA KUÆA NENE SVJETLIÈIÆ;POŽEGA;FRANKOPANSKA 113;1.166;768;768;759;9;2;3;5;3;30;6;5;193;5;10;7;7;29;74;27;6;1;2;332;4;0;3;5;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;13;CIGLANE IV, PRIVATNA KUÆA TOME VUKOVIÆA;POŽEGA;EUGENA KVATERNIKA 92;1.120;675;675;665;10;2;3;0;3;24;4;2;231;4;5;9;20;21;82;21;8;4;1;211;2;3;2;3;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;14;ORLJAVA I, KAZNIONICA U POŽEGI;POŽEGA;OSJEÈKA 77;281;191;191;188;3;0;1;1;0;7;0;0;38;0;2;3;3;4;16;4;0;2;1;103;1;0;1;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;15;ORLJAVA II, GRADSKA KUGLANA;POŽEGA;OSJEÈKA 7;487;318;318;316;2;0;1;3;0;17;3;3;79;1;6;1;4;7;40;10;2;0;0;132;2;1;2;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;16;"ORLJAVA III, DJEÈJI VRTIÆI ""CVJETNA LIVADA""";POŽEGA;KRALJA KREŠIMIRA 32A;1.206;869;868;852;16;0;3;0;2;34;2;2;172;3;7;33;17;25;93;32;4;2;4;403;7;2;3;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;17;"ORLJAVA IV, ""HRVATSKE ŠUME""";POŽEGA;MILKE TRNINE 2;1.513;1.013;1.012;1.004;8;3;4;5;4;38;2;0;298;7;7;19;10;25;103;52;6;2;2;401;9;0;3;4;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;18;"TEKIJA I, JP ""TEKIJA""";POŽEGA;VODOVODNA 1;633;434;434;429;5;0;2;5;0;22;2;3;75;1;9;17;7;6;48;18;5;4;1;198;2;0;2;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;19;"TEKIJA II, JP ""TEKIJA""";POŽEGA;VODOVODNA 1;1.132;760;760;756;4;0;4;1;1;34;2;2;167;4;9;19;10;14;71;36;11;4;3;352;3;1;3;5;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;POŽEGA;20;"TEKIJA III, AUTO-ŠKOLA ""HERZ""";POŽEGA;SVETOG ROKA 2;951;633;633;627;6;0;0;2;1;21;1;3;133;3;7;14;7;20;65;24;3;2;2;314;0;1;4;0;;;;;;;;;;;;;;;;;
