Izborna jedinica;Grad / opæine;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  ,  Nositelj liste:  VLADIMIR PAVLETIÆ, dipl.ing.graditeljstva;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  ANTONIO BARNJAK;AKCIJA MLADIH - AM  , Nositelj liste:  IRENA PERIÆ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , SPLITSKA STRANKA UMIROVLJENIKA - SSU , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH  , Nositelj liste:  MATE BULJUBAŠIÆ ;AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS , SAVEZ ZA PROMJENE - SP  , Nositelj liste:  IVAN PERNAR;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  MIŠO VERAJA ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ ;DALMATINSKA LIBERALNA STRANKA - DLS  , Nositelj liste:  ANTE TEŠIJA;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ ;GLAS RAZUMA  , Nositelj liste:  STJEPAN RADILOVIÆ, dipl. organizator poslovanja ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ , HRVATSKA GRAÐANSKA STRANKA - HGS  , Nositelj liste:  JADRANKA KOSOR;HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  prof.dr.sc. JOSIP JURÈEVIÆ ;HRVATSKA SELJAÈKA STRANKA - HSS , ZELENA STRANKA - ZS , STRANKA PENZIONERA - SP  , Nositelj liste:  mr.sc. STIPO GABRIÆ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  VEDRAN UJEVIÆ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  MARTINA SUÈIÆ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. STIPISLAV JADRIJEVIÆ, dr.med.;NEOVISNA LISTA  , Nositelj liste:  STEVKO MARINKOVIÆ;NEOVISNA LISTA  , Nositelj liste:  JURICA TUCAK;NEOVISNA LISTA  , Nositelj liste:  NIKO VISKOVIÆ, dr.med. ;NEOVISNA LISTA  , Nositelj liste:  SINIŠA VUCO;NOVA HRVATSKA - NH  , Nositelj liste:  BORKO ŠAMIJA;OBITELJSKA STRANKA - OS  , Nositelj liste:  IVICA ŠKILJO  ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ;SOCIJALISTIÈKA PARTIJA HRVATSKE - SPH  , Nositelj liste:  dr.sc. SLOBODAN MARKO BEROŠ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  RANKO ADORIÆ;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad. ;VOLIM HRVATSKU - VH  , Nositelj liste:  ROKO ŠIKIÆ;ZELENA LISTA  , Nositelj liste:  IVICA SUMIÆ 
X. IZBORNA JEDINICA;MILNA;2;1.229;676;675;669;6;0;2;3;11;4;2;14;1;2;2;133;4;11;12;32;13;18;2;1;66;8;1;0;0;11;0;2;311;1;0;0;1;1
X. IZBORNA JEDINICA;MLJET;9;1.140;702;702;689;13;0;0;1;1;2;0;16;2;1;1;183;1;20;4;53;24;12;3;0;15;0;0;2;0;1;0;0;344;2;0;0;0;1
X. IZBORNA JEDINICA;NEREŽIŠÆA;3;883;657;654;637;17;1;1;1;7;4;1;9;2;5;0;185;6;29;8;32;11;12;2;0;60;6;0;0;1;0;1;0;247;2;1;0;0;3
X. IZBORNA JEDINICA;OREBIÆ;13;4.114;2.200;2.176;2.128;48;3;1;8;10;8;6;38;7;9;10;639;13;68;54;44;191;44;22;1;113;12;1;0;5;9;0;2;786;3;2;0;3;16
X. IZBORNA JEDINICA;PODBABLJE;8;4.485;2.554;2.554;2.499;55;1;0;8;2;8;2;28;3;1;7;1.314;18;247;18;65;269;22;103;1;69;3;0;9;0;5;0;1;289;2;0;0;3;1
X. IZBORNA JEDINICA;PODGORA;4;2.795;1.465;1.465;1.431;34;0;4;5;8;0;2;14;2;6;2;359;8;12;21;20;101;37;5;1;128;18;0;1;3;27;0;1;630;1;1;0;2;12
X. IZBORNA JEDINICA;PODSTRANA;5;7.406;3.868;3.865;3.813;52;1;7;15;13;9;7;80;7;10;6;1.290;39;38;121;155;335;114;58;3;549;44;0;3;2;37;0;6;835;2;1;2;8;16
X. IZBORNA JEDINICA;POJEZERJE;5;1.028;572;572;564;8;1;0;1;1;1;1;1;0;0;1;277;1;127;4;23;23;4;1;0;12;0;0;0;0;4;0;0;80;0;1;0;0;0
X. IZBORNA JEDINICA;POSTIRA;2;1.542;961;961;931;30;2;2;4;4;4;0;13;4;3;3;290;20;32;14;21;33;15;13;2;101;16;1;0;1;14;0;1;300;3;2;0;1;12
X. IZBORNA JEDINICA;PROLOŽAC;9;3.905;2.139;2.139;2.085;54;7;2;5;4;1;5;14;20;5;1;1.368;15;19;42;112;75;22;98;0;59;11;1;4;0;11;0;2;179;0;0;0;2;1
X. IZBORNA JEDINICA;PUÈIŠÆA;3;2.037;1.394;1.394;1.369;25;0;3;7;10;6;4;31;5;6;2;360;8;26;7;25;108;25;4;0;131;11;1;0;1;10;1;0;556;3;3;1;0;14
X. IZBORNA JEDINICA;RUNOVIÆI;8;2.462;1.297;1.296;1.268;28;2;1;2;8;5;1;15;1;2;6;740;12;103;12;33;72;11;43;3;46;2;0;40;0;6;1;1;98;1;0;0;0;1
X. IZBORNA JEDINICA;SELCA;4;1.979;1.160;1.158;1.133;25;0;3;10;12;6;7;21;8;3;3;189;10;72;11;19;47;16;4;0;114;14;0;2;0;8;2;4;539;1;0;1;2;5
X. IZBORNA JEDINICA;SLIVNO;10;1.877;1.177;1.176;1.150;26;0;1;2;1;6;2;6;5;4;0;525;6;149;6;66;26;15;10;0;40;5;1;0;1;7;1;0;258;2;2;0;1;2
X. IZBORNA JEDINICA;SMOKVICA;2;877;589;589;577;12;0;1;0;3;1;1;4;0;2;0;173;1;9;4;7;111;8;2;0;18;1;1;0;0;0;0;0;227;0;2;0;0;1
X. IZBORNA JEDINICA;STON;17;2.422;1.439;1.439;1.402;37;1;1;2;6;11;6;21;1;4;3;439;9;58;90;31;201;24;5;1;77;4;0;0;5;13;1;1;374;2;0;0;1;10
X. IZBORNA JEDINICA;SUÆURAJ;2;585;319;319;313;6;1;0;1;8;2;0;2;2;0;0;92;0;2;2;3;4;3;2;0;28;3;1;2;1;2;1;0;146;1;0;0;0;4
X. IZBORNA JEDINICA;SUTIVAN;1;1.024;577;577;563;14;2;1;2;1;2;1;6;3;0;0;193;3;8;5;4;18;17;1;1;60;5;0;0;0;4;0;1;216;4;0;0;1;4
X. IZBORNA JEDINICA;ŠESTANOVAC;10;2.181;1.229;1.226;1.206;20;1;2;3;7;3;2;11;2;5;1;733;13;22;4;43;118;11;14;1;73;4;0;3;0;14;1;2;107;0;2;1;1;2
X. IZBORNA JEDINICA;ŠOLTA;8;2.031;1.248;1.248;1.217;31;1;5;15;10;4;7;35;3;8;2;233;11;27;15;14;37;36;3;1;204;7;1;2;0;11;0;2;509;1;1;2;7;3
X. IZBORNA JEDINICA;TRPANJ;4;888;442;442;435;7;0;0;1;3;3;1;4;0;0;1;157;2;15;4;20;7;7;1;0;39;0;0;2;2;1;0;0;161;1;0;0;2;1
X. IZBORNA JEDINICA;TUÈEPI;2;1.819;1.072;1.072;1.050;22;0;6;5;2;6;3;10;2;1;0;352;6;8;13;15;39;9;2;0;115;10;0;1;0;8;0;0;419;1;10;1;0;6
X. IZBORNA JEDINICA;VELA LUKA;4;3.830;2.354;2.354;2.285;69;2;3;3;5;5;3;31;6;5;1;561;5;76;100;13;169;60;2;1;88;4;1;1;3;10;2;1;1.106;3;2;0;0;13
X. IZBORNA JEDINICA;ZADVARJE;1;228;160;160;157;3;0;0;0;0;0;0;2;0;0;0;64;1;4;1;5;8;3;2;0;16;0;0;0;0;0;0;0;50;1;0;0;0;0
X. IZBORNA JEDINICA;ZAGVOZD;8;1.362;674;673;661;12;1;1;1;13;1;1;8;4;0;1;377;15;13;7;30;55;4;3;1;36;3;0;2;0;5;0;1;69;2;2;1;1;3
X. IZBORNA JEDINICA;ZAŽABLJE;4;780;503;503;485;18;0;2;1;7;5;3;4;0;6;0;225;2;94;7;17;16;3;2;1;21;3;1;0;0;3;0;3;59;0;0;0;0;0
X. IZBORNA JEDINICA;ZMIJAVCI;5;1.933;1.023;1.022;1.009;13;1;0;3;3;4;3;12;1;3;3;620;17;18;11;34;95;2;47;1;27;2;1;20;0;2;0;0;73;0;1;2;1;2
X. IZBORNA JEDINICA;ŽUPA DUBROVAÈKA;7;7.519;3.925;3.921;3.834;87;3;11;18;13;13;8;91;6;12;6;1.437;24;95;63;132;496;132;23;1;179;14;1;0;14;29;2;5;981;3;1;1;5;15
X. IZBORNA JEDINICA;UKUPNO;679;422.392;250.954;250.005;245.358;4.647;196;487;863;1.294;749;482;4.307;419;677;331;74.409;2.050;7.055;4.462;5.804;14.780;6.318;3.036;129;28.885;1.803;137;214;266;1.973;88;393;81.715;266;347;83;336;1.004
