Izborna jedinica;Grad / opæine;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: STJEPAN VUJANIÆ ;AGENDA MLADIH DEMOKRATA - AMD, HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: IGOR KINDIJ;AKCIJA MLADIH - AM, Nositelj liste: ALAN SANKOVIÆ ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH, SPLITSKA STRANKA UMIROVLJENIKA - SSU, Nositelj liste: ZLATKO KLARIÆ, prof. ;AKCIJA ZA BOLJU HRVATSKU - ABH, HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS, JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: MILOVAN ŠIBL ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP, Nositelj liste: MARKO FRANCIŠKOVIÆ  ;BLOK UMIROVLJENICI ZAJEDNO - BUZ, PRIMORSKO GORANSKI SAVEZ - PGS, HRVATSKA RADNIÈKA STRANKA - HRS, Nositelj liste: prof.dr.sc. LJUBO JURÈIÆ ;DEMOKRATSKA STRANKA SLAVONSKE RAVNICE - SLAVONSKA RAVNICA, Nositelj liste: SLAVKO VUKŠIÆ ;DEMOKRATSKA STRANKA ŽENA - DSŽ, Nositelj liste: MARIJA JELINÈIÆ ;GLAS RAZUMA, Nositelj liste: STJEPAN RADILOVIÆ, dipl.organizator poslovanja ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: JADRANKA KOSOR  ;HRVATSKA 21. STOLJEÆA - HRVATSKA 21., Nositelj liste: VEDRANA MILAS  ;HRVATSKA EUROPSKA STRANKA - HES, Nositelj liste: NAJA ŠEBALJ ;HRVATSKA SELJAÈKA STRANKA - HSS, ZELENA STRANKA - ZS, STRANKA PENZIONERA - SP, Nositelj liste: DARKO VULETIÆ ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS, Nositelj liste: prof.dr.sc. VELIMIR SRIÆA  ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTE PRKAÈIN  ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ, HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: RUŽA TOMAŠIÆ;HRVATSKA STRANKA ZELENIH - EKO SAVEZ - ZELENI, Nositelj liste: mr.sc. ZLATKO SVIBEN, dipl.inž.;HRVATSKI LABURISTI-STRANKA RADA, Nositelj liste: DRAGUTIN LESAR  ;HRVATSKI RAST - HRAST, Nositelj liste: KREŠIMIR MILETIÆ ;NACIONALNI DEMOKRATI - ND, DEAN GOLUBIÆ, dipl.krim.  ;NEOVISNA LISTA, Nositelj liste: MILAN BANDIÆ;NEOVISNA LISTA, Nositelj liste: DAMIR GAŠPAROVIÆ  ;NEOVISNA LISTA, Nositelj liste: dr.sc. IVAN GRUBIŠIÆ  ;NEOVISNA LISTA, Nositelj liste: HRVOJE MIRKOVIÆ;NEOVISNA LISTA, Nositelj liste: VEDRAN SENJANOVIÆ  ;NEOVISNA LISTA, Nositelj liste: SINIŠA VUCO ;NOVA HRVATSKA - NH, Nositelj liste: BORKO ŠAMIJA ;OBITELJSKA STRANKA - OS, Nositelj liste: MATE KNEZOVIÆ;SAVEZ ZA PROMJENE - SP, AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: IVAN PERNAR ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, ISTARSKI DEMOKRATSKI SABOR - IDS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: ZORAN MILANOVIÆ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, Nositelj liste: mr.sc. BOŽIDAR DUGONJIÆ ;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ, Nositelj liste: ŽELJKO VINSKI, ing.grad.  ;VOLIM HRVATSKU - VH, Nositelj liste: ROKO ŠIKIÆ  ;ZAGORSKA DEMOKRATSKA STRANKA - ZDS, Nositelj liste: LJUBOMIR PULJIÆ  ;ZAGORSKA STRANKA - ZS, Nositelj liste: BOŽIDAR PTIÈAR;ZAGREBAÈKA NEZAVISNA LISTA - ZNL, Nositelj liste: mr.sc. TATJANA HOLJEVAC, dipl.ing.;ZELENA LISTA, Nositelj liste: NEVA TOLLE ;ZELENI ZAJEDNO, Nositelj liste: VERA PETRINJAK-ŠIMEK ;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;26;PAVAO ŠUBIÆ;OŠ MATKA LAGINJE;LAGINJINA 13;1.305;870;870;858;12;0;1;0;5;4;0;48;0;1;0;106;1;2;6;30;19;15;4;70;15;0;23;0;19;0;0;3;0;1;3;462;2;0;2;0;1;8;2;5;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;27;PAVAO ŠUBIÆ;OŠ MATKA LAGINJE;LAGINJINA 13;1.377;910;909;904;5;0;0;0;4;3;0;21;0;1;0;160;1;1;1;43;20;18;4;62;13;0;14;0;13;0;0;4;0;4;6;499;0;0;1;0;0;6;4;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;28;PETAR KREŠIMIR IV;KLASIÈNA GIMNAZIJA;KRIŽANIÆEVA 4A;957;670;670;659;11;0;2;0;4;0;0;23;2;3;0;106;0;0;2;36;12;12;2;54;12;1;8;0;27;0;0;1;0;0;0;342;0;0;3;0;1;2;2;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;29;PETAR KREŠIMIR IV;KLASIÈNA GIMNAZIJA;KRIŽANIÆEVA 4A;888;588;587;580;7;0;1;2;5;1;1;11;1;0;0;83;0;0;3;28;16;10;3;40;13;0;9;1;17;1;1;3;0;0;3;318;1;0;0;0;0;2;6;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;30;PETAR ZRINSKI;PROSTORIJE MJESNOG ODBORA;PRIMORSKA 32;1.599;1.054;1.054;1.038;16;0;2;6;2;3;0;30;3;0;0;140;0;3;9;54;33;16;6;99;25;1;27;0;19;0;1;4;1;0;6;531;2;0;0;1;1;8;4;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;31;PETAR ZRINSKI;OŠ PETRA ZRINSKOG;KRAJIŠKA 9;1.455;945;945;930;15;0;0;2;3;1;2;28;0;4;1;181;1;1;7;39;36;21;4;74;25;1;20;0;19;0;0;4;0;1;1;442;1;0;0;0;0;3;2;6;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;32;PETAR ZRINSKI;OŠ PETRA ZRINSKOG;KRAJIŠKA 9;1.200;763;762;749;13;1;0;0;6;4;0;18;0;1;0;120;1;0;6;31;20;27;7;69;19;0;17;0;24;0;1;9;0;0;1;346;1;0;1;1;0;7;7;4;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;33;ZRINJEVAC;PROSTORIJE MJESNOG ODBORA;PALMOTIÆEVA 30;1.076;674;674;665;9;0;3;3;0;3;1;10;0;2;1;103;3;0;7;40;13;12;4;54;9;0;15;0;28;0;0;3;0;0;5;331;0;0;2;0;0;3;5;5;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;34;ZRINJEVAC;PROSTORIJE MJESNOG ODBORA;PALMOTIÆEVA 30;971;648;648;640;8;0;0;0;7;1;1;14;1;2;0;129;1;0;0;34;37;15;3;56;24;0;8;3;21;0;0;2;0;0;3;264;2;0;4;0;1;3;3;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;35;AUGUST CESAREC;PROSTORIJE MJESNOG ODBORA;TKALÈIÆEVA 33;909;506;506;494;12;0;1;0;2;1;0;7;0;0;0;166;0;0;3;14;12;17;4;32;22;0;13;0;13;0;0;2;0;1;4;170;0;1;2;0;1;5;0;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;36;AUGUST CESAREC;PROSTORIJE MJESNOG ODBORA;TKALÈIÆEVA 33;917;558;531;513;18;0;4;3;3;0;1;16;0;2;1;103;0;0;1;32;13;10;2;37;10;0;10;0;23;0;1;3;0;0;2;226;0;0;2;0;1;5;1;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;37;GORNJI GRAD;PROSTORIJE MJESNOG ODBORA;OPATIÈKA 16;1.238;809;808;796;12;0;1;3;3;2;1;28;0;0;2;147;0;2;7;43;20;17;4;62;19;0;20;0;17;0;0;3;0;0;4;382;0;1;2;0;0;0;5;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;38;GORNJI GRAD;PROSTORIJE MJESNOG ODBORA;OPATIÈKA 16;588;409;401;394;7;0;0;2;0;3;1;11;0;1;0;86;1;0;2;22;12;17;2;35;3;0;2;0;22;0;1;1;0;0;0;162;2;0;1;0;1;1;1;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;39;GORNJI GRAD;HRVATSKI KATOLIÈKI ZBOR MI;MESNIÈKA 2;863;558;558;546;12;0;1;1;4;4;0;11;0;5;1;80;0;0;7;31;17;18;6;43;8;0;7;1;23;0;0;2;0;0;3;264;1;0;0;0;1;1;0;6;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;40;GUPÈEVA ZVIJEZDA;UPRAVA GRADSKIH GROBLJA;ALEJA HERMANNA BOLLEA 27;633;426;426;420;6;0;0;0;2;1;1;6;0;0;0;62;0;0;4;23;7;11;0;35;4;1;8;0;4;0;0;0;0;0;0;240;2;0;3;1;0;3;0;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;41;GUPÈEVA ZVIJEZDA;INSTITUT ZA MED.ISTRAŽIVANJA I MEDICINU RADA;KSAVERSKA CESTA 2;622;435;435;433;2;0;0;1;0;4;1;11;0;0;0;72;0;0;0;22;9;10;3;25;7;0;5;1;19;0;1;1;0;1;1;232;3;0;0;0;0;1;0;3;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;42;GUPÈEVA ZVIJEZDA;CENTAR ZA REHABILITACIJU 'ZAGREB';ORLOVAC 2;727;514;514;507;7;0;2;0;1;0;3;13;0;0;0;122;2;0;6;18;13;27;4;30;13;0;7;0;17;0;0;1;0;0;3;222;0;0;2;0;0;0;0;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;43;IVAN KUKULJEVIÆ SAKCINSKI;PROSTORIJE MJESNOG ODBORA;RADNIÈKI DOL 1;995;683;683;673;10;0;3;1;2;3;0;13;0;1;0;91;1;0;9;46;21;14;6;44;8;0;11;1;20;0;2;2;0;0;2;356;0;0;1;0;0;7;5;3;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;44;IVAN KUKULJEVIÆ SAKCINSKI;DOM ZDRAVLJA ZAGREB-ZAPAD;RADNIÈKI DOL 24;931;654;654;646;8;0;0;0;3;3;2;31;0;3;2;93;1;0;6;37;18;18;3;48;15;1;5;0;26;0;1;2;0;0;1;313;1;0;0;0;0;6;3;4;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;45;KRALJEVEC;PROSTORIJE MJESNOG ODBORA;KRALJEVEC 11;1.007;675;675;669;6;1;0;1;5;0;5;21;0;1;2;171;2;0;9;41;13;15;1;56;12;1;9;0;18;0;0;2;0;0;3;261;2;0;3;0;0;4;4;6;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;46;MEDVEŠÈAK;PROSTORIJE MJESNOG ODBORA;MEDVEŠÈAK 2;1.025;707;707;692;15;0;1;1;2;3;1;33;1;2;0;105;1;1;4;42;16;16;2;41;20;0;5;0;23;0;1;1;0;0;1;358;2;1;0;0;0;4;4;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;47;MEDVEŠÈAK;PROSTORIJE MJESNOG ODBORA-MALA SCENA;MEDVEŠÈAK 2;785;520;520;510;10;0;1;3;3;2;1;13;0;3;2;84;0;0;4;44;15;6;6;41;9;0;4;0;13;0;0;2;0;1;0;236;1;3;4;1;0;3;3;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;48;MEDVEŠÈAK;PROSTORIJE MJESNOG ODBORA;MILANA ŠUFFLAYA 2;732;489;489;483;6;0;0;2;3;1;1;5;0;1;0;87;1;0;0;31;16;12;3;49;7;0;14;0;10;0;2;3;0;0;0;229;1;0;0;0;0;1;4;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;49;NOVA VES;PROSTORIJE MJESNOG ODBORA;NOVA VES 36;935;583;583;575;8;0;2;0;3;0;0;18;1;0;2;127;1;1;5;30;8;10;1;44;16;0;15;1;20;0;0;2;0;0;3;251;1;1;3;0;1;3;5;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;50;NOVA VES;OŠ KSAVERA ŠANDORA ÐALSKOG;MLINARSKA CESTA 35;983;620;619;611;8;0;0;2;2;6;0;22;0;0;0;128;0;0;6;25;10;9;10;39;10;0;12;2;17;0;1;6;0;0;2;285;3;0;1;0;1;11;1;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;51;NOVA VES;OŠ KSAVERA ŠANDORA ÐALSKOG;MLINARSKA CESTA 35;1.039;688;688;681;7;1;0;2;4;0;0;22;1;3;0;134;2;1;3;38;10;17;9;45;12;1;15;1;17;0;0;3;0;0;0;332;0;0;0;0;0;0;6;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;52;PETROVA;PROSTORIJE MJESNOG ODBORA;JURKOVIÆEVA 17;1.777;1.172;1.172;1.158;14;1;1;2;11;2;0;34;1;3;1;198;3;0;7;63;26;24;8;82;16;2;14;0;26;0;0;2;0;2;2;605;3;1;2;1;1;7;6;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;53;RIBNJAK;HRVATSKE CESTE;VONÈININA 3;616;387;387;385;2;0;0;0;1;0;2;10;0;1;0;75;0;0;3;27;9;13;0;22;5;0;5;4;22;0;0;1;0;0;4;172;2;0;2;0;0;1;3;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;54;RIBNJAK;CENTAR ZA STVARAL.AKTIVNOST MLADIH;RIBNJAK 1;786;490;489;483;6;0;1;2;0;0;1;28;0;0;2;107;1;0;1;16;14;13;3;26;6;0;13;0;17;0;0;0;0;1;1;220;0;0;2;0;0;7;0;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;55;STJEPAN RADIÆ;OŠ PANTOVÈAK;HERCEGOVAÈKA 108;1.215;803;803;794;9;2;0;1;3;2;1;29;0;0;0;153;1;0;6;42;22;31;5;56;24;0;18;0;19;0;0;1;0;0;0;354;0;0;2;1;0;4;3;14;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;56;STJEPAN RADIÆ;OŠ PANTOVÈAK;HERCEGOVAÈKA 108;960;658;657;652;5;0;0;1;2;0;1;17;0;1;0;136;0;0;5;38;10;19;2;51;14;0;20;0;22;0;0;2;0;1;1;308;0;0;1;0;0;0;0;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;57;STJEPAN RADIÆ;OŠ PANTOVÈAK;HERCEGOVAÈKA 108;670;496;496;490;6;0;0;1;2;1;1;16;0;1;0;113;0;0;5;40;13;17;0;22;13;0;7;2;15;0;0;1;0;0;2;205;0;0;1;0;0;4;3;5;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;58;STJEPAN RADIÆ;HVIDRA ÈRNOMEREC;ILICA 124;1.682;1.032;1.032;1.016;16;0;1;2;7;1;2;20;1;1;0;177;2;0;7;36;29;26;5;66;17;0;19;1;30;0;0;7;0;0;6;531;3;2;1;0;1;8;2;5;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;59;ŠALATA;OŠ IVANA GORANA KOVAÈIÆA;MESIÆEVA 35;1.561;1.121;1.121;1.099;22;0;0;3;3;1;1;39;1;0;1;251;0;0;6;67;23;35;4;48;8;1;16;0;39;0;0;3;0;1;1;517;2;0;4;1;2;4;10;7;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;60;TUŠKANAC;CENTAR ZA ODGOJ I OBRAZOVANJE SLAVA RAŠKAJ;VLADIMIRA NAZORA 47;890;609;609;594;15;0;1;0;1;3;0;18;1;0;0;97;0;0;2;32;14;18;2;33;8;0;9;1;22;0;1;3;0;0;1;310;2;0;0;0;0;11;1;3;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;61;TUŠKANAC;PROSTORIJE MJESNOG ODBORA;JABUKOVAC 28;708;499;499;494;5;0;0;0;3;1;1;7;0;0;0;129;1;0;6;32;8;12;2;19;9;2;1;0;15;1;1;1;0;2;1;225;4;0;1;0;0;5;2;3;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;62;TUŠKANAC;CENTAR ZA ODGOJ DJECE I MLADEŽI;GORNJE PREKRIŽJE 48;362;244;234;231;3;0;0;0;3;4;0;7;0;0;0;40;0;0;4;12;4;6;2;29;1;0;4;0;5;0;0;2;0;0;0;103;0;0;0;0;0;3;2;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;63;TUŠKANAC;HRVATSKI FILMSKI SAVEZ;TUŠKANAC 1;308;208;197;197;0;1;0;1;1;1;1;9;0;1;0;26;0;2;5;10;2;2;2;16;1;0;2;0;5;0;0;1;1;0;0;104;0;0;0;0;0;2;1;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;64;VOÆARSKA;PROSTORIJE MJESNOG ODBORA;VOÆARSKA CESTA 71;1.470;992;992;977;15;0;0;4;6;3;3;32;1;3;0;193;1;0;8;77;20;32;6;71;12;0;18;0;28;0;1;4;0;0;3;430;3;0;5;1;0;7;2;3;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;65;VOÆARSKA;PROSTORIJE MJESNOG ODBORA;VOÆARSKA CESTA 71;1.674;1.122;1.122;1.106;16;0;4;1;11;4;0;44;0;3;1;193;1;1;11;54;44;32;7;82;21;1;18;0;42;0;4;5;0;0;3;495;2;0;3;0;0;14;2;3;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;66;CVJETNICA;DOM ZA STARIJE I NEMOÆNE OSOBE TRNJE;POLJIÈKA 12;998;709;709;702;7;3;0;1;7;2;2;30;1;1;0;125;1;7;1;19;14;4;4;41;15;0;18;0;26;0;3;2;0;1;1;361;3;0;3;1;0;1;1;3;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;67;CVJETNICA;DJEÈJI VRTIÆ VRBIK;PUT JURIJA GAGARINA 10;742;525;525;520;5;0;2;0;1;2;0;28;0;1;0;58;0;0;4;27;7;9;2;34;7;0;9;0;9;0;1;1;0;0;0;314;0;0;0;0;2;2;0;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;68;CVJETNO NASELJE;OŠ CVJETNO NASELJE;CVJETNA CESTA 17;1.629;1.134;1.134;1.122;12;0;0;3;5;3;0;29;1;2;0;140;1;0;6;38;27;28;6;92;12;1;24;0;38;0;3;8;1;1;10;627;1;0;2;2;0;6;1;4;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;69;MARIN DRŽIÆ;OŠ MARINA DRŽIÆA;NALJEŠKOVIÆEVA 4;1.133;736;736;732;4;0;0;1;3;0;1;29;0;3;0;143;0;1;4;33;13;13;1;43;14;4;8;0;18;0;0;5;0;0;0;385;3;0;0;0;1;1;4;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;70;MARIN DRŽIÆ;OŠ MARINA DRŽIÆA;NALJEŠKOVIÆEVA 4;922;627;627;624;3;0;0;1;3;2;0;18;1;2;0;91;0;0;3;25;19;10;5;45;13;0;15;0;16;0;1;3;0;0;0;342;2;0;3;0;1;2;1;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;71;MARIN DRŽIÆ;OŠ MARINA DRŽIÆA;NALJEŠKOVIÆEVA 4;1.092;812;812;801;11;0;2;0;12;5;0;24;1;1;1;119;2;0;8;32;15;19;8;43;7;2;15;1;16;0;0;4;0;0;2;450;0;1;2;1;0;2;6;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;72;MARIN DRŽIÆ;OŠ MARINA DRŽIÆA;NALJEŠKOVIÆEVA 4;1.315;937;937;916;21;0;0;3;5;0;3;32;1;0;0;147;2;1;6;40;11;16;4;54;22;0;27;1;30;0;0;3;0;3;8;472;2;0;4;0;1;9;6;3;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;73;MARIN DRŽIÆ;OŠ MARINA DRŽIÆA;NALJEŠKOVIÆEVA 4;1.340;972;883;872;11;0;0;3;2;2;1;21;0;3;1;120;2;0;5;34;16;24;7;69;14;1;35;3;24;0;0;1;0;2;0;463;1;0;0;0;2;10;4;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;74;MARTINOVKA;OŠ TINA UJEVIÆA;KOTURAŠKA CESTA 75;824;550;550;542;8;1;1;1;6;2;0;27;1;1;0;92;1;1;2;25;15;16;1;49;5;0;17;0;20;0;0;2;0;6;1;236;2;0;3;0;1;3;2;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;75;MARTINOVKA;OŠ TINA UJEVIÆA;KOTURAŠKA CESTA 75;645;426;426;423;3;2;0;0;1;0;0;15;0;0;0;58;3;0;4;21;7;7;1;30;6;0;13;0;4;0;1;0;0;1;0;241;0;0;3;0;0;1;0;4;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;76;MARTINOVKA;PROSTORIJE MJESNOG ODBORA;MIRAMARSKA CESTA 17;792;529;501;491;10;0;0;2;2;6;0;19;0;1;0;94;1;0;6;23;9;18;2;32;7;0;12;0;19;0;1;2;0;1;4;223;2;0;0;0;0;4;0;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;77;MARTINOVKA;UÈENIÈKI DOM FRANJE BUÈARA;TRNJANSKA CESTA 11F;478;316;291;284;7;0;2;0;2;0;1;8;0;3;0;48;1;0;2;11;7;6;4;30;5;0;10;0;7;1;0;0;0;1;0;130;1;0;0;1;0;0;2;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;78;MIRAMARE;OŠ DAVORINA TRSTENJAKA;KRÈKA 3;1.179;783;779;772;7;2;1;3;3;5;0;16;2;3;2;209;0;1;5;22;21;12;5;50;21;3;8;0;28;0;1;6;0;0;2;335;2;0;0;0;0;1;1;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;79;SAVSKI KUTI;PROSTORIJE MJESNOG ODBORA;LOMNIÈKA 3;1.656;1.154;1.154;1.139;15;2;4;5;4;4;1;48;0;1;1;159;5;0;8;60;24;28;5;78;26;1;14;0;31;0;1;2;0;0;7;596;3;0;0;0;1;14;5;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;80;SIGEÈICA;OŠ RAPSKA;RAPSKA 3;1.244;836;836;825;11;0;0;0;5;4;2;21;0;3;0;149;1;0;1;20;15;14;4;49;11;1;18;0;33;0;0;5;0;0;2;459;0;0;0;0;0;0;4;4;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;81;SIGEÈICA;OŠ RAPSKA;RAPSKA 3;1.782;1.105;1.105;1.092;13;0;0;1;10;4;5;48;3;4;0;217;1;0;9;51;31;29;7;83;21;4;30;0;24;0;1;5;2;1;1;484;3;0;0;1;0;4;4;4;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;82;SIGEÈICA;OŠ RAPSKA;RAPSKA 3;1.198;819;818;804;14;0;0;2;4;3;1;27;0;1;1;111;3;0;6;35;17;19;4;60;23;2;17;0;28;0;0;2;0;1;2;417;5;0;0;0;1;4;6;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;83;SIGEÈICA;OŠ RAPSKA;RAPSKA 3;1.064;732;731;719;12;0;0;4;1;4;1;33;1;5;0;99;1;0;2;31;11;21;6;50;5;1;12;0;29;0;0;0;1;1;3;382;6;0;0;0;0;5;3;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;84;STARO TRNJE;DJEÈJI VRTIÆ SAVICA;VLADIMIRA RUŽDJAKA 22;1.112;699;699;687;12;0;1;3;5;7;1;13;0;2;0;106;0;0;7;18;16;10;1;62;18;0;35;1;9;0;1;0;0;0;3;347;7;0;1;1;1;7;2;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;85;STARO TRNJE;PROSTORIJE MJESNOG ODBORA-STARO TRNJE;TRNJANSKA CESTA 128;1.651;1.062;1.062;1.045;17;0;2;3;4;1;2;39;2;4;2;215;0;0;11;52;33;24;3;68;35;3;29;0;23;0;0;2;2;5;2;454;0;0;2;3;3;8;5;4;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;86;STARO TRNJE;DJEÈJI VRTIÆ SAVICA;VLADIMIRA RUŽDJAKA 22;728;482;482;479;3;0;0;2;5;1;0;21;2;1;0;74;0;1;10;13;14;15;5;40;6;0;23;0;12;1;0;0;0;1;2;216;0;1;2;1;1;6;0;3;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;87;TRNJANSKA SAVICA;OŠ JURE KAŠTELANA;VLADIMIRA RUŽDJAKA 2A;1.439;1.017;1.017;1.012;5;1;1;2;12;0;1;34;0;3;0;203;2;0;7;32;17;9;2;74;25;1;21;0;27;0;1;3;0;1;1;516;6;0;1;1;0;5;3;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;88;TRNJANSKA SAVICA;OŠ JURE KAŠTELANA;VLADIMIRA RUŽDJAKA 2A;1.381;1.013;1.004;992;12;2;3;3;8;1;0;42;1;0;1;147;1;1;11;36;22;28;7;62;12;0;22;0;24;0;0;0;0;1;5;535;2;0;0;0;0;8;5;2;;;;;;;;;
