Izborna jedinica;Grad / opæina;BM Rbr;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  IVAN CVETKOVIÆ, dr.vet.med.;AKCIJA MLADIH - AM  , Nositelj liste:  MARIO ALEMPIJEVIÆ  ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU  , Nositelj liste:  EMIL-FRANJO MARKANOVIÆ, dr.med.;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  MARIJAN VIDOVIÆ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ;DEMOKRATSKA STRANKA SLAVONSKE RAVNICE - SLAVONSKA RAVNICA  , Nositelj liste:  SLAVKO VUKŠIÆ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR ;HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  prof.dr.sc. JOSIP JURÈEVIÆ ;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  DAVOR VLAOVIÆ, dipl.ing. ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR  ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  MIRKO DUSPARA ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ ;HRVATSKI DEMOKRATSKI SAVEZ SLAVONIJE I BARANJE - HDSSB  , Nositelj liste:  prof.dr.sc. VLADIMIR ŠIŠLJAGIÆ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  KREŠIMIR LANDEKA ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  JOSIP GRUBIŠIÆ ;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS  , Nositelj liste:  TOMISLAV POKROVAC;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  VLADO BUŠIÆ ;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad. ;ZELENA LISTA  , Nositelj liste:  DARKO STOŠIÆ ;ZELENA STRANKA - ZS  ,   Nositelj liste:  mr.sc. ALJOŠA BABIÆ ;
V. IZBORNA JEDINICA;OSIJEK;1;0;49;49;49;0;0;0;1;0;0;0;0;8;2;5;0;4;4;7;3;0;0;0;14;0;1;0;0;
V. IZBORNA JEDINICA;OSIJEK;2;0;6;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;2;0;0;0;0;
V. IZBORNA JEDINICA;PAKRAC;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;PAZIN;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;PETRINJA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;PITOMAÈA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;POPOVAÈA;1;0;14;14;13;1;0;0;0;0;0;0;0;2;0;0;0;2;1;3;1;0;0;1;3;0;0;0;0;
V. IZBORNA JEDINICA;POREÈ - PARENZO;1;0;3;3;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
V. IZBORNA JEDINICA;POŽEGA;1;0;36;36;35;1;0;0;0;0;1;0;0;7;0;3;0;2;2;3;2;0;0;0;15;0;0;0;0;
V. IZBORNA JEDINICA;POŽEGA;2;0;49;49;47;2;1;0;1;0;0;0;0;11;1;2;0;7;2;5;0;0;0;0;16;1;0;0;0;
V. IZBORNA JEDINICA;POŽEGA;3;0;37;37;37;0;0;0;1;0;1;0;1;23;0;3;0;0;0;1;0;0;0;0;7;0;0;0;0;
V. IZBORNA JEDINICA;PREKO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;PREKO;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;PROMINA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;PULA - POLA;1;0;13;13;13;0;0;0;0;0;0;1;0;2;0;0;0;0;0;3;0;0;1;0;6;0;0;0;0;
V. IZBORNA JEDINICA;PULA - POLA;2;0;6;6;6;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
V. IZBORNA JEDINICA;PULA - POLA;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;PULA - POLA;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;PULA - POLA;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;PULA - POLA;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;PULA - POLA;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;PULA - POLA;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;PULA - POLA;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;PULA - POLA;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;PULA - POLA;11;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;PULA - POLA;12;0;6;6;6;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;
V. IZBORNA JEDINICA;RAB;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;RIJEKA;1;0;2;2;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;RIJEKA;2;0;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3;0;0;0;0;
V. IZBORNA JEDINICA;ROVINJ - ROVIGNO;1;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;
V. IZBORNA JEDINICA;SALI;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;SAMOBOR;1;0;2;2;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;SELNICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;SINJ;1;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;SISAK;1;0;3;3;3;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;
V. IZBORNA JEDINICA;SISAK;2;0;2;2;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;SLATINA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;SLAVONSKI BROD;1;0;4;4;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;
V. IZBORNA JEDINICA;SOLIN;1;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;
V. IZBORNA JEDINICA;SPLIT;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;SPLIT;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;SPLIT;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;SPLIT;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;SPLIT;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;SPLIT;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;SPLIT;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;SPLIT;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;SPLIT;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;SPLIT;10;0;8;8;8;0;0;0;0;0;1;0;0;2;1;0;0;0;0;1;0;0;0;0;3;0;0;0;0;
V. IZBORNA JEDINICA;SUPETAR;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;SVETI IVAN ZELINA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;ŠENKOVEC;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;ŠIBENIK;1;0;3;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;
V. IZBORNA JEDINICA;ŠIBENIK;2;0;3;3;3;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
V. IZBORNA JEDINICA;TOPUSKO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;UMAG - UMAGO;1;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;VALPOVO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;VARAŽDIN;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;VARAŽDIN;2;0;10;10;10;0;0;0;0;0;1;0;0;1;0;0;1;1;0;2;0;0;0;0;4;0;0;0;0;
V. IZBORNA JEDINICA;VARAŽDINSKE TOPLICE;1;0;2;2;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
V. IZBORNA JEDINICA;VELIKA GORICA;1;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;VELIKA GORICA;2;0;10;10;10;0;0;1;0;0;0;0;0;2;0;0;0;2;0;0;1;1;0;0;3;0;0;0;0;
V. IZBORNA JEDINICA;VINKOVCI;1;0;50;50;47;3;1;0;1;1;0;1;2;24;0;1;0;0;1;1;0;0;0;1;13;0;0;0;0;
V. IZBORNA JEDINICA;VIROVITICA;1;0;3;3;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
V. IZBORNA JEDINICA;VIS;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;VRBOVEC;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;VUKOVAR;1;0;16;16;16;0;0;0;1;0;4;0;1;8;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;
V. IZBORNA JEDINICA;ZADAR;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;ZADAR;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;ZADAR;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;ZADAR;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;ZADAR;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;ZADAR;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;ZADAR;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;ZADAR;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;ZADAR;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;ZADAR;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;ZADAR;11;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;ZADAR;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;ZADAR;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;ZADAR;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;ZADAR;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;ZADAR;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;ZADAR;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;ZADAR;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;ZADAR;19;0;4;4;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;
V. IZBORNA JEDINICA;ZADAR;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;ZAPREŠIÆ;1;0;11;11;11;0;0;0;0;0;0;0;0;5;0;0;1;0;0;0;0;0;0;0;5;0;0;0;0;
V. IZBORNA JEDINICA;ZEMUNIK DONJI;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;ŽUPANJA;1;0;4;4;4;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
UKUPNO;;;0;837;837;822;15;3;5;5;3;26;7;4;251;7;22;10;44;25;70;20;12;3;6;290;2;2;3;2;
