Izborna jedinica;Grad / opæina;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  STJEPAN RUŠEC;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  DARKO KRNIÆ;AKCIJA MLADIH - AM  , Nositelj liste:  ANDREJ BRIŠÈIK ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU  , Nositelj liste:  ZLATKO KLARIÆ, prof. ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  EMIL ÈIÆ  ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ ;DEMOKRATSKA STRANKA SLAVONSKE RAVNICE - SLAVONSKA RAVNICA  , Nositelj liste:  SLAVKO VUKŠIÆ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ;HRVATSKA DEMOKRATSKA SELJAÈKA STRANKA - HDSS  , Nositelj liste:  STEVO GRAHOVAC;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  MATO BARUKÈIÆ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR;"HRVATSKA STRANKA PRAVA - HSP , ""HRVATSKA STRAŽA"" NACIONALNA STRANKA - HS NS  , Nositelj liste:  DANIEL SRB   ";HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ;HRVATSKI DEMOKRATSKI SAVEZ SLAVONIJE I BARANJE - HDSSB  , Nositelj liste:  prof.dr.sc. VLADIMIR ŠIŠLJAGIÆ  ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  TOMISLAV ŠPERANDA ;JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  MARIJAN ŠKARIÆ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  GORDAN MASNJAK;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ ;NEOVISNA LISTA  , Nositelj liste:  IVAN LONÈAR;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS  , Nositelj liste:  DALI MOR ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  NIKOLA OPAÈIÆ ;VOLIM HRVATSKU - VH  , Nositelj liste:  ROKO ŠIKIÆ ;ZELENA LISTA  , Nositelj liste:  DANICA JOVIÆ  ;ZELENA STRANKA - ZS  , Nositelj liste:  mr.sc. ALJOŠA BABIÆ  ;ZELENI HRVATSKE - ZELENI HR  , Nositelj liste:  ZDRAVKO PEKO;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;DONJI MIHOLJAC;9;SVETI ÐURAÐ;MJESNI ODBOR;ŠKOLSKA 104;698;441;439;436;3;1;1;2;3;1;11;3;1;3;77;7;5;60;7;146;5;1;0;0;1;14;2;84;0;1;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;DONJI MIHOLJAC;10;PODGAJCI PODRAVSKI;VATROGASNI DOM;VLADIMIRA NAZORA 134;564;347;347;340;7;0;1;3;1;0;5;6;2;3;60;3;4;36;0;103;5;2;0;1;4;6;1;92;0;0;1;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;1;ÐAKOVO;SREDNJA STRUKOVNA ŠKOLA ÐAKOVO, UÈIONICA 1.;VIJENAC KARDINALA ALOJZIJA STEPINCA 11;599;389;389;382;7;0;0;0;5;1;12;4;4;0;61;1;7;4;7;71;19;5;0;0;4;2;1;172;0;0;0;0;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;2;ÐAKOVO;SREDNJA STRUKOVNA ŠKOLA ÐAKOVO, UÈIONICA 2.;VIJENAC KARDINALA ALOJZIJA STEPINCA 11;628;408;408;405;3;0;0;1;4;0;10;1;1;0;98;0;15;8;9;73;16;0;0;0;5;3;1;156;2;0;1;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;3;ÐAKOVO;SREDNJA STRUKOVNA ŠKOLA ÐAKOVO, UÈIONICA 3.;VIJENAC KARDINALA ALOJZIJA STEPINCA 11;598;356;356;350;6;1;0;1;0;0;9;5;1;0;69;0;9;8;7;93;17;0;0;0;5;5;0;117;0;0;0;0;3;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;4;ÐAKOVO;MUZEJ ÐAKOVŠTINE;ANTE STARÈEVIÆA 34;757;495;495;483;12;1;1;0;0;2;11;2;1;2;80;6;17;7;4;121;18;1;0;0;3;1;1;199;1;0;1;1;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;5;ÐAKOVO;HOTEL BLAŽA;ANTE STARÈEVIÆA BB;625;345;341;335;6;0;0;1;0;0;9;4;3;3;57;0;8;13;5;71;13;5;0;1;4;3;0;131;0;2;1;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;6;ÐAKOVO;GRADSKA KNJIŽNICA I ÈITAONICA;KRALJA TOMISLAVA 13;614;418;417;414;3;0;0;1;3;2;4;4;0;0;190;1;7;14;13;49;2;7;0;0;2;2;0;111;0;1;1;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;7;ÐAKOVO;VETERINARSKA STANICA;KRALJA TOMISLAVA 33;554;348;348;342;6;0;0;0;0;1;3;1;0;3;68;3;7;10;6;72;16;4;0;0;8;0;1;136;1;0;1;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;8;ÐAKOVO;"OSNOVNA ŠKOLA ""JOSIPA ANTUNA ÆOLNIÆA"", UÈIONICA 1.";TRG NIKOLE ŠUBIÆA ZRINSKOG 4;716;419;419;416;3;0;0;2;1;0;5;2;3;0;97;6;5;18;8;102;16;5;1;0;4;0;2;133;1;0;0;0;5;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;9;ÐAKOVO;"OSNOVNA ŠKOLA ""JOSIPA ANTUNA ÆOLNIÆA"", UÈIONICA 2.";TRG NIKOLE ŠUBIÆA ZRINSKOG 4;922;607;607;601;6;0;0;1;1;0;16;3;3;0;131;5;9;35;9;131;32;3;0;0;18;0;3;193;0;1;2;3;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;10;ÐAKOVO;"""UNIVERZAL"" PROSTORIJA I.";VLADIMIRA NAZORA 68;787;438;438;435;3;0;0;0;1;1;7;1;2;2;114;4;17;17;6;111;13;0;0;0;3;1;1;133;0;1;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;11;ÐAKOVO;"""UNIVERZAL"" PROSTORIJA II.";VLADIMIRA NAZORA 68;644;367;367;364;3;1;0;1;3;1;16;2;5;0;96;4;12;17;3;71;13;3;0;0;6;2;2;106;0;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;12;ÐAKOVO;HRVATSKI ZAVOD ZA ZAPOŠLJAVANJE, ISPOSTAVA ÐAKOVO;MAŽURANIÆEVA 2;453;248;237;233;4;0;0;0;2;0;7;0;0;1;51;2;7;3;3;55;4;4;0;0;4;2;0;85;0;0;1;1;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;13;ÐAKOVO;PROSTORIJA ZA ODRŽAVANJE PRUGA ÐAKOVO;PARK POBJEDE 7;908;526;526;519;7;0;0;1;1;0;5;0;2;0;131;3;17;4;10;167;18;3;0;0;6;2;0;143;1;0;2;1;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;14;ÐAKOVO;DJEÈJI VRTIÆ ÐAKOVO;IVANA MAŽURANIÆA 12;795;468;468;458;10;0;1;0;2;2;13;2;2;3;93;4;9;8;10;133;12;4;0;0;13;1;1;140;1;1;2;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;15;ÐAKOVO;OSNOVNA ŠKOLA;ÐAKOVAÈKI PISAK;251;137;137;136;1;0;2;0;2;0;2;1;3;1;32;1;0;1;0;43;7;0;0;0;0;1;0;40;0;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;16;ÐAKOVO;STARI DVD, PROSTORIJA I.;MATIJE GUPCA 30;566;358;358;353;5;0;2;1;2;0;14;5;1;2;66;5;3;16;8;72;18;2;0;0;5;1;1;120;1;1;4;1;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;17;ÐAKOVO;STARI DVD, PROSTORIJA II.;MATIJE GUPCA 30;907;557;557;550;7;0;1;2;2;2;19;3;4;4;158;2;20;23;5;115;19;10;0;0;3;2;3;150;0;0;1;0;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;18;ÐAKOVO;PROTUPOŽARNI CENTAR;SPLITSKA BB;660;385;385;383;2;0;0;1;1;5;12;2;0;0;68;6;8;14;5;89;12;2;0;0;9;0;0;148;0;0;0;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;19;ÐAKOVO;DOM ZA ODRASLE OSOBE;PETRA PRERADOVIÆA 2;518;322;322;315;7;0;0;1;1;3;9;2;0;0;45;10;6;4;6;93;11;6;0;0;5;1;1;108;1;0;0;1;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;20;ÐAKOVO;HRVATSKI ZAVOD ZA ZDRAVSTVENO OSIGURANJE,  PROSTORIJA I.;PETRA PRERADOVIÆA 15;421;262;262;260;2;0;1;0;1;0;4;3;0;0;59;3;5;4;5;81;8;5;0;0;4;6;0;71;0;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;21;ÐAKOVO;HRVATSKI ZAVOD ZA ZDRAVSTVENO OSIGURANJE, PROSTORIJA  II.;PETRA PRERADOVIÆA 15;545;359;352;344;8;0;0;0;1;0;16;3;0;0;73;2;14;13;10;82;5;1;0;0;7;2;0;114;1;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;22;ÐAKOVO;CENTAR ZA SOCIJALNU SKRB;PETRA PRERADOVIÆA 2A;559;286;286;281;5;0;1;0;4;3;4;1;4;1;72;2;6;12;5;73;13;2;0;1;1;1;0;69;0;0;2;1;3;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;23;ÐAKOVO;UPRAVNA ZGRADA DOMA ZDRAVLJA;PETRA PRERADOVIÆA 2;914;538;538;534;4;1;0;1;1;0;11;1;2;4;116;9;16;11;17;155;17;4;0;0;5;1;1;158;1;0;1;1;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;24;ÐAKOVO;ŠUMARIJA;PALMOTIÆEVA 18;1.023;640;640;628;12;0;0;1;1;3;17;2;6;0;109;2;11;15;8;142;22;0;0;0;9;1;5;272;1;0;1;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;25;ÐAKOVO;"DJEÈJI VRTIÆ ""VILA"", PROSTORIJA 1.";ÐAKOVO;780;424;424;420;4;0;0;0;0;0;13;3;1;1;97;8;14;17;3;99;18;2;0;1;5;4;1;130;0;0;0;2;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;26;ÐAKOVO;"DJEÈJI VRTIÆ ""VILA"", PROSTORIJA 2.";ÐAKOVO;799;541;541;535;6;0;0;1;0;0;7;2;1;3;109;4;24;22;4;128;23;8;0;0;10;3;0;179;3;1;1;0;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;27;SELCI ÐAKOVAÈKI;"KUD ""HRVATSKA ÈITAONICA""";SELCI ÐAKOVAÈKI;879;443;443;440;3;0;1;0;2;1;6;4;2;0;153;13;2;6;2;134;11;3;0;0;3;4;2;90;1;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;28;SELCI ÐAKOVAÈKI;MJESNI ODBOR;SELCI ÐAKOVAÈKI;703;351;351;345;6;0;2;3;0;0;10;1;2;2;100;2;2;5;1;109;9;0;0;0;7;6;2;81;0;0;1;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;29;KUŠEVAC;PODRUÈNA OSNOVNA ŠKOLA JOSIPA ANTUNA ÆOLNIÆA;KUŠEVAC;954;568;568;560;8;2;0;0;4;0;9;1;0;2;182;3;2;16;6;188;16;4;1;0;2;8;1;108;3;0;0;1;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;30;IVANOVCI GORJANSKI;DOM DVD-A;IVANOVCI GORJANSKI;506;314;314;308;6;0;1;1;1;0;0;0;0;1;87;7;0;10;3;119;8;0;0;0;0;4;0;66;0;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;31;ŠIROKO POLJE;MJESNI ODBOR;ŠIROKO POLJE;860;537;537;528;9;0;2;0;3;1;5;4;6;3;108;8;5;14;4;256;7;2;0;0;5;2;2;88;1;2;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;32;BUDROVCI;OSNOVNA ŠKOLA, UÈIONICA I.;BUDROVCI;692;387;387;379;8;1;0;0;2;0;3;6;3;2;103;10;2;12;2;141;2;0;0;1;1;1;0;86;0;0;1;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;33;BUDROVCI;OSNOVNA ŠKOLA, UÈIONICA II.;BUDROVCI;471;282;282;277;5;0;0;0;2;0;3;3;0;2;50;11;3;6;2;122;2;0;0;0;3;4;0;61;0;0;0;2;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;34;ÐURÐANCI;OSNOVNA ŠKOLA;ÐURÐANCI;448;233;233;232;1;1;0;2;1;0;3;0;1;2;75;9;7;0;0;95;2;0;0;0;0;0;0;34;0;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;35;PIŠKOREVCI;DOM DVD-A;PIŠKOREVCI;892;467;467;466;1;0;1;1;5;0;5;0;0;4;133;6;3;23;6;166;3;2;1;0;3;5;0;98;0;0;0;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;36;PIŠKOREVCI;DOM KULTURE;PIŠKOREVCI;866;491;491;490;1;0;2;1;5;0;7;1;1;3;122;10;5;9;9;195;8;1;0;0;1;1;2;105;1;0;1;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ÐAKOVO;37;NOVI PERKOVCI;"PODRUÈNA OSNOVNA ŠKOLA ""MATIJA GUBEC""";NOVI PERKOVCI;243;125;125;125;0;1;2;0;0;0;0;1;1;1;30;7;2;1;1;69;2;0;0;0;0;0;1;6;0;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;NAŠICE;1;NAŠICE;KLUB CRVENOG KRIŽA NAŠICE;PETRA PRERADOVIÆA 2;1.094;712;712;703;9;1;0;2;2;2;8;83;5;2;132;1;12;16;12;139;18;7;0;0;7;1;3;247;2;0;0;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;NAŠICE;2;NAŠICE;GRADSKO DRUŠTVO CRVENOG KRIŽA NAŠICE;KRALJA TOMISLAVA 6;487;322;322;315;7;0;3;0;3;0;5;19;0;2;71;0;10;11;4;85;7;5;0;0;3;2;1;82;1;1;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;NAŠICE;3;NAŠICE;DOM HRVATSKE VOJSKE;PEJAÈEVIÆEV TRG 16;419;290;290;288;2;0;0;1;1;0;2;12;1;1;56;1;1;8;3;57;9;4;0;0;4;0;0;125;0;0;1;1;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;NAŠICE;4;NAŠICE;"PROSTORIJE ""ELEKTROSLAVONIJE""";NAŠICE;385;261;261;256;5;1;0;0;6;0;7;13;0;0;49;2;7;8;1;38;7;1;0;0;2;1;1;111;0;0;0;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;NAŠICE;5;NAŠICE;PROSTORIJE GRADSKE UDRUGE UMIROVLJENIKA;SOKOLSKA 2 (DVORIŠTE ZGRADE);711;521;521;520;1;1;0;0;1;0;4;15;0;0;91;2;8;12;3;97;21;5;0;0;2;2;1;253;0;0;0;1;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;NAŠICE;6;NAŠICE;"PROSTORIJE ŠAHOVSKOG KLUBA ""SLAVONAC""";JOSIPA JURJA STROSSMAYERA 9;536;379;379;375;4;0;0;0;3;0;11;38;1;2;72;2;5;10;5;64;11;6;0;0;5;1;1;137;0;1;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;NAŠICE;7;NAŠICE;OSNOVNA ŠKOLA KRALJA TOMISLAVA;MATICE HRVATSKE 1;716;477;477;473;4;0;0;0;0;0;8;32;0;5;74;1;17;14;1;116;16;3;0;0;7;2;1;172;1;1;2;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;NAŠICE;8;NAŠICE;"PROSTORIJE DIONIÈKOG DRUŠTVA ""NATIS""";NAŠICE;245;170;170;165;5;0;1;0;0;1;3;12;1;1;37;11;1;4;0;34;5;0;0;0;3;4;0;46;0;0;0;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;NAŠICE;9;NAŠICE;"PROSTORIJE NK ""RADNIK"" ŠIPOVAC";NAŠICE;338;254;254;249;5;0;0;0;3;0;4;28;0;0;49;4;2;4;0;65;8;0;0;0;1;0;0;80;0;0;0;1;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;NAŠICE;10;NAŠICE;PREDVORJE SREDNJE ŠKOLE;NAŠICE;648;469;469;464;5;2;0;0;0;1;4;16;1;1;91;1;14;15;6;154;20;6;0;0;3;1;4;118;2;1;2;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;NAŠICE;11;NAŠICE;VIŠENAMJENSKA DVORANA SREDNJE ŠKOLE;NAŠICE;1.164;828;828;822;6;0;0;1;1;2;10;55;2;1;165;0;25;20;9;190;31;10;0;0;5;8;0;282;1;2;2;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;NAŠICE;12;MARKOVAC NAŠIÈKI;PROSTORIJE ŽELJEZNIÈKOG KOLODVORA;MARKOVAC NAŠIÈKI;702;528;528;517;11;1;1;1;3;2;5;17;2;3;111;4;9;9;0;159;25;3;0;0;5;3;1;150;0;1;0;0;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;NAŠICE;13;MARKOVAC NAŠIÈKI;OSNOVNA ŠKOLA;MARKOVAC NAŠIÈKI;603;390;390;385;5;0;2;2;4;1;3;9;2;2;74;1;6;3;6;140;4;7;0;0;1;4;0;111;1;1;0;1;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;NAŠICE;14;JELISAVAC;OSNOVNA ŠKOLA IVANA BRNJIKA SLOVAKA;JELISAVAC;473;300;300;298;2;0;0;2;2;0;4;12;0;2;86;2;2;1;0;98;2;0;0;0;3;5;1;76;0;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;NAŠICE;15;JELISAVAC;KULTURNI CENTAR SLOVAKA;JELISAVAC;209;162;162;160;2;0;1;0;0;1;1;9;0;1;51;0;1;3;1;46;2;0;0;1;0;5;3;34;0;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;NAŠICE;16;LAÐANSKA;OSNOVNA ŠKOLA;LAÐANSKA;273;176;176;175;1;0;0;0;3;0;2;6;0;0;85;1;2;4;0;54;6;0;0;1;0;0;0;10;1;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;NAŠICE;17;LILA;DRUŠTVENI DOM;LILA;200;156;156;156;0;1;1;3;0;0;2;0;1;0;78;0;0;0;0;44;1;2;0;0;0;3;1;19;0;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;NAŠICE;18;VELIMIROVAC;OSNOVNA ŠKOLA;VELIMIROVAC;981;685;685;675;10;0;0;2;0;3;6;27;1;3;206;3;1;23;7;209;9;2;0;0;2;4;0;166;1;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;NAŠICE;19;VUKOJEVCI;OSNOVNA ŠKOLA;VUKOJEVCI;734;391;391;386;5;2;0;0;0;1;7;70;1;2;73;0;5;14;4;90;4;0;0;0;3;3;3;104;0;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;NAŠICE;20;GRANICE;GLJIVARSKI DOM;GRANICE;126;72;72;71;1;0;0;1;0;0;0;14;0;0;12;0;0;0;0;33;1;0;0;0;0;0;0;10;0;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;NAŠICE;21;MAKLOŠEVAC;DRUŠTVENI DOM;MAKLOŠEVAC;115;81;81;78;3;0;1;0;1;0;0;2;0;0;16;0;0;2;1;21;0;0;0;0;0;2;0;32;0;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;NAŠICE;22;CEREMOŠNJAK;DRUŠTVENI DOM;CEREMOŠNJAK;86;44;44;43;1;0;0;1;0;1;1;5;0;0;23;0;0;0;0;7;1;0;0;0;0;0;0;4;0;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;NAŠICE;23;LONDŽICA;DRUŠTVENI DOM KRAJ ŽELJEZNIÈKE STANICE;LONDŽICA;172;113;113;113;0;0;0;0;2;0;1;30;0;0;39;0;0;0;0;27;0;0;0;0;1;0;0;13;0;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;NAŠICE;24;GRADAC NAŠIÈKI;DRUŠTVENI DOM;GRADAC NAŠIÈKI;111;79;79;79;0;0;0;0;0;1;0;42;0;0;14;0;0;0;1;6;0;0;0;0;0;0;0;15;0;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;NAŠICE;25;ZOLJAN;DRUŠTVENI DOM;ZOLJAN;626;405;405;398;7;0;0;1;6;1;5;47;0;4;96;2;1;5;3;151;5;1;0;0;5;0;0;62;0;1;1;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;NAŠICE;26;MARTIN;DRUŠTVENI DOM;MARTIN;944;628;628;620;8;0;0;0;2;1;1;86;2;4;116;5;4;15;10;201;15;6;0;0;8;10;2;127;1;1;2;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;NAŠICE;27;BREZIK NAŠIÈKI;"PROSTORIJE NOGOMETNOG KLUBA ""BREZIK""";BREZIK NAŠIÈKI;299;214;214;211;3;0;0;1;0;0;1;11;2;3;75;5;7;7;4;63;2;0;0;0;0;3;0;27;0;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ORAHOVICA;1;DONJA PIŠTANA;DRUŠTVENI DOM;B.JELAÈIÆA 18;253;155;155;148;7;0;0;0;1;1;8;0;1;1;29;11;2;4;1;15;2;0;0;0;1;0;1;66;3;0;1;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ORAHOVICA;2;ORAHOVICA;VELIKA GRADSKA VIJEÆNICA;BANA JOSIPA JELAÈIÆA 19;796;540;540;534;6;0;0;0;0;2;30;1;3;0;111;17;8;17;4;50;17;2;0;0;4;3;1;251;1;0;8;2;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ORAHOVICA;3;ORAHOVICA;DOM UDRUŽENJA OBRTNIKA;KRALJA ZVONIMIRA 45;630;417;417;411;6;0;0;1;0;0;15;6;2;0;104;5;9;3;2;47;12;0;1;1;3;4;0;193;0;0;2;1;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ORAHOVICA;4;ORAHOVICA;DOM UMIROVLJENIKA;TRG BANA IVANA MAŽURANIÆA 7;475;340;340;335;5;0;1;1;2;0;24;0;3;3;79;12;6;7;9;21;2;1;0;0;3;3;0;152;0;0;4;0;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ORAHOVICA;5;ORAHOVICA;ZGRADA ŠUMARIJE;ZELENA 3;1.016;710;710;698;12;0;0;4;1;0;19;7;1;2;164;27;15;16;2;85;21;2;0;1;21;5;1;288;2;0;13;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ORAHOVICA;6;ORAHOVICA;DRUŠTVENI DOM U DOLJANIMA;TRG DAMIRA HORNUNGA 2;629;396;396;391;5;1;0;0;1;4;21;5;2;2;99;8;4;31;6;33;11;0;0;0;6;1;2;148;0;0;5;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ORAHOVICA;7;DOLCI;VATROGASNI DOM;DOLCI 65;277;180;180;179;1;1;0;0;4;2;6;4;0;1;64;24;0;7;1;15;3;0;0;0;0;4;2;40;0;0;0;1;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ORAHOVICA;8;CRKVARI;VATROGASNI DOM;CRKVARI 12;131;99;99;97;2;0;1;0;1;0;0;2;0;0;42;1;4;0;1;8;1;0;0;1;0;1;0;32;1;0;1;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ORAHOVICA;9;NOVA JOŠAVA;VATROGASNI DOM;NOVA JOŠAVA 49;163;105;105;104;1;0;0;0;1;0;5;6;1;0;33;5;2;2;1;14;4;0;0;0;1;0;0;29;0;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ORAHOVICA;10;STARA JOŠAVA;VATROGASNI DOM;STARA JOŠAVA 45;227;147;147;144;3;1;1;2;3;0;0;3;0;0;59;4;2;4;0;13;1;1;0;0;1;2;1;45;0;0;1;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;ORAHOVICA;11;DUZLUK;DRUŠTVENI DOM;MANASTIRSKA 9;153;98;98;97;1;1;1;0;1;0;0;0;0;0;31;3;3;1;2;6;2;0;0;0;0;0;0;45;1;0;0;0;0;;;;;;;;;;;;;;;;;
