Izborna jedinica;Država;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: JOVAN AJDUKOVIÆ, dipl. pravnik, Zamjenik: DRAGAN TODIÆ, dipl. pravnik, Predlagatelj: , SRPSKA NARODNA STRANKA - SNS, DEMOKRATSKA PARTIJA SRBA - DPS , NAŠA STRANKA - NS  ;Kandidat: DUŠAN CVETANOVIÆ, Zamjenik: NEVEN ÆUK, Predlagatelj: SAVEZ ZA PROMJENE - SP ;Kandidat: VELJKO DŽAKULA, dipl.ing., Zamjenik: OLIVERA MIOÈINOVIÆ, dr.med. , Predlagatelj: , SRPSKA NARODNA STRANKA - SNS , DEMOKRATSKA PARTIJA SRBA - DPS , NAŠA STRANKA - NS  ;Kandidat: NEMANJA MARIÆ, Zamjenik: DAVID CVETANOVIÆ, Predlagatelj: SAVEZ ZA PROMJENE - SP;Kandidat: LJUBOMIR MIKIÆ, dipl.iur. , Zamjenik: DRAGO PEPIÆ, dipl.iur. , Predlagatelj: NEOVISNI KANDIDAT;Kandidat: SLOBODAN MILOŠEVIÆ, Zamjenik: SOFIJA ÐURKOVIÆ, Predlagatelj: UDRUGA SRBA OSJEÈKO-BARANJSKE ŽUPANIJE - U.S.O.B.Ž. ;Kandidat: prof.dr.sc. MILORAD PUPOVAC , Zamjenik: ALEKSANDAR MILOŠEVIÆ, dipl.pol. , Predlagatelj: SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS ;Kandidat: DRAGANA RESAN, Zamjenik: MIODRAG VESIÆ, Predlagatelj: SAVEZ ZA PROMJENE - SP ;Kandidat: MILAN RODIÆ, mag. iur., Zamjenik: RADMILA MEDAKOVIÆ, ing.el.str., Predlagatelj: , SRPSKA NARODNA STRANKA - SNS , DEMOKRATSKA PARTIJA SRBA - DPS , NAŠA STRANKA - NS ;Kandidat: DUŠKO SIMIÆ, dipl.iur., Zamjenik: ALEKSANDAR KOJIÆ, Predlagatelj: NEOVISNI KANDIDAT;Kandidat: VOJISLAV STANIMIROVIÆ, dr.med., Zamjenik: DRAGAN CRNOGORAC, prof., Predlagatelj: SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS ;Kandidat: BRANISLAV TEKIÆ, dipl.iur., Zamjenik: SAŠA BJELANOVIÆ, Predlagatelj: NEOVISNI KANDIDAT;Kandidat: JOVO VUKOVIÆ, ing.grad., Zamjenik: MILE HORVAT, dipl.iur. , Predlagatelj: SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;AUSTRALIJA;5;biraèko mjesto broj 5 - SYDNEY;GENERALNI KONZULAT REPUBLIKE HRVATSKE U AUSTRALIJI, SYDNEY;"HRVATSKI KLUB ""KRALJ TOMISLAV"", 223-227 EDENSOR RD, EDENSOR PARK, NSW";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;AUSTRALIJA;6;biraèko mjesto broj 6 - PERTH;KONZULAT REPUBLIKE HRVATSKE U AUSTRALIJI, PERTH;9/68 ST. GEORGES TCE, PERTH WA 6000, AUSTRALIJA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;AUSTRIJA;1;biraèko mjesto broj 1 - BEÈ;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI AUSTRIJI;BOTSCHAFT DER REPUBLIK KROATIEN, KONSULARABTEILUNG, OPERNGASSE 20 B, A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;AUSTRIJA;2;biraèko mjesto broj 2 - BEÈ;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI AUSTRIJI;BOTSCHAFT DER REPUBLIK KROATIEN, KONSULARABTEILUNG, OPERNGASSE 20 B, A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;BELGIJA;1;biraèko mjesto broj 1 -  BRUXELLES;VELEPOSLANSTVO REPUBLIKE HRVATSKE U KRALJEVINI BELGIJI;AVENUE LOUISE 425, 1050 BRUXELLES, BELGIJA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;1;biraèko mjesto broj 1 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;"JAVNA USTANOVA OŠ ""ISAK SAMOKOVLIJA"", UL. FRA ANÐELA ZVIZDOVIÆA 1, 710";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;2;biraèko mjesto broj 2 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;"JAVNA USTANOVA OŠ ""ISAK SAMOKOVLIJA"", UL. FRA ANÐELA ZVIZDOVIÆA 1, 710";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;3;biraèko mjesto broj 3 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;"JAVNA USTANOVA OŠ ""ISAK SAMOKOVLIJA"", UL. FRA ANÐELA ZVIZDOVIÆA 1, 710";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;4;biraèko mjesto broj 4 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;"JAVNA USTANOVA OŠ ""ISAK SAMOKOVLIJA"", UL. FRA ANÐELA ZVIZDOVIÆA 1, 710";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;5;biraèko mjesto broj 5 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;"JAVNA USTANOVA OŠ ""ISAK SAMOKOVLIJA"", UL. FRA ANÐELA ZVIZDOVIÆA 1, 710";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
