Izborna jedinica;Grad / opæina;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  MIRKO MAKAUS ;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  GORAN OŽANIÆ;AKCIJA MLADIH - AM , LISTA ZA RIJEKU - LISTA-RI , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH  , Nositelj liste:  DANKO ŠVORINIÆ ;AKCIJA ZA BOLJU HRVATSKU - ABH , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  mr.sc. ŽELJKO SAÈIÆ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  ANDRIJA ŠKRIBULJA  ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ  ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR;HRVATSKA 21. STOLJEÆA - HRVATSKA 21.  ,  Nositelj liste:  NATAŠA SRDOÈ  ;HRVATSKA SELJAÈKA STRANKA - HSS , ZELENA STRANKA - ZS , STRANKA PENZIONERA - SP  , Nositelj liste:  IVO ZRILIÆ ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  dr.sc. IVAN KIRIN;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  DAVOR JURICA ;ISTARSKA SOCIJALDEMOKRATSKA NEZAVISNA STRANKA - ISDNS  , Nositelj liste:  IVAN JANKO  ;LADONJA  , Nositelj liste:  PLINIO CUCCURIN  ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  ZDRAVKO BERIÆ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ ;PRIMORSKO GORANSKI SAVEZ - PGS , BLOK UMIROVLJENICI ZAJEDNO - BUZ , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS  , Nositelj liste:  IVAN PERNAR   ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  IVAN PLJEŠA;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad.;VOLIM HRVATSKU - VH  , Nositelj liste:  prof.dr.sc. ZVONKO ÈAPKO ;ZELENA LISTA  , Nositelj liste:  DARKO ANTOŠ  ;ZELENA STRANKA-ZELENA ALTERNATIVA - ZELENI  , Nositelj liste:  mr.sc. JOSIP-ANTON RUPNIK;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;KRK;5;KORNIÆ;MJESNI DOM KORNIÆ;KORNIÆ;527;275;275;269;6;0;0;1;1;0;0;36;0;1;16;2;3;9;1;1;2;0;5;60;3;125;1;0;2;0;0;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;KRK;6;VRH;MJESNI DOM VRH;VRH;771;452;452;433;19;0;1;8;4;3;1;84;0;6;5;6;3;11;9;0;1;0;13;116;3;156;0;0;1;1;1;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;KRK;7;PINEZIÆI;MJESNI DOM PINEZIÆI;PINEZIÆI;374;245;245;240;5;0;0;5;3;2;1;33;0;5;3;4;2;7;0;0;2;0;12;56;3;100;1;0;1;0;0;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;KRK;8;BRZAC;MJESNI DOM BRZAC;BRZAC;426;251;248;246;2;1;0;5;3;0;1;23;0;5;6;6;5;18;8;0;2;0;2;62;1;98;0;0;0;0;0;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;KRK;9;BAJÈIÆI;MJESNI DOM BAJÈIÆI;BAJÈIÆI;414;293;293;287;6;0;1;6;1;2;3;32;1;5;3;3;0;15;4;0;0;0;4;91;3;109;1;0;0;3;0;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;LABIN;1;RABAC;"DJEÈJI VRTIÆ ""PJERINA VERBANAC""";JADRANSKA BB, RABAC;633;409;409;402;7;0;1;2;2;1;3;37;0;1;5;0;0;27;0;3;16;0;6;11;0;277;3;3;0;1;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;LABIN;2;RABAC;"DJEÈJI VRTIÆ ""PJERINA VERBANAC""";JADRANSKA BB, RABAC;851;456;456;450;6;2;2;1;1;0;3;23;0;3;1;0;1;22;3;2;22;0;11;5;1;341;0;0;1;1;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;LABIN;3;RIPENDA;"LOVAÈKI DOM ""KAMENJARKA""";RIPENDA;209;138;138;135;3;0;1;0;0;0;1;0;1;0;1;4;1;5;0;3;10;0;2;2;0;97;0;0;0;2;5;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;LABIN;4;KAPELICA;DRUŠTVENE PROSTORIJE;KAPELICA BR. 57, LABIN;786;474;474;469;5;0;0;2;3;0;2;32;3;2;10;5;5;29;0;8;20;0;8;9;3;323;2;1;0;0;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;LABIN;5;ROGOÈANA;PROSTORIJE KLUBA UMIROVLJENIKA;KALIÆ 2, LABIN;208;101;100;100;0;0;0;0;0;0;0;3;0;2;2;0;0;4;0;0;6;0;0;0;0;83;0;0;0;0;0;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;LABIN;6;LABIN - STARI GRAD;PROSTORIJE ZAJEDNICE TALIJANA LABIN;J. RAKOVCA 4, LABIN;1.195;747;747;737;10;0;2;4;0;0;2;32;5;3;5;3;1;58;1;13;52;0;12;16;2;516;1;0;0;1;8;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;LABIN;7;LABIN;"ŠKOLA ""LIÈE FARAGUNA"" 1";LABIN;554;329;329;324;5;1;2;4;1;0;4;14;4;3;5;1;1;21;0;6;11;1;4;8;0;223;4;0;1;3;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;LABIN;8;LABIN;"ŠKOLA ""LIÈE FARAGUNA"" 2";LABIN;507;324;324;318;6;1;1;1;1;1;1;23;0;4;6;1;1;14;1;2;18;0;1;4;1;230;2;0;1;0;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;LABIN;9;LABIN;"OSNOVNA ŠKOLA ""IVO LOLA RIBAR""";TRG LABINSKIH RUDARA BB, LABIN;748;435;435;429;6;0;1;3;2;3;0;26;3;3;6;8;2;21;1;8;18;1;9;6;3;301;1;0;0;1;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;LABIN;10;LABIN;PROSTORIJE MJESNOG ODBORA;TRG LABINSKIH RUDARA BB, LABIN;1.048;587;587;580;7;2;3;7;2;0;4;39;1;2;5;0;6;28;2;10;20;0;9;10;0;423;4;0;1;1;1;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;LABIN;11;LABIN - KATURE;"DJEÈJI VRTIÆ ""PJERINA VERBANAC"" 1";LABIN;599;384;384;378;6;2;1;4;1;3;0;14;1;1;1;6;2;28;0;2;24;1;6;4;0;268;4;0;1;0;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;LABIN;12;LABIN - KATURE;"DJEÈJI VRTIÆ ""PJERINA VERBANAC"" 2";LABIN;1.034;697;697;684;13;0;0;3;0;2;5;29;2;4;8;1;2;40;1;4;42;0;12;12;0;502;3;0;0;5;7;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;LABIN;13;LABIN - KATURE;PROSTORIJE KLUBA UMIROVLJENIKA;ISTARSKA 13, LABIN;829;543;543;528;15;1;2;4;0;1;2;17;3;3;1;4;2;31;1;5;33;0;9;10;1;384;5;1;1;2;5;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;LABIN;14;LABIN - VINEŽ;DOM KULTURE VINEŽ;LABIN;1.057;681;676;669;7;0;0;5;3;0;1;19;0;3;7;3;2;64;1;10;25;1;4;12;0;498;4;0;0;2;5;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;LABIN;15;LABIN - STARCI;PROSTORIJE HEP-A;STARCI BB, LABIN;589;400;400;390;10;1;0;6;1;0;1;20;1;3;2;3;0;19;2;5;29;0;5;9;3;276;0;0;0;0;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;LABIN;16;LABIN - VINEŽ;"PODRUÈNA OŠ ""IVO LOLA RIBAR""";VINEŽ;183;118;118;117;1;0;0;1;0;0;0;4;2;0;0;1;0;7;0;1;7;0;0;1;0;91;0;0;0;1;1;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;MALI LOŠINJ;1;MALI LOŠINJ;"TURISTIÈKA AGENCIJA ""LOŠINJSKA PLOVIDBA""";M. LOŠINJ;962;552;550;548;2;1;5;8;8;2;5;70;2;6;9;12;10;35;16;3;5;1;14;22;3;301;3;0;0;1;6;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;MALI LOŠINJ;2;MALI LOŠINJ;TURISTIÈKA ZAJEDNICA GRADA M. LOŠINJA;M. LOŠINJ;858;548;548;539;9;1;3;11;9;2;3;66;0;5;15;7;7;26;14;2;8;1;24;19;3;303;0;0;0;3;7;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;MALI LOŠINJ;3;MALI LOŠINJ;VODOVOD I ÈISTOÆA CRES MALI LOŠINJ;M. LOŠINJ, TRG ŽRTAVA FAŠIZMA 6;1.039;646;646;636;10;0;3;10;6;1;3;97;2;8;26;6;13;39;19;1;8;0;18;44;2;316;1;0;3;5;5;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;MALI LOŠINJ;4;MALI LOŠINJ;UDRUGA UMIROVLJENIKA GRADA MALOG LOŠINJA;M. LOŠINJ, BRAÆE IVANA I STJEPANA VIDULIÆA 14;1.447;844;844;830;14;1;0;15;16;5;3;153;3;12;24;10;13;58;29;1;6;0;20;44;8;393;4;1;6;2;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;MALI LOŠINJ;5;MALI LOŠINJ;"TURISTIÈKA AGENCIJA ""PUNTARKA NOVA"" D.O.O.";M. LOŠINJ, TRG ZAGAZINJINE 1;1.193;769;769;754;15;4;2;14;7;4;3;145;1;5;16;15;16;42;24;5;2;1;23;56;2;360;0;0;0;5;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;MALI LOŠINJ;6;VELI LOŠINJ;PROSTORIJA MJESNOG ODBORA;VELI LOŠINJ, OBALA MARŠALA TITA 36;849;483;483;470;13;1;2;9;2;1;2;74;5;9;22;8;9;25;5;3;5;0;13;23;1;239;2;1;0;2;7;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;MALI LOŠINJ;7;ILOVIK;ILOVIK - PROSTORIJA MJESNOG ODBORA;ILOVIK;162;46;45;43;2;0;0;2;1;0;0;8;0;1;0;1;0;8;2;0;4;0;1;4;0;9;0;0;0;0;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;MALI LOŠINJ;8;SUSAK;SUSAK - PROSTORIJE MJESNOG ODBORA;SUSAK;340;87;87;86;1;0;0;0;0;1;0;38;0;2;0;1;1;2;0;1;0;0;0;2;1;33;0;0;2;0;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;MALI LOŠINJ;9;UNIJE;UNIJE - PROSTORIJA OSNOVNE ŠKOLE;UNIJE;137;55;55;55;0;0;0;1;3;1;0;9;0;1;1;1;1;0;3;0;0;0;2;0;0;31;0;0;0;1;0;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;MALI LOŠINJ;10;ÆUNSKI;ÆUNSKI - PROSTORIJE MJESNOG ODBORA;ÆUNSKI;273;141;141;141;0;0;0;3;0;0;0;23;1;0;5;2;3;10;0;2;0;0;3;7;0;81;0;0;0;1;0;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;MALI LOŠINJ;11;NEREZINE;"NEREZINE - PROSTORIJA ""GRADSKE VIJEÆNICE""";NEREZINE;534;274;274;270;4;0;2;3;5;0;2;44;0;6;10;2;0;13;3;2;10;0;5;12;2;145;0;0;0;1;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;MALI LOŠINJ;12;PUNTA KRIŽA;PUNTA KRIŽA - PROSTORIJA OSNOVNE ŠKOLE;PUNTA KRIŽA;72;40;40;40;0;0;2;0;1;0;1;13;0;0;0;0;0;0;1;0;0;0;1;2;0;18;0;0;0;1;0;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;MALI LOŠINJ;13;BELEJ;"BELEJ - PROSTORIJA ""ZADRUŽNOG DOMA""";BELEJ;90;47;47;44;3;0;0;5;0;0;0;6;0;0;12;1;0;1;0;2;1;1;0;2;0;12;0;0;0;0;1;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;NOVIGRAD - CITTANOVA;1;NOVIGRAD;"OSNOVNA ŠKOLA ""RIVARELA""";EMONIJSKA 4, NOVIGRAD;1.692;855;855;836;19;1;0;9;2;1;5;142;4;9;1;9;3;31;5;19;54;0;13;17;6;492;1;1;3;4;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;NOVIGRAD - CITTANOVA;2;NOVIGRAD;"OSNOVNA ŠKOLA ""RIVARELA""";EMONIJSKA 4, NOVIGRAD;1.459;916;916;903;13;0;1;4;2;1;2;81;6;4;14;5;4;43;3;14;77;0;15;10;6;593;1;0;4;5;8;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;NOVIGRAD - CITTANOVA;3;DAJLA;"ZGRADA NOGOMETNOG KLUBA ""DAJLA""";DAJLA BB, DAJLA;627;319;319;313;6;1;2;4;0;1;3;45;0;3;2;1;1;27;1;11;12;0;5;6;2;176;5;0;0;3;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;OPATIJA;1;OPATIJA;MJESNI ODBOR OPATIJA - TOŠINA;OPATIJA, GIUSEPPE VERDI 23;789;511;511;507;4;0;4;18;0;1;1;48;2;2;11;6;11;35;0;3;24;0;13;31;1;291;0;0;1;2;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;OPATIJA;2;OPATIJA;"ŠKOLA ""INO MIRKOVIÆ""";OPATIJA, ANDRIJE ŠTANGERA 67;767;451;451;446;5;1;0;17;2;3;2;68;7;6;7;2;3;27;3;1;8;3;9;16;2;251;2;0;0;2;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;OPATIJA;3;OPATIJA;PROSTORIJE MJESNOG ODBORA - KOSOVO;OPATIJA, KOSIÆEVO 7;975;691;640;637;3;0;3;17;3;1;3;72;2;1;3;8;7;44;1;2;13;0;12;30;7;398;0;0;5;0;5;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;OPATIJA;4;POBRI;PROSTORIJE MJESNOG ODBORA - POBRI;POBRI, POBARSKA CESTA 3;964;608;608;604;4;0;2;18;4;1;2;83;3;3;12;9;4;31;1;1;9;0;9;37;2;363;1;0;2;2;5;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;OPATIJA;5;IKA;DRUŠTVENI DOM IKA;IKA, PRIMORSKA ULICA 17;1.029;643;643;631;12;0;5;22;2;1;3;84;3;5;9;7;10;38;3;4;24;0;4;28;5;364;7;0;0;0;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;OPATIJA;6;DOBREÆ;OSNOVNA ŠKOLA - PROSTORIJE MO;DOBREÆ, DOBREÆ 20/C;344;227;227;223;4;0;1;10;3;0;0;29;1;3;1;2;4;11;1;1;3;0;7;6;2;135;0;1;0;1;1;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;OPATIJA;7;VEPRINAC;PROSTORIJE MO VEPRINAC - UÈKA;VEPRINAC, TUMPIÆI 1;968;617;598;591;7;1;4;50;1;3;0;62;2;5;10;14;5;43;1;3;17;0;13;27;0;329;1;0;0;0;0;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;OPATIJA;8;POLJANE;DRUŠTVENI DOM PROSTORIJE MJESNOG ODBORA;POLJANE, POLJANE 67;520;318;318;316;2;1;1;11;1;0;2;26;1;3;6;0;6;12;2;5;16;0;6;8;4;200;1;0;1;1;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;OPATIJA;9;IÈIÆI;MJESNI ODBOR (OSNOVNA ŠKOLA);IÈIÆI, LIBURNIJSKA CESTA 30;848;527;495;486;9;1;0;10;0;0;3;54;7;3;9;3;10;21;0;2;17;0;15;23;3;294;5;0;1;1;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;OPATIJA;10;OPATIJA;PROSTORIJE MJESNOG ODBORA - PUNTA KOLOVA;OPATIJA, M.TITA 157;506;294;294;293;1;0;1;12;0;0;2;38;2;2;1;3;2;18;2;0;11;0;10;7;1;178;0;0;0;2;1;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;OPATIJA;11;OPATIJA;VILLA ANTONIO MEÐ. CEN. ZA NOV.;OPATIJA, NAZOROVA 2;1.128;675;675;666;9;1;2;14;1;0;1;56;1;9;8;8;13;42;3;1;32;0;18;25;1;419;2;0;1;1;7;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;OPATIJA;12;OPATIJA;PROSTORIJE CVENOG KRIŽA;OPATIJA, J. RAKOVCA 15;756;446;443;437;6;0;2;3;1;1;2;51;3;1;9;3;10;21;3;1;21;0;13;12;1;268;3;0;1;5;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;OPATIJA;13;OPATIJA;PROSTORIJE MO CENTAR 2;OPATIJA, VRUTKI 6;934;561;561;557;4;1;1;12;1;1;0;55;1;7;19;5;8;29;1;3;14;0;15;23;1;346;6;0;2;3;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;OPATIJA;14;OPATIJA;GRADSKA VIJEÆNICA;OPATIJA, M. TITA 3;842;506;506;497;9;1;1;15;1;0;2;71;5;2;9;3;3;24;1;0;8;0;14;16;2;317;0;0;1;1;0;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PAZIN;1;BERAM;ZGRADA STARE ŠKOLE;BERAM;383;240;240;238;2;1;3;3;1;0;2;35;0;2;2;1;8;13;3;1;20;0;4;4;1;128;1;0;2;1;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PAZIN;2;GRDOSELO;ZGRADA STARE ŠKOLE;GRDOSELO;128;83;83;81;2;0;0;2;0;2;1;5;1;0;0;1;3;3;2;0;5;0;0;2;0;53;0;0;1;0;0;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PAZIN;3;HEKI;ZGRADA STARE ŠKOLE;HEKI;498;335;335;327;8;0;0;4;1;1;1;30;1;4;8;2;13;13;12;5;38;0;10;2;0;173;1;0;0;5;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PAZIN;4;KATUN TRVIŠKI;DRUŠTVENI DOM;KATUN TRVIŠKI;680;437;437;431;6;2;0;10;5;1;1;39;0;3;8;2;1;8;1;4;80;0;11;5;1;244;0;0;1;3;1;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PAZIN;5;KAŠÆERGA;ZGRADA ŠKOLE;KAŠÆERGA;217;140;140;133;7;0;0;4;1;2;0;8;1;2;5;2;2;9;0;3;6;0;2;2;0;83;1;0;0;0;0;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PAZIN;6;KRŠIKLA;DRUŠTVENE PROSTORIJE;KRŠIKLA;118;57;57;55;2;0;0;2;0;0;1;5;0;0;2;0;0;2;6;0;3;0;0;0;0;31;0;0;0;2;1;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PAZIN;7;LINDAR;ZGRADA STARE ŠKOLE;LINDAR;404;275;275;266;9;0;3;2;4;0;2;17;0;2;0;1;6;11;3;4;18;0;7;10;0;172;0;0;2;0;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PAZIN;8;PAZIN - CENTAR;AUTO - KLUB;DRUŽBA ÆIRILA I METODA 3, PAZIN;1.221;817;817;807;10;0;2;11;4;1;1;87;3;12;11;6;7;42;7;13;60;0;23;12;5;476;3;1;1;8;11;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PAZIN;9;PAZIN-DUBRAVICA;"UPRAVNA ZGRADA TRIKOTAŽE ""ARENA""";DUBRAVICA 2, PAZIN;321;230;230;226;4;1;0;3;0;0;2;15;2;2;6;0;5;15;2;0;15;0;3;6;1;148;0;0;0;0;0;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PAZIN;10;PAZIN - DRŠÆEVKA;SPOMEN DOM;ŠETALIŠTE PAZINSKE GIMN. 3A, PAZIN;1.121;817;817;791;26;0;3;5;4;0;1;64;1;8;7;4;4;40;5;7;44;0;39;10;7;521;6;2;1;3;5;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PAZIN;11;PAZIN - BURAJ;TURISTIÈKA ZAJ. GRADA PAZINA;FRANINE I JURINE 14, PAZIN;509;301;301;287;14;2;1;2;0;0;0;43;3;0;9;3;4;22;8;2;21;0;6;3;0;149;2;0;0;0;7;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PAZIN;12;STARI PAZIN NOVO NASELJE;STARI PAZIN;J. VOLTIÆA BB, PAZIN;1.296;895;894;872;22;0;1;10;1;0;2;77;1;6;14;3;15;52;26;10;60;0;32;19;2;522;2;0;3;6;8;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PAZIN;13;ZABREŽANI;ZGRADA STARE ŠKOLE;ZABREŽANI;280;188;188;175;13;1;1;5;1;0;1;19;1;1;3;0;4;10;3;3;20;0;6;0;4;87;0;0;0;3;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PAZIN;14;ZAMASK;DRUŠTVENI DOM;ZAMASK;108;45;45;45;0;0;0;2;1;1;1;2;4;0;1;0;0;1;0;0;3;0;0;0;1;28;0;0;0;0;0;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;PAZIN;15;ZAREÈJE;DRUŠTVENI DOM;ZAREÈJE, PAZIN;251;174;174;170;4;0;1;1;0;2;1;13;1;2;3;4;1;4;9;3;10;1;4;3;2;103;0;0;0;1;1;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;POREÈ - PARENZO;1;BADERNA;ZGRADA ŠKOLE;BADERNA;477;250;250;246;4;0;2;2;2;0;2;16;2;1;1;2;3;21;7;8;16;0;7;6;0;141;5;0;0;1;1;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;POREÈ - PARENZO;2;ŽBANDAJ;PROSTORIJA MJESNOG ODBORA;ŽBANDAJ;1.207;711;711;696;15;1;2;6;0;2;2;86;1;4;9;2;10;39;1;16;42;1;11;10;9;432;1;5;0;4;0;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;POREÈ - PARENZO;3;FUŠKULIN;ZGRADA ŠKOLE;FUŠKULIN;609;370;370;366;4;0;1;2;0;2;2;30;0;0;2;2;1;17;0;13;14;1;14;3;1;252;1;4;1;0;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;POREÈ - PARENZO;4;POREÈ - PARENZO;DRUŠTVENA PROSTORIJA;TRG KNEZA BRANIMIRA 2, POREÈ;959;698;615;609;6;0;5;5;2;1;1;46;0;5;7;12;0;62;2;8;28;0;13;17;2;386;2;0;2;1;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;POREÈ - PARENZO;5;VELI MAJ;ZGRADA OSNOVNE ŠKOLE;VELI MAJ, POREÈ;1.410;702;702;692;10;1;1;6;0;0;5;73;3;3;10;14;5;58;6;8;33;0;17;13;2;421;0;8;0;0;5;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;POREÈ - PARENZO;6;POREÈ - PARENZO;PROSTORIJE MJESNOG ODBORA;CRESKA 36, POREÈ;1.280;798;737;724;13;2;0;1;0;3;1;70;1;3;6;2;5;44;5;12;39;0;11;17;2;490;2;1;1;1;5;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;POREÈ - PARENZO;7;MUŠALEŽ;PROSTORIJA MJESNOG ODBORA;MUŠALEŽ;455;269;245;239;6;0;1;1;0;0;0;32;1;0;2;7;1;15;0;3;12;0;5;3;1;152;1;0;0;1;1;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;POREÈ - PARENZO;8;VRVARI;ZGRADA ŠKOLE;VRVARI;771;409;409;402;7;0;3;2;3;0;3;54;3;0;1;7;1;26;5;2;15;0;7;1;3;261;0;2;1;0;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;POREÈ - PARENZO;9;POREÈ - PARENZO;VATROGASNI DOM;POREÈ;769;498;498;491;7;0;0;3;2;0;0;42;3;1;12;3;2;42;8;4;23;0;7;7;1;321;5;1;0;2;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;POREÈ - PARENZO;10;POREÈ - PARENZO;POSLOVNI PROSTOR;ROVINJSKA 35;1.074;576;576;571;5;0;2;2;2;1;0;55;1;5;8;5;6;33;8;6;29;0;16;16;2;364;1;0;2;6;1;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;POREÈ - PARENZO;11;POREÈ - PARENZO;"ŠPORTSKA DVORANA ""PALESTRA""";NIKOLE TESLE 6, POREÈ;1.048;632;632;626;6;0;1;2;1;0;5;51;2;6;9;8;6;49;0;11;19;0;10;13;1;416;3;1;4;1;7;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;POREÈ - PARENZO;12;POREÈ - PARENZO;ZGRADA HRVATSKE ELEKTROPRIVREDE;MATE VLAŠIÆA 2, POREÈ;1.134;734;734;726;8;0;1;7;4;0;1;61;4;2;9;5;1;38;3;8;38;0;12;18;3;478;9;10;1;5;8;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;POREÈ - PARENZO;13;POREÈ - PARENZO;MALA SALA PUÈKOG OTVORENOG UÈILIŠTA;ALDA NEGRIJA 5, POREÈ;1.083;582;582;574;8;2;3;3;2;1;1;71;0;2;9;4;3;34;3;8;17;0;11;14;3;365;2;4;1;4;7;;;;;;;;;;;;;;;;;
