Stranka,1. izborna jedinica,2. izborna jedinica,3. izborna jedinica,4. izborna jedinica,5. izborna jedinica,6. izborna jedinica,7. izborna jedinica,8. izborna jedinica,9. izborna jedinica,10. izborna jedinica
ZIVI ZID,1.248746568,1.75811559,1.80370626,1.522377292,1.400312922,1.466651834,1.738550159,2.493435382,2.933684944,0.974796845
DOMOVINSKI POKRET,5.472281014,8.239786075,3.803915307,10.10161775,12.07365625,6.729462819,5.791515256,2.859419691,7.266037903,6.270919787
FOKUS,4.822588204,2.679349609,2.805255972,1.618207994,1.243249938,2.808298028,4.876580881,2.749013977,2.017656653,4.097193381
SDP,13.5265635,14.9302796,22.87487919,12.44061689,11.6745832,14.71321104,14.89370243,27.03771374,10.44107546,12.42566961
HDZ,29.98844899,36.31236681,31.21373331,46.6232932,50.63141665,40.09241963,38.023287,23.84192676,50.25488056,43.26334647
HNS,0.253296702,0.740243489,7.61877227,6.087975297,0.530407431,0.710931262,0.585844607,0.607908674,0.572566013,1.019652656
MOST,16.59397611,16.14132206,5.652383219,9.838662155,11.79559727,14.2675137,13.91696232,11.87805599,20.51341483,24.59053551
