Političke stranke;Rashodi prema financijskom izvještaju o financiranju izborne promidžbe u kunama
Bojan Balog;566*
Željko Balog;16.667
Željko Bogdan;5*
Slavko Burda;0*
Bajro Bajrić;0*
Bojan Balog;566*
Željko Balog;16.667
Željko Bogdan;5*
Slavko Burda;0*
prof.dr.sc. Šemso Tanković;99.197
