Rbr izborne jedinice biraèa;Naziv izborne jedinice biraèa;Rbr.županije;Županija;Oznaka Gr/Op/Dr;Grad/opæina/država;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AUTOHTONA - HRVATSKA STRANKA PRAVA - A - HSP;DARKO TOLIÆ;MARKO ŠKARIÈIÆ;NEVENKA PINTAR;ZLATKO GUDELJ;ZDESLAV RAJIÆ;RENKO KIRIGIN;MATIJA HEMETEK;"""BANDIÆ MILAN 365 - STRANKA RADA I SOLIDARNOSTI"", DEMOKRATSKA PRIGORSKO - ZAGREBAÈKA STRANKA - DPS, DEMOKRATSKA STRANKA ŽENA - DSŽ, HRVATSKA EUROPSKA STRANKA - HES, HRVATSKA RADNIÈKA STRANKA - HRS, HRVATSKA STRANKA ZELENIH - EKO SAVEZ - ZELENI, ISTARSKI DEMOKRATI - DEMOCRATICI ISTRIANI - ID - DI, MEÐIMURSKA STRANKA - MS, NEZAVISNI SELJACI HRVATSKE - NSH, NOVI VAL - STRANKA RAZVOJA - NOVI VAL, STRANKA UMIROVLJENIKA - SU, UMIROVLJENIÈKA DEMOKRATSKA UNIJA - UDU, ZELENI SAVEZ - ZELENI, ZELENA STRANKA - ZS";IVANA BUNTIÆ, mag. iur.;MARICA HRNKAŠ;LEONARDA TOMIÆ;STIPO ÈIÈAK;FRANJO ŽULJ, dipl. ing.;MIRKA JOZIÆ, dipl. oec.;ANTONI BANDIÆ, mag. raèunarstva;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA STRANKA PRAVA DR. ANTE STARÈEVIÆ - HSP AS, BLOK UMIROVLJENICI ZAJEDNO - BUZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRAST - POKRET ZA USPJEŠNU HRVATSKU, HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS, ZAGORSKA DEMOKRATSKA STRANKA - ZDS;BOŽO LJUBIÆ;IVAN ŠUKER;NEVENKO BARBARIÆ;ŽELJKO RAGUŽ;MIJO CRNOJA;ANTE JUKIÆ;DRAGAN KONTA;ŽELJKO GLASNOVIÆ;IVAN SABLIÆ;MIROSLAV PIPLICA;PETAR KUNTIÆ;ZVONIMIR BANOVIÆ;DARIJA PRSKALO;ILIJA JANOVIÆ;HRVATSKA KONZERVATIVNA STRANKA - HKS, HRVATSKA STRANKA PRAVA - HSP, OBITELJSKA STRANKA - OS;DRAŽENKO KOŽUL;TIHOMIR JANJIÈEK;ZLATKO IFKOVIÆ;MARIJANA KLIŠANIN;KATICA DUVNJAK;JANJA SAMARDŽIÆ;MOST NEZAVISNIH LISTA - MOST;JURICA POPOVIÆ;SANJA ILIÆ, prof.;ZORAN KOZINA, ing. stroj.;dr. sc. ZORANA IVANKOVIÆ BULJAN;MIRKO SOLDO, mag. oec.;MARIJANA GALOV, dr. med.;VLADIMIR JURIŠIÆ;NARODNA STRANKA - REFORMISTI - REFORMISTI, NAPRIJED HRVATSKA! - PROGRESIVNI SAVEZ IVE JOSIPOVIÆA, STRANKA HRVATSKIH UMIROVLJENIKA - UMIROVLJENICI, ZELENI FORUM, DUBROVAÈKI DEMOKRATSKI SABOR - DDS;MARIN GORETA;PAVICA BRÈIÆ KARARIÆ;NENAD MANDIÆ;SREÆKO FILIPOVIÆ;TATJANA TOMEC;BLANKA ŠMIT;ODRŽIVI RAZVOJ HRVATSKE - ORaH;ANDREJ FERDINAND NOVAK;RAJKA RADOŠ;JOSIP BOŠNJAK;MARTINA SAMARDŽIÆ;dr. sc. ŽELJKO POROBIJA;JULIJANA PRANJIÆ;TOMY ROSY;VERA PIPINIÆ;U IME OBITELJI - PROJEKT DOMOVINA;RANKO RADOŠ;ZORICA KNEŽEVIÆ;STIPE PERIÆ;ANTONIJA TOMIÆ;DUJE GALE;JACINTA LAŠTRO;MARIJA ŽIGA;MARIJA SUŠA;JOZO BAGARIÆ;HRVATSKA KRŠÆANSKA DEMOKRATSKA UNIJA - HKDU, HRVATSKA DEMOKRATSKA STRANKA, NACIONALNI DEMOKRATI - ND;ROMEO PAVLIÆ;MARINA CVITAN;LANA MAJIÆ;KATARINA TOMAS;MARIN GRDOVIÆ;LUCA JAHIÆ;ZVONIMIR BOBAN;NEOVISNA LISTA - VESNA PINJUH;VESNA PINJUH;IVAN TOKIÆ;JURICA GRGIÆ;MIRA ZELÈIÆ;VELIMIR ÈEÈURA;MARTINA ROMIÆ;JOSIP LEKO;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP;MILAN VASILJEVIÆ;BORA DIDULICA;GORAN STOJAKOVIÆ;SPASENIJE DOKMANOVIÆ;RADISAV ALEKSIÆ;ÐURO LIVUN
011;XI. IZBORNA JEDINICA;;;država;HRVATSKA;053;BIRAÈKO MJESTO BROJ 11 - OSIJEK;ZATVOR;OSIJEK, KARDINALA ALOJZIJA STEPINCA 8A;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
011;XI. IZBORNA JEDINICA;;;država;HRVATSKA;054;BIRAÈKO MJESTO BROJ 12 - PULA-POLA;ZATVOR;PULA, S. S. KRANJÈEVIÆA 6;18;18;18;17;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0
011;XI. IZBORNA JEDINICA;;;država;HRVATSKA;055;BIRAÈKO MJESTO BROJ 13 - PULA-POLA;KAZNIONICA U VALTURI;PULA, VALTURSKO POLJE 211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
011;XI. IZBORNA JEDINICA;;;država;HRVATSKA;056;BIRAÈKO MJESTO BROJ 14 - RIJEKA;ZATVOR;RIJEKA, ŽRTAVA FAŠIZMA 5;5;5;5;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
011;XI. IZBORNA JEDINICA;;;država;HRVATSKA;057;BIRAÈKO MJESTO BROJ 15 - SISAK;ZATVOR;SISAK, RIMSKA 19;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
011;XI. IZBORNA JEDINICA;;;država;HRVATSKA;058;BIRAÈKO MJESTO BROJ 16 - SPLIT;ZATVOR;SPLIT, DRAÈEVAC 2C;8;8;8;7;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0
011;XI. IZBORNA JEDINICA;;;država;HRVATSKA;059;BIRAÈKO MJESTO BROJ 17 - ŠIBENIK;ZATVOR;ŠIBENIK, KARLA VIPAUCA 1;2;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
011;XI. IZBORNA JEDINICA;;;država;HRVATSKA;060;BIRAÈKO MJESTO BROJ 18 - VARAŽDIN;ZATVOR;VARAŽDIN, BRAÆE RADIÆA 4;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
011;XI. IZBORNA JEDINICA;;;država;HRVATSKA;061;BIRAÈKO MJESTO BROJ 19 - ZADAR;ZATVOR;ZADAR, ZORE DALMATINSKE 1;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
011;XI. IZBORNA JEDINICA;;;država;HRVATSKA;062;BIRAÈKO MJESTO BROJ 20 - POPOVAÈA;KAZNIONICA U LIPOVICI-POPOVAÈI;POPOVAÈA, LIPOVEÈKA 22;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
011;XI. IZBORNA JEDINICA;;;država;HRVATSKA;063;BIRAÈKO MJESTO BROJ 21 - GLINA;KAZNIONICA;GLINA, VINOGRADSKA 2;42;42;42;38;4;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;1;17;2;2;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;1;0;1;0;0;0;0;5;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
