Rbr izborne jedinice biraèa;Naziv izborne jedinice biraèa;Rbr.županije;Županija;Oznaka Gr/Op/Dr;Grad/opæina/država;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;RÓBERT JANKOVICS;ŠANDOR JUHAS
001;I. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;DUGO SELO;001;PU 04-20, DUGO SELO;VATROGASNI DOM DONJE DVORIŠÆE;DONJE DVORIŠÆE, DVORIŠKA 43;0;0;0;0;0;0;0
003;III. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;DUGO SELO;001;PU 04-20, DUGO SELO;VATROGASNI DOM DONJE DVORIŠÆE;DONJE DVORIŠÆE, DVORIŠKA 43;0;0;0;0;0;0;0
004;IV. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;DUGO SELO;001;PU 04-20, DUGO SELO;VATROGASNI DOM DONJE DVORIŠÆE;DONJE DVORIŠÆE, DVORIŠKA 43;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;DUGO SELO;001;PU 04-20, DUGO SELO;VATROGASNI DOM DONJE DVORIŠÆE;DONJE DVORIŠÆE, DVORIŠKA 43;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;DUGO SELO;001;PU 04-20, DUGO SELO;VATROGASNI DOM DONJE DVORIŠÆE;DONJE DVORIŠÆE, DVORIŠKA 43;0;0;0;0;0;0;0
007;VII. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;DUGO SELO;001;PU 04-20, DUGO SELO;VATROGASNI DOM DONJE DVORIŠÆE;DONJE DVORIŠÆE, DVORIŠKA 43;0;0;0;0;0;0;0
008;VIII. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;DUGO SELO;001;PU 04-20, DUGO SELO;VATROGASNI DOM DONJE DVORIŠÆE;DONJE DVORIŠÆE, DVORIŠKA 43;0;0;0;0;0;0;0
009;IX. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;DUGO SELO;001;PU 04-20, DUGO SELO;VATROGASNI DOM DONJE DVORIŠÆE;DONJE DVORIŠÆE, DVORIŠKA 43;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;DUGO SELO;001;PU 04-20, DUGO SELO;VATROGASNI DOM DONJE DVORIŠÆE;DONJE DVORIŠÆE, DVORIŠKA 43;0;0;0;0;0;0;0
001;I. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;IVANIÆ-GRAD;001;DOM 24, IVANIÆ GRAD;DOM ZA PSIHIÈKI BOLESNE ODRASLE OSOBE BISER;GRANIÈARSKA 2;0;0;0;0;0;0;0
002;II. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;IVANIÆ-GRAD;001;DOM 24, IVANIÆ GRAD;DOM ZA PSIHIÈKI BOLESNE ODRASLE OSOBE BISER;GRANIÈARSKA 2;0;0;0;0;0;0;0
003;III. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;IVANIÆ-GRAD;001;DOM 24, IVANIÆ GRAD;DOM ZA PSIHIÈKI BOLESNE ODRASLE OSOBE BISER;GRANIÈARSKA 2;0;0;0;0;0;0;0
004;IV. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;IVANIÆ-GRAD;001;DOM 24, IVANIÆ GRAD;DOM ZA PSIHIÈKI BOLESNE ODRASLE OSOBE BISER;GRANIÈARSKA 2;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;IVANIÆ-GRAD;001;DOM 24, IVANIÆ GRAD;DOM ZA PSIHIÈKI BOLESNE ODRASLE OSOBE BISER;GRANIÈARSKA 2;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;IVANIÆ-GRAD;001;DOM 24, IVANIÆ GRAD;DOM ZA PSIHIÈKI BOLESNE ODRASLE OSOBE BISER;GRANIÈARSKA 2;0;0;0;0;0;0;0
007;VII. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;IVANIÆ-GRAD;001;DOM 24, IVANIÆ GRAD;DOM ZA PSIHIÈKI BOLESNE ODRASLE OSOBE BISER;GRANIÈARSKA 2;0;0;0;0;0;0;0
008;VIII. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;IVANIÆ-GRAD;001;DOM 24, IVANIÆ GRAD;DOM ZA PSIHIÈKI BOLESNE ODRASLE OSOBE BISER;GRANIÈARSKA 2;0;0;0;0;0;0;0
009;IX. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;IVANIÆ-GRAD;001;DOM 24, IVANIÆ GRAD;DOM ZA PSIHIÈKI BOLESNE ODRASLE OSOBE BISER;GRANIÈARSKA 2;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;IVANIÆ-GRAD;001;DOM 24, IVANIÆ GRAD;DOM ZA PSIHIÈKI BOLESNE ODRASLE OSOBE BISER;GRANIÈARSKA 2;0;0;0;0;0;0;0
001;I. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;IVANIÆ-GRAD;002;PU 02-17, IVANIÆ GRAD;CENTAR - MALA SALA PUÈKOG OTVORENOG UÈILIŠTA;MOSLOVAÈKA 11, IVANIÆ GRAD;0;0;0;0;0;0;0
002;II. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;IVANIÆ-GRAD;002;PU 02-17, IVANIÆ GRAD;CENTAR - MALA SALA PUÈKOG OTVORENOG UÈILIŠTA;MOSLOVAÈKA 11, IVANIÆ GRAD;0;0;0;0;0;0;0
003;III. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;IVANIÆ-GRAD;002;PU 02-17, IVANIÆ GRAD;CENTAR - MALA SALA PUÈKOG OTVORENOG UÈILIŠTA;MOSLOVAÈKA 11, IVANIÆ GRAD;0;0;0;0;0;0;0
004;IV. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;IVANIÆ-GRAD;002;PU 02-17, IVANIÆ GRAD;CENTAR - MALA SALA PUÈKOG OTVORENOG UÈILIŠTA;MOSLOVAÈKA 11, IVANIÆ GRAD;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;IVANIÆ-GRAD;002;PU 02-17, IVANIÆ GRAD;CENTAR - MALA SALA PUÈKOG OTVORENOG UÈILIŠTA;MOSLOVAÈKA 11, IVANIÆ GRAD;0;0;0;0;0;0;0
007;VII. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;IVANIÆ-GRAD;002;PU 02-17, IVANIÆ GRAD;CENTAR - MALA SALA PUÈKOG OTVORENOG UÈILIŠTA;MOSLOVAÈKA 11, IVANIÆ GRAD;0;0;0;0;0;0;0
008;VIII. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;IVANIÆ-GRAD;002;PU 02-17, IVANIÆ GRAD;CENTAR - MALA SALA PUÈKOG OTVORENOG UÈILIŠTA;MOSLOVAÈKA 11, IVANIÆ GRAD;0;0;0;0;0;0;0
009;IX. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;IVANIÆ-GRAD;002;PU 02-17, IVANIÆ GRAD;CENTAR - MALA SALA PUÈKOG OTVORENOG UÈILIŠTA;MOSLOVAÈKA 11, IVANIÆ GRAD;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;IVANIÆ-GRAD;002;PU 02-17, IVANIÆ GRAD;CENTAR - MALA SALA PUÈKOG OTVORENOG UÈILIŠTA;MOSLOVAÈKA 11, IVANIÆ GRAD;0;0;0;0;0;0;0
001;I. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;001;PU 04-52, JASTREBARSKO;JASTREBARSKO VII (ZGRADA GRADSKE UPRAVE);TRG JOSIPA JURJA STROSSMAYERA 13;0;0;0;0;0;0;0
002;II. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;001;PU 04-52, JASTREBARSKO;JASTREBARSKO VII (ZGRADA GRADSKE UPRAVE);TRG JOSIPA JURJA STROSSMAYERA 13;0;0;0;0;0;0;0
003;III. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;001;PU 04-52, JASTREBARSKO;JASTREBARSKO VII (ZGRADA GRADSKE UPRAVE);TRG JOSIPA JURJA STROSSMAYERA 13;0;0;0;0;0;0;0
004;IV. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;001;PU 04-52, JASTREBARSKO;JASTREBARSKO VII (ZGRADA GRADSKE UPRAVE);TRG JOSIPA JURJA STROSSMAYERA 13;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;001;PU 04-52, JASTREBARSKO;JASTREBARSKO VII (ZGRADA GRADSKE UPRAVE);TRG JOSIPA JURJA STROSSMAYERA 13;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;001;PU 04-52, JASTREBARSKO;JASTREBARSKO VII (ZGRADA GRADSKE UPRAVE);TRG JOSIPA JURJA STROSSMAYERA 13;0;0;0;0;0;0;0
008;VIII. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;001;PU 04-52, JASTREBARSKO;JASTREBARSKO VII (ZGRADA GRADSKE UPRAVE);TRG JOSIPA JURJA STROSSMAYERA 13;0;0;0;0;0;0;0
009;IX. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;001;PU 04-52, JASTREBARSKO;JASTREBARSKO VII (ZGRADA GRADSKE UPRAVE);TRG JOSIPA JURJA STROSSMAYERA 13;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;JASTREBARSKO;001;PU 04-52, JASTREBARSKO;JASTREBARSKO VII (ZGRADA GRADSKE UPRAVE);TRG JOSIPA JURJA STROSSMAYERA 13;0;0;0;0;0;0;0
001;I. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;001;PU 06-73, SAMOBOR;PROSTORIJE SREDNJIH ŠKOLA (MALA KONGRESNA DVORANA);SAMOBOR, HEBRANGOVA;0;0;0;0;0;0;0
002;II. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;001;PU 06-73, SAMOBOR;PROSTORIJE SREDNJIH ŠKOLA (MALA KONGRESNA DVORANA);SAMOBOR, HEBRANGOVA;0;0;0;0;0;0;0
003;III. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;001;PU 06-73, SAMOBOR;PROSTORIJE SREDNJIH ŠKOLA (MALA KONGRESNA DVORANA);SAMOBOR, HEBRANGOVA;0;0;0;0;0;0;0
004;IV. IZBORNA JEDINICA;1;ZAGREBAÈKA ŽUPANIJA;grad;SAMOBOR;001;PU 06-73, SAMOBOR;PROSTORIJE SREDNJIH ŠKOLA (MALA KONGRESNA DVORANA);SAMOBOR, HEBRANGOVA;1;0;0;0;0;0;0
