Rbr izborne jedinice biraèa;Naziv izborne jedinice biraèa;Rbr.županije;Županija;Oznaka Gr/Op/Dr;Grad/opæina/država;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;RÓBERT JANKOVICS;ŠANDOR JUHAS
007;VII. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;ZADAR;004;BROD 14, DONAT;ZADAR;ZADAR;0;0;0;0;0;0;0
008;VIII. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;ZADAR;004;BROD 14, DONAT;ZADAR;ZADAR;0;0;0;0;0;0;0
009;IX. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;ZADAR;004;BROD 14, DONAT;ZADAR;ZADAR;0;0;0;0;0;0;0
010;X. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;ZADAR;004;BROD 14, DONAT;ZADAR;ZADAR;0;0;0;0;0;0;0
001;I. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;ZADAR;005;BROD 15, DUGI OTOK;ZADAR;ZADAR;0;0;0;0;0;0;0
002;II. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;ZADAR;005;BROD 15, DUGI OTOK;ZADAR;ZADAR;0;0;0;0;0;0;0
003;III. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;ZADAR;005;BROD 15, DUGI OTOK;ZADAR;ZADAR;0;0;0;0;0;0;0
004;IV. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;ZADAR;005;BROD 15, DUGI OTOK;ZADAR;ZADAR;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;ZADAR;005;BROD 15, DUGI OTOK;ZADAR;ZADAR;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;ZADAR;005;BROD 15, DUGI OTOK;ZADAR;ZADAR;0;0;0;0;0;0;0
