Rbr IJ;Naziv izborne jedinice;Rbr.županije;Županija;Oznaka Gr/Op/Dr;Grad/opæina/država;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AUTOHTONA - HRVATSKA STRANKA PRAVA - A - HSP;DARKO TOLIÆ;MARKO ŠKARIÈIÆ;NEVENKA PINTAR;ZLATKO GUDELJ;ZDESLAV RAJIÆ;RENKO KIRIGIN;MATIJA HEMETEK;"""BANDIÆ MILAN 365 - STRANKA RADA I SOLIDARNOSTI"", DEMOKRATSKA PRIGORSKO - ZAGREBAÈKA STRANKA - DPS, DEMOKRATSKA STRANKA ŽENA - DSŽ, HRVATSKA EUROPSKA STRANKA - HES, HRVATSKA RADNIÈKA STRANKA - HRS, HRVATSKA STRANKA ZELENIH - EKO SAVEZ - ZELENI, ISTARSKI DEMOKRATI - DEMOCRATICI ISTRIANI - ID - DI, MEÐIMURSKA STRANKA - MS, NEZAVISNI SELJACI HRVATSKE - NSH, NOVI VAL - STRANKA RAZVOJA - NOVI VAL, STRANKA UMIROVLJENIKA - SU, UMIROVLJENIÈKA DEMOKRATSKA UNIJA - UDU, ZELENI SAVEZ - ZELENI, ZELENA STRANKA - ZS";IVANA BUNTIÆ, mag. iur.;MARICA HRNKAŠ;LEONARDA TOMIÆ;STIPO ÈIÈAK;FRANJO ŽULJ, dipl. ing.;MIRKA JOZIÆ, dipl. oec.;ANTONI BANDIÆ, mag. raèunarstva;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA STRANKA PRAVA DR. ANTE STARÈEVIÆ - HSP AS, BLOK UMIROVLJENICI ZAJEDNO - BUZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRAST - POKRET ZA USPJEŠNU HRVATSKU, HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS, ZAGORSKA DEMOKRATSKA STRANKA - ZDS;BOŽO LJUBIÆ;IVAN ŠUKER;NEVENKO BARBARIÆ;ŽELJKO RAGUŽ;MIJO CRNOJA;ANTE JUKIÆ;DRAGAN KONTA;ŽELJKO GLASNOVIÆ;IVAN SABLIÆ;MIROSLAV PIPLICA;PETAR KUNTIÆ;ZVONIMIR BANOVIÆ;DARIJA PRSKALO;ILIJA JANOVIÆ;HRVATSKA KONZERVATIVNA STRANKA - HKS, HRVATSKA STRANKA PRAVA - HSP, OBITELJSKA STRANKA - OS;DRAŽENKO KOŽUL;TIHOMIR JANJIÈEK;ZLATKO IFKOVIÆ;MARIJANA KLIŠANIN;KATICA DUVNJAK;JANJA SAMARDŽIÆ;MOST NEZAVISNIH LISTA - MOST;JURICA POPOVIÆ;SANJA ILIÆ, prof.;ZORAN KOZINA, ing. stroj.;dr. sc. ZORANA IVANKOVIÆ BULJAN;MIRKO SOLDO, mag. oec.;MARIJANA GALOV, dr. med.;VLADIMIR JURIŠIÆ;NARODNA STRANKA - REFORMISTI - REFORMISTI, NAPRIJED HRVATSKA! - PROGRESIVNI SAVEZ IVE JOSIPOVIÆA, STRANKA HRVATSKIH UMIROVLJENIKA - UMIROVLJENICI, ZELENI FORUM, DUBROVAÈKI DEMOKRATSKI SABOR - DDS;MARIN GORETA;PAVICA BRÈIÆ KARARIÆ;NENAD MANDIÆ;SREÆKO FILIPOVIÆ;TATJANA TOMEC;BLANKA ŠMIT;ODRŽIVI RAZVOJ HRVATSKE - ORaH;ANDREJ FERDINAND NOVAK;RAJKA RADOŠ;JOSIP BOŠNJAK;MARTINA SAMARDŽIÆ;dr. sc. ŽELJKO POROBIJA;JULIJANA PRANJIÆ;TOMY ROSY;VERA PIPINIÆ;U IME OBITELJI - PROJEKT DOMOVINA;RANKO RADOŠ;ZORICA KNEŽEVIÆ;STIPE PERIÆ;ANTONIJA TOMIÆ;DUJE GALE;JACINTA LAŠTRO;MARIJA ŽIGA;MARIJA SUŠA;JOZO BAGARIÆ;HRVATSKA KRŠÆANSKA DEMOKRATSKA UNIJA - HKDU, HRVATSKA DEMOKRATSKA STRANKA, NACIONALNI DEMOKRATI - ND;ROMEO PAVLIÆ;MARINA CVITAN;LANA MAJIÆ;KATARINA TOMAS;MARIN GRDOVIÆ;LUCA JAHIÆ;ZVONIMIR BOBAN;NEOVISNA LISTA - VESNA PINJUH;VESNA PINJUH;IVAN TOKIÆ;JURICA GRGIÆ;MIRA ZELÈIÆ;VELIMIR ÈEÈURA;MARTINA ROMIÆ;JOSIP LEKO;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP;MILAN VASILJEVIÆ;BORA DIDULICA;GORAN STOJAKOVIÆ;SPASENIJE DOKMANOVIÆ;RADISAV ALEKSIÆ;ÐURO LIVUN
011;XI. IZBORNA JEDINICA;;inozemstvo;država;AUSTRIJA;002;biraèko mjesto broj 2 - BEÈ;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI AUSTRIJI;OPERNGASSE 20 B, 1040 WIEN, AUSTRIJA;261;261;261;253;8;1;0;0;0;0;0;0;0;4;0;0;0;0;1;0;1;206;16;24;0;3;3;9;1;44;1;54;0;1;4;0;1;0;0;0;1;0;0;21;2;1;1;2;3;1;0;6;0;0;1;0;0;0;4;0;0;0;0;2;0;1;0;7;3;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0
011;XI. IZBORNA JEDINICA;;inozemstvo;država;BELGIJA;001;biraèko mjesto broj 1 -  BRUXELLES;VELEPOSLANSTVO REPUBLIKE HRVATSKE U KRALJEVINI BELGIJI;AVENUE LOUISE 425, 1050 BRUXELLES, BELGIJA;44;44;44;44;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;20;0;5;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;1;1;0;1;0;0;2;0;0;0;0;0;0;7;0;1;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
011;XI. IZBORNA JEDINICA;;inozemstvo;država;BOSNA I HERCEGOVINA;001;biraèko mjesto broj 1 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;SREDNJA EKONOMSKA ŠKOLA, ZMAJA OD BOSNE 39, SARAJEVO, BOSNA I HERCEGOVINA;352;352;352;346;6;3;1;0;0;2;0;0;0;24;3;2;0;0;0;1;0;265;86;16;12;10;0;3;1;38;0;0;0;0;2;1;1;0;0;0;0;0;0;13;0;1;0;1;1;1;0;18;2;0;0;1;1;0;9;0;0;0;1;1;1;0;1;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;2;1;0;1;0;0;0;0;6;1;0;1;1;0;0
011;XI. IZBORNA JEDINICA;;inozemstvo;država;BOSNA I HERCEGOVINA;002;biraèko mjesto broj 2 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;SREDNJA EKONOMSKA ŠKOLA, ZMAJA OD BOSNE 39, SARAJEVO, BOSNA I HERCEGOVINA;324;324;324;321;3;1;0;1;0;0;0;0;0;21;0;0;1;1;1;0;4;268;75;15;10;45;0;2;0;47;0;0;0;1;5;0;2;0;1;0;0;0;0;14;1;0;0;2;1;1;0;4;1;0;1;1;0;0;4;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;5;1;0;0;0;0;0
011;XI. IZBORNA JEDINICA;;inozemstvo;država;BOSNA I HERCEGOVINA;003;biraèko mjesto broj 3 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;SREDNJA EKONOMSKA ŠKOLA, ZMAJA OD BOSNE 39, SARAJEVO, BOSNA I HERCEGOVINA;418;418;418;406;12;1;0;0;1;0;0;0;0;24;2;0;0;1;0;2;3;326;86;24;8;23;1;5;0;51;1;3;1;0;12;0;1;0;0;1;0;0;0;22;4;2;1;2;0;2;2;14;3;2;0;1;0;0;4;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;1;0;0;0;1;7;1;0;0;0;0;0
011;XI. IZBORNA JEDINICA;;inozemstvo;država;BOSNA I HERCEGOVINA;004;biraèko mjesto broj 4 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;SREDNJA EKONOMSKA ŠKOLA, ZMAJA OD BOSNE 39, SARAJEVO, BOSNA I HERCEGOVINA;260;260;260;253;7;2;0;0;0;0;0;2;0;15;4;0;0;0;2;0;1;205;64;13;11;13;0;6;0;26;0;2;0;0;1;0;3;3;0;0;0;0;0;4;0;0;0;0;0;0;1;9;1;2;0;0;0;0;6;1;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;2;0;1;0;0;0;0;1;1;0;0;0;0;0;0
011;XI. IZBORNA JEDINICA;;inozemstvo;država;BOSNA I HERCEGOVINA;005;biraèko mjesto broj 5 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;SREDNJA EKONOMSKA ŠKOLA, ZMAJA OD BOSNE 39, SARAJEVO, BOSNA I HERCEGOVINA;308;308;308;299;9;0;0;0;0;0;0;0;0;18;3;0;0;0;1;5;1;247;102;9;12;14;1;3;1;21;4;0;0;2;5;0;0;0;0;0;0;0;0;12;1;1;1;0;0;0;0;7;1;0;0;0;1;0;4;0;0;0;0;0;0;0;0;6;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0
011;XI. IZBORNA JEDINICA;;inozemstvo;država;BOSNA I HERCEGOVINA;006;biraèko mjesto broj 6 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;SREDNJA EKONOMSKA ŠKOLA, ZMAJA OD BOSNE 39, SARAJEVO, BOSNA I HERCEGOVINA;269;269;269;260;9;0;0;0;0;0;0;0;0;20;2;2;0;1;1;0;3;207;63;15;11;19;0;4;1;27;0;1;0;0;5;1;0;0;0;0;0;0;0;5;0;0;1;0;0;1;1;10;0;0;0;1;0;0;9;1;1;1;0;0;0;0;0;2;0;1;0;0;0;1;0;0;0;3;0;0;0;0;0;1;1;3;0;0;0;0;0;0;2;1;1;0;0;0;0;0
011;XI. IZBORNA JEDINICA;;inozemstvo;država;BOSNA I HERCEGOVINA;007;biraèko mjesto broj 7 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;SREDNJA EKONOMSKA ŠKOLA, ZMAJA OD BOSNE 39, SARAJEVO, BOSNA I HERCEGOVINA;313;313;313;310;3;1;0;0;1;0;0;0;0;29;9;1;1;0;0;3;2;243;71;17;14;20;0;8;0;29;1;1;0;2;3;0;0;0;0;0;0;0;0;9;4;1;1;0;1;0;0;11;0;0;0;0;0;1;7;1;0;1;1;0;0;0;0;3;2;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0
011;XI. IZBORNA JEDINICA;;inozemstvo;država;BOSNA I HERCEGOVINA;008;biraèko mjesto broj 8 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;SREDNJA EKONOMSKA ŠKOLA, ZMAJA OD BOSNE 39, SARAJEVO, BOSNA I HERCEGOVINA;285;285;285;278;7;1;0;0;0;0;0;0;0;16;2;0;1;0;0;3;2;242;89;14;10;10;0;3;1;34;1;0;2;2;5;1;0;0;0;0;0;0;0;3;1;1;0;1;0;0;0;8;3;0;0;1;0;1;2;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0
