,HDZ,SDP,BM 365,KH,MOST,IDS,HSS,HNS-LD,Pametno,Glas,NHR,START,DPMŠ,Green-Left,HDSSB,Centar,Fokus,Možemo!,RF
2015-07-03,0.36153738078315345,0.3336530355873651,0.034299327261607615,0.06468743285012973,0.03910105952164494,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3314922560703483
2015-07-25,0.3725470668936677,0.3231578207904263,0.03762624175606205,0.09998016496140433,0.03381915403560387,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2015-07-31,0.2907461280351742,0.2947590042810625,0.04318253194267674,0.0513111786971685,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2015-08-03,0.38407122431775736,0.3540260996049522,0.03083522041686637,0.06911188614687847,0.023735516289525416,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2015-08-21,0.3086497297475992,0.3207455219645504,0.03155548025587196,0.0382436073323526,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2015-08-25,0.38619770574720247,nan,0.04565199424783878,0.08248814029983964,0.035542632936081564,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2015-09-04,0.3902706036463413,0.37048918163936595,0.0239413048149556,0.049870659019157326,0.04266806062910128,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2015-09-24,0.36647630539347764,0.3201738871716888,0.052443015587034514,0.08331129440156038,0.03978702127307887,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2015-10-04,0.3881869948263608,0.3232607150531414,0.021677631035223688,0.04266806062910128,0.05779351724821896,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2015-10-19,0.3838654357923272,0.37666283740227113,0.034024942561034,0.046578042612274606,0.074565282070778,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2015-11-20,0.3060259260483644,0.34332509628258323,0.02774839253541378,0.04338832046810687,0.2078133522868147,0.020751582670787916,0.017793372617729175,0.01447503264516764,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2015-12-03,0.3098844609001802,0.3141717218466421,0.028854505859600976,0.0382436073323526,0.1761219193705681,0.019722640043637052,0.02558761301839696,0.03258442288302282,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2015-12-20,0.3182188961801022,0.31605811666308536,0.04019859832393918,0.0496648704937272,0.16881642671779695,0.020751582670787916,nan,0.013548984280731868,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2016-01-05,0.33118357328220305,0.29362716739119654,0.02486735317939137,0.03628861634076597,0.14422469792889137,0.016224235111324148,0.022192102348799092,0.028365758111704276,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2016-01-20,0.31091340352733104,0.3354022380535216,0.049047504917436646,0.04493173440883319,0.15965883733615432,0.024970247442106464,0.02178052529793878,0.01882231524488004,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2016-02-01,0.35279136845237113,0.2903345509843138,0.020648688408072824,0.03896386717135819,0.1194271806145556,0.017047389213044772,nan,0.03073232615415128,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2016-02-20,0.32202598390056036,0.33869485446040437,0.033716259772888835,0.06900899188416332,0.11531141010595214,0.025381824492966776,0.02188341956065387,0.018179226102910784,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2016-02-29,0.3456916643250302,0.29228954197590046,0.020751582670787916,0.04956197623101205,0.10337567563100214,0.017356072001190048,0.023323939238665048,0.029703383527000415,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2016-03-19,0.3314922560703483,0.3328298814856444,0.04318253194267674,0.07127266566389528,0.08547207391857714,0.019516851518206924,nan,0.024352881865815912,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2016-04-03,0.34764665531661687,0.3077236813831634,0.019825534306352144,0.06880320335873319,0.07538843617249874,0.016224235111324148,0.03392204829831896,0.029291806476140103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2016-04-19,0.31842468470553237,0.3384890659349742,0.052751698375179734,0.07600580174878918,0.07919552389295692,0.019928428569067236,0.016738706424899608,0.023323939238665048,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2016-05-04,0.339518008562125,0.31358865435792327,0.0209573711962181,0.08588365096943751,0.06777426073158233,0.01529818674688832,0.03438507248053685,0.03844939585778273,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2016-05-20,0.315646539612225,0.3352993437908065,0.0496648704937272,0.08722127638473365,0.0905910634886527,0.01715028347575992,nan,0.020545794145357732,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2016-06-01,0.3069005272814427,0.3205854642225492,0.0269252384336931,0.08866179606274482,0.07672606158779482,0.014577926907882732,0.034848096662754735,0.03906676143407328,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2016-06-26,0.24691317211854744,0.3558781963338237,0.027660197453086566,0.08999942147804096,0.1401089274202879,0.016709308064123796,0.021368948247078468,0.0158641051918213,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2016-07-02,0.2644051967801121,0.3534087340286617,0.025210334055108308,0.063864278748409,0.1157229871568125,nan,0.0342650291740359,0.03896386717135819,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2016-07-14,0.30659184449329746,0.36946023901221514,0.046578042612274606,0.07559422469792887,0.12508636506388532,0.01468082117059788,0.03181271591265966,0.01848790889105606,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2016-07-30,0.29959503462867154,0.31605811666308536,0.021986313823368964,0.07003793451131418,0.12261690275872328,0.01529818674688832,0.026822344170978007,0.0358770392899056,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2016-10-03,0.3469263954776112,0.34383956759615864,0.02229499661151424,0.06355559596026383,0.1242632109621647,nan,0.025484718755681923,0.03412783682374915,0.01852220697862772,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2016-10-21,0.3808815021735897,0.3066947387560125,0.046578042612274606,0.05738194019735865,0.10882907155490174,0.031041008942296555,nan,0.034856671184647636,0.02733681548455341,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2016-11-03,0.36256632341030437,0.27479751731433577,nan,0.05161986148531378,0.1182953437246897,0.020854476933503008,0.02924035934478253,0.0382436073323526,0.02486735317939137,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2016-11-21,0.3684312963850643,0.2919808591877552,0.017836245227193848,0.0835170829269905,0.1194271806145556,0.026668002776905397,nan,nan,0.030783773285508853,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2016-12-01,0.35958238979156687,0.26358204267839136,0.0269252384336931,0.0537806410023306,0.10193515595299091,0.02106026545893319,0.030140684143539542,0.04503462867154828,0.024352881865815912,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2016-12-19,0.3713123357410867,0.29012876245888364,0.028983123687994827,0.08578075670672242,0.1093435428684772,0.02610208433197242,0.023666920114381984,nan,0.022809467925089644,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2017-01-04,0.3747078464106845,0.26018653200879355,0.022980958362948167,0.05645589183292282,0.10337567563100214,0.018899485941916372,0.02826286384898924,0.04266806062910128,0.025767677978148384,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2017-01-22,0.3622576406221591,0.2851898378485595,0.04225648357824091,0.10419882973272288,0.09679044281723659,0.022809467925089644,0.03711177044248659,0.020065620919353988,0.02610208433197242,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2017-02-01,0.3980648440470091,0.24218003603365346,nan,0.07014082877402933,0.086501016545728,0.02422426403742206,0.029291806476140103,0.04822435081571591,0.018179226102910784,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2017-02-20,0.3789951073571464,0.26183284021223496,0.03464230813732455,0.09946569364782887,0.09462966330021982,0.027954181060843963,0.03721466470520174,0.020622964842394065,0.02445577612853106,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2017-03-05,0.3817818269723467,0.23713821716061426,0.025896295806542236,0.09123415263062196,0.09565860592737069,0.019722640043637052,0.025381824492966776,0.0478127737648556,0.023221044975949956,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2017-03-20,0.36201755400915725,0.2522636737797319,0.03875807864592801,0.08145919767268878,0.09560715879601317,0.03597993355262069,0.028468652374419368,0.03217284583216251,0.024661564653961188,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2017-04-02,0.364289802310782,0.25092604836443577,0.016224235111324148,0.08467464338253522,0.11345931337708065,0.01931106299277674,0.027568327575662355,0.04431436883254264,0.024009900990098976,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2017-04-19,0.3643155258764608,0.2659486107208384,0.03546546223904529,0.09185151820691251,0.08840456040595712,0.03896386717135819,0.031041008942296555,nan,0.02733681548455341,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2017-05-01,0.3509392717234996,0.2575112811782013,0.017253177738475012,0.08853317823435097,0.11798666093654442,0.02178052529793878,0.02936897717317638,0.043285426205391775,0.026153531463329938,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2017-05-20,0.36925445048678496,0.27500330583976595,0.03855229012049782,0.08557496818129223,0.10286120431742674,0.03165837451858711,0.025381824492966776,0.03412783682374915,0.02826286384898924,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2017-06-01,0.3830422816906065,0.2388874196267707,0.02023711135721251,0.07106687713846505,0.08331129440156038,0.022192102348799092,0.0345136903089307,0.038114989503958696,0.025724805368683712,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2017-06-21,0.3784377634341064,0.2800451247128052,0.0418449065273806,0.08084183209639823,0.08413444850328106,0.03161264373515815,0.03772913601877714,0.027439709747268504,0.02404419907767069,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2017-06-29,0.39096513991966814,0.24218003603365346,0.027954181060843963,0.0716842427147556,0.07538843617249874,0.016430023636754332,0.030355047190862627,0.03292740375873976,0.022123506173655716,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2017-07-21,0.37573678903783536,0.2721222664837436,0.05480958362948146,0.08711838212201856,0.07127266566389528,nan,0.03268731714573797,0.025484718755681923,0.019379659167920116,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
