STRANKA,I,II,III,IV,V,VI,VII,VIII,IX,X
HDZ,33.02575107296137,40.998316498316505,42.480000000000004,51.238709677419344,45.02898550724636,40.607142857142854,68.8435294117647,22.377049180327877,47.88000000000001,44.167159763313606
SDP,24.63857677902622,22.321428571428573,36.1591280653951,19.304166666666667,16.615384615384613,19.746527777777775,18.586206896551726,31.87441860465118,15.803045685279189,22.363636363636363
MOST,11.413636363636366,0,3.0,4.897959183673469,9.886363636363635,10.684210526315793,5.396825396825395,6.444444444444445,9.090909090909088,11.150442477876103
MOŽEMO!,16.23076923076923,8.53125,5.625,4.767391304347826,nan,nan,nan,nan,0,nan
DP,6.198979591836734,7.1875,3.2448598130841124,12.2,18.857142857142865,5.024038461538463,9.112244897959183,0,6.654545454545455,7.357142857142858
FOKUS,3.0,5.75,0,0,0,5.0,0,0,0,0
IDS,0,0,0,0,0,0,0,12.1,0,0
NPS,0,0,9.3,0,0,0,0,0,0,0
