Rbr IJ;Naziv izborne jedinice;Rbr.županije;Županija;Oznaka Gr/Op/Dr;Grad/opæina/država;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;FURIO RADIN
012;XII. IZBORNA JEDINICA;14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;BELIŠÆE;006;BELIŠÆE;"DJEÈJI VRTIÆ ""MASLAÈAK""";VIJENAC DR. FRANJE TUÐMANA 2;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;BELIŠÆE;007;BISTRINCI;RIBIÈKI DOM;BISTRINCI;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;BELIŠÆE;008;BISTRINCI;DVD BISTRINCI;RADNIÈKA 5;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;BELIŠÆE;009;BOCANJEVCI;HRVATSKI DOM;MATIJE GUPCA 73;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;BELIŠÆE;010;GAT;DRUŠTVENI DOM;KOLODVORSKA ULICA 47;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;BELIŠÆE;011;BOCANJEVCI;HRVATSKI DOM;MATIJE GUPCA 73;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;BELIŠÆE;012;KITIŠANCI;DOM HRVATSKE MLADEŽI;NOVA 22;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;BELIŠÆE;013;TIBORJANCI;DOM;BRAÆE RADIÆA 2;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;BELIŠÆE;014;VELIŠKOVCI;OSNOVNA ŠKOLA;ULICA KRALJA TOMISLAVA 76;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;BELIŠÆE;015;VINOGRADCI;OSNOVNA ŠKOLA;KRALJA TOMISLAVA 28;0;0;0;0;0;0
