Rbr IJ;Naziv izborne jedinice;Rbr.županije;Županija;Oznaka Gr/Op/Dr;Grad/opæina/država;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AUTOHTONA - HRVATSKA STRANKA PRAVA - A - HSP;ÐURO MARKUŠ;STJEPAN PRAVICA;KREŠIMIR ŠIKIÆ;JADRANKA BRKANIÆ;IVAN LUPINSKI;VIŠNJA VUKOVIÆ;MOST NEZAVISNIH LISTA - MOST;SLAVEN RAGUŽ;VESNA ŠUNJIÆ;TVRTKO MILOVIÆ;IVANA ÆUBELA;MIRKO VASILJ;DANIJELA PRCE;DANIEL REZO;KRISTINA MANDIÆ;TOMISLAV BANDIÆ;DRAGANA DŽALTO;DALIBOR RAVIÆ;MONIKA ZOVKO;IVICA BREŠIÆ;SLAVEN BEVANDA;MOŽEMO! - POLITIÈKA PLATFORMA, NOVA LJEVICA - NL, RADNIÈKA FRONTA - RF, ODRŽIVI RAZVOJ HRVATSKE - ORAH, ZAGREB JE NAŠ!, ZA GRAD;MARIO KOVAÈ;DIANA BEKAVAC;JORGE RICARDO LUQUE PERDOMO;TEA ŠKOKIÆ;MIROSLAV PETROVIÆ;NAIMA BALIÆ;NIKOLA MEDIÆ;IVA KVAKIÆ;MILAN BOŽIÆ;VEDRANA KLEPICA;NEOVISNI ZA HRVATSKU - NHR, HRVATSKA STRANKA PRAVA - HSP, GENERACIJA OBNOVE - GO;NIKICA AUGUSTINOVIÆ;ALAN ŠAVAR;MARICA MARIÆ;ROMEO PAVLIÆ;RANKO TOPIÆ;TIN PETERNEL;STANKO DRAGIÈEVIÆ;STRANKA S IMENOM I PREZIMENOM, PAMETNO, FOKUS;GEORGIUS JOSIP FOGLAR;MARIJANA MIŠURAC;PAVLE BUBALO;IVANA ŽAJA;HRVOJE VRANKO;FRANKO BAKOVIÆ;MARIJANA PEZELJ;DEMOKRATI, HRVATSKI LABURISTI - STRANKA RADA, LISTA ZA RIJEKU, ZELENI SAVEZ - ZELENI;AUGUST STANKIÆ;KRISTINA KINDA;ZORAN POPOVIÆ;HENRIET BILANDŽIÆ;BISERKA GOLUB;ANDREA PONISCH;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;ZDRAVKA BUŠIÆ;NEVENKO BARBARIÆ;RADOJE VIDOVIÆ;STANA BURIÆ;IVICA MIŠIÆ;JOSIP GELO;DANIJEL NIKOLIÆ;VINKO SABLJO;JOSO MARKOVIÆ;IVAN KARLO STIPIÆ;ANITA PAURIÆ;ANA ANDRIÆ;JULIJA JAKEŠEVIÆ;IVAN BAÆAK;MOJA VOLJENA HRVATSKA - MVH;RUŽA STUDER;IVO PETROVIÆ;JOSIP TIHOMIR HRGETIÆ SEKULIÆ;HUGO EMANUEL ESTIGARRIBIA VILLASANTI;MARIJA TAFRA;TEREZIJA TURKALJ;IVANA PAVLETIÆ;ZDENKO MIGUEL TEPLY BATAGELJ;NARODNA STRANKA - REFORMISTI - REFORMISTI, HRVATSKA SELJAÈKA STRANKA BRAÆE RADIÆ - HSS BRAÆE RADIÆ, STRANKA HRVATSKIH UMIROVLJENIKA - UMIROVLJENICI - UMIROVLJENICI;KREŠIMIR HORVAT;VESNA VIDOVIÆ-OREŠKI;STJEPAN MAÈEK;VERICA VITKOVIÆ;NIKOLA VIDONI;MAJA VUGLOVEÈKI;NEOVISNA LISTA -  ŽELJKO GLASNOVIÆ;ŽELJKO GLASNOVIÆ;MATE KNEZOVIÆ;INA VUKIÆ;TOMISLAV SUNIÆ;MARKO JURIÆ;SREÆKO TELAR;ELIZABETA MAÐAREVIÆ;MARKO PERKOVIÆ;KREŠIMIR TABAK;MILENA MATIÆ;MIRNA SUNIÆ-ŽAKMAN;MARTINA ÆURIÆ;FRANJO MIROSLAV PERKOVIÆ;MARINA SABLJIÆ;ŽIVI ZID, STRANKA IVANA PERNARA - SIP, PROMIJENIMO HRVATSKU - PH, HRVATSKA SELJAÈKA STRANKA - STJEPAN RADIÆ - HSS - SR;VESNA BALENOVIÆ;MARIJA GAŠPAR;IGOR MURKOVIÆ;TIHOMIR BLAŽEVIÆ;VALENTINA PERNAR;KATICA THORESEN;RATKO PIŠKOR;ANTUN STARÉ;JADRANKA MULC;SAŠA MELKUS;SANJA TROTIÆ;MARIO POPEC;ANTE LALIÆ;PATRIK BUZA
011;XI. IZBORNA JEDINICA;;inozemstvo;država;BOSNA I HERCEGOVINA;003;Biraèko mjesto broj 3 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;SREDNJA EKONOMSKA ŠKOLA, UL. ZMAJA OD BOSNE 39, SARAJEVO, BOSNA I HERCEGOVINA;282;282;282;270;12;1;0;0;0;0;0;0;20;3;1;9;0;1;0;0;1;0;2;0;0;0;1;13;0;3;1;1;1;0;0;0;0;0;2;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;6;2;1;1;1;0;0;199;11;20;101;0;1;5;9;1;0;0;0;1;1;1;3;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;21;13;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
011;XI. IZBORNA JEDINICA;;inozemstvo;država;BOSNA I HERCEGOVINA;004;Biraèko mjesto broj 4 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;SREDNJA EKONOMSKA ŠKOLA, UL. ZMAJA OD BOSNE 39, SARAJEVO, BOSNA I HERCEGOVINA;314;314;314;312;2;2;0;0;0;0;1;0;33;3;6;10;0;0;1;0;0;0;0;0;0;0;2;8;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6;2;0;0;0;1;0;238;16;6;164;1;3;4;2;0;1;0;1;1;0;2;2;2;0;0;0;0;0;0;0;2;1;0;0;0;0;0;13;8;0;0;0;1;0;0;0;0;0;0;0;0;0;7;0;0;0;0;2;0;0;0;0;0;0;0;0;0
011;XI. IZBORNA JEDINICA;;inozemstvo;država;BOSNA I HERCEGOVINA;005;Biraèko mjesto broj 5 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;SREDNJA EKONOMSKA ŠKOLA, UL. ZMAJA OD BOSNE 39, SARAJEVO, BOSNA I HERCEGOVINA;206;206;206;204;2;0;0;0;0;0;0;0;15;0;0;5;0;0;0;0;0;0;0;0;0;0;2;10;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;5;1;1;0;0;1;0;150;9;18;71;0;3;1;7;0;1;1;1;1;0;3;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;13;5;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2;0;0;0;1;0;0;0;0;0;0;0;0;0
011;XI. IZBORNA JEDINICA;;inozemstvo;država;BOSNA I HERCEGOVINA;006;Biraèko mjesto broj 6 - SARAJEVO;VELEPOSLANSTVO REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI;SREDNJA EKONOMSKA ŠKOLA, UL. ZMAJA OD BOSNE 39, SARAJEVO, BOSNA I HERCEGOVINA;252;252;252;249;3;0;0;0;0;0;0;0;12;2;0;7;0;0;0;1;0;0;0;0;0;0;0;11;0;0;4;0;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;1;0;0;1;0;199;6;53;109;1;3;4;5;1;0;1;2;0;1;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;9;6;0;0;0;0;0;1;0;0;0;0;0;0;0;8;1;0;0;0;0;0;0;0;0;0;0;0;1;0
011;XI. IZBORNA JEDINICA;;inozemstvo;država;BOSNA I HERCEGOVINA;008;Biraèko mjesto broj 8 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""PETRA BAKULE"", KRALJA TOMISLAVA 9, MOSTAR, BOSNA I HERCEGOVINA";275;275;275;271;4;0;0;0;0;0;0;0;65;33;2;5;2;1;0;7;0;0;0;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;162;25;49;0;23;1;0;2;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;25;1;0;0;4;0;0;0;1;0;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0
011;XI. IZBORNA JEDINICA;;inozemstvo;država;BOSNA I HERCEGOVINA;009;Biraèko mjesto broj 9 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""PETRA BAKULE"", KRALJA TOMISLAVA 9, MOSTAR, BOSNA I HERCEGOVINA";1115;1115;1115;1110;5;0;0;0;0;0;0;0;169;92;2;4;7;2;1;8;1;2;4;3;0;1;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;800;116;362;4;70;4;2;5;2;0;0;1;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;137;100;5;0;4;7;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
011;XI. IZBORNA JEDINICA;;inozemstvo;država;BOSNA I HERCEGOVINA;010;Biraèko mjesto broj 10 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""PETRA BAKULE"", KRALJA TOMISLAVA 9, MOSTAR, BOSNA I HERCEGOVINA";516;516;516;513;3;1;0;0;0;0;0;0;86;44;0;2;9;3;0;9;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;355;67;153;3;18;0;1;0;0;0;1;1;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;60;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
011;XI. IZBORNA JEDINICA;;inozemstvo;država;BOSNA I HERCEGOVINA;011;Biraèko mjesto broj 11 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""PETRA BAKULE"", KRALJA TOMISLAVA 9, MOSTAR, BOSNA I HERCEGOVINA";423;423;423;420;3;0;0;0;0;0;0;0;65;25;4;0;1;0;0;8;0;0;2;0;1;0;6;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;311;48;125;2;22;0;0;0;0;0;0;0;0;0;8;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;39;32;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
011;XI. IZBORNA JEDINICA;;inozemstvo;država;BOSNA I HERCEGOVINA;012;Biraèko mjesto broj 12 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""PETRA BAKULE"", KRALJA TOMISLAVA 9, MOSTAR, BOSNA I HERCEGOVINA";393;393;393;389;4;0;0;0;0;0;0;0;53;28;1;1;0;0;0;5;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;281;44;127;4;18;1;1;0;0;0;1;0;1;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;42;1;0;0;2;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
011;XI. IZBORNA JEDINICA;;inozemstvo;država;BOSNA I HERCEGOVINA;013;Biraèko mjesto broj 13 - MOSTAR;GENERALNI KONZULAT REPUBLIKE HRVATSKE U BOSNI I HERCEGOVINI, MOSTAR;"OSNOVNA ŠKOLA ""PETRA BAKULE"", KRALJA TOMISLAVA 9, MOSTAR, BOSNA I HERCEGOVINA";184;184;184;183;1;0;0;0;0;0;0;0;22;13;0;1;0;1;0;3;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;142;15;91;0;4;0;0;0;1;0;0;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
