date,ZZ,SKORO,GL,Pametno,SDP,HNS,HDZ,HSLS,Most,BM365
2016-12-23,6.87,,,2,26.63,2.32,36.42,,10.22,2.37
2016-12-24,6.91,,,1.99,26.59,2.29,36.44,,10.21,2.39
2016-12-25,6.89,,,2.01,26.57,2.35,36.45,,10.19,2.38
2016-12-26,6.86,,,2.02,26.55,2.4,36.46,,10.16,2.37
2016-12-27,6.84,,,2.03,26.53,2.46,36.47,,10.14,2.36
2016-12-28,6.82,,,2.05,26.52,2.52,36.48,,10.11,2.35
2016-12-29,6.79,,,2.06,26.5,2.57,36.5,,10.09,2.34
2016-12-30,6.77,,,2.07,26.48,2.63,36.51,,10.06,2.33
2016-12-31,6.74,,,2.09,26.46,2.69,36.52,,10.04,2.32
2017-01-01,6.72,,,2.1,26.44,2.74,36.53,,10.01,2.32
2017-01-02,6.69,,,2.11,26.42,2.8,36.55,,9.99,2.31
2017-01-03,6.67,,,2.13,26.4,2.86,36.56,,9.96,2.3
2017-01-04,6.64,,,2.14,26.38,2.91,36.57,,9.94,2.29
2017-01-05,6.62,,,2.15,26.37,2.97,36.58,,9.91,2.28
2017-01-06,6.6,,,2.17,26.35,3.03,36.6,,9.89,2.27
2017-01-07,6.67,,,2.16,26.3,2.99,36.6,,9.86,2.31
2017-01-08,6.74,,,2.16,26.25,2.95,36.61,,9.83,2.34
2017-01-09,6.81,,,2.16,26.2,2.92,36.62,,9.8,2.38
2017-01-10,6.87,,,2.15,26.15,2.88,36.63,,9.77,2.41
2017-01-11,6.94,,,2.15,26.1,2.84,36.64,,9.74,2.45
2017-01-12,7.01,,,2.14,26.05,2.81,36.64,,9.71,2.48
2017-01-13,7.08,,,2.14,26,2.77,36.65,,9.68,2.52
2017-01-14,7.15,,,2.14,25.95,2.73,36.66,,9.66,2.55
2017-01-15,7.22,,,2.13,25.9,2.7,36.67,,9.63,2.59
2017-01-16,7.29,,,2.13,25.85,2.66,36.68,,9.6,2.62
2017-01-17,7.36,,,2.12,25.8,2.62,36.69,,9.57,2.66
2017-01-18,7.43,,,2.12,25.75,2.59,36.69,,9.54,2.69
2017-01-19,7.5,,,2.12,25.7,2.55,36.7,,9.51,2.73
2017-01-20,7.57,,,2.11,25.65,2.51,36.71,,9.48,2.76
2017-01-21,7.64,,,2.11,25.6,2.48,36.72,,9.45,2.8
2017-01-22,7.71,,,2.11,25.55,2.44,36.73,,9.42,2.83
2017-01-23,7.78,,,2.1,25.5,2.4,36.73,,9.39,2.87
2017-01-24,7.85,,,2.1,25.46,2.37,36.74,,9.37,2.9
2017-01-25,7.92,,,2.09,25.41,2.33,36.75,,9.34,2.94
2017-01-26,7.9,,,2.07,25.39,2.41,36.78,,9.31,2.87
2017-01-27,7.88,,,2.04,25.38,2.48,36.8,,9.28,2.81
2017-01-28,7.86,,,2.01,25.36,2.56,36.83,,9.25,2.75
2017-01-29,7.84,,,1.98,25.35,2.64,36.86,,9.22,2.68
2017-01-30,7.82,,,1.96,25.33,2.71,36.88,,9.19,2.62
2017-01-31,7.8,,,1.93,25.31,2.79,36.91,,9.16,2.56
2017-02-01,7.79,,,1.9,25.3,2.86,36.94,,9.14,2.49
2017-02-02,7.77,,,1.88,25.28,2.94,36.96,,9.11,2.43
2017-02-03,7.75,,,1.85,25.27,3.02,36.99,,9.08,2.37
2017-02-04,7.73,,,1.82,25.25,3.09,37.02,,9.05,2.31
