KH,DPMS,Pametno,SDP,HNS,HDZ,HSLS,Most,BM365
1.86,13.04,2.28,28.54,1.1,32.71,0.49,5.16,1
1.88,13.08,2.28,28.56,1.11,32.72,0.49,5.16,1.01
1.91,13.13,2.28,28.58,1.13,32.73,0.49,5.17,1.03
1.93,13.18,2.28,28.6,1.14,32.74,0.49,5.18,1.04
1.96,13.22,2.28,28.62,1.16,32.76,0.49,5.18,1.05
1.98,13.27,2.28,28.64,1.17,32.77,0.49,5.19,1.07
2.01,13.32,2.28,28.66,1.19,32.78,0.49,5.19,1.08
2.06,13.25,2.38,28.55,1.17,32.89,0.49,5.29,1.05
2.11,13.18,2.47,28.44,1.14,32.99,0.49,5.39,1.03
2.17,13.11,2.56,28.33,1.12,33.1,0.49,5.48,1
2.22,13.05,2.65,28.22,1.1,33.2,0.49,5.58,0.98
2.28,12.98,2.74,28.11,1.08,33.3,0.5,5.68,0.95
2.33,12.91,2.83,28,1.06,33.41,0.5,5.77,0.93
2.38,12.84,2.92,27.89,1.03,33.51,0.5,5.87,0.9
2.44,12.78,3.01,27.78,1.01,33.62,0.5,5.97,0.88
2.49,12.71,3.1,27.68,0.99,33.72,0.5,6.06,0.85
2.55,12.64,3.19,27.57,0.97,33.83,0.5,6.16,0.82
2.6,12.57,3.28,27.46,0.95,33.93,0.5,6.25,0.8
2.65,12.51,3.37,27.35,0.92,34.03,0.5,6.35,0.77
2.71,12.44,3.46,27.24,0.9,34.14,0.5,6.45,0.75
2.76,12.37,3.55,27.13,0.88,34.24,0.5,6.54,0.72
2.82,12.3,3.65,27.02,0.86,34.35,0.5,6.64,0.7
2.87,12.24,3.74,26.91,0.84,34.45,0.5,6.74,0.67
2.92,12.17,3.83,26.8,0.81,34.56,0.5,6.83,0.64
2.98,12.1,3.92,26.69,0.79,34.66,0.5,6.93,0.62
3.03,12.03,4.01,26.58,0.77,34.76,0.5,7.03,0.59
2.96,11.93,4.01,26.43,0.82,34.99,0.5,7.06,0.59
2.89,11.82,4,26.27,0.87,35.22,0.5,7.09,0.59
2.82,11.72,4,26.11,0.91,35.44,0.5,7.13,0.59
2.75,11.62,4,25.96,0.96,35.67,0.5,7.16,0.59
2.68,11.51,4,25.8,1.01,35.9,0.5,7.19,0.59
2.61,11.41,3.99,25.65,1.06,36.13,0.5,7.22,0.59
2.54,11.31,3.99,25.49,1.11,36.35,0.5,7.26,0.59
2.47,11.2,3.99,25.34,1.16,36.58,0.5,7.29,0.59
2.4,11.1,3.99,25.18,1.2,36.81,0.5,7.32,0.59
2.33,10.99,3.98,25.03,1.25,37.03,0.51,7.36,0.59
2.26,10.89,3.98,24.87,1.3,37.26,0,7.39,0.59
